Orthogroup	Prat	Prbe
OG0000000	Prat.g_00977	Prbe.g_01285
OG0000000	Prat.g_00751	Prbe.g_00452
OG0000000	Prat.g_01184	Prbe.g_01579
OG0000000	Prat.g_01487	Prbe.g_00379
OG0000000	Prat.g_01182	Prbe.g_01577
OG0000000	Prat.g_01187	Prbe.g_01584
OG0000000	Prat.g_01462	Prbe.g_00208
OG0000001	Prat.g_01189	Prbe.g_01052
OG0000001	Prat.g_01547	Prbe.g_01586, Prbe.g_01120
OG0000002	Prat.g_01285, Prat.g_01286	Prbe.g_00400
OG0000002	Prat.g_00851	Prbe.g_00112
OG0000003	Prat.g_01190	Prbe.g_01587
OG0000004	Prat.g_00824	Prbe.g_01628
OG0000006	Prat.g_00458	Prbe.g_00636
OG0000006	Prat.g_01592	Prbe.g_00985
OG0000007	Prat.g_00376	Prbe.g_00036
OG0000007	Prat.g_00377	Prbe.g_00037
OG0000009	Prat.g_01180	Prbe.g_01573
OG0000009	Prat.g_00255	Prbe.g_01802
OG0000010	Prat.g_00634	Prbe.g_00081
OG0000011	Prat.g_00374	Prbe.g_01921
OG0000012	Prat.g_00560	Prbe.g_00536
OG0000013	Prat.g_00701	Prbe.g_01046, Prbe.g_01000
OG0000014	Prat.g_01474	Prbe.g_00012
OG0000014	Prat.g_01548	Prbe.g_01121
OG0000015	Prat.g_01580	Prbe.g_01130, Prbe.g_01024
OG0000016	Prat.g_00647	Prbe.g_01603
OG0000016	Prat.g_01452	Prbe.g_00214
OG0000018	Prat.g_00248	Prbe.g_01794
OG0000019	Prat.g_00461	Prbe.g_01208
OG0000020	Prat.g_00278	Prbe.g_00906, Prbe.g_01825
OG0000023	Prat.g_01451	Prbe.g_00216
OG0000024	Prat.g_00314	Prbe.g_01861
OG0000025	Prat.g_00685	Prbe.g_00098
OG0000026	Prat.g_01516	Prbe.g_00021
OG0000028	Prat.g_01353	Prbe.g_00311
OG0000029	Prat.g_01400	Prbe.g_00678
OG0000032	Prat.g_01266	Prbe.g_00352
OG0000033	Prat.g_01219	Prbe.g_01607
OG0000034	Prat.g_00058	Prbe.g_00158
OG0000035	Prat.g_00657	Prbe.g_00074
OG0000036	Prat.g_01507	Prbe.g_00996, Prbe.g_00549
OG0000037	Prat.g_00586	Prbe.g_00511
OG0000038	Prat.g_01192, Prat.g_01448	Prbe.g_00220
OG0000039	Prat.g_00166	Prbe.g_01714
OG0000040	Prat.g_00834	Prbe.g_00062
OG0000041	Prat.g_00613	Prbe.g_01021
OG0000041	Prat.g_01552	Prbe.g_01027
OG0000042	Prat.g_00788	Prbe.g_01214
OG0000043	Prat.g_00856	Prbe.g_01314
OG0000044	Prat.g_01156	Prbe.g_01549
OG0000045	Prat.g_01311	Prbe.g_00351
OG0000046	Prat.g_01584	Prbe.g_00993, Prbe.g_00007
OG0000047	Prat.g_01788	Prbe.g_00774
OG0000048	Prat.g_01796	Prbe.g_00766
OG0000050	Prat.g_00033	Prbe.g_00132
OG0000051	Prat.g_00157	Prbe.g_01705
OG0000052	Prat.g_00637	Prbe.g_00740
OG0000053	Prat.g_01499	Prbe.g_01114
OG0000054	Prat.g_01503	Prbe.g_00494
OG0000055	Prat.g_01014	Prbe.g_01245
OG0000056	Prat.g_01463, Prat.g_00666	Prbe.g_01605
OG0000057	Prat.g_00242	Prbe.g_01789
OG0000058	Prat.g_00434	Prbe.g_00658
OG0000059	Prat.g_00775	Prbe.g_01206
OG0000062	Prat.g_01561, Prat.g_01495	Prbe.g_00041
OG0000063	Prat.g_01129	Prbe.g_01522
OG0000065	Prat.g_01249	Prbe.g_00893
OG0000066	Prat.g_00344	Prbe.g_00353
OG0000067	Prat.g_01532	Prbe.g_00713
OG0000068	Prat.g_01726	Prbe.g_00836
OG0000069	Prat.g_01394	Prbe.g_00272
OG0000071	Prat.g_00012, Prat.g_00011	Prbe.g_01076
OG0000072	Prat.g_00329	Prbe.g_01875
OG0000073	Prat.g_01054	Prbe.g_01449
OG0000074	Prat.g_00765	Prbe.g_00466
OG0000075	Prat.g_01030	Prbe.g_01229
OG0000076	Prat.g_00965	Prbe.g_01297
OG0000078	Prat.g_01312	Prbe.g_00350
OG0000079	Prat.g_01442	Prbe.g_00226
OG0000080	Prat.g_01539	Prbe.g_00714
OG0000081	Prat.g_01759	Prbe.g_00802
OG0000082	Prat.g_01853	Prbe.g_00709
