Orthogroup	Prat	Prbm
OG0000000	Prat.g_00977	Prbm.g_00874
OG0000000	Prat.g_00751	Prbm.g_00712
OG0000000	Prat.g_01184	Prbm.g_01578
OG0000000	Prat.g_01487, Prat.g_01182	Prbm.g_01577
OG0000000	Prat.g_01187	Prbm.g_01582, Prbm.g_01576
OG0000000	Prat.g_01462	Prbm.g_01581
OG0000001	Prat.g_01189	Prbm.g_01141
OG0000001	Prat.g_01547	Prbm.g_01119, Prbm.g_01404, Prbm.g_01810
OG0000002	Prat.g_01285, Prat.g_01286	Prbm.g_01633
OG0000002	Prat.g_00851	Prbm.g_00496, Prbm.g_01940
OG0000003	Prat.g_01190	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Prat.g_00824	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000006	Prat.g_00458	Prbm.g_00522
OG0000006	Prat.g_01592	Prbm.g_01841
OG0000007	Prat.g_00376	Prbm.g_01907
OG0000007	Prat.g_00377	Prbm.g_01908
OG0000009	Prat.g_01180	Prbm.g_00792
OG0000010	Prat.g_00634	Prbm.g_01359
OG0000011	Prat.g_00374	Prbm.g_00428
OG0000012	Prat.g_00567	Prbm.g_00635
OG0000013	Prat.g_00701	Prbm.g_01427, Prbm.g_01149
OG0000015	Prat.g_01580	Prbm.g_01415
OG0000015	Prat.g_00639	Prbm.g_01164
OG0000016	Prat.g_00647, Prat.g_01452	Prbm.g_01653
OG0000017	Prat.g_01375	Prbm.g_01729
OG0000018	Prat.g_00248	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Prat.g_00278	Prbm.g_00329
OG0000022	Prat.g_01191	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000024	Prat.g_00314	Prbm.g_00362
OG0000024	Prat.g_01267	Prbm.g_02126
OG0000025	Prat.g_00685	Prbm.g_00118, Prbm.g_01485
OG0000026	Prat.g_01516	Prbm.g_01947
OG0000028	Prat.g_01353, Prat.g_01352	Prbm.g_01710
OG0000029	Prat.g_01400	Prbm.g_01753
OG0000030	Prat.g_01473	Prbm.g_00528
OG0000032	Prat.g_01266	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Prat.g_00014	Prbm.g_00013
OG0000033	Prat.g_01219	Prbm.g_01944
OG0000034	Prat.g_00058	Prbm.g_00114
OG0000035	Prat.g_00657	Prbm.g_01482
OG0000036	Prat.g_01507	Prbm.g_01900
OG0000038	Prat.g_01192, Prat.g_01448	Prbm.g_01204
OG0000039	Prat.g_00166	Prbm.g_00225
OG0000040	Prat.g_00834	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000041	Prat.g_00613, Prat.g_01552	Prbm.g_01351
OG0000042	Prat.g_00788	Prbm.g_00742
OG0000043	Prat.g_00856	Prbm.g_00950
OG0000044	Prat.g_01156	Prbm.g_01549
OG0000045	Prat.g_01311	Prbm.g_00881
OG0000046	Prat.g_01584	Prbm.g_01834
OG0000047	Prat.g_01788	Prbm.g_02094
OG0000048	Prat.g_01796	Prbm.g_02102
OG0000050	Prat.g_00033	Prbm.g_00031
OG0000051	Prat.g_00157	Prbm.g_00216
OG0000052	Prat.g_00637	Prbm.g_01172, Prbm.g_01237
OG0000053	Prat.g_01499	Prbm.g_00572
OG0000054	Prat.g_01503	Prbm.g_00047
OG0000055	Prat.g_01014	Prbm.g_00838, Prbm.g_01191
OG0000056	Prat.g_01463, Prat.g_00666	Prbm.g_00048
OG0000057	Prat.g_00242	Prbm.g_00297
OG0000058	Prat.g_00434	Prbm.g_00500
OG0000059	Prat.g_00775	Prbm.g_00735
OG0000062	Prat.g_01561	Prbm.g_01910
OG0000063	Prat.g_01129	Prbm.g_01522
OG0000065	Prat.g_01249	Prbm.g_00468, Prbm.g_01611
OG0000066	Prat.g_00344	Prbm.g_00707
OG0000067	Prat.g_01532	Prbm.g_01174
OG0000068	Prat.g_01726	Prbm.g_02033
OG0000069	Prat.g_01394	Prbm.g_01747
OG0000071	Prat.g_00012, Prat.g_00011	Prbm.g_00011
OG0000072	Prat.g_00329	Prbm.g_00377
OG0000073	Prat.g_01054	Prbm.g_00702
OG0000074	Prat.g_00765	Prbm.g_00728
OG0000075	Prat.g_01030	Prbm.g_00821
OG0000076	Prat.g_00965	Prbm.g_01064
OG0000078	Prat.g_01312	Prbm.g_00394
OG0000079	Prat.g_01442	Prbm.g_01792
OG0000080	Prat.g_01539	Prbm.g_01182
OG0000081	Prat.g_01759	Prbm.g_02067
OG0000082	Prat.g_01853	Prbm.g_02188
OG0000083	Prat.g_00003	Prbm.g_00003
OG0000084	Prat.g_00006	Prbm.g_00006
OG0000085	Prat.g_01314, Prat.g_00024	Prbm.g_00023
OG0000086	Prat.g_00614	Prbm.g_00063, Prbm.g_01170
OG0000087	Prat.g_00054	Prbm.g_00058
OG0000088	Prat.g_00112	Prbm.g_00172
OG0000089	Prat.g_00121	Prbm.g_00181
OG0000090	Prat.g_00138	Prbm.g_00198
OG0000091	Prat.g_00170	Prbm.g_00228
OG0000092	Prat.g_00171	Prbm.g_00229
OG0000093	Prat.g_00185	Prbm.g_00243
OG0000094	Prat.g_00204	Prbm.g_00262
OG0000095	Prat.g_00209	Prbm.g_00266
OG0000096	Prat.g_00257	Prbm.g_00310
OG0000097	Prat.g_00281	Prbm.g_00331
OG0000098	Prat.g_00292	Prbm.g_00341
OG0000099	Prat.g_00302	Prbm.g_00350
OG0000100	Prat.g_00305	Prbm.g_00353
OG0000101	Prat.g_00372	Prbm.g_00425
OG0000102	Prat.g_01477	Prbm.g_01389
OG0000103	Prat.g_00435	Prbm.g_00501
OG0000104	Prat.g_00440	Prbm.g_00506
OG0000105	Prat.g_00462	Prbm.g_00533
OG0000106	Prat.g_00494	Prbm.g_00565
OG0000107	Prat.g_00495	Prbm.g_00566
OG0000108	Prat.g_00504	Prbm.g_00576
OG0000109	Prat.g_00514, Prat.g_00513	Prbm.g_00585
OG0000110	Prat.g_00532	Prbm.g_00601
OG0000111	Prat.g_01073	Prbm.g_00682
OG0000112	Prat.g_01072	Prbm.g_00683
OG0000113	Prat.g_00815	Prbm.g_00766
OG0000114	Prat.g_01039	Prbm.g_00812
OG0000115	Prat.g_00896	Prbm.g_00988
OG0000116	Prat.g_00900	Prbm.g_00992
OG0000117	Prat.g_00962	Prbm.g_01061
OG0000118	Prat.g_01208	Prbm.g_01210
OG0000119	Prat.g_01557	Prbm.g_01913
OG0000120	Prat.g_01150	Prbm.g_01542
OG0000121	Prat.g_01127	Prbm.g_01519
OG0000122	Prat.g_01107	Prbm.g_01499
OG0000123	Prat.g_00595	Prbm.g_01489
OG0000124	Prat.g_01509	Prbm.g_01054
OG0000125	Prat.g_01261	Prbm.g_01622
OG0000126	Prat.g_01291	Prbm.g_01660
OG0000127	Prat.g_01338	Prbm.g_01696
OG0000128	Prat.g_01354	Prbm.g_01711
OG0000129	Prat.g_01392	Prbm.g_01745
OG0000130	Prat.g_01589	Prbm.g_01839
OG0000131	Prat.g_01377, Prat.g_01628	Prbm.g_01876
OG0000132	Prat.g_01631	Prbm.g_01878
OG0000133	Prat.g_01685	Prbm.g_01991
OG0000134	Prat.g_01720	Prbm.g_02027
OG0000136	Prat.g_01771	Prbm.g_02079
OG0000137	Prat.g_01806	Prbm.g_02114
OG0000138	Prat.g_01841	Prbm.g_02176
OG0000139	Prat.g_01873	Prbm.g_02212
OG0000140	Prat.g_00001	Prbm.g_00001
