Orthogroup	Prat	Prbj
OG0000000	Prat.g_00977	Prbj.g_02517
OG0000000	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462	Prbj.g_00030
OG0000001	Prat.g_01549	Prbj.g_00164
OG0000002	Prat.g_01285, Prat.g_01286	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690
OG0000003	Prat.g_01190	Prbj.g_00165
OG0000004	Prat.g_00824	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prat.g_00458	Prbj.g_01610
OG0000006	Prat.g_01592	Prbj.g_00857
OG0000007	Prat.g_00376	Prbj.g_00929
OG0000007	Prat.g_00377	Prbj.g_00928
OG0000009	Prat.g_01180, Prat.g_00255	Prbj.g_01349
OG0000011	Prat.g_00374	Prbj.g_02509
OG0000012	Prat.g_00567	Prbj.g_01761
OG0000013	Prat.g_00701	Prbj.g_02502
OG0000016	Prat.g_00647	Prbj.g_00740
OG0000016	Prat.g_01452	Prbj.g_00778
OG0000017	Prat.g_01375	Prbj.g_00638
OG0000018	Prat.g_00248	Prbj.g_02699
OG0000019	Prat.g_00461	Prbj.g_01774
OG0000020	Prat.g_00278	Prbj.g_01393
OG0000024	Prat.g_00314	Prbj.g_01442
OG0000026	Prat.g_01516	Prbj.g_01208
OG0000028	Prat.g_01353	Prbj.g_01056
OG0000034	Prat.g_00058	Prbj.g_01487
OG0000036	Prat.g_01507	Prbj.g_01789
OG0000037	Prat.g_00586	Prbj.g_02552
OG0000038	Prat.g_01192, Prat.g_01448	Prbj.g_00050, Prbj.g_01572
OG0000039	Prat.g_00166	Prbj.g_00912, Prbj.g_00521
OG0000040	Prat.g_00834	Prbj.g_02392
OG0000042	Prat.g_00788	Prbj.g_00913, Prbj.g_02178
OG0000043	Prat.g_00856	Prbj.g_00025, Prbj.g_00023
OG0000044	Prat.g_01156	Prbj.g_00971
OG0000045	Prat.g_01311	Prbj.g_01467
OG0000046	Prat.g_01584	Prbj.g_00869
OG0000047	Prat.g_01788	Prbj.g_01598
OG0000048	Prat.g_01796	Prbj.g_00001, Prbj.g_01808
OG0000050	Prat.g_00033	Prbj.g_01204
OG0000051	Prat.g_00157	Prbj.g_00530
OG0000052	Prat.g_00637	Prbj.g_00875
OG0000053	Prat.g_01499	Prbj.g_02141
OG0000054	Prat.g_01503	Prbj.g_01324
OG0000055	Prat.g_01014	Prbj.g_02437
OG0000056	Prat.g_01463, Prat.g_00666	Prbj.g_00227
OG0000058	Prat.g_00434	Prbj.g_00128
OG0000059	Prat.g_00775	Prbj.g_00758
OG0000062	Prat.g_01495	Prbj.g_01990
OG0000063	Prat.g_01129	Prbj.g_01915
OG0000065	Prat.g_01249	Prbj.g_01728
OG0000066	Prat.g_00344	Prbj.g_01465
OG0000068	Prat.g_01726	Prbj.g_00415, Prbj.g_00981
OG0000069	Prat.g_01394	Prbj.g_00659
OG0000071	Prat.g_00012, Prat.g_00011	Prbj.g_02085
OG0000072	Prat.g_00329	Prbj.g_01460
OG0000073	Prat.g_01054	Prbj.g_00824
OG0000074	Prat.g_00765	Prbj.g_00933
OG0000075	Prat.g_01030	Prbj.g_02419
OG0000076	Prat.g_00965	Prbj.g_01838
OG0000078	Prat.g_01312	Prbj.g_01464
OG0000079	Prat.g_01442	Prbj.g_00881
OG0000080	Prat.g_01539	Prbj.g_01678
OG0000081	Prat.g_01759	Prbj.g_01500
OG0000082	Prat.g_01853	Prbj.g_01999
OG0000083	Prat.g_00003	Prbj.g_02076
OG0000084	Prat.g_00006	Prbj.g_02079
OG0000085	Prat.g_01314, Prat.g_00024	Prbj.g_01195
OG0000087	Prat.g_00054	Prbj.g_01921
OG0000088	Prat.g_00112	Prbj.g_01551
OG0000089	Prat.g_00121	Prbj.g_01566
OG0000090	Prat.g_00138	Prbj.g_01547
OG0000091	Prat.g_00170	Prbj.g_00518
OG0000092	Prat.g_00171	Prbj.g_00517
OG0000093	Prat.g_00185	Prbj.g_01138
OG0000094	Prat.g_00204	Prbj.g_01167
OG0000095	Prat.g_00209	Prbj.g_00288
OG0000096	Prat.g_00257	Prbj.g_01352
OG0000097	Prat.g_00281	Prbj.g_01397
OG0000098	Prat.g_00292	Prbj.g_01410
OG0000099	Prat.g_00302	Prbj.g_01422
OG0000100	Prat.g_00305	Prbj.g_01426
OG0000101	Prat.g_00372	Prbj.g_00067
OG0000102	Prat.g_01477	Prbj.g_02004
OG0000103	Prat.g_00435	Prbj.g_00127
OG0000104	Prat.g_00440	Prbj.g_01630
OG0000105	Prat.g_00462	Prbj.g_01608
OG0000106	Prat.g_00494	Prbj.g_02125
OG0000107	Prat.g_00495	Prbj.g_02127
OG0000108	Prat.g_00504	Prbj.g_02668
OG0000109	Prat.g_00514, Prat.g_00513	Prbj.g_01866
OG0000110	Prat.g_00532	Prbj.g_01885
OG0000111	Prat.g_01073	Prbj.g_00792
OG0000112	Prat.g_01072	Prbj.g_00793
OG0000113	Prat.g_00815	Prbj.g_02314
OG0000114	Prat.g_01039	Prbj.g_02410
OG0000115	Prat.g_00896	Prbj.g_02268
OG0000116	Prat.g_00900	Prbj.g_02260
OG0000117	Prat.g_00962	Prbj.g_01841
OG0000118	Prat.g_01208	Prbj.g_02066
OG0000119	Prat.g_01557	Prbj.g_01992
OG0000120	Prat.g_01150	Prbj.g_00843
OG0000121	Prat.g_01127	Prbj.g_00003
OG0000122	Prat.g_01107	Prbj.g_02156
OG0000123	Prat.g_00595	Prbj.g_00020
OG0000124	Prat.g_01509	Prbj.g_01848
OG0000125	Prat.g_01261	Prbj.g_01742
OG0000126	Prat.g_01291	Prbj.g_01639
OG0000127	Prat.g_01338	Prbj.g_01040
OG0000128	Prat.g_01354	Prbj.g_01057
OG0000129	Prat.g_01392	Prbj.g_00656
OG0000130	Prat.g_01589	Prbj.g_00863
OG0000131	Prat.g_01377, Prat.g_01628	Prbj.g_00461
OG0000132	Prat.g_01631	Prbj.g_00458
OG0000133	Prat.g_01685	Prbj.g_01024
OG0000134	Prat.g_01720	Prbj.g_00987
OG0000135	Prat.g_01722	Prbj.g_00985
OG0000136	Prat.g_01771	Prbj.g_01516
OG0000138	Prat.g_01841	Prbj.g_01963
OG0000139	Prat.g_01873	Prbj.g_02047
OG0000140	Prat.g_00001	Prbj.g_02074
OG0000141	Prat.g_00002	Prbj.g_02075
OG0000142	Prat.g_00004	Prbj.g_02077
OG0000143	Prat.g_00005	Prbj.g_02078
OG0000144	Prat.g_00007	Prbj.g_02080
OG0000145	Prat.g_00008	Prbj.g_02082
OG0000146	Prat.g_00009	Prbj.g_02083
OG0000147	Prat.g_00010	Prbj.g_02084
OG0000148	Prat.g_00013	Prbj.g_02086
OG0000149	Prat.g_00015	Prbj.g_01182
OG0000150	Prat.g_00016	Prbj.g_01183
OG0000151	Prat.g_00017	Prbj.g_01188
OG0000152	Prat.g_00018	Prbj.g_01189
OG0000153	Prat.g_00019	Prbj.g_01190
OG0000154	Prat.g_00020	Prbj.g_01191
OG0000155	Prat.g_00021	Prbj.g_01192
OG0000156	Prat.g_00022	Prbj.g_01193
