Orthogroup	Prat	Prba
OG0000000	Prat.g_00977	Prba.g_00203
OG0000000	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462	Prba.g_01639
OG0000002	Prat.g_01285, Prat.g_01286	Prba.g_00211
OG0000002	Prat.g_00851	Prba.g_01081, Prba.g_01080
OG0000003	Prat.g_01190	Prba.g_01172
OG0000004	Prat.g_00824	Prba.g_01570, Prba.g_01563, Prba.g_01171
OG0000006	Prat.g_00458	Prba.g_00964
OG0000006	Prat.g_01592	Prba.g_00226
OG0000007	Prat.g_00376	Prba.g_01131
OG0000009	Prat.g_01180	Prba.g_01519
OG0000009	Prat.g_00255	Prba.g_00468
OG0000010	Prat.g_00634	Prba.g_00734, Prba.g_01157
OG0000011	Prat.g_00374	Prba.g_00913
OG0000012	Prat.g_00560, Prat.g_00567	Prba.g_01719
OG0000013	Prat.g_00701	Prba.g_01538
OG0000014	Prat.g_01474, Prat.g_01548	Prba.g_00991, Prba.g_01175
OG0000015	Prat.g_00615, Prat.g_01580, Prat.g_00639	Prba.g_00876
OG0000016	Prat.g_00647, Prat.g_01452	Prba.g_00200
OG0000018	Prat.g_00248	Prba.g_00460
OG0000019	Prat.g_00461	Prba.g_00245
OG0000020	Prat.g_00278	Prba.g_00868
OG0000022	Prat.g_01191	Prba.g_01174
OG0000023	Prat.g_01451	Prba.g_01142
OG0000024	Prat.g_00314, Prat.g_01267	Prba.g_00522
OG0000025	Prat.g_00685	Prba.g_00899
OG0000028	Prat.g_01353, Prat.g_01352	Prba.g_00713
OG0000029	Prat.g_01400	Prba.g_00275
OG0000030	Prat.g_01473	Prba.g_01832
OG0000032	Prat.g_01266	Prba.g_00173
OG0000033	Prat.g_00014, Prat.g_01219	Prba.g_01806
OG0000035	Prat.g_00657	Prba.g_01409
OG0000036	Prat.g_01507	Prba.g_01731
OG0000037	Prat.g_00586	Prba.g_01694
OG0000038	Prat.g_01192, Prat.g_01448	Prba.g_01543
OG0000039	Prat.g_00166	Prba.g_00622
OG0000040	Prat.g_00834	Prba.g_00854
OG0000042	Prat.g_00788	Prba.g_01594
OG0000043	Prat.g_00856	Prba.g_01514
OG0000045	Prat.g_01311	Prba.g_00153
OG0000046	Prat.g_01584	Prba.g_00233
OG0000047	Prat.g_01788	Prba.g_00768
OG0000048	Prat.g_01796	Prba.g_00775
OG0000050	Prat.g_00033	Prba.g_01824
OG0000051	Prat.g_00157	Prba.g_01945
OG0000052	Prat.g_00637	Prba.g_00864
