Orthogroup	Praa	Prbi
OG0000000	Praa.g_01598	Prbi.g_01709
OG0000000	Praa.g_01597	Prbi.g_01268, Prbi.g_01708
OG0000000	Praa.g_01297	Prbi.g_01370
OG0000001	Praa.g_01359	Prbi.g_01432
OG0000001	Praa.g_00678	Prbi.g_00681
OG0000002	Praa.g_01222, Praa.g_01220	Prbi.g_01270
OG0000002	Praa.g_01351	Prbi.g_01424
OG0000003	Praa.g_00038, Praa.g_01221	Prbi.g_00047
OG0000004	Praa.g_01298	Prbi.g_01371
OG0000004	Praa.g_01599	Prbi.g_01710
OG0000005	Praa.g_00735	Prbi.g_00775
OG0000005	Praa.g_00742	Prbi.g_00782
OG0000006	Praa.g_01280	Prbi.g_01352
OG0000006	Praa.g_00755	Prbi.g_00797
OG0000006	Praa.g_01110	Prbi.g_01156
OG0000007	Praa.g_00997	Prbi.g_01042
OG0000007	Praa.g_01256	Prbi.g_01331
OG0000007	Praa.g_00382	Prbi.g_00408
OG0000008	Praa.g_00497	Prbi.g_00500
OG0000008	Praa.g_01635	Prbi.g_01787
OG0000009	Praa.g_00056	Prbi.g_01272, Prbi.g_01771, Prbi.g_01276
OG0000010	Praa.g_00782	Prbi.g_00827
OG0000010	Praa.g_00249	Prbi.g_00273
OG0000011	Praa.g_00374	Prbi.g_00399
OG0000011	Praa.g_00754	Prbi.g_00796
OG0000012	Praa.g_01092	Prbi.g_01139
OG0000012	Praa.g_00373	Prbi.g_00398
OG0000013	Praa.g_01589	Prbi.g_01701
OG0000013	Praa.g_00105	Prbi.g_00112
OG0000014	Praa.g_01409	Prbi.g_01502
OG0000014	Praa.g_00306	Prbi.g_00330
OG0000015	Praa.g_00330	Prbi.g_00354
OG0000016	Praa.g_00765	Prbi.g_00810
OG0000017	Praa.g_01301	Prbi.g_01374
OG0000017	Praa.g_00470	Prbi.g_00472
OG0000018	Praa.g_00598	Prbi.g_00600
OG0000019	Praa.g_00380	Prbi.g_00406
OG0000020	Praa.g_01362	Prbi.g_01435
OG0000021	Praa.g_01496	Prbi.g_01611
OG0000022	Praa.g_01245	Prbi.g_00265
OG0000023	Praa.g_01623	Prbi.g_01742
OG0000023	Praa.g_00364	Prbi.g_00389
OG0000024	Praa.g_01287	Prbi.g_01360
OG0000025	Praa.g_00747	Prbi.g_00788
OG0000026	Praa.g_01300	Prbi.g_01373
OG0000027	Praa.g_00672	Prbi.g_00675
OG0000028	Praa.g_01241	Prbi.g_01536
OG0000028	Praa.g_01273	Prbi.g_01344
OG0000029	Praa.g_00783	Prbi.g_00828
OG0000030	Praa.g_00784	Prbi.g_00829
OG0000031	Praa.g_01839	Prbi.g_02001
OG0000032	Praa.g_00033	Prbi.g_00033
OG0000033	Praa.g_01564	Prbi.g_01677
OG0000033	Praa.g_00738	Prbi.g_00778
OG0000034	Praa.g_01476	Prbi.g_01589, Prbi.g_01591
OG0000035	Praa.g_01590	Prbi.g_01702
OG0000036	Praa.g_01107	Prbi.g_01153
OG0000037	Praa.g_01291	Prbi.g_01364
OG0000039	Praa.g_00013	Prbi.g_00013
OG0000040	Praa.g_01288	Prbi.g_01361
OG0000040	Praa.g_00396	Prbi.g_00426
OG0000041	Praa.g_00623	Prbi.g_00625
OG0000042	Praa.g_01885	Prbi.g_02059
OG0000045	Praa.g_00585	Prbi.g_00587
OG0000046	Praa.g_00763	Prbi.g_00805
OG0000047	Praa.g_01159	Prbi.g_01207
OG0000048	Praa.g_01407	Prbi.g_01478
OG0000049	Praa.g_01425	Prbi.g_01461
OG0000050	Praa.g_00166	Prbi.g_00190
OG0000051	Praa.g_00359	Prbi.g_00384
OG0000053	Praa.g_00711	Prbi.g_00745
OG0000054	Praa.g_01628	Prbi.g_01780
OG0000055	Praa.g_01832	Prbi.g_01994
OG0000056	Praa.g_00031	Prbi.g_00031
OG0000057	Praa.g_00157	Prbi.g_00181
OG0000058	Praa.g_00369	Prbi.g_00394
OG0000059	Praa.g_00539	Prbi.g_00542
OG0000060	Praa.g_00724	Prbi.g_00758
OG0000061	Praa.g_00757	Prbi.g_00799
OG0000062	Praa.g_00826	Prbi.g_00869
OG0000063	Praa.g_01117	Prbi.g_01163
OG0000065	Praa.g_00237	Prbi.g_00261
OG0000066	Praa.g_00475	Prbi.g_00478
OG0000067	Praa.g_00698	Prbi.g_00702
OG0000068	Praa.g_00740	Prbi.g_00780
OG0000069	Praa.g_01125	Prbi.g_01172
OG0000069	Praa.g_00984	Prbi.g_01029
OG0000070	Praa.g_01039	Prbi.g_01086
OG0000071	Praa.g_01255	Prbi.g_01330
OG0000072	Praa.g_01318	Prbi.g_01391
OG0000073	Praa.g_01342	Prbi.g_01407
OG0000074	Praa.g_01387	Prbi.g_01460
OG0000075	Praa.g_01775	Prbi.g_01938
OG0000077	Praa.g_00011	Prbi.g_00011
OG0000078	Praa.g_00322	Prbi.g_00346
OG0000079	Praa.g_00381	Prbi.g_00407
OG0000080	Praa.g_00669	Prbi.g_00672
OG0000081	Praa.g_00691	Prbi.g_00694
OG0000082	Praa.g_00810, Praa.g_00811	Prbi.g_00854
OG0000083	Praa.g_00876	Prbi.g_00918
OG0000084	Praa.g_00964	Prbi.g_01009
OG0000085	Praa.g_01089	Prbi.g_01136
OG0000086	Praa.g_01127	Prbi.g_01174
OG0000088	Praa.g_01262	Prbi.g_01336
OG0000089	Praa.g_01268	Prbi.g_01341
OG0000089	Praa.g_01620	Prbi.g_01740
OG0000090	Praa.g_01394	Prbi.g_01462
OG0000091	Praa.g_01484	Prbi.g_01599
OG0000092	Praa.g_01606	Prbi.g_01725
OG0000093	Praa.g_01723	Prbi.g_01873
OG0000094	Praa.g_01772	Prbi.g_01935
OG0000095	Praa.g_01806	Prbi.g_01968
OG0000096	Praa.g_01877	Prbi.g_02051
OG0000097	Praa.g_01894	Prbi.g_02069
OG0000098	Praa.g_00003	Prbi.g_00003
OG0000099	Praa.g_00023	Prbi.g_00023
OG0000100	Praa.g_00039	Prbi.g_00048
OG0000101	Praa.g_00049	Prbi.g_00060
OG0000102	Praa.g_00113	Prbi.g_00120
OG0000103	Praa.g_00121	Prbi.g_00129
OG0000105	Praa.g_00170	Prbi.g_00194
OG0000106	Praa.g_00184	Prbi.g_00208
OG0000107	Praa.g_00192	Prbi.g_00216
OG0000108	Praa.g_00202	Prbi.g_00226
OG0000109	Praa.g_00239	Prbi.g_00263
OG0000110	Praa.g_00251	Prbi.g_00275
OG0000111	Praa.g_00274	Prbi.g_00298
OG0000112	Praa.g_00284	Prbi.g_00308
OG0000113	Praa.g_00297	Prbi.g_00321
OG0000114	Praa.g_00325	Prbi.g_00349
OG0000115	Praa.g_00474	Prbi.g_00477
OG0000116	Praa.g_00476	Prbi.g_00479
OG0000117	Praa.g_00480	Prbi.g_00483
OG0000118	Praa.g_00499	Prbi.g_00502
OG0000119	Praa.g_00532	Prbi.g_00535
OG0000120	Praa.g_00533	Prbi.g_00536
OG0000121	Praa.g_00544	Prbi.g_00546
OG0000122	Praa.g_00553	Prbi.g_00555
OG0000123	Praa.g_00584	Prbi.g_00586
OG0000124	Praa.g_00651	Prbi.g_00654
OG0000125	Praa.g_00652	Prbi.g_00655
OG0000126	Praa.g_00653	Prbi.g_00656
OG0000127	Praa.g_00686	Prbi.g_00689
OG0000128	Praa.g_00713	Prbi.g_00747
OG0000129	Praa.g_00733	Prbi.g_00767
OG0000130	Praa.g_00787	Prbi.g_00832
OG0000131	Praa.g_00801	Prbi.g_00845
OG0000132	Praa.g_00838	Prbi.g_00881
OG0000133	Praa.g_00923	Prbi.g_00968
OG0000134	Praa.g_00932	Prbi.g_00977
OG0000135	Praa.g_00968	Prbi.g_01013
OG0000136	Praa.g_01036	Prbi.g_01083
OG0000137	Praa.g_01130	Prbi.g_01177
OG0000138	Praa.g_01155	Prbi.g_01202
OG0000139	Praa.g_01165	Prbi.g_01213
OG0000140	Praa.g_01216	Prbi.g_01264
OG0000141	Praa.g_01224	Prbi.g_01277
OG0000142	Praa.g_01330	Prbi.g_01403
OG0000143	Praa.g_01366	Prbi.g_01439
OG0000144	Praa.g_01463	Prbi.g_01576
OG0000145	Praa.g_01477	Prbi.g_01592
OG0000146	Praa.g_01513	Prbi.g_01627
OG0000147	Praa.g_01554	Prbi.g_01667
OG0000148	Praa.g_01555	Prbi.g_01668
OG0000149	Praa.g_01633	Prbi.g_01785
OG0000150	Praa.g_01672	Prbi.g_01823
OG0000151	Praa.g_01675	Prbi.g_01826
OG0000152	Praa.g_01695	Prbi.g_01845
OG0000153	Praa.g_01734	Prbi.g_01897
OG0000154	Praa.g_01770	Prbi.g_01933
OG0000155	Praa.g_01788	Prbi.g_01951
OG0000156	Praa.g_01817	Prbi.g_01979
OG0000157	Praa.g_01849	Prbi.g_02011
OG0000158	Praa.g_01911	Prbi.g_02086
OG0000160	Praa.g_00001	Prbi.g_00001
OG0000161	Praa.g_00002	Prbi.g_00002
OG0000162	Praa.g_00004	Prbi.g_00004
OG0000163	Praa.g_00005	Prbi.g_00005
OG0000164	Praa.g_00006	Prbi.g_00006
OG0000165	Praa.g_00007	Prbi.g_00007
OG0000166	Praa.g_00008	Prbi.g_00008
OG0000167	Praa.g_00009	Prbi.g_00009
OG0000168	Praa.g_00010	Prbi.g_00010
OG0000169	Praa.g_00012	Prbi.g_00012
OG0000170	Praa.g_00014	Prbi.g_00014
OG0000171	Praa.g_00015	Prbi.g_00015
OG0000172	Praa.g_00016	Prbi.g_00016
OG0000173	Praa.g_00017	Prbi.g_00017
OG0000174	Praa.g_00018	Prbi.g_00018
OG0000175	Praa.g_00019	Prbi.g_00019
OG0000176	Praa.g_00020	Prbi.g_00020
OG0000177	Praa.g_00021	Prbi.g_00021
OG0000178	Praa.g_00022	Prbi.g_00022
OG0000179	Praa.g_00024	Prbi.g_00024
OG0000180	Praa.g_00025	Prbi.g_00025
OG0000181	Praa.g_00026	Prbi.g_00026
OG0000182	Praa.g_00027	Prbi.g_00027
OG0000183	Praa.g_00028	Prbi.g_00028
OG0000184	Praa.g_00029	Prbi.g_00029
OG0000185	Praa.g_00032	Prbi.g_00032
OG0000186	Praa.g_00035	Prbi.g_00035
OG0000187	Praa.g_00036	Prbi.g_00036
OG0000188	Praa.g_00037	Prbi.g_00037
OG0000189	Praa.g_00040	Prbi.g_00049
OG0000190	Praa.g_00042	Prbi.g_00051
OG0000191	Praa.g_00043	Prbi.g_00052
OG0000192	Praa.g_00044	Prbi.g_00053
OG0000193	Praa.g_00045	Prbi.g_00056
OG0000194	Praa.g_00046	Prbi.g_00057
OG0000195	Praa.g_00047	Prbi.g_00058
OG0000196	Praa.g_00048	Prbi.g_00059
OG0000197	Praa.g_00050	Prbi.g_00061
OG0000198	Praa.g_00051	Prbi.g_00062
OG0000199	Praa.g_00052	Prbi.g_00063
OG0000200	Praa.g_00064	Prbi.g_00071
OG0000201	Praa.g_00065	Prbi.g_00072
OG0000202	Praa.g_00066	Prbi.g_00073
OG0000203	Praa.g_00069	Prbi.g_00076
OG0000204	Praa.g_00070	Prbi.g_00077
OG0000205	Praa.g_00073	Prbi.g_00080
OG0000206	Praa.g_00075	Prbi.g_00082
OG0000207	Praa.g_00077	Prbi.g_00084
OG0000208	Praa.g_00078	Prbi.g_00085
OG0000209	Praa.g_00079	Prbi.g_00086
OG0000210	Praa.g_00080	Prbi.g_00087
OG0000211	Praa.g_00081	Prbi.g_00088
OG0000212	Praa.g_00082	Prbi.g_00089
OG0000213	Praa.g_00083	Prbi.g_00090
OG0000214	Praa.g_00084	Prbi.g_00091
OG0000215	Praa.g_00085	Prbi.g_00092
OG0000216	Praa.g_00086	Prbi.g_00093
OG0000217	Praa.g_00088	Prbi.g_00095
OG0000218	Praa.g_00089	Prbi.g_00096
OG0000219	Praa.g_00090	Prbi.g_00097
OG0000220	Praa.g_00091	Prbi.g_00098
OG0000221	Praa.g_00094	Prbi.g_00101
OG0000222	Praa.g_00095	Prbi.g_00102
OG0000223	Praa.g_00096	Prbi.g_00103
OG0000224	Praa.g_00097	Prbi.g_00104
OG0000225	Praa.g_00098	Prbi.g_00105
OG0000226	Praa.g_00099	Prbi.g_00106
OG0000227	Praa.g_00100	Prbi.g_00107
OG0000228	Praa.g_00101	Prbi.g_00108
OG0000229	Praa.g_00102	Prbi.g_00109
OG0000230	Praa.g_00103	Prbi.g_00110
OG0000231	Praa.g_00104	Prbi.g_00111
OG0000232	Praa.g_00106	Prbi.g_00113
OG0000233	Praa.g_00107	Prbi.g_00114
OG0000234	Praa.g_00108	Prbi.g_00115
OG0000235	Praa.g_00109	Prbi.g_00116
OG0000236	Praa.g_00110	Prbi.g_00117
OG0000237	Praa.g_00111	Prbi.g_00118
OG0000238	Praa.g_00112	Prbi.g_00119
OG0000239	Praa.g_00114	Prbi.g_00121
OG0000240	Praa.g_00115	Prbi.g_00123
OG0000241	Praa.g_00116	Prbi.g_00124
OG0000242	Praa.g_00117	Prbi.g_00125
OG0000243	Praa.g_00120	Prbi.g_00128
OG0000244	Praa.g_00122	Prbi.g_00130
OG0000245	Praa.g_00123	Prbi.g_00131
OG0000246	Praa.g_00124	Prbi.g_00132
OG0000247	Praa.g_00127	Prbi.g_00135
OG0000248	Praa.g_00129	Prbi.g_00137
OG0000249	Praa.g_00130	Prbi.g_00138
OG0000250	Praa.g_00131	Prbi.g_00139
OG0000251	Praa.g_00132	Prbi.g_00140
OG0000252	Praa.g_00133	Prbi.g_00141
OG0000253	Praa.g_00134	Prbi.g_00142
OG0000254	Praa.g_00136	Prbi.g_00144
OG0000255	Praa.g_00137	Prbi.g_00145
OG0000256	Praa.g_00140	Prbi.g_00148
OG0000257	Praa.g_00142	Prbi.g_00150
OG0000258	Praa.g_00145	Prbi.g_00169
OG0000259	Praa.g_00146	Prbi.g_00170
OG0000260	Praa.g_00147	Prbi.g_00171
OG0000261	Praa.g_00148	Prbi.g_00172
OG0000262	Praa.g_00149	Prbi.g_00173
OG0000263	Praa.g_00151	Prbi.g_00175
OG0000264	Praa.g_00152	Prbi.g_00176
OG0000265	Praa.g_00153	Prbi.g_00177
OG0000266	Praa.g_00154	Prbi.g_00178
OG0000267	Praa.g_00155	Prbi.g_00179
OG0000268	Praa.g_00156	Prbi.g_00180
OG0000269	Praa.g_00158	Prbi.g_00182
OG0000270	Praa.g_00159	Prbi.g_00183
OG0000271	Praa.g_00160	Prbi.g_00184
OG0000272	Praa.g_00161	Prbi.g_00185
OG0000273	Praa.g_00162	Prbi.g_00186
OG0000274	Praa.g_00163	Prbi.g_00187
OG0000275	Praa.g_00164	Prbi.g_00188
OG0000276	Praa.g_00165	Prbi.g_00189
OG0000277	Praa.g_00167	Prbi.g_00191
OG0000278	Praa.g_00168	Prbi.g_00192
OG0000279	Praa.g_00169	Prbi.g_00193
OG0000280	Praa.g_00171	Prbi.g_00195
OG0000281	Praa.g_00173	Prbi.g_00197
OG0000282	Praa.g_00174	Prbi.g_00198
OG0000283	Praa.g_00175	Prbi.g_00199
OG0000284	Praa.g_00176	Prbi.g_00200
OG0000285	Praa.g_00177	Prbi.g_00201
OG0000286	Praa.g_00178	Prbi.g_00202
OG0000287	Praa.g_00179	Prbi.g_00203
OG0000288	Praa.g_00181	Prbi.g_00205
OG0000289	Praa.g_00182	Prbi.g_00206
OG0000290	Praa.g_00183	Prbi.g_00207
OG0000291	Praa.g_00185	Prbi.g_00209
OG0000292	Praa.g_00186	Prbi.g_00210
OG0000293	Praa.g_00187	Prbi.g_00211
OG0000294	Praa.g_00188	Prbi.g_00212
OG0000295	Praa.g_00189	Prbi.g_00213
OG0000296	Praa.g_00190	Prbi.g_00214
OG0000297	Praa.g_00191	Prbi.g_00215
OG0000298	Praa.g_00193	Prbi.g_00217
OG0000299	Praa.g_00194	Prbi.g_00218
OG0000300	Praa.g_00195	Prbi.g_00219
OG0000301	Praa.g_00196	Prbi.g_00220
OG0000302	Praa.g_00197	Prbi.g_00221
OG0000303	Praa.g_00198	Prbi.g_00222
OG0000304	Praa.g_00200	Prbi.g_00224
OG0000305	Praa.g_00201	Prbi.g_00225
OG0000306	Praa.g_00204	Prbi.g_00228
OG0000307	Praa.g_00205	Prbi.g_00229
OG0000308	Praa.g_00206	Prbi.g_00230
OG0000309	Praa.g_00207	Prbi.g_00231
OG0000310	Praa.g_00208	Prbi.g_00232
OG0000311	Praa.g_00209	Prbi.g_00233
OG0000312	Praa.g_00210	Prbi.g_00234
OG0000313	Praa.g_00211	Prbi.g_00235
OG0000314	Praa.g_00212	Prbi.g_00236
OG0000315	Praa.g_00213	Prbi.g_00237
OG0000316	Praa.g_00214	Prbi.g_00238
OG0000317	Praa.g_00215	Prbi.g_00239
OG0000318	Praa.g_00216	Prbi.g_00240
OG0000319	Praa.g_00217	Prbi.g_00241
OG0000320	Praa.g_00218	Prbi.g_00242
OG0000321	Praa.g_00219	Prbi.g_00243
OG0000322	Praa.g_00220	Prbi.g_00244
OG0000323	Praa.g_00221	Prbi.g_00245
OG0000324	Praa.g_00222	Prbi.g_00246
OG0000325	Praa.g_00223	Prbi.g_00247
OG0000326	Praa.g_00224	Prbi.g_00248
OG0000327	Praa.g_00225	Prbi.g_00249
OG0000328	Praa.g_00226	Prbi.g_00250
OG0000329	Praa.g_00227	Prbi.g_00251
OG0000330	Praa.g_00228	Prbi.g_00252
OG0000331	Praa.g_00229	Prbi.g_00253
OG0000332	Praa.g_00230	Prbi.g_00254
OG0000333	Praa.g_00231	Prbi.g_00255
OG0000334	Praa.g_00232	Prbi.g_00256
OG0000335	Praa.g_00233	Prbi.g_00257
OG0000336	Praa.g_00235	Prbi.g_00259
OG0000337	Praa.g_00236	Prbi.g_00260
OG0000338	Praa.g_00240	Prbi.g_00264
OG0000339	Praa.g_00242	Prbi.g_00266
OG0000340	Praa.g_00244	Prbi.g_00268
OG0000341	Praa.g_00245	Prbi.g_00269
OG0000342	Praa.g_00246	Prbi.g_00270
OG0000343	Praa.g_00247	Prbi.g_00271
OG0000344	Praa.g_00250	Prbi.g_00274
OG0000345	Praa.g_00253	Prbi.g_00277
OG0000346	Praa.g_00254	Prbi.g_00278
OG0000347	Praa.g_00257	Prbi.g_00281
OG0000348	Praa.g_00259	Prbi.g_00283
OG0000349	Praa.g_00260	Prbi.g_00284
OG0000350	Praa.g_00262	Prbi.g_00286
OG0000351	Praa.g_00263	Prbi.g_00287
OG0000352	Praa.g_00264	Prbi.g_00288
OG0000353	Praa.g_00265	Prbi.g_00289
OG0000354	Praa.g_00266	Prbi.g_00290
OG0000355	Praa.g_00267	Prbi.g_00291
OG0000356	Praa.g_00268	Prbi.g_00292
OG0000357	Praa.g_00269	Prbi.g_00293
OG0000358	Praa.g_00270	Prbi.g_00294
OG0000359	Praa.g_00271	Prbi.g_00295
OG0000360	Praa.g_00275	Prbi.g_00299
OG0000361	Praa.g_00276	Prbi.g_00300
OG0000362	Praa.g_00277	Prbi.g_00301
OG0000363	Praa.g_00278	Prbi.g_00302
OG0000364	Praa.g_00282	Prbi.g_00306
OG0000365	Praa.g_00283	Prbi.g_00307
OG0000366	Praa.g_00285	Prbi.g_00309
OG0000367	Praa.g_00286	Prbi.g_00310
OG0000368	Praa.g_00287	Prbi.g_00311
OG0000369	Praa.g_00288	Prbi.g_00312
OG0000370	Praa.g_00289	Prbi.g_00313
OG0000371	Praa.g_00290	Prbi.g_00314
OG0000372	Praa.g_00291	Prbi.g_00315
OG0000373	Praa.g_00292	Prbi.g_00316
OG0000374	Praa.g_00294	Prbi.g_00318
OG0000375	Praa.g_00295	Prbi.g_00319
OG0000376	Praa.g_00298	Prbi.g_00322
OG0000377	Praa.g_00299	Prbi.g_00323
OG0000378	Praa.g_00300	Prbi.g_00324
OG0000379	Praa.g_00301	Prbi.g_00325
OG0000380	Praa.g_00302	Prbi.g_00326
OG0000381	Praa.g_00303	Prbi.g_00327
OG0000382	Praa.g_00304	Prbi.g_00328
OG0000383	Praa.g_00305	Prbi.g_00329
OG0000384	Praa.g_00308	Prbi.g_00332
OG0000385	Praa.g_00309	Prbi.g_00333
OG0000386	Praa.g_00310	Prbi.g_00334
OG0000387	Praa.g_00311	Prbi.g_00335
OG0000388	Praa.g_00312	Prbi.g_00336
OG0000389	Praa.g_00313	Prbi.g_00337
OG0000390	Praa.g_00314	Prbi.g_00338
OG0000391	Praa.g_00315	Prbi.g_00339
OG0000392	Praa.g_00316	Prbi.g_00340
OG0000393	Praa.g_00317	Prbi.g_00341
OG0000394	Praa.g_00318	Prbi.g_00342
OG0000395	Praa.g_00319	Prbi.g_00343
OG0000396	Praa.g_00321	Prbi.g_00345
OG0000397	Praa.g_00323	Prbi.g_00347
OG0000398	Praa.g_00324	Prbi.g_00348
OG0000399	Praa.g_00327	Prbi.g_00351
OG0000400	Praa.g_00328	Prbi.g_00352
OG0000401	Praa.g_00329	Prbi.g_00353
OG0000402	Praa.g_00334	Prbi.g_00358
OG0000403	Praa.g_00335	Prbi.g_00359
OG0000404	Praa.g_00336	Prbi.g_00360
OG0000405	Praa.g_00338	Prbi.g_00362
OG0000406	Praa.g_00340	Prbi.g_00365
OG0000407	Praa.g_00341	Prbi.g_00366
OG0000408	Praa.g_00344	Prbi.g_00369
OG0000409	Praa.g_00345	Prbi.g_00370
OG0000410	Praa.g_00346	Prbi.g_00371
OG0000411	Praa.g_00347	Prbi.g_00372
OG0000412	Praa.g_00348	Prbi.g_00373
OG0000413	Praa.g_00349	Prbi.g_00374
OG0000414	Praa.g_00350	Prbi.g_00375
OG0000415	Praa.g_00351	Prbi.g_00376
OG0000416	Praa.g_00354	Prbi.g_00379
OG0000417	Praa.g_00355	Prbi.g_00380
OG0000418	Praa.g_00356	Prbi.g_00381
OG0000419	Praa.g_00357	Prbi.g_00382
OG0000420	Praa.g_00358	Prbi.g_00383
OG0000421	Praa.g_00370	Prbi.g_00395
OG0000422	Praa.g_00378	Prbi.g_00403
OG0000423	Praa.g_00379	Prbi.g_00404
OG0000424	Praa.g_00383	Prbi.g_00409
OG0000425	Praa.g_00431	Prbi.g_00432
OG0000426	Praa.g_00432	Prbi.g_00433
OG0000427	Praa.g_00433	Prbi.g_00434
OG0000428	Praa.g_00435	Prbi.g_00436
OG0000429	Praa.g_00436	Prbi.g_00437
OG0000430	Praa.g_00437	Prbi.g_00439
OG0000431	Praa.g_00438	Prbi.g_00440
OG0000432	Praa.g_00439	Prbi.g_00441
OG0000433	Praa.g_00440	Prbi.g_00442
