Orthogroup	Praa	Prbb
OG0000000	Praa.g_01235	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Praa.g_01598, Praa.g_01244	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Praa.g_01597	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Praa.g_01359	Prbb.g_00844
OG0000001	Praa.g_00678	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Praa.g_01222, Praa.g_01220	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Praa.g_01351	Prbb.g_01611
OG0000003	Praa.g_00038, Praa.g_01221	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Praa.g_00742	Prbb.g_00425, Prbb.g_00748
OG0000006	Praa.g_01280, Praa.g_00755, Praa.g_01110	Prbb.g_01294
OG0000008	Praa.g_00497	Prbb.g_00501
OG0000008	Praa.g_01635	Prbb.g_01823
OG0000010	Praa.g_00782	Prbb.g_00757, Prbb.g_00761
OG0000011	Praa.g_00754	Prbb.g_01800
OG0000015	Praa.g_00330	Prbb.g_00386
OG0000016	Praa.g_00765	Prbb.g_01158
OG0000017	Praa.g_01301, Praa.g_00470	Prbb.g_01375
OG0000018	Praa.g_00598	Prbb.g_00598
OG0000019	Praa.g_00380	Prbb.g_01189
OG0000020	Praa.g_01362	Prbb.g_01632
OG0000021	Praa.g_01496	Prbb.g_01705
OG0000022	Praa.g_00241, Praa.g_01245	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Praa.g_01623, Praa.g_00364	Prbb.g_00099
OG0000024	Praa.g_01287	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Praa.g_00747	Prbb.g_01175, Prbb.g_00680
OG0000026	Praa.g_01300	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000028	Praa.g_01241	Prbb.g_01884
OG0000029	Praa.g_00783	Prbb.g_00747, Prbb.g_01897
OG0000030	Praa.g_00784	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Praa.g_01839	Prbb.g_02069
OG0000032	Praa.g_00033	Prbb.g_01921
OG0000033	Praa.g_01564, Praa.g_00738	Prbb.g_01114, Prbb.g_01127
OG0000034	Praa.g_01476	Prbb.g_01686
OG0000035	Praa.g_01590	Prbb.g_01324, Prbb.g_01729
OG0000036	Praa.g_01107	Prbb.g_01071
OG0000040	Praa.g_01288	Prbb.g_01229
OG0000040	Praa.g_00396	Prbb.g_01368
OG0000041	Praa.g_00623	Prbb.g_01111
OG0000045	Praa.g_00585	Prbb.g_01882
OG0000046	Praa.g_00763	Prbb.g_01231
OG0000047	Praa.g_01159, Praa.g_01415	Prbb.g_01517
OG0000049	Praa.g_01425	Prbb.g_00851
OG0000050	Praa.g_00166	Prbb.g_00223
OG0000051	Praa.g_00359	Prbb.g_01373, Prbb.g_01411
OG0000053	Praa.g_00711	Prbb.g_00713
OG0000054	Praa.g_01628	Prbb.g_01816
OG0000055	Praa.g_01832	Prbb.g_02061
OG0000056	Praa.g_00031	Prbb.g_00032
OG0000057	Praa.g_00157	Prbb.g_00214
OG0000058	Praa.g_00369	Prbb.g_01197, Prbb.g_01329
OG0000059	Praa.g_00539	Prbb.g_00542
OG0000062	Praa.g_00826	Prbb.g_00807, Prbb.g_01218
OG0000063	Praa.g_01117	Prbb.g_00054
OG0000065	Praa.g_00237	Prbb.g_00294
OG0000066	Praa.g_01414, Praa.g_00475	Prbb.g_00478
OG0000067	Praa.g_00698	Prbb.g_01359, Prbb.g_00706
OG0000069	Praa.g_01125, Praa.g_00984	Prbb.g_01627
OG0000070	Praa.g_01039	Prbb.g_01070
OG0000071	Praa.g_01255	Prbb.g_01399
OG0000072	Praa.g_01318	Prbb.g_01586
OG0000073	Praa.g_01342	Prbb.g_01270, Prbb.g_01432
OG0000074	Praa.g_01387	Prbb.g_00678
OG0000075	Praa.g_01775	Prbb.g_02001
OG0000077	Praa.g_00011	Prbb.g_00012
OG0000078	Praa.g_00322	Prbb.g_00373
OG0000079	Praa.g_00381	Prbb.g_01326
OG0000080	Praa.g_00669	Prbb.g_00673
OG0000081	Praa.g_00691	Prbb.g_00697, Prbb.g_00698
OG0000082	Praa.g_00810, Praa.g_00811	Prbb.g_00790
OG0000083	Praa.g_00876	Prbb.g_00909, Prbb.g_01198
OG0000084	Praa.g_00964	Prbb.g_00991
OG0000085	Praa.g_01089	Prbb.g_01238
OG0000086	Praa.g_01127	Prbb.g_01887
OG0000087	Praa.g_01236	Prbb.g_01320, Prbb.g_01245, Prbb.g_01122, Prbb.g_01786, Prbb.g_00430, Prbb.g_01355, Prbb.g_01402
OG0000088	Praa.g_01262	Prbb.g_01306
OG0000090	Praa.g_01394	Prbb.g_00388
OG0000091	Praa.g_01484	Prbb.g_01694
OG0000092	Praa.g_01606	Prbb.g_01208
OG0000093	Praa.g_01723	Prbb.g_01946
OG0000094	Praa.g_01772	Prbb.g_01997
OG0000095	Praa.g_01806	Prbb.g_02034
OG0000096	Praa.g_01877	Prbb.g_02123
OG0000098	Praa.g_00003	Prbb.g_00003
OG0000099	Praa.g_00023	Prbb.g_00024
OG0000100	Praa.g_00409	Prbb.g_01195
OG0000101	Praa.g_00049	Prbb.g_00064
OG0000102	Praa.g_00113	Prbb.g_00170
OG0000103	Praa.g_00121	Prbb.g_00179
OG0000104	Praa.g_00139	Prbb.g_00196
OG0000105	Praa.g_00170	Prbb.g_00227
OG0000106	Praa.g_00184	Prbb.g_00240
OG0000107	Praa.g_00192	Prbb.g_00249
OG0000108	Praa.g_00202	Prbb.g_00259
OG0000109	Praa.g_00239	Prbb.g_00041, Prbb.g_00297
OG0000110	Praa.g_00251	Prbb.g_00307
OG0000111	Praa.g_00274	Prbb.g_00327
