Orthogroup	Praa	Prah
OG0000000	Praa.g_01598, Praa.g_01244	Prah.g_01348
OG0000000	Praa.g_01597, Praa.g_01297	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Praa.g_01359	Prah.g_00562
OG0000001	Praa.g_00678	Prah.g_01226
OG0000002	Praa.g_01351	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000004	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prah.g_01347
OG0000005	Praa.g_00742	Prah.g_01175, Prah.g_00215
OG0000008	Praa.g_00497	Prah.g_01546
OG0000008	Praa.g_01635	Prah.g_01676
OG0000010	Praa.g_00782, Praa.g_00249	Prah.g_02086
OG0000011	Praa.g_00374, Praa.g_00754	Prah.g_01972
OG0000013	Praa.g_01589, Praa.g_00105	Prah.g_00432, Prah.g_01895
OG0000015	Praa.g_00330	Prah.g_00353
OG0000016	Praa.g_00765	Prah.g_01155, Prah.g_00576
OG0000018	Praa.g_00598	Prah.g_01405, Prah.g_01397
OG0000020	Praa.g_01362	Prah.g_01007, Prah.g_01048
OG0000022	Praa.g_00241, Praa.g_01245	Prah.g_01767, Prah.g_00475
OG0000023	Praa.g_01623, Praa.g_00364	Prah.g_01410
OG0000024	Praa.g_01287	Prah.g_00998
OG0000025	Praa.g_00747	Prah.g_01043
OG0000027	Praa.g_00672	Prah.g_00969
OG0000028	Praa.g_01241	Prah.g_00970
OG0000029	Praa.g_00783	Prah.g_00942
OG0000031	Praa.g_01839	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Praa.g_00033	Prah.g_00042
OG0000034	Praa.g_01476	Prah.g_00408
OG0000037	Praa.g_01291	Prah.g_01166
OG0000039	Praa.g_00013	Prah.g_00015
OG0000040	Praa.g_01288, Praa.g_00396	Prah.g_01084
OG0000041	Praa.g_00623	Prah.g_00524
OG0000045	Praa.g_00585	Prah.g_01427
OG0000046	Praa.g_00763	Prah.g_01209, Prah.g_00170
OG0000047	Praa.g_01159, Praa.g_01415	Prah.g_01322
OG0000049	Praa.g_01425	Prah.g_02195
OG0000050	Praa.g_00166	Prah.g_00957, Prah.g_02304
OG0000051	Praa.g_00359	Prah.g_00688
OG0000053	Praa.g_00711	Prah.g_00958, Prah.g_00887
OG0000054	Praa.g_01628	Prah.g_01666
OG0000055	Praa.g_01832	Prah.g_00150
OG0000056	Praa.g_00031	Prah.g_00038
OG0000057	Praa.g_00157	Prah.g_02295
OG0000058	Praa.g_00369	Prah.g_01660
OG0000059	Praa.g_00539	Prah.g_01485
OG0000061	Praa.g_00757	Prah.g_01812
OG0000062	Praa.g_00826	Prah.g_00641
OG0000063	Praa.g_01117	Prah.g_02425
OG0000066	Praa.g_01414, Praa.g_00475	Prah.g_00312
OG0000067	Praa.g_00698	Prah.g_01027
OG0000070	Praa.g_01039	Prah.g_00915
OG0000071	Praa.g_01255	Prah.g_01257
OG0000072	Praa.g_01318	Prah.g_01364
OG0000074	Praa.g_01387	Prah.g_02192
OG0000075	Praa.g_01775	Prah.g_01995
OG0000077	Praa.g_00011	Prah.g_00013
OG0000078	Praa.g_00322	Prah.g_02187
OG0000079	Praa.g_00381	Prah.g_02538
OG0000080	Praa.g_00669	Prah.g_00445
OG0000081	Praa.g_00691	Prah.g_00974
OG0000082	Praa.g_00810, Praa.g_00811	Prah.g_00660
OG0000083	Praa.g_00876	Prah.g_01190
OG0000084	Praa.g_00964	Prah.g_00796
OG0000085	Praa.g_01089	Prah.g_02597
OG0000086	Praa.g_01127	Prah.g_02524
OG0000090	Praa.g_01394	Prah.g_02191
OG0000091	Praa.g_01484	Prah.g_00398
OG0000092	Praa.g_01606	Prah.g_01609
OG0000093	Praa.g_01723	Prah.g_02043
OG0000094	Praa.g_01772	Prah.g_01999, Prah.g_01797
OG0000095	Praa.g_01806	Prah.g_02230
OG0000096	Praa.g_01877	Prah.g_00052
OG0000098	Praa.g_00003	Prah.g_00004
OG0000099	Praa.g_00023	Prah.g_00029
OG0000101	Praa.g_00049	Prah.g_02458
OG0000102	Praa.g_00113	Prah.g_00194
OG0000103	Praa.g_00121	Prah.g_00176, Prah.g_00180
OG0000104	Praa.g_00139	Prah.g_02268
OG0000105	Praa.g_00170	Prah.g_02308
OG0000106	Praa.g_00184	Prah.g_02324
OG0000107	Praa.g_00192	Prah.g_02352
OG0000108	Praa.g_00202	Prah.g_02362
OG0000109	Praa.g_00239	Prah.g_01773
OG0000110	Praa.g_00251	Prah.g_02089
OG0000111	Praa.g_00274	Prah.g_02126
OG0000113	Praa.g_00297	Prah.g_02155
OG0000114	Praa.g_00325	Prah.g_02207
