Orthogroup	Praa	Prat
OG0000000	Praa.g_01598, Praa.g_01244	Prat.g_01549
OG0000000	Praa.g_01597	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Praa.g_01359	Prat.g_00977
OG0000001	Praa.g_00678	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Praa.g_01222, Praa.g_01220	Prat.g_00851
OG0000002	Praa.g_01351	Prat.g_01286, Prat.g_01285
OG0000003	Praa.g_00038, Praa.g_01221	Prat.g_01473
OG0000004	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prat.g_01190
OG0000005	Praa.g_00742	Prat.g_00824
OG0000006	Praa.g_01280, Praa.g_00755, Praa.g_01110	Prat.g_00634
OG0000008	Praa.g_00497	Prat.g_00458
OG0000008	Praa.g_01635	Prat.g_01592
OG0000009	Praa.g_00056	Prat.g_01570
OG0000010	Praa.g_00782	Prat.g_01180
OG0000010	Praa.g_00249	Prat.g_00255
OG0000012	Praa.g_01092	Prat.g_00278
OG0000013	Praa.g_01589, Praa.g_00105	Prat.g_01451
OG0000014	Praa.g_01409	Prat.g_01267
OG0000016	Praa.g_00765	Prat.g_00701
OG0000017	Praa.g_01301, Praa.g_00470	Prat.g_01548, Prat.g_01474
OG0000018	Praa.g_00598	Prat.g_00560, Prat.g_00567
OG0000019	Praa.g_00380	Prat.g_01580, Prat.g_00639, Prat.g_00615
OG0000020	Praa.g_01362	Prat.g_00647, Prat.g_01452
OG0000022	Praa.g_00241, Praa.g_01245	Prat.g_00248
OG0000023	Praa.g_01623, Praa.g_00364	Prat.g_00461
OG0000024	Praa.g_01287	Prat.g_01489
OG0000025	Praa.g_00747	Prat.g_00622
OG0000026	Praa.g_01300	Prat.g_01191
OG0000028	Praa.g_01241	Prat.g_00376
OG0000029	Praa.g_00783	Prat.g_00852
OG0000031	Praa.g_01839	Prat.g_01796
OG0000034	Praa.g_01476	Prat.g_01352, Prat.g_01353
OG0000035	Praa.g_01590	Prat.g_01400
OG0000036	Praa.g_01107	Prat.g_01470
OG0000039	Praa.g_00013	Prat.g_00014
OG0000041	Praa.g_00623	Prat.g_00586
OG0000045	Praa.g_00585	Prat.g_01507
OG0000046	Praa.g_00763	Prat.g_01448, Prat.g_01192
OG0000047	Praa.g_01159, Praa.g_01415	Prat.g_01156
OG0000049	Praa.g_01425	Prat.g_01311
OG0000050	Praa.g_00166	Prat.g_00166
OG0000051	Praa.g_00359	Prat.g_00834
OG0000053	Praa.g_00711	Prat.g_00788
OG0000054	Praa.g_01628	Prat.g_01584
OG0000055	Praa.g_01832	Prat.g_01788
OG0000056	Praa.g_00031	Prat.g_00033
OG0000057	Praa.g_00157	Prat.g_00157
OG0000058	Praa.g_00369	Prat.g_00637
OG0000059	Praa.g_00539	Prat.g_01499
OG0000062	Praa.g_00826	Prat.g_01014
OG0000065	Praa.g_00237	Prat.g_00242
OG0000066	Praa.g_01414, Praa.g_00475	Prat.g_00434
OG0000067	Praa.g_00698	Prat.g_00775
OG0000070	Praa.g_01039	Prat.g_00965
OG0000071	Praa.g_01255	Prat.g_01129
OG0000072	Praa.g_01318	Prat.g_01249
OG0000074	Praa.g_01387	Prat.g_00344
OG0000075	Praa.g_01775	Prat.g_01726
