Orthogroup	Praa	Prbf
OG0000000	Praa.g_01235, Praa.g_01598, Praa.g_01244	Prbf.g_00776
OG0000000	Praa.g_01597	Prbf.g_00760, Prbf.g_00775, Prbf.g_00881
OG0000001	Praa.g_01359	Prbf.g_01182, Prbf.g_01177
OG0000001	Praa.g_00678	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000002	Praa.g_01222, Praa.g_01220	Prbf.g_00831
OG0000002	Praa.g_01351	Prbf.g_00068
OG0000004	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prbf.g_00880
OG0000005	Praa.g_00742	Prbf.g_00052
OG0000006	Praa.g_01280, Praa.g_00755, Praa.g_01110	Prbf.g_00306
OG0000008	Praa.g_00497	Prbf.g_01780
OG0000008	Praa.g_01635	Prbf.g_00693
OG0000010	Praa.g_00782	Prbf.g_00894
OG0000010	Praa.g_00249	Prbf.g_01588
OG0000011	Praa.g_00374	Prbf.g_00603
OG0000011	Praa.g_00754	Prbf.g_00762, Prbf.g_00804
OG0000012	Praa.g_01092	Prbf.g_01611
OG0000013	Praa.g_01589, Praa.g_00105	Prbf.g_00252
OG0000016	Praa.g_00765	Prbf.g_00754, Prbf.g_00708
OG0000017	Praa.g_01301, Praa.g_00470	Prbf.g_00774, Prbf.g_00817
OG0000018	Praa.g_00598	Prbf.g_01880, Prbf.g_01887
OG0000019	Praa.g_00380	Prbf.g_00732, Prbf.g_00765
OG0000020	Praa.g_01362	Prbf.g_00864, Prbf.g_00254
OG0000022	Praa.g_00241, Praa.g_01245	Prbf.g_01580
OG0000023	Praa.g_01623, Praa.g_00364	Prbf.g_01259
OG0000024	Praa.g_01287	Prbf.g_00816, Prbf.g_00872
OG0000025	Praa.g_00747	Prbf.g_01052, Prbf.g_01288
OG0000028	Praa.g_01241	Prbf.g_00793
OG0000029	Praa.g_00783	Prbf.g_00869, Prbf.g_00719
OG0000030	Praa.g_00784	Prbf.g_00711
OG0000031	Praa.g_01839	Prbf.g_00487
OG0000034	Praa.g_01476	Prbf.g_00157
OG0000035	Praa.g_01590	Prbf.g_01738
OG0000036	Praa.g_01107	Prbf.g_00264
OG0000041	Praa.g_00623	Prbf.g_01905, Prbf.g_00272
OG0000045	Praa.g_00585	Prbf.g_00704, Prbf.g_01867
OG0000046	Praa.g_00763	Prbf.g_00248
OG0000047	Praa.g_01159, Praa.g_01415	Prbf.g_00918
OG0000048	Praa.g_01447	Prbf.g_00135
OG0000049	Praa.g_01425	Prbf.g_00117
OG0000050	Praa.g_00166	Prbf.g_01500
OG0000051	Praa.g_00359	Prbf.g_00287
OG0000053	Praa.g_00711	Prbf.g_01253
OG0000054	Praa.g_01628	Prbf.g_00822, Prbf.g_00701
OG0000055	Praa.g_01832	Prbf.g_00496
OG0000056	Praa.g_00031	Prbf.g_01354
OG0000057	Praa.g_00157	Prbf.g_01491
OG0000058	Praa.g_00369	Prbf.g_00320
OG0000059	Praa.g_00539	Prbf.g_01820, Prbf.g_00781
OG0000062	Praa.g_00826	Prbf.g_01222
OG0000065	Praa.g_00237	Prbf.g_01575
OG0000066	Praa.g_01414, Praa.g_00475	Prbf.g_01758
OG0000067	Praa.g_00698	Prbf.g_01261
OG0000070	Praa.g_01039	Prbf.g_01170
OG0000071	Praa.g_01255	Prbf.g_00945
OG0000072	Praa.g_01318	Prbf.g_00026
OG0000073	Praa.g_01342	Prbf.g_00819
OG0000074	Praa.g_01387	Prbf.g_00115
OG0000075	Praa.g_01775	Prbf.g_00558
OG0000077	Praa.g_00011	Prbf.g_00382
OG0000078	Praa.g_00322	Prbf.g_01661
OG0000079	Praa.g_00381	Prbf.g_00044
OG0000080	Praa.g_00669	Prbf.g_01018
OG0000081	Praa.g_00691	Prbf.g_01271
OG0000082	Praa.g_00810, Praa.g_00811	Prbf.g_01238
OG0000083	Praa.g_00876	Prbf.g_00897
OG0000084	Praa.g_00964	Prbf.g_01117
OG0000085	Praa.g_01089	Prbf.g_00873
OG0000086	Praa.g_01127	Prbf.g_00788
OG0000087	Praa.g_01236	Prbf.g_00777
OG0000090	Praa.g_01394	Prbf.g_00118
OG0000091	Praa.g_01484	Prbf.g_00165
OG0000092	Praa.g_01606	Prbf.g_00346
OG0000093	Praa.g_01723	Prbf.g_00606
OG0000094	Praa.g_01772	Prbf.g_00562
OG0000095	Praa.g_01806	Prbf.g_00524
OG0000096	Praa.g_01877	Prbf.g_00451
