Orthogroup	Praj	Praf
OG0000000	Praj.g_00832	Praf.g_01631
OG0000000	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Praf.g_00948
OG0000001	Praj.g_01267, Praj.g_00087	Praf.g_01039, Praf.g_01042, Praf.g_00815
OG0000002	Praj.g_01549	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000003	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737	Praf.g_00814
OG0000004	Praj.g_01222	Praf.g_01014, Praf.g_02005
OG0000006	Praj.g_00489	Praf.g_00614
OG0000006	Praj.g_01768	Praf.g_00480
OG0000007	Praj.g_01829, Praj.g_01830	Praf.g_01224, Praf.g_01223
OG0000009	Praj.g_00747	Praf.g_02214
OG0000011	Praj.g_00408	Praf.g_01898
OG0000011	Praj.g_00370	Praf.g_01864
OG0000012	Praj.g_00592	Praf.g_00760
OG0000012	Praj.g_00585	Praf.g_00752
OG0000013	Praj.g_01113	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Praj.g_01568	Praf.g_01108, Praf.g_01143
OG0000017	Praj.g_01651	Praf.g_01828
OG0000018	Praj.g_01505, Praj.g_01281, Praj.g_00282	Praf.g_00396, Praf.g_01719
OG0000019	Praj.g_00084	Praf.g_00746
OG0000020	Praj.g_00308	Praf.g_02267
OG0000024	Praj.g_00341	Praf.g_02319
OG0000024	Praj.g_01609	Praf.g_00112
OG0000025	Praj.g_00099, Praj.g_01398	Praf.g_01105
OG0000026	Praj.g_01867	Praf.g_00041
OG0000028	Praj.g_01632	Praf.g_01794
OG0000030	Praj.g_01595	Praf.g_01757
OG0000031	Praj.g_01339	Praf.g_01022
OG0000032	Praj.g_00371	Praf.g_00101, Praf.g_00113
OG0000033	Praj.g_01865	Praf.g_00906
OG0000033	Praj.g_00013	Praf.g_00014
OG0000034	Praj.g_00095	Praf.g_02366
OG0000036	Praj.g_01827	Praf.g_00731
OG0000037	Praj.g_01066	Praf.g_01668
OG0000038	Praj.g_01189	Praf.g_00965, Praf.g_00201
OG0000039	Praj.g_00206	Praf.g_02454
OG0000042	Praj.g_00698	Praf.g_01302, Praf.g_01238
OG0000043	Praj.g_00909	Praf.g_00941, Praf.g_00943
OG0000044	Praj.g_01461	Praf.g_00854
OG0000045	Praj.g_00839	Praf.g_02345
OG0000046	Praj.g_01762	Praf.g_00491
OG0000047	Praj.g_02012	Praf.g_00178
OG0000048	Praj.g_02020	Praf.g_00920, Praf.g_00164
OG0000050	Praj.g_00031	Praf.g_00037
OG0000051	Praj.g_00197	Praf.g_02445
OG0000052	Praj.g_01156, Praj.g_01282	Praf.g_00496
OG0000053	Praj.g_00530	Praf.g_00672
OG0000054	Praj.g_00042	Praf.g_00348
OG0000055	Praj.g_00793, Praj.g_01176	Praf.g_01556
OG0000056	Praj.g_00043	Praf.g_02587
OG0000057	Praj.g_00277	Praf.g_00386
OG0000058	Praj.g_00467	Praf.g_01907
OG0000059	Praj.g_01313, Praj.g_00691	Praf.g_01125
OG0000062	Praj.g_01832	Praf.g_01034, Praf.g_02690
OG0000063	Praj.g_01355	Praf.g_00919
OG0000065	Praj.g_01528	Praf.g_00796
OG0000066	Praj.g_00664	Praf.g_02343
OG0000068	Praj.g_01952	Praf.g_02119
OG0000069	Praj.g_01669	Praf.g_01851
OG0000071	Praj.g_00011	Praf.g_00012
OG0000072	Praj.g_00357	Praf.g_02336
OG0000073	Praj.g_00659	Praf.g_01012, Praf.g_01748
OG0000074	Praj.g_00684	Praf.g_01219, Praf.g_01218
OG0000075	Praj.g_00776	Praf.g_01537
OG0000076	Praj.g_01024	Praf.g_01274
OG0000078	Praj.g_00372	Praf.g_02342
OG0000079	Praj.g_01714	Praf.g_00501
OG0000080	Praj.g_01166	Praf.g_00549
OG0000081	Praj.g_01985	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000082	Praj.g_02103	Praf.g_02699
OG0000083	Praj.g_00003	Praf.g_00003
OG0000084	Praj.g_00006	Praf.g_00006
OG0000085	Praj.g_00023	Praf.g_00028
OG0000087	Praj.g_00053	Praf.g_00333, Praf.g_02602
OG0000088	Praj.g_00153	Praf.g_00224
OG0000089	Praj.g_00162	Praf.g_00212
OG0000090	Praj.g_00179	Praf.g_02420
OG0000091	Praj.g_00209	Praf.g_02457
OG0000092	Praj.g_00210	Praf.g_02468
OG0000093	Praj.g_00223	Praf.g_02492
OG0000094	Praj.g_00242	Praf.g_02521, Praf.g_02708
OG0000095	Praj.g_00246	Praf.g_02532
OG0000096	Praj.g_00290	Praf.g_02217
OG0000097	Praj.g_00310	Praf.g_02271
OG0000098	Praj.g_00320	Praf.g_02284
OG0000099	Praj.g_00329	Praf.g_02296
OG0000100	Praj.g_00332	Praf.g_02300
OG0000101	Praj.g_00405	Praf.g_02012
OG0000102	Praj.g_01279	Praf.g_02715, Praf.g_02705
OG0000103	Praj.g_00468	Praf.g_01905
OG0000104	Praj.g_00473	Praf.g_00595
OG0000105	Praj.g_00491	Praf.g_00143, Praf.g_00616
OG0000106	Praj.g_00523	Praf.g_00658
OG0000107	Praj.g_00524	Praf.g_00660
OG0000108	Praj.g_00534	Praf.g_00681
OG0000109	Praj.g_00543	Praf.g_00692
OG0000110	Praj.g_00559	Praf.g_00711
OG0000111	Praj.g_00639	Praf.g_01036, Praf.g_01720
OG0000112	Praj.g_00640	Praf.g_01035, Praf.g_01721
OG0000113	Praj.g_00722	Praf.g_01435
OG0000114	Praj.g_00767	Praf.g_01528
OG0000115	Praj.g_01601, Praj.g_00946	Praf.g_01392
OG0000116	Praj.g_00950	Praf.g_01384, Praf.g_01383
OG0000117	Praj.g_01021	Praf.g_01277
OG0000118	Praj.g_01196	Praf.g_02776
OG0000119	Praj.g_01835	Praf.g_02692
OG0000120	Praj.g_01455	Praf.g_00861
OG0000121	Praj.g_01433	Praf.g_00922
OG0000122	Praj.g_01413	Praf.g_00901
OG0000123	Praj.g_01402	Praf.g_00938
OG0000124	Praj.g_01014	Praf.g_01285
OG0000125	Praj.g_01540	Praf.g_00779
OG0000126	Praj.g_01575	Praf.g_00585, Praf.g_00583
OG0000127	Praj.g_01618	Praf.g_01778, Praf.g_01776
OG0000128	Praj.g_01633	Praf.g_01795
OG0000129	Praj.g_01667	Praf.g_01848
OG0000130	Praj.g_01766	Praf.g_00485
OG0000131	Praj.g_01803	Praf.g_00437
OG0000132	Praj.g_01805	Praf.g_00434
OG0000133	Praj.g_01910	Praf.g_02162
OG0000134	Praj.g_01946	Praf.g_02125
OG0000135	Praj.g_01948	Praf.g_02123
