Orthogroup	Praj	Prax
OG0000000	Praj.g_00832	Prax.g_01870
OG0000000	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Prax.g_00964
OG0000001	Praj.g_01267, Praj.g_00087	Prax.g_01920
OG0000002	Praj.g_01549	Prax.g_01878
OG0000002	Praj.g_01861, Praj.g_00463, Praj.g_01112	Prax.g_00522
OG0000003	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000004	Praj.g_01222, Praj.g_00411, Praj.g_01121	Prax.g_00437
OG0000005	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417	Prax.g_01608, Prax.g_00496
OG0000006	Praj.g_00489	Prax.g_00704
OG0000006	Praj.g_01768	Prax.g_01559
OG0000009	Praj.g_00747	Prax.g_00393
OG0000010	Praj.g_01249	Prax.g_00500, Prax.g_00141, Prax.g_01936
OG0000011	Praj.g_00370	Prax.g_00843
OG0000012	Praj.g_00592, Praj.g_00585	Prax.g_00057
OG0000013	Praj.g_01113	Prax.g_00523
OG0000014	Praj.g_01331	Prax.g_01916
OG0000015	Praj.g_01148	Prax.g_00793
OG0000016	Praj.g_01568	Prax.g_01867
OG0000017	Praj.g_01651	Prax.g_01708
OG0000018	Praj.g_01505, Praj.g_01281, Praj.g_00282	Prax.g_01972
OG0000019	Praj.g_00084	Prax.g_01587, Prax.g_00808
OG0000020	Praj.g_00308	Prax.g_00173
OG0000021	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316	Prax.g_00391
OG0000022	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419	Prax.g_01917
OG0000024	Praj.g_00341, Praj.g_01609	Prax.g_00869
OG0000025	Praj.g_00099, Praj.g_01398	Prax.g_00448
OG0000026	Praj.g_01867	Prax.g_00280
OG0000027	Praj.g_01070, Praj.g_01084	Prax.g_01641
OG0000028	Praj.g_01632	Prax.g_01733, Prax.g_01728
OG0000029	Praj.g_01276, Praj.g_01675	Prax.g_01616
OG0000036	Praj.g_01827	Prax.g_00045
OG0000037	Praj.g_01066	Prax.g_00082
OG0000038	Praj.g_01189	Prax.g_00415
OG0000039	Praj.g_00206	Prax.g_01052
OG0000040	Praj.g_01329, Praj.g_01365	Prax.g_00813
OG0000041	Praj.g_01242	Prax.g_00772
OG0000042	Praj.g_00698	Prax.g_00485
OG0000043	Praj.g_00909	Prax.g_00388
OG0000044	Praj.g_01461	Prax.g_00200
OG0000046	Praj.g_01762	Prax.g_01566
OG0000047	Praj.g_02012	Prax.g_01394
OG0000048	Praj.g_02020	Prax.g_01401
OG0000050	Praj.g_00031	Prax.g_00282, Prax.g_00458
OG0000051	Praj.g_00197	Prax.g_01061
OG0000052	Praj.g_01156, Praj.g_01282	Prax.g_00803
OG0000053	Praj.g_00530	Prax.g_00662
OG0000054	Praj.g_00042	Prax.g_00457
OG0000055	Praj.g_00793, Praj.g_01176	Prax.g_00351
OG0000056	Praj.g_00043	Prax.g_00148
OG0000057	Praj.g_00277	Prax.g_00981, Prax.g_01581
OG0000058	Praj.g_00467	Prax.g_00727
OG0000059	Praj.g_01313, Praj.g_00691	Prax.g_00944
OG0000061	Praj.g_01563	Prax.g_00159, Prax.g_01149
OG0000062	Praj.g_01832	Prax.g_00161
OG0000063	Praj.g_01355	Prax.g_01959
OG0000065	Praj.g_01528	Prax.g_01899
OG0000066	Praj.g_00664	Prax.g_01832
OG0000067	Praj.g_01158	Prax.g_00454
OG0000068	Praj.g_01952	Prax.g_01338
OG0000071	Praj.g_00011	Prax.g_01974
OG0000072	Praj.g_00357	Prax.g_00853, Prax.g_00852
OG0000073	Praj.g_00659	Prax.g_00973
OG0000074	Praj.g_00684	Prax.g_00951
OG0000075	Praj.g_00776	Prax.g_00366
OG0000076	Praj.g_01024	Prax.g_01204
OG0000078	Praj.g_00372	Prax.g_01825
OG0000079	Praj.g_01714	Prax.g_01650
OG0000080	Praj.g_01166	Prax.g_01600
OG0000081	Praj.g_01985	Prax.g_01368
OG0000083	Praj.g_00003	Prax.g_01493
OG0000084	Praj.g_00006	Prax.g_01496
OG0000085	Praj.g_00023	Prax.g_00290
OG0000086	Praj.g_01154	Prax.g_00274
OG0000087	Praj.g_00053	Prax.g_00624
OG0000088	Praj.g_00153	Prax.g_01106
OG0000089	Praj.g_00162	Prax.g_01097
OG0000090	Praj.g_00179	Prax.g_01079
OG0000091	Praj.g_00209	Prax.g_01049
OG0000092	Praj.g_00210	Prax.g_01048
OG0000093	Praj.g_00223	Prax.g_01034
OG0000094	Praj.g_00242	Prax.g_01016
OG0000095	Praj.g_00246	Prax.g_01011
OG0000096	Praj.g_00290	Prax.g_00488, Prax.g_00924
OG0000097	Praj.g_00310	Prax.g_00901
OG0000099	Praj.g_00329	Prax.g_00881
OG0000100	Praj.g_00332	Prax.g_00878
OG0000101	Praj.g_00405	Prax.g_01573, Prax.g_00816
OG0000102	Praj.g_01279	Prax.g_00792
OG0000103	Praj.g_00468	Prax.g_00726
OG0000104	Praj.g_00473	Prax.g_00722
OG0000105	Praj.g_00491	Prax.g_00702
OG0000106	Praj.g_00523	Prax.g_00669
OG0000107	Praj.g_00524	Prax.g_00668
OG0000108	Praj.g_00534	Prax.g_00004
OG0000109	Praj.g_00543	Prax.g_00013
OG0000110	Praj.g_00559	Prax.g_00029
OG0000111	Praj.g_00639	Prax.g_00110
OG0000112	Praj.g_00640	Prax.g_00111
OG0000113	Praj.g_00722	Prax.g_00463
OG0000114	Praj.g_00767	Prax.g_00375
OG0000115	Praj.g_01601, Praj.g_00946	Prax.g_01129
OG0000116	Praj.g_00950	Prax.g_01133
OG0000117	Praj.g_01021	Prax.g_01201
OG0000118	Praj.g_01196	Prax.g_01254, Prax.g_01759
OG0000119	Praj.g_01835	Prax.g_00164
OG0000120	Praj.g_01455	Prax.g_00206
OG0000121	Praj.g_01433	Prax.g_00225
OG0000122	Praj.g_01413	Prax.g_00244
OG0000123	Praj.g_01402	Prax.g_00257
OG0000124	Praj.g_01014	Prax.g_01789
OG0000125	Praj.g_01540	Prax.g_01887
OG0000126	Praj.g_01575	Prax.g_01863
OG0000127	Praj.g_01618	Prax.g_01746
OG0000128	Praj.g_01633	Prax.g_01727
OG0000129	Praj.g_01667	Prax.g_01691
OG0000130	Praj.g_01766	Prax.g_01561
OG0000131	Praj.g_01803	Prax.g_01523
OG0000132	Praj.g_01805	Prax.g_01520
OG0000133	Praj.g_01910	Prax.g_01297
OG0000134	Praj.g_01946	Prax.g_01333
OG0000135	Praj.g_01948	Prax.g_01335
OG0000136	Praj.g_01997	Prax.g_01379
OG0000137	Praj.g_02034	Prax.g_01411
OG0000138	Praj.g_02091	Prax.g_01447
OG0000139	Praj.g_02128	Prax.g_01473
OG0000140	Praj.g_00001	Prax.g_01491
OG0000141	Praj.g_00002	Prax.g_01492
OG0000142	Praj.g_00004	Prax.g_01494
OG0000143	Praj.g_00005	Prax.g_01495
OG0000144	Praj.g_00007	Prax.g_01497
OG0000145	Praj.g_00008	Prax.g_01498
OG0000146	Praj.g_00009	Prax.g_01499
OG0000147	Praj.g_00010	Prax.g_01975
OG0000148	Praj.g_00012	Prax.g_01973
OG0000149	Praj.g_00014	Prax.g_00299
OG0000150	Praj.g_00015	Prax.g_00298
OG0000151	Praj.g_00016	Prax.g_00297
OG0000152	Praj.g_00017	Prax.g_00296
OG0000153	Praj.g_00018	Prax.g_00295
OG0000154	Praj.g_00019	Prax.g_00294
OG0000155	Praj.g_00020	Prax.g_00293
OG0000156	Praj.g_00021	Prax.g_00292
OG0000157	Praj.g_00022	Prax.g_00291
OG0000158	Praj.g_00024	Prax.g_00289
OG0000159	Praj.g_00025	Prax.g_00288
OG0000160	Praj.g_00026	Prax.g_00287
OG0000161	Praj.g_00027	Prax.g_00286
OG0000162	Praj.g_00028	Prax.g_00285
OG0000163	Praj.g_00029	Prax.g_00284
OG0000164	Praj.g_00032	Prax.g_00281
OG0000165	Praj.g_00034	Prax.g_00278
OG0000166	Praj.g_00035	Prax.g_00277
OG0000167	Praj.g_00036	Prax.g_00276
OG0000168	Praj.g_00044	Prax.g_00273
OG0000169	Praj.g_00046	Prax.g_00271
OG0000170	Praj.g_00047	Prax.g_00270
OG0000171	Praj.g_00048	Prax.g_00269
OG0000172	Praj.g_00049	Prax.g_00261
OG0000173	Praj.g_00050	Prax.g_00621
OG0000174	Praj.g_00051	Prax.g_00622
OG0000175	Praj.g_00052	Prax.g_00623
OG0000176	Praj.g_00054	Prax.g_00625
OG0000177	Praj.g_00055	Prax.g_00626
OG0000178	Praj.g_00056	Prax.g_00627
OG0000179	Praj.g_00102	Prax.g_00635
OG0000180	Praj.g_00103	Prax.g_00636
OG0000181	Praj.g_00104	Prax.g_00637
OG0000182	Praj.g_00107	Prax.g_00640
OG0000183	Praj.g_00108	Prax.g_00641
OG0000184	Praj.g_00111	Prax.g_00644
OG0000185	Praj.g_00115	Prax.g_00648
OG0000186	Praj.g_00116	Prax.g_00649
OG0000187	Praj.g_00117	Prax.g_00650
OG0000188	Praj.g_00118	Prax.g_00651
OG0000189	Praj.g_00119	Prax.g_00652
OG0000190	Praj.g_00120	Prax.g_00653
OG0000191	Praj.g_00121	Prax.g_00654
OG0000192	Praj.g_00122	Prax.g_00655
OG0000193	Praj.g_00123	Prax.g_00656
OG0000194	Praj.g_00124	Prax.g_00657
OG0000195	Praj.g_00126	Prax.g_00659
OG0000196	Praj.g_00127	Prax.g_00660
OG0000197	Praj.g_00128	Prax.g_01128
OG0000198	Praj.g_00129	Prax.g_01127
OG0000199	Praj.g_00132	Prax.g_01124
OG0000200	Praj.g_00133	Prax.g_01123
OG0000201	Praj.g_00134	Prax.g_01122
OG0000202	Praj.g_00135	Prax.g_01121
OG0000203	Praj.g_00136	Prax.g_01120
OG0000204	Praj.g_00137	Prax.g_01119
OG0000205	Praj.g_00139	Prax.g_01118
OG0000206	Praj.g_00140	Prax.g_01117
OG0000207	Praj.g_00141	Prax.g_01116
OG0000208	Praj.g_00142	Prax.g_01115
OG0000209	Praj.g_00143	Prax.g_01114
OG0000210	Praj.g_00144	Prax.g_01113
OG0000211	Praj.g_00145	Prax.g_01112
OG0000212	Praj.g_00146	Prax.g_01111
OG0000213	Praj.g_00147	Prax.g_01110
OG0000214	Praj.g_00151	Prax.g_01108
OG0000215	Praj.g_00152	Prax.g_01107
OG0000216	Praj.g_00154	Prax.g_01105
OG0000217	Praj.g_00156	Prax.g_01103
OG0000218	Praj.g_00157	Prax.g_01102
OG0000219	Praj.g_00158	Prax.g_01101
OG0000220	Praj.g_00160	Prax.g_01098
OG0000221	Praj.g_00163	Prax.g_01096
OG0000222	Praj.g_00164	Prax.g_01095
OG0000223	Praj.g_00165	Prax.g_01094
OG0000224	Praj.g_00168	Prax.g_01091
OG0000225	Praj.g_00170	Prax.g_01089
OG0000226	Praj.g_00172	Prax.g_01088
OG0000227	Praj.g_00173	Prax.g_01087
OG0000228	Praj.g_00174	Prax.g_01086
OG0000229	Praj.g_00175	Prax.g_01085
OG0000230	Praj.g_00176	Prax.g_01084
OG0000231	Praj.g_01057	Prax.g_01082
OG0000232	Praj.g_00177	Prax.g_01081
OG0000233	Praj.g_00180	Prax.g_01078
OG0000234	Praj.g_00183	Prax.g_01076
OG0000235	Praj.g_00185	Prax.g_01073
OG0000236	Praj.g_00186	Prax.g_01072
OG0000237	Praj.g_00187	Prax.g_01071
OG0000238	Praj.g_00188	Prax.g_01070
OG0000239	Praj.g_00189	Prax.g_01069
OG0000240	Praj.g_00191	Prax.g_01067
OG0000241	Praj.g_00192	Prax.g_01066
OG0000242	Praj.g_00193	Prax.g_01065
OG0000243	Praj.g_00194	Prax.g_01064
OG0000244	Praj.g_00195	Prax.g_01063
OG0000245	Praj.g_00196	Prax.g_01062
OG0000246	Praj.g_00198	Prax.g_01060
OG0000247	Praj.g_00199	Prax.g_01059
OG0000248	Praj.g_00200	Prax.g_01058
OG0000249	Praj.g_00201	Prax.g_01057
OG0000250	Praj.g_00202	Prax.g_01056
OG0000251	Praj.g_00203	Prax.g_01055
OG0000252	Praj.g_00204	Prax.g_01054
OG0000253	Praj.g_00205	Prax.g_01053
OG0000254	Praj.g_00207	Prax.g_01051
OG0000255	Praj.g_00208	Prax.g_01050
OG0000256	Praj.g_00211	Prax.g_01047
OG0000257	Praj.g_00212	Prax.g_01045
OG0000258	Praj.g_00213	Prax.g_01044
OG0000259	Praj.g_00214	Prax.g_01043
OG0000260	Praj.g_00215	Prax.g_01042
OG0000261	Praj.g_00216	Prax.g_01041
OG0000262	Praj.g_00217	Prax.g_01040
OG0000263	Praj.g_00218	Prax.g_01039
OG0000264	Praj.g_00220	Prax.g_01037
OG0000265	Praj.g_00221	Prax.g_01036
OG0000266	Praj.g_00222	Prax.g_01035
OG0000267	Praj.g_00224	Prax.g_01033
OG0000268	Praj.g_00226	Prax.g_01032
OG0000269	Praj.g_00227	Prax.g_01031
OG0000270	Praj.g_00228	Prax.g_01030
OG0000271	Praj.g_00229	Prax.g_01029
OG0000272	Praj.g_00230	Prax.g_01028
OG0000273	Praj.g_00231	Prax.g_01027
OG0000274	Praj.g_00232	Prax.g_01026
OG0000275	Praj.g_00233	Prax.g_01025
OG0000276	Praj.g_00234	Prax.g_01024
OG0000277	Praj.g_00235	Prax.g_01023
OG0000278	Praj.g_00236	Prax.g_01022
OG0000279	Praj.g_00237	Prax.g_01021
OG0000280	Praj.g_00238	Prax.g_01020
OG0000281	Praj.g_00240	Prax.g_01018
OG0000282	Praj.g_00241	Prax.g_01017
OG0000283	Praj.g_00243	Prax.g_01014
OG0000284	Praj.g_00244	Prax.g_01013
OG0000285	Praj.g_00245	Prax.g_01012
OG0000286	Praj.g_00247	Prax.g_01010
