Orthogroup	Praj	Pran
OG0000000	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Pran.g_01500
OG0000001	Praj.g_01267, Praj.g_00087	Pran.g_00593
OG0000002	Praj.g_01861, Praj.g_00463, Praj.g_01112	Pran.g_01395
OG0000003	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737	Pran.g_00894, Pran.g_00580
OG0000004	Praj.g_01222, Praj.g_00411, Praj.g_01121	Pran.g_01436
OG0000005	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000006	Praj.g_00489	Pran.g_01681
OG0000006	Praj.g_01768	Pran.g_00970
OG0000009	Praj.g_00747	Pran.g_01363
OG0000010	Praj.g_01249	Pran.g_00603, Pran.g_00114
OG0000011	Praj.g_00370	Pran.g_01864
OG0000012	Praj.g_00592, Praj.g_00585	Pran.g_01580
OG0000013	Praj.g_01113	Pran.g_01394
OG0000014	Praj.g_01331	Pran.g_00583
OG0000015	Praj.g_01148	Pran.g_01813
OG0000016	Praj.g_01568	Pran.g_00845
OG0000017	Praj.g_01651	Pran.g_00713
OG0000018	Praj.g_01505, Praj.g_01281, Praj.g_00282	Pran.g_01951
OG0000019	Praj.g_00084	Pran.g_01829
OG0000020	Praj.g_00308	Pran.g_01772
OG0000021	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316	Pran.g_01361
OG0000022	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419	Pran.g_00582
OG0000024	Praj.g_00341, Praj.g_01609	Pran.g_01888
OG0000025	Praj.g_00099, Praj.g_01398	Pran.g_00936, Pran.g_01789
OG0000026	Praj.g_01867	Pran.g_00391
OG0000027	Praj.g_01070, Praj.g_01084	Pran.g_01464
OG0000028	Praj.g_01632	Pran.g_00733
OG0000029	Praj.g_01276, Praj.g_01675	Pran.g_00614
OG0000031	Praj.g_01339	Pran.g_00944
OG0000033	Praj.g_01865	Pran.g_00620
OG0000034	Praj.g_00095	Pran.g_00777
OG0000035	Praj.g_01395	Pran.g_00415
OG0000036	Praj.g_01827	Pran.g_01593
OG0000037	Praj.g_01066	Pran.g_01555
OG0000038	Praj.g_01189	Pran.g_01401
OG0000039	Praj.g_00206	Pran.g_00266
OG0000040	Praj.g_01329, Praj.g_01365	Pran.g_01834
OG0000041	Praj.g_01242	Pran.g_01778
OG0000042	Praj.g_00698	Pran.g_01460
OG0000043	Praj.g_00909	Pran.g_01358
OG0000044	Praj.g_01461	Pran.g_00060
OG0000046	Praj.g_01762	Pran.g_00963
OG0000047	Praj.g_02012	Pran.g_01160
OG0000048	Praj.g_02020	Pran.g_01167
OG0000050	Praj.g_00031	Pran.g_00393, Pran.g_00930
OG0000051	Praj.g_00197	Pran.g_00275
OG0000052	Praj.g_01156, Praj.g_01282	Pran.g_01824
OG0000053	Praj.g_00530	Pran.g_01639
OG0000054	Praj.g_00042	Pran.g_01379
OG0000055	Praj.g_00793, Praj.g_01176	Pran.g_01321
OG0000056	Praj.g_00043	Pran.g_00108, Pran.g_00935
OG0000057	Praj.g_00277	Pran.g_00195
OG0000058	Praj.g_00467	Pran.g_01703
OG0000059	Praj.g_01313, Praj.g_00691	Pran.g_01480
OG0000061	Praj.g_01563	Pran.g_00095, Pran.g_00507
OG0000062	Praj.g_01832	Pran.g_00093
OG0000063	Praj.g_01355	Pran.g_01466
OG0000065	Praj.g_01528	Pran.g_00938, Pran.g_00876
OG0000066	Praj.g_00664	Pran.g_00752
OG0000067	Praj.g_01158	Pran.g_01384
OG0000068	Praj.g_01952	Pran.g_01105
OG0000071	Praj.g_00011	Pran.g_01268
OG0000072	Praj.g_00357	Pran.g_01872
OG0000073	Praj.g_00659	Pran.g_01509
OG0000074	Praj.g_00684	Pran.g_01487
OG0000075	Praj.g_00776	Pran.g_01336
OG0000076	Praj.g_01024	Pran.g_00568, Pran.g_00903
OG0000078	Praj.g_00372	Pran.g_00806
OG0000079	Praj.g_01714	Pran.g_00655
OG0000080	Praj.g_01166	Pran.g_00912, Pran.g_00575
OG0000081	Praj.g_01985	Pran.g_01135
OG0000082	Praj.g_02103	Pran.g_01222
OG0000083	Praj.g_00003	Pran.g_01260
OG0000084	Praj.g_00006	Pran.g_01263
OG0000085	Praj.g_00023	Pran.g_00401
OG0000086	Praj.g_01154	Pran.g_00386
OG0000087	Praj.g_00053	Pran.g_00376
OG0000088	Praj.g_00153	Pran.g_00320
OG0000089	Praj.g_00162	Pran.g_00312
OG0000090	Praj.g_00179	Pran.g_00295
OG0000091	Praj.g_00209	Pran.g_00263
OG0000092	Praj.g_00210	Pran.g_00262
OG0000093	Praj.g_00223	Pran.g_00248
OG0000094	Praj.g_00242	Pran.g_00230
OG0000095	Praj.g_00246	Pran.g_00225
OG0000096	Praj.g_00290	Pran.g_01941
