Orthogroup	Praj	Praz
OG0000000	Praj.g_00832	Praz.g_01146
OG0000000	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Praz.g_01652
OG0000002	Praj.g_01549	Praz.g_01154
OG0000002	Praj.g_01861, Praj.g_00463, Praj.g_01112	Praz.g_01939, Praz.g_01940
OG0000003	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737	Praz.g_01200, Praz.g_00920
OG0000004	Praj.g_01222, Praj.g_00411, Praj.g_01121	Praz.g_01576
OG0000005	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417	Praz.g_00921, Praz.g_00894
OG0000006	Praj.g_00489	Praz.g_01831
OG0000006	Praj.g_01768	Praz.g_00877
OG0000007	Praj.g_01829	Praz.g_01241
OG0000009	Praj.g_00747	Praz.g_01532
OG0000010	Praj.g_01249	Praz.g_00045, Praz.g_01215
OG0000011	Praj.g_00408	Praz.g_01921
OG0000011	Praj.g_00370	Praz.g_00687
OG0000012	Praj.g_00592, Praj.g_00585	Praz.g_01732
OG0000013	Praj.g_01113	Praz.g_01551
OG0000014	Praj.g_01331	Praz.g_01197, Praz.g_01858
OG0000015	Praj.g_01148	Praz.g_00792
OG0000016	Praj.g_01568	Praz.g_01143
OG0000017	Praj.g_01651	Praz.g_01021
OG0000018	Praj.g_01505, Praj.g_01281, Praj.g_00282	Praz.g_00601
OG0000019	Praj.g_00084	Praz.g_00896, Praz.g_00810
OG0000021	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316	Praz.g_01530
OG0000022	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419	Praz.g_01198
OG0000024	Praj.g_00341, Praj.g_01609	Praz.g_00663
OG0000025	Praj.g_00099, Praj.g_01398	Praz.g_00769
OG0000026	Praj.g_01867	Praz.g_00398
OG0000027	Praj.g_01070, Praj.g_01084	Praz.g_00954
OG0000028	Praj.g_01632	Praz.g_01041
OG0000029	Praj.g_01276, Praj.g_01675	Praz.g_00928
OG0000030	Praj.g_01902	Praz.g_00404
OG0000032	Praj.g_00371	Praz.g_01116
OG0000033	Praj.g_00013	Praz.g_00378
OG0000034	Praj.g_00095	Praz.g_01103
OG0000035	Praj.g_01395	Praz.g_01422
OG0000036	Praj.g_01827	Praz.g_01744
OG0000037	Praj.g_01066	Praz.g_01707
OG0000038	Praj.g_01189	Praz.g_01556
OG0000040	Praj.g_01329, Praj.g_01365	Praz.g_00814
OG0000041	Praj.g_01242	Praz.g_01908
OG0000042	Praj.g_00698	Praz.g_01607
OG0000043	Praj.g_00909	Praz.g_01527
OG0000044	Praj.g_01461	Praz.g_00755
OG0000045	Praj.g_00839	Praz.g_01096
OG0000046	Praj.g_01762	Praz.g_00884
OG0000047	Praj.g_02012	Praz.g_00205
OG0000048	Praj.g_02020	Praz.g_00198
OG0000050	Praj.g_00031	Praz.g_00396
OG0000051	Praj.g_00197	Praz.g_00517
OG0000052	Praj.g_01156, Praj.g_01282	Praz.g_00804
OG0000053	Praj.g_00530	Praz.g_01789
OG0000055	Praj.g_00793, Praj.g_01176	Praz.g_01490
OG0000056	Praj.g_00043	Praz.g_00038
OG0000057	Praj.g_00277	Praz.g_00597
OG0000058	Praj.g_00467	Praz.g_01853
OG0000059	Praj.g_01313, Praj.g_00691	Praz.g_01632
OG0000061	Praj.g_01563	Praz.g_00027, Praz.g_01330
OG0000062	Praj.g_01832	Praz.g_00025
OG0000063	Praj.g_01355	Praz.g_01237
OG0000065	Praj.g_01528	Praz.g_01180
OG0000066	Praj.g_00664	Praz.g_01118
OG0000067	Praj.g_01323	Praz.g_00768
OG0000067	Praj.g_01158	Praz.g_01240
OG0000068	Praj.g_01952	Praz.g_00263
OG0000071	Praj.g_00011	Praz.g_00376
OG0000072	Praj.g_00357	Praz.g_00679
OG0000073	Praj.g_00659	Praz.g_01661
OG0000074	Praj.g_00684	Praz.g_01639
OG0000075	Praj.g_00776	Praz.g_01505
OG0000076	Praj.g_01024	Praz.g_00066
OG0000077	Praj.g_01079, Praj.g_01203, Praj.g_01731, Praj.g_01273, Praj.g_00416, Praj.g_01310, Praj.g_01358	Praz.g_00893
OG0000078	Praj.g_00372	Praz.g_01098
OG0000079	Praj.g_01714	Praz.g_00963
OG0000080	Praj.g_01166	Praz.g_00913
OG0000081	Praj.g_01985	Praz.g_00232
OG0000083	Praj.g_00003	Praz.g_00368
OG0000084	Praj.g_00006	Praz.g_00371
OG0000085	Praj.g_00023	Praz.g_00388
OG0000086	Praj.g_01154	Praz.g_00405, Praz.g_01911
OG0000087	Praj.g_00053	Praz.g_00415
OG0000088	Praj.g_00153	Praz.g_00473
OG0000089	Praj.g_00162	Praz.g_00481
OG0000090	Praj.g_00179	Praz.g_00499
OG0000091	Praj.g_00209	Praz.g_00529
OG0000092	Praj.g_00210	Praz.g_00530
OG0000093	Praj.g_00223	Praz.g_00544
OG0000094	Praj.g_00242	Praz.g_00562
OG0000095	Praj.g_00246	Praz.g_00567
OG0000096	Praj.g_00290	Praz.g_00611
OG0000097	Praj.g_00310	Praz.g_00632
OG0000099	Praj.g_00329	Praz.g_00651
OG0000100	Praj.g_00332	Praz.g_00654
OG0000101	Praj.g_00405	Praz.g_00817
OG0000102	Praj.g_01279	Praz.g_00791
OG0000103	Praj.g_00468	Praz.g_01852
OG0000104	Praj.g_00473	Praz.g_01848
OG0000105	Praj.g_00491	Praz.g_01829
OG0000106	Praj.g_00523	Praz.g_01796
OG0000107	Praj.g_00524	Praz.g_01795
OG0000108	Praj.g_00534	Praz.g_01785
OG0000109	Praj.g_00543	Praz.g_01776
OG0000110	Praj.g_00559	Praz.g_01760
OG0000111	Praj.g_00639	Praz.g_01679
OG0000112	Praj.g_00640	Praz.g_01678
OG0000113	Praj.g_00722	Praz.g_01585
OG0000114	Praj.g_00767	Praz.g_01514
OG0000115	Praj.g_01601, Praj.g_00946	Praz.g_01350
OG0000116	Praj.g_00950	Praz.g_01346
OG0000117	Praj.g_01021	Praz.g_01279, Praz.g_00063
OG0000118	Praj.g_01196	Praz.g_00114
OG0000119	Praj.g_01835	Praz.g_00022
OG0000120	Praj.g_01455	Praz.g_00748
OG0000121	Praj.g_01433	Praz.g_00729
OG0000122	Praj.g_01413	Praz.g_00710
OG0000123	Praj.g_01402	Praz.g_00697
OG0000124	Praj.g_01014	Praz.g_01936
OG0000125	Praj.g_01540	Praz.g_01168
OG0000126	Praj.g_01575	Praz.g_01139
OG0000127	Praj.g_01618	Praz.g_01054
OG0000128	Praj.g_01633	Praz.g_01040
OG0000129	Praj.g_01667	Praz.g_01004
OG0000130	Praj.g_01766	Praz.g_00879
OG0000131	Praj.g_01803	Praz.g_00841
OG0000132	Praj.g_01805	Praz.g_00838
OG0000133	Praj.g_01910	Praz.g_00304
OG0000134	Praj.g_01946	Praz.g_00268
OG0000135	Praj.g_01948	Praz.g_00266
OG0000136	Praj.g_01997	Praz.g_00221
OG0000137	Praj.g_02034	Praz.g_00188
OG0000138	Praj.g_02091	Praz.g_00152
OG0000139	Praj.g_02128	Praz.g_00125
OG0000140	Praj.g_00001	Praz.g_00366
OG0000141	Praj.g_00002	Praz.g_00367
OG0000142	Praj.g_00004	Praz.g_00369
OG0000143	Praj.g_00005	Praz.g_00370
OG0000144	Praj.g_00007	Praz.g_00372
OG0000145	Praj.g_00008	Praz.g_00373
OG0000146	Praj.g_00009	Praz.g_00374
OG0000147	Praj.g_00010	Praz.g_00375
OG0000148	Praj.g_00012	Praz.g_00377
OG0000149	Praj.g_00014	Praz.g_00379
OG0000150	Praj.g_00015	Praz.g_00380
