Orthogroup	Prbk	Prbh
OG0000000	Prbk.g_00167, Prbk.g_00166	Prbh.g_01853
OG0000000	Prbk.g_00165	Prbh.g_01903
OG0000001	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prbh.g_00001
OG0000002	Prbk.g_02574	Prbh.g_01016, Prbh.g_01022
OG0000002	Prbk.g_01649	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prbk.g_01760	Prbh.g_00933
OG0000004	Prbk.g_01134	Prbh.g_00548
OG0000005	Prbk.g_00933	Prbh.g_00182
OG0000006	Prbk.g_02695	Prbh.g_00538
OG0000007	Prbk.g_00907	Prbh.g_01782
OG0000008	Prbk.g_01819	Prbh.g_01406
OG0000008	Prbk.g_01820	Prbh.g_01405
OG0000010	Prbk.g_02112	Prbh.g_00848, Prbh.g_01143
OG0000012	Prbk.g_02610	Prbh.g_01460
OG0000013	Prbk.g_00853	Prbh.g_00452
OG0000014	Prbk.g_00454	Prbh.g_00472
OG0000015	Prbk.g_02558	Prbh.g_00840, Prbh.g_01869
OG0000017	Prbk.g_01142	Prbh.g_00232
OG0000017	Prbk.g_01150	Prbh.g_00225
OG0000018	Prbk.g_01227	Prbh.g_01305
OG0000019	Prbk.g_01644, Prbk.g_01004	Prbh.g_00530, Prbh.g_01307
OG0000020	Prbk.g_01331, Prbk.g_02697	Prbh.g_01898
OG0000021	Prbk.g_01960	Prbh.g_00203
OG0000021	Prbk.g_01137	Prbh.g_00938
OG0000022	Prbk.g_00212	Prbh.g_00190
OG0000023	Prbk.g_02448	Prbh.g_00833
OG0000024	Prbk.g_01780	Prbh.g_01147, Prbh.g_00909
OG0000025	Prbk.g_02531	Prbh.g_00988
OG0000026	Prbk.g_01617	Prbh.g_00749
OG0000028	Prbk.g_00469	Prbh.g_00459
OG0000029	Prbk.g_00833	Prbh.g_01885
OG0000030	Prbk.g_01532, Prbk.g_01533	Prbh.g_01570
OG0000031	Prbk.g_00534, Prbk.g_00539	Prbh.g_00064
OG0000032	Prbk.g_01209	Prbh.g_00138
OG0000033	Prbk.g_00776	Prbh.g_00613
OG0000034	Prbk.g_01171	Prbh.g_01383
OG0000035	Prbk.g_00259	Prbh.g_00096, Prbh.g_00099
OG0000037	Prbk.g_00007	Prbh.g_00674
OG0000038	Prbk.g_02164, Prbk.g_02166	Prbh.g_01530
OG0000039	Prbk.g_01385, Prbk.g_00642	Prbh.g_00921
OG0000041	Prbk.g_01406	Prbh.g_01734
OG0000042	Prbk.g_01495, Prbk.g_00140	Prbh.g_01573
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Prbh.g_01794
OG0000045	Prbk.g_01321	Prbh.g_01327
OG0000046	Prbk.g_00854	Prbh.g_00451
OG0000047	Prbk.g_02565	Prbh.g_00408
OG0000048	Prbk.g_00405	Prbh.g_00508
OG0000052	Prbk.g_00499	Prbh.g_00727
OG0000053	Prbk.g_01230	Prbh.g_00120, Prbh.g_01834
OG0000054	Prbk.g_01153	Prbh.g_00223
OG0000057	Prbk.g_01765	Prbh.g_00936
OG0000059	Prbk.g_00992	Prbh.g_01695
OG0000061	Prbk.g_01019	Prbh.g_01283
OG0000062	Prbk.g_00931	Prbh.g_00184
OG0000063	Prbk.g_01613	Prbh.g_01401
OG0000065	Prbk.g_00011	Prbh.g_00676
OG0000066	Prbk.g_01094	Prbh.g_01856
OG0000067	Prbk.g_02468	Prbh.g_00953
OG0000068	Prbk.g_02052	Prbh.g_00009
OG0000070	Prbk.g_00310	Prbh.g_00382
OG0000071	Prbk.g_01183	Prbh.g_01373
OG0000072	Prbk.g_00778	Prbh.g_00611
OG0000073	Prbk.g_01862	Prbh.g_00330
OG0000075	Prbk.g_00514	Prbh.g_01607
OG0000076	Prbk.g_00237	Prbh.g_01581
OG0000077	Prbk.g_00307, Prbk.g_01308	Prbh.g_00704
OG0000078	Prbk.g_01515	Prbh.g_00540
OG0000079	Prbk.g_01000	Prbh.g_00527
OG0000081	Prbk.g_00733, Prbk.g_01772	Prbh.g_00298
OG0000082	Prbk.g_01122	Prbh.g_01855
OG0000084	Prbk.g_00255	Prbh.g_00093
OG0000085	Prbk.g_00919	Prbh.g_01408
OG0000086	Prbk.g_01295	Prbh.g_00695
OG0000087	Prbk.g_00559	Prbh.g_00642
OG0000088	Prbk.g_00773, Prbk.g_01836	Prbh.g_00616
OG0000089	Prbk.g_00364	Prbh.g_00415
