Orthogroup	Prbk	Syal
OG0000000	Prbk.g_00167, Prbk.g_00166	Syal.g_01111, Syal.g_01832
OG0000001	Prbk.g_00561, Prbk.g_02701	Syal.g_00874, Syal.g_01184
OG0000004	Prbk.g_01760	Syal.g_01809
OG0000004	Prbk.g_01134	Syal.g_02718, Syal.g_00691
OG0000005	Prbk.g_00933	Syal.g_00565
OG0000006	Prbk.g_02695	Syal.g_02611, Syal.g_00674
OG0000007	Prbk.g_00907	Syal.g_00587
OG0000008	Prbk.g_01819	Syal.g_02512
OG0000008	Prbk.g_01820	Syal.g_01783
OG0000009	Prbk.g_01932, Prbk.g_00013	Syal.g_00818
OG0000010	Prbk.g_02112	Syal.g_00464
OG0000013	Prbk.g_00853	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbk.g_00454	Syal.g_01305
OG0000015	Prbk.g_02558	Syal.g_02210, Syal.g_01183
OG0000017	Prbk.g_01142	Syal.g_02752
OG0000017	Prbk.g_01150	Syal.g_02745
OG0000018	Prbk.g_01227	Syal.g_00410
OG0000019	Prbk.g_01644, Prbk.g_01004	Syal.g_01209
OG0000022	Prbk.g_01667	Syal.g_02587
OG0000023	Prbk.g_02448	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbk.g_01780	Syal.g_02597
OG0000025	Prbk.g_02531	Syal.g_02459
OG0000026	Prbk.g_01617	Syal.g_00132
OG0000028	Prbk.g_00469	Syal.g_01319
OG0000029	Prbk.g_00833	Syal.g_03014
OG0000030	Prbk.g_01532	Syal.g_01511
OG0000030	Prbk.g_01533	Syal.g_01512
OG0000031	Prbk.g_00534, Prbk.g_00539	Syal.g_01404, Syal.g_01432
OG0000032	Prbk.g_01209	Syal.g_00428
OG0000032	Prbk.g_00480	Syal.g_00183
OG0000033	Prbk.g_00776	Syal.g_00912
OG0000034	Prbk.g_01171	Syal.g_00881, Syal.g_01586
OG0000035	Prbk.g_00259	Syal.g_00020
OG0000037	Prbk.g_00007	Syal.g_00601, Syal.g_00824
OG0000038	Prbk.g_02164	Syal.g_01071
OG0000038	Prbk.g_02166	Syal.g_01073
OG0000039	Prbk.g_00642	Syal.g_01097
OG0000041	Prbk.g_01406	Syal.g_00649
OG0000042	Prbk.g_01495, Prbk.g_00140	Syal.g_01705, Syal.g_01508
OG0000045	Prbk.g_01321	Syal.g_01563
OG0000046	Prbk.g_00854	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbk.g_01202, Prbk.g_02565	Syal.g_01568
OG0000048	Prbk.g_00405	Syal.g_01250
OG0000051	Prbk.g_02418	Syal.g_03018
OG0000052	Prbk.g_00499	Syal.g_01338
OG0000053	Prbk.g_01230	Syal.g_00406
OG0000054	Prbk.g_01153	Syal.g_02739, Syal.g_02098
OG0000057	Prbk.g_01765	Syal.g_01812
OG0000058	Prbk.g_00479	Syal.g_01326
OG0000059	Prbk.g_00533	Syal.g_01332
OG0000059	Prbk.g_00992	Syal.g_00225
OG0000060	Prbk.g_02058	Syal.g_02895
OG0000061	Prbk.g_01019	Syal.g_01653
OG0000062	Prbk.g_00931	Syal.g_00567
OG0000063	Prbk.g_01613	Syal.g_00136
OG0000065	Prbk.g_00011	Syal.g_00820
OG0000066	Prbk.g_01094	Syal.g_02828
OG0000067	Prbk.g_02468	Syal.g_02414
OG0000068	Prbk.g_02052	Syal.g_02888
OG0000070	Prbk.g_00310	Syal.g_00509
OG0000071	Prbk.g_01183	Syal.g_02099, Syal.g_01601
OG0000072	Prbk.g_00778	Syal.g_00914
OG0000073	Prbk.g_01862	Syal.g_02920
OG0000075	Prbk.g_00514	Syal.g_01350
OG0000076	Prbk.g_00237	Syal.g_01459
OG0000077	Prbk.g_00307	Syal.g_00506
OG0000078	Prbk.g_01515	Syal.g_00680
OG0000079	Prbk.g_01000	Syal.g_01213
OG0000081	Prbk.g_00733, Prbk.g_01772	Syal.g_02555
OG0000082	Prbk.g_01122	Syal.g_02769
OG0000084	Prbk.g_00255	Syal.g_01896, Syal.g_00023
OG0000085	Prbk.g_00919	Syal.g_00575
OG0000086	Prbk.g_01295	Syal.g_00784
OG0000087	Prbk.g_00559	Syal.g_00871
OG0000088	Prbk.g_00773, Prbk.g_01836	Syal.g_00908
OG0000089	Prbk.g_00364	Syal.g_00555
OG0000090	Prbk.g_01080	Syal.g_02838
OG0000091	Prbk.g_02639	Syal.g_02628
OG0000093	Prbk.g_02444	Syal.g_02233
OG0000094	Prbk.g_02190	Syal.g_01907
OG0000095	Prbk.g_00056	Syal.g_01823
OG0000097	Prbk.g_00189	Syal.g_01735
