Orthogroup	Prbk	Pral
OG0000000	Prbk.g_00167, Prbk.g_00166	Pral.g_01331
OG0000000	Prbk.g_00165	Pral.g_00037
OG0000001	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Pral.g_01236
OG0000002	Prbk.g_02574	Pral.g_01549, Pral.g_01554
OG0000002	Prbk.g_01649	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Prbk.g_01760	Pral.g_01743
OG0000004	Prbk.g_01134	Pral.g_00809
OG0000005	Prbk.g_00933	Pral.g_01075
OG0000006	Prbk.g_02695	Pral.g_00797
OG0000007	Prbk.g_00907	Pral.g_00107
OG0000008	Prbk.g_01819	Pral.g_00020
OG0000008	Prbk.g_01820	Pral.g_00021
OG0000010	Prbk.g_02112	Pral.g_01832, Pral.g_01848
OG0000013	Prbk.g_00853	Pral.g_00712
OG0000014	Prbk.g_00454	Pral.g_00732
OG0000015	Prbk.g_02558	Pral.g_01813
OG0000017	Prbk.g_01142	Pral.g_00491
OG0000017	Prbk.g_01150	Pral.g_00484
OG0000018	Prbk.g_01227	Pral.g_01346
OG0000019	Prbk.g_01644, Prbk.g_01004	Pral.g_00790, Pral.g_01344
OG0000020	Prbk.g_01331, Prbk.g_02697	Pral.g_01891
OG0000021	Prbk.g_01960	Pral.g_01667
OG0000021	Prbk.g_01137	Pral.g_01738
OG0000022	Prbk.g_00212	Pral.g_00044
OG0000023	Prbk.g_02448	Pral.g_01687
OG0000024	Prbk.g_01780	Pral.g_01895
OG0000025	Prbk.g_02531	Pral.g_01523
OG0000026	Prbk.g_01617	Pral.g_01012
OG0000028	Prbk.g_00469	Pral.g_00719
OG0000029	Prbk.g_00833	Pral.g_01890
OG0000030	Prbk.g_01532, Prbk.g_01533	Pral.g_00316
OG0000032	Prbk.g_01209	Pral.g_01121
OG0000033	Prbk.g_00776	Pral.g_00874
OG0000034	Prbk.g_01171	Pral.g_01271
OG0000035	Prbk.g_00259	Pral.g_01161, Pral.g_01165
OG0000037	Prbk.g_00007	Pral.g_00938
OG0000038	Prbk.g_02164, Prbk.g_02166	Pral.g_00356
OG0000039	Prbk.g_01385, Prbk.g_00642	Pral.g_01755
OG0000041	Prbk.g_01406	Pral.g_00155
OG0000042	Prbk.g_01495, Prbk.g_00140	Pral.g_00313
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Pral.g_01888
OG0000045	Prbk.g_01321	Pral.g_01322
OG0000046	Prbk.g_00854	Pral.g_00711
OG0000047	Prbk.g_02565	Pral.g_00672
OG0000048	Prbk.g_00405	Pral.g_00768
OG0000052	Prbk.g_00499	Pral.g_00987
OG0000053	Prbk.g_01230	Pral.g_01139, Pral.g_00066
OG0000054	Prbk.g_01153	Pral.g_00482
OG0000056	Prbk.g_02591, Prbk.g_00841, Prbk.g_00094	Pral.g_01041
OG0000057	Prbk.g_01765	Pral.g_01740
OG0000058	Prbk.g_00479	Pral.g_01202
OG0000059	Prbk.g_00992	Pral.g_00195
OG0000061	Prbk.g_01019	Pral.g_01367
OG0000062	Prbk.g_00931	Pral.g_01073
OG0000063	Prbk.g_01613	Pral.g_00435
OG0000065	Prbk.g_00011	Pral.g_00940
OG0000066	Prbk.g_01094	Pral.g_00551
OG0000067	Prbk.g_02468	Pral.g_01488
OG0000068	Prbk.g_02052	Pral.g_01222
OG0000070	Prbk.g_00310	Pral.g_00643
OG0000071	Prbk.g_01183	Pral.g_01281
OG0000072	Prbk.g_00778	Pral.g_00872
OG0000073	Prbk.g_01862	Pral.g_00591
OG0000075	Prbk.g_00514	Pral.g_00279
OG0000076	Prbk.g_00237	Pral.g_00305
OG0000077	Prbk.g_00307, Prbk.g_01308	Pral.g_00969
OG0000078	Prbk.g_01515	Pral.g_00800
OG0000079	Prbk.g_01000	Pral.g_00787
OG0000081	Prbk.g_00733, Prbk.g_01772	Pral.g_00559
OG0000082	Prbk.g_01122	Pral.g_00057
OG0000084	Prbk.g_00255	Pral.g_01169
OG0000085	Prbk.g_00919	Pral.g_00099
OG0000086	Prbk.g_01295	Pral.g_00959
OG0000087	Prbk.g_00559	Pral.g_00906
OG0000088	Prbk.g_00773, Prbk.g_01836	Pral.g_00878
OG0000089	Prbk.g_00364	Pral.g_00676
OG0000090	Prbk.g_01080	Pral.g_00557
OG0000091	Prbk.g_02639	Pral.g_01443
OG0000093	Prbk.g_02444	Pral.g_01472
OG0000094	Prbk.g_02190	Pral.g_01604
OG0000095	Prbk.g_00056	Pral.g_01561
OG0000097	Prbk.g_00189	Pral.g_01416
OG0000098	Prbk.g_01199	Pral.g_01239
OG0000099	Prbk.g_00476	Pral.g_01201
OG0000100	Prbk.g_01360, Prbk.g_02498	Pral.g_01078
OG0000101	Prbk.g_00796, Prbk.g_00944	Pral.g_00243
OG0000102	Prbk.g_01484	Pral.g_00310
OG0000103	Prbk.g_02260	Pral.g_00397
OG0000104	Prbk.g_02274	Pral.g_00406
OG0000105	Prbk.g_00409	Pral.g_00765
OG0000106	Prbk.g_00925	Pral.g_01859
OG0000107	Prbk.g_01902	Pral.g_00171
OG0000108	Prbk.g_02061	Pral.g_00611
OG0000109	Prbk.g_02077	Pral.g_00596
OG0000110	Prbk.g_01110	Pral.g_00513
OG0000111	Prbk.g_01766	Pral.g_01739
OG0000112	Prbk.g_02332	Pral.g_01635
OG0000113	Prbk.g_02493	Pral.g_01511
OG0000114	Prbk.g_02396	Pral.g_01799
OG0000115	Prbk.g_01234	Pral.g_01141
OG0000116	Prbk.g_01034	Pral.g_01356
OG0000117	Prbk.g_01496	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Prbk.g_01169	Pral.g_01269
OG0000119	Prbk.g_01746	Pral.g_01861
OG0000119	Prbk.g_01786	Pral.g_01063
OG0000120	Prbk.g_00477	Pral.g_00702
OG0000121	Prbk.g_00267, Prbk.g_00261	Pral.g_01159
OG0000122	Prbk.g_02664	Pral.g_01116
OG0000123	Prbk.g_00805	Pral.g_00250
OG0000124	Prbk.g_01539	Pral.g_00322
OG0000125	Prbk.g_02168	Pral.g_00358
OG0000126	Prbk.g_02272	Pral.g_00405
OG0000128	Prbk.g_02290	Pral.g_00421
OG0000129	Prbk.g_02156	Pral.g_01000
OG0000130	Prbk.g_01320	Pral.g_00978
OG0000131	Prbk.g_00751	Pral.g_00900
OG0000132	Prbk.g_00771	Pral.g_00880
OG0000133	Prbk.g_00472	Pral.g_00717
OG0000134	Prbk.g_00361	Pral.g_00674
OG0000135	Prbk.g_02209	Pral.g_01034
OG0000136	Prbk.g_00323	Pral.g_00653
OG0000137	Prbk.g_02113	Pral.g_00617
OG0000138	Prbk.g_02078	Pral.g_00595
OG0000139	Prbk.g_01086	Pral.g_00553
OG0000140	Prbk.g_01092	Pral.g_00552
OG0000141	Prbk.g_01154	Pral.g_00481
OG0000142	Prbk.g_02631	Pral.g_01436
OG0000143	Prbk.g_02635	Pral.g_01440
OG0000144	Prbk.g_00739	Pral.g_01453
OG0000145	Prbk.g_01863	Pral.g_01037
OG0000146	Prbk.g_02333	Pral.g_01636
OG0000147	Prbk.g_02334	Pral.g_01637
OG0000148	Prbk.g_02487	Pral.g_01505
OG0000149	Prbk.g_02544	Pral.g_01535
OG0000150	Prbk.g_02567	Pral.g_01545
OG0000151	Prbk.g_02417	Pral.g_01789
OG0000152	Prbk.g_02324	Pral.g_01627
OG0000153	Prbk.g_02297	Pral.g_01578
OG0000154	Prbk.g_00584	Pral.g_01595
OG0000155	Prbk.g_00099	Pral.g_01390
OG0000156	Prbk.g_00164	Pral.g_01292
OG0000157	Prbk.g_00163	Pral.g_01291
OG0000158	Prbk.g_00526	Pral.g_00287
OG0000160	Prbk.g_00260	Pral.g_01160
OG0000161	Prbk.g_00274	Pral.g_01154
OG0000162	Prbk.g_00280	Pral.g_01148
OG0000163	Prbk.g_02002	Pral.g_01106
OG0000164	Prbk.g_01432	Pral.g_00131
OG0000165	Prbk.g_01423	Pral.g_00138
OG0000166	Prbk.g_00982	Pral.g_00206
OG0000167	Prbk.g_00512	Pral.g_00277
