Orthogroup	Prbk	Syas
OG0000001	Prbk.g_00561, Prbk.g_02701	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Prbk.g_01375, Prbk.g_00214	Syas.g_00054
OG0000004	Prbk.g_01760	Syas.g_00176
OG0000004	Prbk.g_01134	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbk.g_00933	Syas.g_02704
OG0000006	Prbk.g_02695	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prbk.g_00907	Syas.g_02681
OG0000008	Prbk.g_01819	Syas.g_00886
OG0000008	Prbk.g_01820	Syas.g_00887
OG0000009	Prbk.g_01932, Prbk.g_00013	Syas.g_01450
OG0000010	Prbk.g_02112	Syas.g_01334
OG0000013	Prbk.g_00853	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbk.g_00454	Syas.g_01816
OG0000015	Prbk.g_02558	Syas.g_02007, Syas.g_00968
OG0000017	Prbk.g_01150	Syas.g_00856
OG0000018	Prbk.g_01227	Syas.g_01290
OG0000019	Prbk.g_01004	Syas.g_01696
OG0000022	Prbk.g_01667	Syas.g_02758
OG0000025	Prbk.g_02531	Syas.g_00231
OG0000026	Prbk.g_01617	Syas.g_02070
OG0000028	Prbk.g_00469	Syas.g_01793
OG0000030	Prbk.g_01532	Syas.g_01644
OG0000030	Prbk.g_01533	Syas.g_01645
OG0000031	Prbk.g_00534, Prbk.g_00539	Syas.g_01827
OG0000033	Prbk.g_00776	Syas.g_02328
OG0000034	Prbk.g_01171	Syas.g_02371, Syas.g_02838
OG0000035	Prbk.g_00259	Syas.g_02814, Syas.g_02818
OG0000037	Prbk.g_00007	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbk.g_02164	Syas.g_01885
OG0000038	Prbk.g_02166	Syas.g_01887
OG0000039	Prbk.g_01385	Syas.g_02795
OG0000041	Prbk.g_01406	Syas.g_00996
OG0000042	Prbk.g_01495, Prbk.g_00140	Syas.g_01121, Syas.g_02147
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syas.g_00894, Syas.g_02453
OG0000046	Prbk.g_00854	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbk.g_00405	Syas.g_01734
OG0000051	Prbk.g_01709, Prbk.g_02418	Syas.g_01445
OG0000053	Prbk.g_01230	Syas.g_01287
OG0000054	Prbk.g_01153	Syas.g_00961, Syas.g_00957
OG0000057	Prbk.g_01765	Syas.g_01055, Syas.g_01038
OG0000059	Prbk.g_00992	Syas.g_01639
OG0000060	Prbk.g_01286	Syas.g_01680
OG0000061	Prbk.g_01019	Syas.g_01184
OG0000062	Prbk.g_00931	Syas.g_02702
OG0000063	Prbk.g_01613	Syas.g_02074
OG0000065	Prbk.g_00011	Syas.g_02420
OG0000066	Prbk.g_01094	Syas.g_00094
OG0000068	Prbk.g_02052	Syas.g_00969, Syas.g_01261
OG0000070	Prbk.g_00310	Syas.g_00173
OG0000071	Prbk.g_01183	Syas.g_02854
OG0000072	Prbk.g_00778	Syas.g_02326, Syas.g_01524
OG0000073	Prbk.g_01862	Syas.g_01230
OG0000075	Prbk.g_00514	Syas.g_01921, Syas.g_02194
OG0000076	Prbk.g_00237	Syas.g_02156
