Orthogroup	Prbk	Prau
OG0000000	Prbk.g_00167, Prbk.g_00166	Prau.g_01352
OG0000000	Prbk.g_00165	Prau.g_01648
OG0000001	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Prau.g_01394
OG0000002	Prbk.g_02574	Prau.g_01402
OG0000002	Prbk.g_01649	Prau.g_00718
OG0000004	Prbk.g_01760	Prau.g_00735
OG0000004	Prbk.g_01134	Prau.g_00233
OG0000005	Prbk.g_00933	Prau.g_01607
OG0000006	Prbk.g_02695	Prau.g_01316
OG0000007	Prbk.g_00907	Prau.g_01732
OG0000008	Prbk.g_01819	Prau.g_00781
OG0000009	Prbk.g_01932, Prbk.g_00013	Prau.g_00106
OG0000010	Prbk.g_02112	Prau.g_01698, Prau.g_01096
OG0000011	Prbk.g_01851	Prau.g_00441
OG0000012	Prbk.g_02610	Prau.g_00663
OG0000013	Prbk.g_00853	Prau.g_00329
OG0000014	Prbk.g_00454	Prau.g_00308
OG0000015	Prbk.g_02558	Prau.g_00817
OG0000017	Prbk.g_01142, Prbk.g_01150	Prau.g_00636
OG0000018	Prbk.g_01227	Prau.g_01188
OG0000019	Prbk.g_01644, Prbk.g_01004	Prau.g_00251, Prau.g_00834
OG0000020	Prbk.g_01331, Prbk.g_02697	Prau.g_01704
OG0000021	Prbk.g_01960, Prbk.g_01137	Prau.g_01680, Prau.g_00367
OG0000022	Prbk.g_01667	Prau.g_01170
OG0000022	Prbk.g_00212	Prau.g_00814
OG0000023	Prbk.g_02448	Prau.g_00362
OG0000024	Prbk.g_01780	Prau.g_00796, Prau.g_00715
OG0000025	Prbk.g_02531	Prau.g_00333, Prau.g_00888
OG0000026	Prbk.g_01617	Prau.g_00030, Prau.g_01103
OG0000028	Prbk.g_00469	Prau.g_00322
OG0000029	Prbk.g_00833	Prau.g_00804
OG0000030	Prbk.g_01532, Prbk.g_01533	Prau.g_01935
OG0000032	Prbk.g_00480	Prau.g_01475, Prau.g_01446
OG0000033	Prbk.g_00776	Prau.g_01465
OG0000034	Prbk.g_01171	Prau.g_01381
OG0000035	Prbk.g_00259	Prau.g_01531, Prau.g_01528
OG0000037	Prbk.g_00007	Prau.g_00110
OG0000038	Prbk.g_02164, Prbk.g_02166	Prau.g_01976
OG0000039	Prbk.g_01385, Prbk.g_00642	Prau.g_00726
OG0000041	Prbk.g_01406	Prau.g_01778
OG0000042	Prbk.g_01495, Prbk.g_00140	Prau.g_01932
OG0000045	Prbk.g_01321	Prau.g_01682
OG0000047	Prbk.g_01202	Prau.g_00332
OG0000047	Prbk.g_02565	Prau.g_00414
OG0000048	Prbk.g_00405	Prau.g_00377
OG0000053	Prbk.g_01230	Prau.g_00040, Prau.g_01551
OG0000054	Prbk.g_01153	Prau.g_00644
OG0000057	Prbk.g_01765	Prau.g_00738
OG0000059	Prbk.g_00992	Prau.g_01818
OG0000061	Prbk.g_01019	Prau.g_01206
OG0000062	Prbk.g_00931	Prau.g_01609
OG0000063	Prbk.g_01613	Prau.g_00032, Prau.g_01295
OG0000065	Prbk.g_00011	Prau.g_00108
OG0000066	Prbk.g_01094	Prau.g_00579
OG0000067	Prbk.g_02468	Prau.g_00854
OG0000068	Prbk.g_02052	Prau.g_01409
OG0000070	Prbk.g_00310	Prau.g_00491
OG0000071	Prbk.g_01183	Prau.g_01371
OG0000072	Prbk.g_00778	Prau.g_00172
OG0000073	Prbk.g_01862	Prau.g_00540
OG0000075	Prbk.g_00514	Prau.g_01901
OG0000076	Prbk.g_00237	Prau.g_00037, Prau.g_01925
OG0000077	Prbk.g_00307, Prbk.g_01308	Prau.g_00079
OG0000078	Prbk.g_01515	Prau.g_00240
OG0000079	Prbk.g_01000	Prau.g_00254
OG0000081	Prbk.g_00733, Prbk.g_01772	Prau.g_00571
OG0000082	Prbk.g_01122	Prau.g_00624
OG0000084	Prbk.g_00255	Prau.g_01524
OG0000085	Prbk.g_00919	Prau.g_01725
OG0000086	Prbk.g_01295	Prau.g_00089
OG0000087	Prbk.g_00559	Prau.g_00140
OG0000088	Prbk.g_00773, Prbk.g_01836	Prau.g_00167
OG0000089	Prbk.g_00364	Prau.g_00358
OG0000090	Prbk.g_01080	Prau.g_00573
OG0000091	Prbk.g_02639	Prau.g_00682
OG0000093	Prbk.g_02444	Prau.g_00983
OG0000094	Prbk.g_02190	Prau.g_01070
OG0000095	Prbk.g_00056	Prau.g_01089
OG0000097	Prbk.g_00189	Prau.g_01247
OG0000098	Prbk.g_01199	Prau.g_01391
OG0000099	Prbk.g_00476	Prau.g_01435
OG0000100	Prbk.g_01360, Prbk.g_02498	Prau.g_01605
OG0000101	Prbk.g_00796, Prbk.g_00944	Prau.g_01869
OG0000102	Prbk.g_01484	Prau.g_01930
OG0000103	Prbk.g_02260	Prau.g_02009
OG0000104	Prbk.g_02274	Prau.g_02018
OG0000105	Prbk.g_00409	Prau.g_00276
OG0000106	Prbk.g_00925	Prau.g_00373
OG0000107	Prbk.g_01902	Prau.g_00389
OG0000108	Prbk.g_02061	Prau.g_00521
OG0000109	Prbk.g_02077	Prau.g_00535
OG0000110	Prbk.g_01110	Prau.g_00614
OG0000111	Prbk.g_01766	Prau.g_00739
OG0000112	Prbk.g_02332	Prau.g_00818
OG0000113	Prbk.g_02493	Prau.g_00876
OG0000114	Prbk.g_02396	Prau.g_00956
OG0000115	Prbk.g_01234	Prau.g_01148
OG0000116	Prbk.g_01034	Prau.g_01197
OG0000117	Prbk.g_01496	Prau.g_01318
OG0000118	Prbk.g_01169	Prau.g_01383
OG0000119	Prbk.g_01746, Prbk.g_01786	Prau.g_01405
OG0000120	Prbk.g_00477	Prau.g_01430
OG0000121	Prbk.g_00267, Prbk.g_00261	Prau.g_01533
OG0000122	Prbk.g_02664	Prau.g_01571
OG0000123	Prbk.g_00805	Prau.g_01876
OG0000124	Prbk.g_01539	Prau.g_01941
OG0000125	Prbk.g_02168	Prau.g_01978
OG0000126	Prbk.g_02272	Prau.g_02017
OG0000127	Prbk.g_01101, Prbk.g_01852, Prbk.g_01335	Prau.g_01292
OG0000128	Prbk.g_02290	Prau.g_00011
OG0000129	Prbk.g_02156	Prau.g_00051
OG0000130	Prbk.g_01320	Prau.g_00071
OG0000131	Prbk.g_00751	Prau.g_00146
