Orthogroup	Pral	Prat
OG0000000	Pral.g_01549	Prat.g_00977
OG0000000	Pral.g_01764	Prat.g_00751
OG0000000	Pral.g_01052	Prat.g_01462
OG0000000	Pral.g_01340	Prat.g_01184
OG0000000	Pral.g_00430	Prat.g_01487
OG0000000	Pral.g_01342	Prat.g_01182
OG0000000	Pral.g_01337	Prat.g_01187
OG0000001	Pral.g_01333, Pral.g_00038	Prat.g_01547
OG0000002	Pral.g_01236	Prat.g_01285, Prat.g_01286
OG0000002	Pral.g_01296, Pral.g_01671	Prat.g_00851
OG0000003	Pral.g_00040, Pral.g_01332	Prat.g_01190
OG0000004	Pral.g_01898	Prat.g_00824
OG0000006	Pral.g_00593	Prat.g_00458
OG0000006	Pral.g_00107	Prat.g_01592
OG0000007	Pral.g_00020	Prat.g_00376
OG0000007	Pral.g_00021	Prat.g_00377
OG0000009	Pral.g_01344	Prat.g_01180
OG0000009	Pral.g_00790	Prat.g_00255
OG0000010	Pral.g_00444	Prat.g_00634
OG0000011	Pral.g_00672	Prat.g_00374
OG0000012	Pral.g_00484	Prat.g_00567
OG0000012	Pral.g_00491	Prat.g_00560
OG0000013	Pral.g_01813	Prat.g_00701
OG0000014	Pral.g_00039	Prat.g_01548
OG0000014	Pral.g_01036	Prat.g_01474
OG0000015	Pral.g_01887	Prat.g_00615
OG0000015	Pral.g_00062	Prat.g_01580
OG0000016	Pral.g_01861	Prat.g_00647
OG0000016	Pral.g_01063	Prat.g_01452
OG0000017	Pral.g_01139	Prat.g_01375
OG0000018	Pral.g_00797	Prat.g_00248
OG0000019	Pral.g_01738	Prat.g_00461
OG0000020	Pral.g_00768	Prat.g_00278
OG0000022	Pral.g_01331	Prat.g_01191
OG0000023	Pral.g_01065	Prat.g_01451
OG0000024	Pral.g_00732	Prat.g_00314
OG0000024	Pral.g_01261	Prat.g_01267
OG0000025	Pral.g_01829	Prat.g_00685
OG0000026	Pral.g_00435	Prat.g_01516
OG0000028	Pral.g_01165	Prat.g_01352
OG0000028	Pral.g_01161	Prat.g_01353
OG0000029	Pral.g_01114	Prat.g_01400
OG0000030	Pral.g_01006	Prat.g_01473
OG0000032	Pral.g_01193	Prat.g_01266
