Orthogroup	Pral	Prab
OG0000000	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prab.g_00683
OG0000002	Pral.g_01296, Pral.g_01671	Prab.g_01279, Prab.g_01281, Prab.g_00788
OG0000003	Pral.g_00040, Pral.g_01332	Prab.g_01308, Prab.g_00917, Prab.g_01619
OG0000004	Pral.g_01898	Prab.g_00747
OG0000005	Pral.g_00037	Prab.g_01598, Prab.g_01630, Prab.g_00760
OG0000006	Pral.g_00593	Prab.g_00501
OG0000006	Pral.g_00107	Prab.g_01669
OG0000009	Pral.g_01344	Prab.g_00820
OG0000009	Pral.g_00790	Prab.g_00239
OG0000010	Pral.g_00444	Prab.g_01596, Prab.g_01165
OG0000012	Pral.g_00484, Pral.g_00491	Prab.g_00602
OG0000013	Pral.g_01813	Prab.g_00789
OG0000014	Pral.g_00039, Pral.g_01036	Prab.g_01616, Prab.g_00914
OG0000015	Pral.g_01887, Pral.g_00062	Prab.g_00370
OG0000016	Pral.g_01861, Pral.g_01063	Prab.g_01356
OG0000017	Pral.g_01139, Pral.g_00066	Prab.g_01486
OG0000018	Pral.g_00797	Prab.g_00231
OG0000019	Pral.g_01738	Prab.g_00354
OG0000020	Pral.g_00768	Prab.g_00411
OG0000021	Pral.g_00090	Prab.g_00822
OG0000022	Pral.g_01331	Prab.g_01617, Prab.g_00915
OG0000024	Pral.g_00732, Pral.g_01261	Prab.g_00294
OG0000025	Pral.g_01829	Prab.g_01635, Prab.g_00394
OG0000028	Pral.g_01165, Pral.g_01161	Prab.g_01466
OG0000029	Pral.g_01164, Pral.g_01114	Prab.g_01585
OG0000034	Pral.g_00987	Prab.g_01423
OG0000035	Pral.g_01853	Prab.g_01134, Prab.g_01082
OG0000036	Pral.g_00057	Prab.g_00589
OG0000037	Pral.g_00015	Prab.g_00627
OG0000038	Pral.g_00044	Prab.g_00782
OG0000039	Pral.g_00878	Prab.g_00157
OG0000040	Pral.g_01687	Prab.g_00348
