Orthogroup	Pral	Prbi
OG0000000	Pral.g_01549, Pral.g_01554	Prbi.g_01432
OG0000000	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prbi.g_00681
OG0000002	Pral.g_01236	Prbi.g_01424
OG0000002	Pral.g_01296, Pral.g_01671	Prbi.g_01270
OG0000003	Pral.g_00040, Pral.g_01332	Prbi.g_01371, Prbi.g_01710
OG0000004	Pral.g_01898	Prbi.g_00782
OG0000005	Pral.g_00037	Prbi.g_01709
OG0000006	Pral.g_00593	Prbi.g_00500
OG0000006	Pral.g_00107	Prbi.g_01787
OG0000007	Pral.g_00020	Prbi.g_01536, Prbi.g_01764
OG0000007	Pral.g_00021	Prbi.g_01539, Prbi.g_01765
OG0000009	Pral.g_01344	Prbi.g_00827
OG0000009	Pral.g_00790	Prbi.g_00273
OG0000010	Pral.g_00444	Prbi.g_01156, Prbi.g_01352
OG0000012	Pral.g_00484, Pral.g_00491	Prbi.g_00600
OG0000013	Pral.g_01813	Prbi.g_00810, Prbi.g_01304
OG0000014	Pral.g_00039, Pral.g_01036	Prbi.g_01374, Prbi.g_00472
OG0000015	Pral.g_01887, Pral.g_00062	Prbi.g_00406
OG0000016	Pral.g_01861, Pral.g_01063	Prbi.g_01435
OG0000018	Pral.g_00797	Prbi.g_00265
OG0000019	Pral.g_01738	Prbi.g_01742, Prbi.g_00389
OG0000021	Pral.g_00090	Prbi.g_00829
OG0000022	Pral.g_01331	Prbi.g_01373
OG0000023	Pral.g_01065, Pral.g_01163	Prbi.g_01338
OG0000024	Pral.g_00732, Pral.g_01261	Prbi.g_00330
OG0000028	Pral.g_01165	Prbi.g_01589
OG0000028	Pral.g_01161	Prbi.g_01591
OG0000029	Pral.g_01164, Pral.g_01114	Prbi.g_01702
OG0000030	Pral.g_01006	Prbi.g_01743
OG0000031	Pral.g_00095	Prbi.g_01281
OG0000032	Pral.g_01193	Prbi.g_01467
OG0000034	Pral.g_00987	Prbi.g_01478
OG0000035	Pral.g_01853	Prbi.g_00936
OG0000036	Pral.g_00057	Prbi.g_00587
OG0000037	Pral.g_00015	Prbi.g_00625
OG0000038	Pral.g_00044	Prbi.g_00805
OG0000039	Pral.g_00878	Prbi.g_00190
OG0000040	Pral.g_01687	Prbi.g_00384
OG0000042	Pral.g_01729	Prbi.g_00745
OG0000043	Pral.g_01665	Prbi.g_00832
OG0000044	Pral.g_01367	Prbi.g_01207
OG0000045	Pral.g_01202	Prbi.g_01461
OG0000046	Pral.g_00099	Prbi.g_01780
OG0000047	Pral.g_00305	Prbi.g_01994
OG0000048	Pral.g_00313	Prbi.g_02001
OG0000050	Pral.g_01012	Prbi.g_00031
OG0000051	Pral.g_00887	Prbi.g_00181
OG0000052	Pral.g_01859	Prbi.g_00394
OG0000053	Pral.g_00551	Prbi.g_00542
OG0000055	Pral.g_01511	Prbi.g_00869
OG0000056	Pral.g_00019	Prbi.g_01163
OG0000057	Pral.g_00803	Prbi.g_00261, Prbi.g_01748
OG0000058	Pral.g_00617	Prbi.g_00478
OG0000059	Pral.g_01740	Prbi.g_00702
OG0000060	Pral.g_00445	Prbi.g_00780
OG0000062	Pral.g_00056, Pral.g_00078	Prbi.g_01174
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbi.g_01330
OG0000065	Pral.g_01281	Prbi.g_01391
OG0000066	Pral.g_00702	Prbi.g_01460
OG0000068	Pral.g_00243	Prbi.g_01938
OG0000071	Pral.g_00421	Prbi.g_00011
OG0000072	Pral.g_00717	Prbi.g_00346
OG0000073	Pral.g_01471	Prbi.g_00672
OG0000074	Pral.g_01750	Prbi.g_00694
OG0000075	Pral.g_01495	Prbi.g_00854
OG0000076	Pral.g_01561	Prbi.g_01086
OG0000078	Pral.g_01201	Prbi.g_01462
OG0000079	Pral.g_01073	Prbi.g_01482, Prbi.g_01668
OG0000080	Pral.g_00065	Prbi.g_01725
OG0000081	Pral.g_00277	Prbi.g_01968
OG0000083	Pral.g_00413	Prbi.g_00003
OG0000084	Pral.g_00416	Prbi.g_00006
OG0000085	Pral.g_01021	Prbi.g_00023
OG0000086	Pral.g_01886	Prbi.g_00048
OG0000087	Pral.g_00993	Prbi.g_00060
OG0000088	Pral.g_00932	Prbi.g_00120
OG0000089	Pral.g_00923	Prbi.g_00129
OG0000090	Pral.g_00906	Prbi.g_00147
OG0000091	Pral.g_00874	Prbi.g_00193
OG0000092	Pral.g_00873	Prbi.g_00194
OG0000093	Pral.g_00860	Prbi.g_00208
OG0000094	Pral.g_00842	Prbi.g_00226
OG0000095	Pral.g_00837	Prbi.g_00231
OG0000096	Pral.g_00788	Prbi.g_00275
OG0000097	Pral.g_00765	Prbi.g_00298
OG0000099	Pral.g_00744	Prbi.g_00318
OG0000100	Pral.g_00741	Prbi.g_00321
OG0000101	Pral.g_00674	Prbi.g_00381
OG0000102	Pral.g_01034	Prbi.g_00407
OG0000103	Pral.g_00616	Prbi.g_00479
OG0000104	Pral.g_00611	Prbi.g_00483
OG0000105	Pral.g_00591	Prbi.g_00502
OG0000106	Pral.g_00558	Prbi.g_00535
OG0000107	Pral.g_00557	Prbi.g_00536
OG0000108	Pral.g_00547	Prbi.g_00546
OG0000109	Pral.g_00538	Prbi.g_00555
OG0000110	Pral.g_00520	Prbi.g_00571
OG0000111	Pral.g_01452	Prbi.g_00654
OG0000112	Pral.g_01453	Prbi.g_00655
OG0000113	Pral.g_01705	Prbi.g_00767
OG0000114	Pral.g_01486	Prbi.g_00845
OG0000115	Pral.g_01627	Prbi.g_01009
OG0000116	Pral.g_01623	Prbi.g_01013
OG0000117	Pral.g_01564	Prbi.g_01083
OG0000118	Pral.g_01316	Prbi.g_01136
OG0000119	Pral.g_00075	Prbi.g_01177
OG0000120	Pral.g_01187, Pral.g_01373	Prbi.g_01213
OG0000121	Pral.g_01400	Prbi.g_01232
OG0000122	Pral.g_01420	Prbi.g_01251
OG0000123	Pral.g_00455	Prbi.g_01264
OG0000124	Pral.g_01064	Prbi.g_01277
OG0000125	Pral.g_01269	Prbi.g_01403
OG0000126	Pral.g_01222	Prbi.g_01439
OG0000127	Pral.g_01179	Prbi.g_01576
OG0000128	Pral.g_01160	Prbi.g_01592
OG0000129	Pral.g_01123	Prbi.g_01627
OG0000130	Pral.g_00104	Prbi.g_01785
OG0000131	Pral.g_00143	Prbi.g_01823
OG0000132	Pral.g_00146	Prbi.g_01826
OG0000133	Pral.g_00201	Prbi.g_01897
OG0000134	Pral.g_00237	Prbi.g_01933
OG0000135	Pral.g_00239	Prbi.g_01935
OG0000136	Pral.g_00289	Prbi.g_01979
OG0000137	Pral.g_00323	Prbi.g_02011
OG0000138	Pral.g_00358	Prbi.g_02059
OG0000139	Pral.g_00390	Prbi.g_02086
OG0000140	Pral.g_00411	Prbi.g_00001
OG0000141	Pral.g_00412	Prbi.g_00002
OG0000142	Pral.g_00414	Prbi.g_00004
OG0000143	Pral.g_00415	Prbi.g_00005
OG0000144	Pral.g_00417	Prbi.g_00007
OG0000145	Pral.g_00418	Prbi.g_00008
OG0000146	Pral.g_00419	Prbi.g_00009
OG0000147	Pral.g_00420	Prbi.g_00010
OG0000148	Pral.g_00422	Prbi.g_00012
OG0000149	Pral.g_01030	Prbi.g_00014
OG0000150	Pral.g_01029	Prbi.g_00015
OG0000151	Pral.g_01028	Prbi.g_00016
OG0000152	Pral.g_01027	Prbi.g_00017
OG0000153	Pral.g_01026	Prbi.g_00018
OG0000154	Pral.g_01025	Prbi.g_00019
OG0000155	Pral.g_01024	Prbi.g_00020
OG0000156	Pral.g_01023	Prbi.g_00021
OG0000157	Pral.g_01022	Prbi.g_00022
OG0000158	Pral.g_01020	Prbi.g_00024
OG0000159	Pral.g_01019	Prbi.g_00025
OG0000160	Pral.g_01018	Prbi.g_00026
OG0000161	Pral.g_01017	Prbi.g_00027
OG0000162	Pral.g_01016	Prbi.g_00028
OG0000163	Pral.g_01014	Prbi.g_00029
OG0000164	Pral.g_01011	Prbi.g_00032
OG0000165	Pral.g_01009	Prbi.g_00035
OG0000166	Pral.g_01008	Prbi.g_00036
OG0000167	Pral.g_01007	Prbi.g_00037
OG0000168	Pral.g_01005	Prbi.g_00049
OG0000169	Pral.g_01003	Prbi.g_00051
OG0000170	Pral.g_01001	Prbi.g_00052
OG0000171	Pral.g_01000	Prbi.g_00053
OG0000172	Pral.g_00999	Prbi.g_00056
OG0000173	Pral.g_00996	Prbi.g_00057
OG0000174	Pral.g_00995	Prbi.g_00058
OG0000175	Pral.g_00994	Prbi.g_00059
OG0000176	Pral.g_00992	Prbi.g_00061
OG0000177	Pral.g_00991	Prbi.g_00062
OG0000178	Pral.g_00990	Prbi.g_00063
OG0000179	Pral.g_00984	Prbi.g_00071
OG0000180	Pral.g_00983	Prbi.g_00072
OG0000181	Pral.g_00982	Prbi.g_00073
OG0000182	Pral.g_00978	Prbi.g_00076
OG0000183	Pral.g_00977	Prbi.g_00077
OG0000184	Pral.g_00974	Prbi.g_00080
OG0000185	Pral.g_00970	Prbi.g_00084
OG0000186	Pral.g_00969	Prbi.g_00085
OG0000187	Pral.g_00048	Prbi.g_00086
OG0000188	Pral.g_00968	Prbi.g_00087
OG0000189	Pral.g_00966	Prbi.g_00088
OG0000190	Pral.g_00965	Prbi.g_00089
OG0000191	Pral.g_00964	Prbi.g_00090
OG0000192	Pral.g_00963	Prbi.g_00091
OG0000193	Pral.g_00962	Prbi.g_00092
OG0000194	Pral.g_00961	Prbi.g_00093
OG0000195	Pral.g_00959	Prbi.g_00095
OG0000196	Pral.g_00958	Prbi.g_00096
OG0000197	Pral.g_00957	Prbi.g_00097
OG0000198	Pral.g_00956	Prbi.g_00098
OG0000199	Pral.g_00953	Prbi.g_00101
OG0000200	Pral.g_00952	Prbi.g_00102
OG0000201	Pral.g_00951	Prbi.g_00103
OG0000202	Pral.g_00950	Prbi.g_00104
OG0000203	Pral.g_00949	Prbi.g_00105
OG0000204	Pral.g_00948	Prbi.g_00106
OG0000205	Pral.g_00946	Prbi.g_00107
OG0000206	Pral.g_00945	Prbi.g_00108
OG0000207	Pral.g_00944	Prbi.g_00109
OG0000208	Pral.g_00943	Prbi.g_00110
OG0000209	Pral.g_00942	Prbi.g_00111
OG0000210	Pral.g_00941	Prbi.g_00113
OG0000211	Pral.g_00940	Prbi.g_00114
OG0000212	Pral.g_00939	Prbi.g_00115
OG0000213	Pral.g_00938	Prbi.g_00116
OG0000214	Pral.g_00934	Prbi.g_00118
OG0000215	Pral.g_00933	Prbi.g_00119
OG0000216	Pral.g_00931	Prbi.g_00121
OG0000217	Pral.g_00930	Prbi.g_00123
OG0000218	Pral.g_00929	Prbi.g_00124
OG0000219	Pral.g_00928	Prbi.g_00125
OG0000220	Pral.g_00925	Prbi.g_00128
OG0000221	Pral.g_00922	Prbi.g_00130
OG0000222	Pral.g_00921	Prbi.g_00131
OG0000223	Pral.g_00920	Prbi.g_00132
OG0000224	Pral.g_00918	Prbi.g_00135
OG0000225	Pral.g_00916	Prbi.g_00137
OG0000226	Pral.g_00914	Prbi.g_00138
OG0000227	Pral.g_00913	Prbi.g_00139
OG0000228	Pral.g_00912	Prbi.g_00140
OG0000229	Pral.g_00911	Prbi.g_00141
OG0000230	Pral.g_00910	Prbi.g_00142
OG0000231	Pral.g_00450	Prbi.g_00144
OG0000232	Pral.g_00908	Prbi.g_00145
OG0000233	Pral.g_00905	Prbi.g_00148
OG0000234	Pral.g_00903	Prbi.g_00150
OG0000235	Pral.g_00900	Prbi.g_00169
OG0000236	Pral.g_00899	Prbi.g_00170
OG0000237	Pral.g_00898	Prbi.g_00171
OG0000238	Pral.g_00897	Prbi.g_00172
OG0000239	Pral.g_00896	Prbi.g_00173
OG0000240	Pral.g_00894	Prbi.g_00175
OG0000241	Pral.g_00893	Prbi.g_00176
OG0000242	Pral.g_00892	Prbi.g_00177
OG0000243	Pral.g_00891	Prbi.g_00178
OG0000244	Pral.g_00890	Prbi.g_00179
OG0000245	Pral.g_00888	Prbi.g_00180
OG0000246	Pral.g_00886	Prbi.g_00182
OG0000247	Pral.g_00885	Prbi.g_00183
OG0000248	Pral.g_00884	Prbi.g_00184
OG0000249	Pral.g_00883	Prbi.g_00185
OG0000250	Pral.g_00882	Prbi.g_00186
OG0000251	Pral.g_00881	Prbi.g_00187
OG0000252	Pral.g_00880	Prbi.g_00188
OG0000253	Pral.g_00879	Prbi.g_00189
OG0000254	Pral.g_00877	Prbi.g_00191
OG0000255	Pral.g_00875	Prbi.g_00192
OG0000256	Pral.g_00872	Prbi.g_00195
OG0000257	Pral.g_00871	Prbi.g_00197
OG0000258	Pral.g_00870	Prbi.g_00198
OG0000259	Pral.g_00869	Prbi.g_00199
OG0000260	Pral.g_00868	Prbi.g_00200
OG0000261	Pral.g_00867	Prbi.g_00201
