Orthogroup	Pral	Prak
OG0000000	Pral.g_01549	Prak.g_00908
OG0000000	Pral.g_01554	Prak.g_00913
OG0000000	Pral.g_01764	Prak.g_00805
OG0000000	Pral.g_01052	Prak.g_01494
OG0000000	Pral.g_01340	Prak.g_01202
OG0000000	Pral.g_00430	Prak.g_01323
OG0000000	Pral.g_01342	Prak.g_01200
OG0000000	Pral.g_01337	Prak.g_01207
OG0000002	Pral.g_01236	Prak.g_01302
OG0000002	Pral.g_01296, Pral.g_01671	Prak.g_00755
OG0000003	Pral.g_01332	Prak.g_01210
OG0000004	Pral.g_01898	Prak.g_01251
OG0000005	Pral.g_00037	Prak.g_01562
OG0000006	Pral.g_00593	Prak.g_00458
OG0000006	Pral.g_00107	Prak.g_01645
OG0000007	Pral.g_00020	Prak.g_01544
OG0000007	Pral.g_00021	Prak.g_01546
OG0000009	Pral.g_01344	Prak.g_01196
OG0000009	Pral.g_00790	Prak.g_00266
OG0000010	Pral.g_00444	Prak.g_00702
OG0000011	Pral.g_00672	Prak.g_00385
OG0000012	Pral.g_00484	Prak.g_00566
OG0000012	Pral.g_00491	Prak.g_00559
OG0000013	Pral.g_01813	Prak.g_01584
OG0000014	Pral.g_00039	Prak.g_01564
OG0000014	Pral.g_01036	Prak.g_01521
OG0000015	Pral.g_00062	Prak.g_01573, Prak.g_01606
OG0000016	Pral.g_01861	Prak.g_01226
OG0000016	Pral.g_01063	Prak.g_01488
OG0000017	Pral.g_00066	Prak.g_01590
OG0000018	Pral.g_00797	Prak.g_00258
OG0000019	Pral.g_01738	Prak.g_00831
OG0000020	Pral.g_00768	Prak.g_01264
OG0000021	Pral.g_00090	Prak.g_01627
OG0000023	Pral.g_01065	Prak.g_01486
OG0000024	Pral.g_00732	Prak.g_00325
OG0000025	Pral.g_01829	Prak.g_00741
OG0000026	Pral.g_00435	Prak.g_01530
OG0000028	Pral.g_01165, Pral.g_01161	Prak.g_01391
OG0000029	Pral.g_01164, Pral.g_01114	Prak.g_00416
OG0000032	Pral.g_01193	Prak.g_01350
OG0000034	Pral.g_00987	Prak.g_00058
OG0000035	Pral.g_01853	Prak.g_00709
OG0000036	Pral.g_00057	Prak.g_01634
OG0000037	Pral.g_00015	Prak.g_00584, Prak.g_01506
OG0000038	Pral.g_00044	Prak.g_01482
OG0000039	Pral.g_00878	Prak.g_00178
OG0000040	Pral.g_01687	Prak.g_00721
OG0000042	Pral.g_01729	Prak.g_00837
OG0000043	Pral.g_01665	Prak.g_00937
OG0000044	Pral.g_01367	Prak.g_01172
OG0000045	Pral.g_01202	Prak.g_01351
OG0000046	Pral.g_00099	Prak.g_01637
OG0000047	Pral.g_00305	Prak.g_01842
OG0000048	Pral.g_00313	Prak.g_01850
OG0000050	Pral.g_01012	Prak.g_00032
OG0000051	Pral.g_00887	Prak.g_00169
OG0000052	Pral.g_01859	Prak.g_00687
OG0000053	Pral.g_00551	Prak.g_00498
OG0000054	Pral.g_00043	Prak.g_00601
OG0000055	Pral.g_01511	Prak.g_00868
OG0000056	Pral.g_00019	Prak.g_01228
OG0000057	Pral.g_00803	Prak.g_00253
OG0000058	Pral.g_00617	Prak.g_00436
OG0000059	Pral.g_01740	Prak.g_00829
OG0000062	Pral.g_00056, Pral.g_00078	Prak.g_01550
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prak.g_01145
OG0000065	Pral.g_01281	Prak.g_01277
OG0000066	Pral.g_00702	Prak.g_01349
OG0000067	Pral.g_00064	Prak.g_00660
OG0000068	Pral.g_00243	Prak.g_01780
OG0000069	Pral.g_01121	Prak.g_01430
OG0000071	Pral.g_00421	Prak.g_00011
OG0000072	Pral.g_00717	Prak.g_00339
OG0000073	Pral.g_01471	Prak.g_01072
OG0000074	Pral.g_01750	Prak.g_00819
OG0000075	Pral.g_01495	Prak.g_00852
OG0000076	Pral.g_01561	Prak.g_00920
OG0000078	Pral.g_01201	Prak.g_01352
OG0000079	Pral.g_01073	Prak.g_01476
OG0000080	Pral.g_00065	Prak.g_00661
OG0000081	Pral.g_00277	Prak.g_01814
OG0000082	Pral.g_00370	Prak.g_00656
OG0000083	Pral.g_00413	Prak.g_00003
OG0000084	Pral.g_00416	Prak.g_00006
OG0000085	Pral.g_01021	Prak.g_00023
OG0000087	Pral.g_00993	Prak.g_00052
OG0000088	Pral.g_00932	Prak.g_00121
OG0000089	Pral.g_00923	Prak.g_00130
OG0000090	Pral.g_00906	Prak.g_00147
OG0000091	Pral.g_00874	Prak.g_00181
OG0000092	Pral.g_00873	Prak.g_00182
OG0000093	Pral.g_00860	Prak.g_00196
OG0000094	Pral.g_00842	Prak.g_00215
OG0000095	Pral.g_00837	Prak.g_00220
OG0000096	Pral.g_00788	Prak.g_00268
OG0000097	Pral.g_00765	Prak.g_00292
OG0000098	Pral.g_00754	Prak.g_00303
OG0000099	Pral.g_00744	Prak.g_00313
OG0000100	Pral.g_00741	Prak.g_00316
OG0000101	Pral.g_00674	Prak.g_00381
OG0000102	Pral.g_01034	Prak.g_01259
OG0000103	Pral.g_00616	Prak.g_00437
OG0000104	Pral.g_00611	Prak.g_00441
OG0000105	Pral.g_00591	Prak.g_00461
OG0000106	Pral.g_00558	Prak.g_00491
OG0000107	Pral.g_00557	Prak.g_00492
OG0000108	Pral.g_00547	Prak.g_00502
OG0000109	Pral.g_00538	Prak.g_00512
OG0000110	Pral.g_00520	Prak.g_00529
OG0000111	Pral.g_01452	Prak.g_01091
OG0000112	Pral.g_01453	Prak.g_01090
OG0000113	Pral.g_01705	Prak.g_01040
OG0000114	Pral.g_01486	Prak.g_00843
OG0000115	Pral.g_01627	Prak.g_00973
OG0000116	Pral.g_01623	Prak.g_00977
OG0000117	Pral.g_01564	Prak.g_00923
OG0000118	Pral.g_01316	Prak.g_01217
OG0000119	Pral.g_00075	Prak.g_01553
OG0000120	Pral.g_01373	Prak.g_01166
OG0000121	Pral.g_01400	Prak.g_01143
OG0000122	Pral.g_01420	Prak.g_01123
OG0000123	Pral.g_00455	Prak.g_00594
OG0000124	Pral.g_01064	Prak.g_01487
OG0000125	Pral.g_01269	Prak.g_01290
OG0000126	Pral.g_01222	Prak.g_01329
OG0000127	Pral.g_01179	Prak.g_01379
OG0000128	Pral.g_01160	Prak.g_01392
OG0000129	Pral.g_01123	Prak.g_01428
OG0000130	Pral.g_00104	Prak.g_01642
OG0000131	Pral.g_00143	Prak.g_01681
OG0000132	Pral.g_00146	Prak.g_01684
OG0000133	Pral.g_00201	Prak.g_01738
OG0000134	Pral.g_00237	Prak.g_01774
OG0000135	Pral.g_00239	Prak.g_01776
OG0000136	Pral.g_00289	Prak.g_01826
OG0000137	Pral.g_00323	Prak.g_01860
OG0000138	Pral.g_00358	Prak.g_01895
OG0000139	Pral.g_00390	Prak.g_01926
OG0000140	Pral.g_00411	Prak.g_00001
OG0000141	Pral.g_00412	Prak.g_00002
OG0000142	Pral.g_00414	Prak.g_00004
OG0000143	Pral.g_00415	Prak.g_00005
OG0000144	Pral.g_00417	Prak.g_00007
OG0000145	Pral.g_00418	Prak.g_00008
OG0000146	Pral.g_00419	Prak.g_00009
OG0000147	Pral.g_00420	Prak.g_00010
OG0000148	Pral.g_00422	Prak.g_00012
OG0000149	Pral.g_01030	Prak.g_00014
OG0000150	Pral.g_01029	Prak.g_00015
OG0000151	Pral.g_01028	Prak.g_00016
OG0000152	Pral.g_01027	Prak.g_00017
OG0000153	Pral.g_01026	Prak.g_00018
OG0000154	Pral.g_01025	Prak.g_00019
OG0000155	Pral.g_01024	Prak.g_00020
OG0000156	Pral.g_01023	Prak.g_00021
OG0000157	Pral.g_01022	Prak.g_00022
OG0000158	Pral.g_01020	Prak.g_00024
OG0000159	Pral.g_01019	Prak.g_00025
OG0000160	Pral.g_01018	Prak.g_00026
OG0000161	Pral.g_01017	Prak.g_00027
OG0000162	Pral.g_01016	Prak.g_00028
OG0000163	Pral.g_01014	Prak.g_00030
OG0000164	Pral.g_01011	Prak.g_00033
OG0000165	Pral.g_01009	Prak.g_00036
OG0000166	Pral.g_01008	Prak.g_00037
OG0000167	Pral.g_01007	Prak.g_00038
OG0000168	Pral.g_01005	Prak.g_00040
OG0000169	Pral.g_01003	Prak.g_00042
OG0000170	Pral.g_01001	Prak.g_00044
OG0000171	Pral.g_01000	Prak.g_00045
OG0000172	Pral.g_00999	Prak.g_00046
OG0000173	Pral.g_00996	Prak.g_00049
OG0000174	Pral.g_00995	Prak.g_00050
OG0000175	Pral.g_00994	Prak.g_00051
OG0000176	Pral.g_00992	Prak.g_00053
OG0000177	Pral.g_00991	Prak.g_00054
OG0000178	Pral.g_00990	Prak.g_00056
OG0000179	Pral.g_00984	Prak.g_00068
OG0000180	Pral.g_00983	Prak.g_00069
OG0000181	Pral.g_00982	Prak.g_00070
OG0000182	Pral.g_00978	Prak.g_00074
OG0000183	Pral.g_00977	Prak.g_00075
OG0000184	Pral.g_00974	Prak.g_00078
OG0000185	Pral.g_00970	Prak.g_00082
OG0000186	Pral.g_00969	Prak.g_00083
OG0000187	Pral.g_00048	Prak.g_00717
OG0000188	Pral.g_00968	Prak.g_00084
OG0000189	Pral.g_00966	Prak.g_00085
OG0000190	Pral.g_00965	Prak.g_00086
OG0000191	Pral.g_00964	Prak.g_00087
OG0000192	Pral.g_00963	Prak.g_00088
OG0000193	Pral.g_00962	Prak.g_00089
OG0000194	Pral.g_00961	Prak.g_00090
OG0000195	Pral.g_00959	Prak.g_00092
OG0000196	Pral.g_00958	Prak.g_00093
OG0000197	Pral.g_00957	Prak.g_00094
OG0000198	Pral.g_00956	Prak.g_00095
OG0000199	Pral.g_00953	Prak.g_00098
OG0000200	Pral.g_00952	Prak.g_00099
OG0000201	Pral.g_00951	Prak.g_00100
OG0000202	Pral.g_00950	Prak.g_00102
OG0000203	Pral.g_00949	Prak.g_00103
OG0000204	Pral.g_00948	Prak.g_00104
OG0000205	Pral.g_00946	Prak.g_00106
OG0000206	Pral.g_00945	Prak.g_00107
OG0000207	Pral.g_00944	Prak.g_00108
OG0000208	Pral.g_00943	Prak.g_00109
OG0000209	Pral.g_00942	Prak.g_00110
OG0000210	Pral.g_00941	Prak.g_00111
OG0000211	Pral.g_00940	Prak.g_00113
OG0000212	Pral.g_00939	Prak.g_00114
OG0000213	Pral.g_00938	Prak.g_00115
OG0000214	Pral.g_00934	Prak.g_00119
OG0000215	Pral.g_00933	Prak.g_00120
OG0000216	Pral.g_00931	Prak.g_00122
OG0000217	Pral.g_00930	Prak.g_00123
OG0000218	Pral.g_00929	Prak.g_00124
OG0000219	Pral.g_00928	Prak.g_00125
OG0000220	Pral.g_00925	Prak.g_00128
OG0000221	Pral.g_00922	Prak.g_00131
OG0000222	Pral.g_00921	Prak.g_00132
OG0000223	Pral.g_00920	Prak.g_00133
OG0000224	Pral.g_00918	Prak.g_00135
