Orthogroup	Pral	Prap
OG0000000	Pral.g_01549	Prap.g_00720
OG0000000	Pral.g_01554	Prap.g_00715
OG0000000	Pral.g_01764	Prap.g_00823
OG0000000	Pral.g_01052	Prap.g_00224
OG0000000	Pral.g_01340	Prap.g_00486
OG0000000	Pral.g_00430	Prap.g_01946
OG0000000	Pral.g_01342	Prap.g_00484
OG0000000	Pral.g_01337	Prap.g_00491
OG0000001	Pral.g_01333, Pral.g_00038	Prap.g_00493
OG0000002	Pral.g_01236	Prap.g_01925
OG0000002	Pral.g_01296, Pral.g_01671	Prap.g_00653
OG0000003	Pral.g_01332	Prap.g_00494
OG0000004	Pral.g_01898	Prap.g_00535
OG0000005	Pral.g_00037	Prap.g_01862
OG0000006	Pral.g_00593	Prap.g_01270
OG0000006	Pral.g_00107	Prap.g_01779
OG0000007	Pral.g_00020	Prap.g_01888
OG0000007	Pral.g_00021	Prap.g_01887
OG0000009	Pral.g_01344	Prap.g_00480
OG0000009	Pral.g_00790	Prap.g_01462
OG0000010	Pral.g_00444	Prap.g_00010
OG0000011	Pral.g_00672	Prap.g_01343
OG0000012	Pral.g_00484	Prap.g_01163
OG0000012	Pral.g_00491	Prap.g_01170
OG0000013	Pral.g_01813	Prap.g_01840
OG0000014	Pral.g_00039	Prap.g_01860
OG0000014	Pral.g_01036	Prap.g_01912
OG0000015	Pral.g_00062	Prap.g_01851, Prap.g_01818
OG0000016	Pral.g_01861	Prap.g_00510
OG0000016	Pral.g_01063	Prap.g_00218
OG0000017	Pral.g_00066	Prap.g_01834
OG0000018	Pral.g_00797	Prap.g_01470
OG0000019	Pral.g_01738	Prap.g_00797
OG0000020	Pral.g_00768	Prap.g_00548
OG0000021	Pral.g_00090	Prap.g_01797
OG0000023	Pral.g_01065	Prap.g_00216
OG0000024	Pral.g_00732	Prap.g_01403
OG0000025	Pral.g_01829	Prap.g_00667
OG0000026	Pral.g_00435	Prap.g_01903
OG0000028	Pral.g_01165, Pral.g_01161	Prap.g_00121
OG0000029	Pral.g_01164, Pral.g_01114	Prap.g_01312
OG0000032	Pral.g_01193	Prap.g_00080
OG0000034	Pral.g_00987	Prap.g_00897
OG0000035	Pral.g_01853	Prap.g_00017
OG0000036	Pral.g_00057	Prap.g_01790
OG0000037	Pral.g_00015	Prap.g_01145, Prap.g_00236
OG0000038	Pral.g_00044	Prap.g_00212
OG0000039	Pral.g_00878	Prap.g_01004
OG0000040	Pral.g_01687	Prap.g_00029
OG0000042	Pral.g_01729	Prap.g_00791
OG0000043	Pral.g_01665	Prap.g_00691
OG0000044	Pral.g_01367	Prap.g_00456
OG0000045	Pral.g_01202	Prap.g_00081
OG0000046	Pral.g_00099	Prap.g_01787
OG0000047	Pral.g_00305	Prap.g_01580
OG0000048	Pral.g_00313	Prap.g_01572
OG0000050	Pral.g_01012	Prap.g_00923
OG0000051	Pral.g_00887	Prap.g_01013
OG0000052	Pral.g_01859	Prap.g_00591
OG0000053	Pral.g_00551	Prap.g_01230
OG0000054	Pral.g_00043	Prap.g_01128
OG0000055	Pral.g_01511	Prap.g_00760
OG0000056	Pral.g_00019	Prap.g_00512
OG0000057	Pral.g_00803	Prap.g_01475
OG0000058	Pral.g_00617	Prap.g_01292
OG0000059	Pral.g_01740	Prap.g_00799
OG0000062	Pral.g_00056, Pral.g_00078	Prap.g_01883
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prap.g_00429
OG0000065	Pral.g_01281	Prap.g_00561
OG0000066	Pral.g_00702	Prap.g_00079
OG0000067	Pral.g_00064	Prap.g_00619
OG0000068	Pral.g_00243	Prap.g_01642
OG0000069	Pral.g_01121	Prap.g_00160
OG0000071	Pral.g_00421	Prap.g_00043
OG0000072	Pral.g_00717	Prap.g_01389
OG0000073	Pral.g_01471	Prap.g_00356
OG0000074	Pral.g_01750	Prap.g_00809
OG0000075	Pral.g_01495	Prap.g_00776
OG0000076	Pral.g_01561	Prap.g_00708
OG0000078	Pral.g_01201	Prap.g_00082
OG0000079	Pral.g_01073	Prap.g_00206
OG0000080	Pral.g_00065	Prap.g_00618
OG0000081	Pral.g_00277	Prap.g_01608
OG0000082	Pral.g_00370	Prap.g_00623
OG0000083	Pral.g_00413	Prap.g_00051
OG0000084	Pral.g_00416	Prap.g_00048
OG0000085	Pral.g_01021	Prap.g_00932
OG0000087	Pral.g_00993	Prap.g_00903
OG0000088	Pral.g_00932	Prap.g_01061
OG0000089	Pral.g_00923	Prap.g_01052
OG0000090	Pral.g_00906	Prap.g_01035
OG0000091	Pral.g_00874	Prap.g_01001
OG0000092	Pral.g_00873	Prap.g_01000
OG0000093	Pral.g_00860	Prap.g_00986
OG0000094	Pral.g_00842	Prap.g_00967
OG0000095	Pral.g_00837	Prap.g_00962
OG0000096	Pral.g_00788	Prap.g_01460
OG0000097	Pral.g_00765	Prap.g_01436
OG0000098	Pral.g_00754	Prap.g_01425
