Orthogroup	Prbn	Syan
OG0000004	Prbn.g_01565	Syan.g_00183
OG0000004	Prbn.g_00318	Syan.g_00989
OG0000005	Prbn.g_00899	Syan.g_01378
OG0000006	Prbn.g_00308	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prbn.g_00617	Syan.g_02743
OG0000007	Prbn.g_01745	Syan.g_01400
OG0000008	Prbn.g_01645	Syan.g_00640, Syan.g_02532
OG0000008	Prbn.g_01646	Syan.g_00641, Syan.g_02531
OG0000009	Prbn.g_00887	Syan.g_02972
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syan.g_02847
OG0000012	Prbn.g_00867, Prbn.g_00492	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prbn.g_00092	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prbn.g_00074	Syan.g_01987
OG0000016	Prbn.g_01131	Syan.g_02598, Syan.g_00440
OG0000017	Prbn.g_00510	Syan.g_01013
OG0000017	Prbn.g_00517	Syan.g_01006
OG0000018	Prbn.g_01167, Prbn.g_01518	Syan.g_02816
OG0000019	Prbn.g_00015, Prbn.g_01165	Syan.g_02088
OG0000021	Prbn.g_00874, Prbn.g_01560	Syan.g_01001
OG0000022	Prbn.g_00891	Syan.g_00089
OG0000023	Prbn.g_01030	Syan.g_00404
OG0000025	Prbn.g_01510	Syan.g_00374
OG0000026	Prbn.g_00750	Syan.g_01743
OG0000027	Prbn.g_01664, Prbn.g_00139	Syan.g_02678
OG0000028	Prbn.g_01644	Syan.g_01971
OG0000030	Prbn.g_00985	Syan.g_01884, Syan.g_01883
OG0000032	Prbn.g_00251	Syan.g_02835
OG0000033	Prbn.g_00178, Prbn.g_01244	Syan.g_03036
OG0000034	Prbn.g_01073	Syan.g_01227, Syan.g_03003
OG0000035	Prbn.g_00212	Syan.g_01276
OG0000037	Prbn.g_01310	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prbn.g_00946	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prbn.g_01577	Syan.g_02771, Syan.g_00535
OG0000041	Prbn.g_01793	Syan.g_01465
OG0000042	Prbn.g_00988	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prbn.g_01145	Syan.g_00086, Syan.g_00151
OG0000046	Prbn.g_00093	Syan.g_02157, Syan.g_02160
OG0000048	Prbn.g_01097, Prbn.g_00038	Syan.g_02036
OG0000052	Prbn.g_00724	Syan.g_01954, Syan.g_01953
OG0000053	Prbn.g_01690, Prbn.g_00233	Syan.g_02812
OG0000054	Prbn.g_00508	Syan.g_02503
OG0000055	Prbn.g_01140, Prbn.g_01719	Syan.g_00312
