Orthogroup	Prbn	Praa
OG0000000	Prbn.g_01662	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbn.g_01152, Prbn.g_01663, Prbn.g_01678	Praa.g_01597
OG0000002	Prbn.g_01483, Prbn.g_01478	Praa.g_01359
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Praa.g_00678
OG0000004	Prbn.g_01565	Praa.g_00695
OG0000004	Prbn.g_00318	Praa.g_00232
OG0000005	Prbn.g_00899	Praa.g_01553
OG0000006	Prbn.g_00308	Praa.g_00241, Praa.g_01245
OG0000007	Prbn.g_00617	Praa.g_00497
OG0000007	Prbn.g_01745	Praa.g_01635
OG0000008	Prbn.g_01645	Praa.g_01241
OG0000009	Prbn.g_00887	Praa.g_01264
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Praa.g_00474
OG0000011	Prbn.g_00802	Praa.g_00396
OG0000012	Prbn.g_00867, Prbn.g_00492	Praa.g_00623
OG0000013	Prbn.g_00092	Praa.g_00327
OG0000014	Prbn.g_00074	Praa.g_00306
OG0000015	Prbn.g_01684, Prbn.g_01730	Praa.g_00765
OG0000017	Prbn.g_00517	Praa.g_00598
OG0000018	Prbn.g_01167	Praa.g_01141
OG0000018	Prbn.g_01518	Praa.g_00831
OG0000019	Prbn.g_00015	Praa.g_00249
OG0000019	Prbn.g_01165	Praa.g_00782
OG0000020	Prbn.g_00875	Praa.g_01107
OG0000021	Prbn.g_00874	Praa.g_01623, Praa.g_00364
OG0000022	Prbn.g_00891	Praa.g_00763
OG0000023	Prbn.g_01030	Praa.g_00359
OG0000024	Prbn.g_01353	Praa.g_00747
OG0000024	Prbn.g_01589	Praa.g_00675
OG0000025	Prbn.g_01510	Praa.g_00839, Praa.g_00331
OG0000026	Prbn.g_00750	Praa.g_00031, Praa.g_01054
OG0000027	Prbn.g_00139	Praa.g_00470, Praa.g_01301
OG0000028	Prbn.g_01644	Praa.g_01248
OG0000029	Prbn.g_01836	Praa.g_00374
OG0000029	Prbn.g_00126, Prbn.g_01676	Praa.g_00754
OG0000030	Prbn.g_00985	Praa.g_01842
OG0000033	Prbn.g_00178	Praa.g_01437
OG0000033	Prbn.g_01244	Praa.g_00169
OG0000034	Prbn.g_01073	Praa.g_01328
OG0000037	Prbn.g_01310	Praa.g_00109
OG0000038	Prbn.g_00946	Praa.g_01883
OG0000039	Prbn.g_01577	Praa.g_00686
OG0000041	Prbn.g_01793	Praa.g_01683
OG0000042	Prbn.g_00988	Praa.g_01839
OG0000043	Prbn.g_01168	Praa.g_00876
OG0000045	Prbn.g_01145	Praa.g_00370
OG0000048	Prbn.g_00038	Praa.g_00373
OG0000052	Prbn.g_00190	Praa.g_01447
OG0000053	Prbn.g_01690, Prbn.g_00233	Praa.g_01496
OG0000054	Prbn.g_00508	Praa.g_00606
OG0000055	Prbn.g_01140	Praa.g_00783
OG0000057	Prbn.g_01562	Praa.g_00698
OG0000058	Prbn.g_00172	Praa.g_01425
OG0000059	Prbn.g_01833	Praa.g_01723
OG0000061	Prbn.g_01189	Praa.g_01415, Praa.g_01159
OG0000062	Prbn.g_00897	Praa.g_01555
OG0000063	Prbn.g_00130	Praa.g_00033
OG0000065	Prbn.g_01312	Praa.g_00107
OG0000066	Prbn.g_00577, Prbn.g_01657	Praa.g_00539
OG0000067	Prbn.g_01546	Praa.g_00803
OG0000068	Prbn.g_01240	Praa.g_01366
OG0000069	Prbn.g_00659	Praa.g_01590
OG0000070	Prbn.g_00663	Praa.g_00449
OG0000071	Prbn.g_01084	Praa.g_01318
OG0000072	Prbn.g_00383	Praa.g_00171
OG0000073	Prbn.g_00614	Praa.g_00499
OG0000074	Prbn.g_01582	Praa.g_00682
OG0000075	Prbn.g_01917	Praa.g_01808
OG0000076	Prbn.g_00996	Praa.g_01832
OG0000077	Prbn.g_01342	Praa.g_00078
OG0000078	Prbn.g_00310	Praa.g_00239
OG0000079	Prbn.g_00018	Praa.g_00252
OG0000080	Prbn.g_00184	Praa.g_01392
OG0000080	Prbn.g_00186	Praa.g_01390
OG0000081	Prbn.g_00585	Praa.g_00531
OG0000082	Prbn.g_00530, Prbn.g_01734	Praa.g_00585
