Orthogroup	Prbn	Syao
OG0000001	Prbn.g_01213, Prbn.g_01923	Syao.g_00314
OG0000004	Prbn.g_01565	Syao.g_02374
OG0000004	Prbn.g_00318	Syao.g_01271, Syao.g_01007
OG0000005	Prbn.g_00899	Syao.g_01578
OG0000006	Prbn.g_00308	Syao.g_01518
OG0000007	Prbn.g_00617	Syao.g_00105
OG0000007	Prbn.g_01745	Syao.g_01554
OG0000008	Prbn.g_01646	Syao.g_01321
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syao.g_02683
OG0000011	Prbn.g_00802	Syao.g_01282
OG0000012	Prbn.g_00867, Prbn.g_00492	Syao.g_01193
OG0000013	Prbn.g_00092	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prbn.g_00074	Syao.g_02027
OG0000015	Prbn.g_01684, Prbn.g_01730	Syao.g_00302
OG0000017	Prbn.g_00510	Syao.g_01064
OG0000017	Prbn.g_00517	Syao.g_00997
OG0000018	Prbn.g_01167, Prbn.g_01518	Syao.g_00071
OG0000019	Prbn.g_00015, Prbn.g_01165	Syao.g_02108
OG0000021	Prbn.g_00874, Prbn.g_01560	Syao.g_01002
OG0000022	Prbn.g_00891	Syao.g_01218
OG0000023	Prbn.g_01030	Syao.g_01266
OG0000025	Prbn.g_01510	Syao.g_00436, Syao.g_00437
OG0000026	Prbn.g_00750	Syao.g_02234
OG0000027	Prbn.g_01664, Prbn.g_00139	Syao.g_00202
OG0000028	Prbn.g_01644	Syao.g_02012
OG0000030	Prbn.g_00985	Syao.g_02189, Syao.g_02188
OG0000031	Prbn.g_00171	Syao.g_01083
OG0000032	Prbn.g_00251	Syao.g_00090
OG0000033	Prbn.g_00178, Prbn.g_01244	Syao.g_02507
OG0000035	Prbn.g_00212	Syao.g_01486
OG0000037	Prbn.g_01310	Syao.g_00374
OG0000038	Prbn.g_00946	Syao.g_02440, Syao.g_02442
OG0000039	Prbn.g_01577	Syao.g_00704
OG0000042	Prbn.g_00988	Syao.g_00019, Syao.g_01941
OG0000045	Prbn.g_01145	Syao.g_01214, Syao.g_00148
OG0000046	Prbn.g_00093	Syao.g_01845, Syao.g_01909
OG0000047	Prbn.g_00690	Syao.g_01899
OG0000048	Prbn.g_01097, Prbn.g_00038	Syao.g_02077
OG0000051	Prbn.g_00809	Syao.g_01261
OG0000052	Prbn.g_00724	Syao.g_01972
OG0000052	Prbn.g_00190	Syao.g_01085
OG0000053	Prbn.g_01690, Prbn.g_00233	Syao.g_00067
OG0000055	Prbn.g_01719	Syao.g_00498
OG0000058	Prbn.g_00172	Syao.g_01080
