Orthogroup	Prbn	Syaq
OG0000004	Prbn.g_01565	Syaq.g_02603
OG0000004	Prbn.g_00318	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbn.g_00899	Syaq.g_01692
OG0000006	Prbn.g_00308	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbn.g_00617	Syaq.g_01793
OG0000007	Prbn.g_01745	Syaq.g_01673
OG0000008	Prbn.g_01645	Syaq.g_02162
OG0000008	Prbn.g_01646	Syaq.g_02575
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syaq.g_00443
OG0000011	Prbn.g_00802	Syaq.g_01038
OG0000012	Prbn.g_00492	Syaq.g_02059
OG0000013	Prbn.g_00092	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbn.g_00074	Syaq.g_00862
OG0000015	Prbn.g_01684, Prbn.g_01730	Syaq.g_02255
OG0000016	Prbn.g_01131	Syaq.g_00169
OG0000017	Prbn.g_00510	Syaq.g_01999
OG0000017	Prbn.g_00517	Syaq.g_01992
OG0000018	Prbn.g_01167, Prbn.g_01518	Syaq.g_00401
OG0000019	Prbn.g_00015, Prbn.g_01165	Syaq.g_00717
OG0000022	Prbn.g_00891	Syaq.g_02126
OG0000023	Prbn.g_01030	Syaq.g_02540
OG0000025	Prbn.g_01510	Syaq.g_02381
OG0000026	Prbn.g_00750	Syaq.g_01114
OG0000028	Prbn.g_01644	Syaq.g_00878
OG0000030	Prbn.g_00985	Syaq.g_01047, Syaq.g_01048
OG0000031	Prbn.g_00171	Syaq.g_01009
OG0000032	Prbn.g_00251	Syaq.g_00421
OG0000033	Prbn.g_01244	Syaq.g_01399
OG0000034	Prbn.g_01073	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbn.g_00212	Syaq.g_00372
OG0000037	Prbn.g_01310	Syaq.g_01483
OG0000038	Prbn.g_00946	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbn.g_01577	Syaq.g_01601, Syaq.g_01241
OG0000042	Prbn.g_00988	Syaq.g_00200, Syaq.g_01044
OG0000045	Prbn.g_01145	Syaq.g_02047
OG0000046	Prbn.g_00093	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbn.g_01097, Prbn.g_00038	Syaq.g_00749
OG0000052	Prbn.g_00190	Syaq.g_00969
OG0000053	Prbn.g_01690, Prbn.g_00233	Syaq.g_00397
OG0000054	Prbn.g_00508	Syaq.g_02005
OG0000055	Prbn.g_01140	Syaq.g_02700
OG0000057	Prbn.g_01562	Syaq.g_02605
OG0000058	Prbn.g_00172	Syaq.g_00944
OG0000059	Prbn.g_01833	Syaq.g_00657
OG0000061	Prbn.g_01189	Syaq.g_00249
OG0000062	Prbn.g_00897	Syaq.g_01690
OG0000063	Prbn.g_00130	Syaq.g_01110
OG0000064	Prbn.g_00710	Syaq.g_02138
OG0000065	Prbn.g_01312	Syaq.g_01908, Syaq.g_01487
OG0000066	Prbn.g_00577, Prbn.g_01657	Syaq.g_01851
OG0000067	Prbn.g_01546	Syaq.g_02340
OG0000068	Prbn.g_01240	Syaq.g_01763
OG0000070	Prbn.g_00663	Syaq.g_00484
OG0000071	Prbn.g_01084	Syaq.g_00297
OG0000072	Prbn.g_00383	Syaq.g_01397
OG0000073	Prbn.g_00614	Syaq.g_01795
OG0000075	Prbn.g_01917	Syaq.g_00986
OG0000076	Prbn.g_00996	Syaq.g_01028
OG0000077	Prbn.g_01342	Syaq.g_01547
OG0000078	Prbn.g_00310	Syaq.g_01585
OG0000079	Prbn.g_00018	Syaq.g_00721
OG0000081	Prbn.g_00585	Syaq.g_01893
OG0000082	Prbn.g_00530, Prbn.g_01734	Syaq.g_01975
OG0000084	Prbn.g_00209	Syaq.g_00367
OG0000085	Prbn.g_01737, Prbn.g_00144	Syaq.g_01683
OG0000086	Prbn.g_01333	Syaq.g_01525
