Orthogroup	Prbn	Prar
OG0000000	Prbn.g_01662	Prar.g_00713, Prar.g_00729
OG0000002	Prbn.g_01483, Prbn.g_01478	Prar.g_00918
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prar.g_01508
OG0000004	Prbn.g_01565	Prar.g_01525
OG0000004	Prbn.g_00318	Prar.g_00095
OG0000005	Prbn.g_00899	Prar.g_00771
OG0000006	Prbn.g_00308	Prar.g_00086
OG0000007	Prbn.g_00617	Prar.g_01328
OG0000007	Prbn.g_01745	Prar.g_01143
OG0000008	Prbn.g_01645	Prar.g_01185
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Prar.g_00524
OG0000012	Prbn.g_00867, Prbn.g_00492	Prar.g_01453
OG0000013	Prbn.g_00092	Prar.g_00260
OG0000014	Prbn.g_00074	Prar.g_00281
OG0000015	Prbn.g_01684, Prbn.g_01730	Prar.g_01179
OG0000017	Prbn.g_00517	Prar.g_01428
OG0000018	Prbn.g_01167	Prar.g_01282
OG0000018	Prbn.g_01518	Prar.g_01711
OG0000019	Prbn.g_00015	Prar.g_00078
OG0000019	Prbn.g_01165	Prar.g_01663
OG0000020	Prbn.g_00875	Prar.g_01315
OG0000020	Prbn.g_00133	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prbn.g_00874	Prar.g_00425
OG0000022	Prbn.g_00891	Prar.g_01649
OG0000023	Prbn.g_01030	Prar.g_00420
OG0000024	Prbn.g_01353	Prar.g_01634
OG0000024	Prbn.g_01589	Prar.g_01505
OG0000025	Prbn.g_01510	Prar.g_01718, Prar.g_00256
OG0000026	Prbn.g_00750	Prar.g_00007, Prar.g_01919
OG0000027	Prbn.g_00139	Prar.g_00520
OG0000028	Prbn.g_01644	Prar.g_00985
OG0000029	Prbn.g_01836	Prar.g_00436
OG0000030	Prbn.g_00985	Prar.g_00662
OG0000031	Prbn.g_00171	Prar.g_00879
OG0000033	Prbn.g_01244	Prar.g_00158
OG0000034	Prbn.g_01073	Prar.g_00945
OG0000037	Prbn.g_01310	Prar.g_00219
OG0000038	Prbn.g_00946	Prar.g_00702
OG0000039	Prbn.g_01577	Prar.g_01516
OG0000041	Prbn.g_01793	Prar.g_00602
OG0000042	Prbn.g_00988	Prar.g_00660
OG0000043	Prbn.g_01168	Prar.g_01755
OG0000045	Prbn.g_01145	Prar.g_00432
OG0000047	Prbn.g_00690	Prar.g_00468
OG0000048	Prbn.g_00038	Prar.g_00435
OG0000053	Prbn.g_01690, Prbn.g_00233	Prar.g_00589, Prar.g_00827
OG0000054	Prbn.g_00508	Prar.g_01436
OG0000055	Prbn.g_01140	Prar.g_01664
OG0000057	Prbn.g_01562	Prar.g_01528
OG0000058	Prbn.g_00172	Prar.g_00870, Prar.g_00362
OG0000059	Prbn.g_01833	Prar.g_01090
