Orthogroup	Prbn	Prbc
OG0000000	Prbn.g_01151	Prbc.g_00609, Prbc.g_00812
OG0000000	Prbn.g_01662	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbn.g_01152	Prbc.g_00618
OG0000000	Prbn.g_01663	Prbc.g_00618
OG0000000	Prbn.g_01152	Prbc.g_02167
OG0000000	Prbn.g_01663	Prbc.g_02167
OG0000000	Prbn.g_01678	Prbc.g_00608
OG0000001	Prbn.g_01213	Prbc.g_00588
OG0000001	Prbn.g_01923	Prbc.g_01530, Prbc.g_00925
OG0000002	Prbn.g_01483	Prbc.g_01920
OG0000002	Prbn.g_01159	Prbc.g_01475
OG0000002	Prbn.g_01234, Prbn.g_01161	Prbc.g_01474
OG0000002	Prbn.g_01154	Prbc.g_01479, Prbc.g_01473
OG0000002	Prbn.g_00879	Prbc.g_01478
OG0000002	Prbn.g_01586	Prbc.g_01759
OG0000004	Prbn.g_01565	Prbc.g_01381
OG0000004	Prbn.g_00318	Prbc.g_00339
OG0000005	Prbn.g_00899	Prbc.g_00788
OG0000006	Prbn.g_00308	Prbc.g_02202
OG0000007	Prbn.g_00617	Prbc.g_01556
OG0000007	Prbn.g_01745	Prbc.g_00832
OG0000008	Prbn.g_01645	Prbc.g_00893
OG0000008	Prbn.g_01646	Prbc.g_00894
OG0000009	Prbn.g_00887	Prbc.g_01344
OG0000010	Prbn.g_01939, Prbn.g_01357	Prbc.g_02115
OG0000010	Prbn.g_00640	Prbc.g_01533
OG0000011	Prbn.g_00802	Prbc.g_00066
OG0000012	Prbn.g_00867	Prbc.g_02155
OG0000013	Prbn.g_00092	Prbc.g_01219
OG0000014	Prbn.g_00074	Prbc.g_01198
OG0000015	Prbn.g_01684, Prbn.g_01730	Prbc.g_00599
OG0000016	Prbn.g_01131	Prbc.g_00929
OG0000017	Prbn.g_00517	Prbc.g_01681
OG0000018	Prbn.g_01167	Prbc.g_01468
OG0000018	Prbn.g_01518	Prbc.g_01887
OG0000019	Prbn.g_01165	Prbc.g_01836
OG0000020	Prbn.g_00875	Prbc.g_02114
OG0000020	Prbn.g_00133	Prbc.g_00116
OG0000021	Prbn.g_00874	Prbc.g_00924
OG0000021	Prbn.g_01560	Prbc.g_02189
OG0000022	Prbn.g_00891	Prbc.g_00166
OG0000023	Prbn.g_01030	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Prbn.g_01353	Prbc.g_00598
OG0000024	Prbn.g_01589	Prbc.g_01755
OG0000025	Prbn.g_01510	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Prbn.g_00750	Prbc.g_01101
OG0000027	Prbn.g_00139	Prbc.g_00072
OG0000028	Prbn.g_01644	Prbc.g_00653
OG0000030	Prbn.g_00985	Prbc.g_00199
OG0000031	Prbn.g_00171	Prbc.g_01228
OG0000032	Prbn.g_00251	Prbc.g_00746
OG0000033	Prbn.g_01244	Prbc.g_00402
OG0000034	Prbn.g_01073	Prbc.g_00575
OG0000037	Prbn.g_01310	Prbc.g_00464
OG0000038	Prbn.g_00946	Prbc.g_00995
OG0000039	Prbn.g_01577	Prbc.g_01768
OG0000041	Prbn.g_01793	Prbc.g_00877
