Orthogroup	Prbn	Prau
OG0000000	Prbn.g_01662	Prau.g_01665, Prau.g_01648
OG0000002	Prbn.g_01483, Prbn.g_01478	Prau.g_01402
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prau.g_00718
OG0000004	Prbn.g_01565	Prau.g_00735
OG0000004	Prbn.g_00318	Prau.g_00233
OG0000005	Prbn.g_00899	Prau.g_01607
OG0000006	Prbn.g_00308	Prau.g_01316
OG0000007	Prbn.g_00617	Prau.g_00538
OG0000007	Prbn.g_01745	Prau.g_01732
OG0000008	Prbn.g_01645	Prau.g_00781
OG0000009	Prbn.g_00887	Prau.g_01324
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Prau.g_00515
OG0000012	Prbn.g_00867, Prbn.g_00492	Prau.g_00663
OG0000013	Prbn.g_00092	Prau.g_00329
OG0000014	Prbn.g_00074	Prau.g_00308
OG0000015	Prbn.g_01684, Prbn.g_01730	Prau.g_00817
OG0000017	Prbn.g_00517	Prau.g_00636
OG0000018	Prbn.g_01167	Prau.g_01188
OG0000018	Prbn.g_01518	Prau.g_00881
OG0000019	Prbn.g_00015	Prau.g_00251
OG0000019	Prbn.g_01165	Prau.g_00834
OG0000020	Prbn.g_00875	Prau.g_01153
OG0000020	Prbn.g_00133	Prau.g_01704
OG0000021	Prbn.g_00874	Prau.g_01680, Prau.g_00367
OG0000022	Prbn.g_00891	Prau.g_00814
OG0000023	Prbn.g_01030	Prau.g_00362
OG0000024	Prbn.g_01353	Prau.g_00796
OG0000024	Prbn.g_01589	Prau.g_00715
OG0000025	Prbn.g_01510	Prau.g_00888, Prau.g_00333
OG0000026	Prbn.g_00750	Prau.g_00030, Prau.g_01103
OG0000027	Prbn.g_00139	Prau.g_01353
OG0000028	Prbn.g_01644	Prau.g_01338
OG0000029	Prbn.g_01836	Prau.g_00378
OG0000029	Prbn.g_00126, Prbn.g_01676	Prau.g_00804
OG0000030	Prbn.g_00985	Prau.g_01935
OG0000031	Prbn.g_00171	Prau.g_01431, Prau.g_01469
OG0000033	Prbn.g_00178	Prau.g_01465
OG0000033	Prbn.g_01244	Prau.g_00170
OG0000034	Prbn.g_01073	Prau.g_01381
