Orthogroup	Prbn	Syah
OG0000001	Prbn.g_01213, Prbn.g_01923	Syah.g_00726
OG0000002	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Syah.g_01829
OG0000004	Prbn.g_01565	Syah.g_02017
OG0000004	Prbn.g_00318	Syah.g_01967, Syah.g_00901
OG0000005	Prbn.g_00899	Syah.g_02363
OG0000006	Prbn.g_00308	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prbn.g_00617	Syah.g_01016
OG0000007	Prbn.g_01745	Syah.g_02384
OG0000008	Prbn.g_01645	Syah.g_01994
OG0000008	Prbn.g_01646	Syah.g_01993
OG0000009	Prbn.g_00887	Syah.g_02457
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syah.g_01220
OG0000012	Prbn.g_00492	Syah.g_01960
OG0000013	Prbn.g_00092	Syah.g_00831, Syah.g_00817, Syah.g_00822
OG0000014	Prbn.g_00074	Syah.g_00127
OG0000015	Prbn.g_01684, Prbn.g_01730	Syah.g_01511, Syah.g_01510
OG0000016	Prbn.g_01131	Syah.g_01402, Syah.g_01859
OG0000017	Prbn.g_00510	Syah.g_01159
OG0000017	Prbn.g_00517	Syah.g_01152
OG0000018	Prbn.g_01167, Prbn.g_01518	Syah.g_01264
OG0000019	Prbn.g_00015, Prbn.g_01165	Syah.g_00669
OG0000022	Prbn.g_00891	Syah.g_01881
OG0000023	Prbn.g_01030	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prbn.g_01353, Prbn.g_01589	Syah.g_01990
OG0000025	Prbn.g_01510	Syah.g_02082
OG0000026	Prbn.g_00750	Syah.g_00340
OG0000027	Prbn.g_01664, Prbn.g_00139	Syah.g_01541
OG0000028	Prbn.g_01644	Syah.g_00141
OG0000029	Prbn.g_01836, Prbn.g_00126, Prbn.g_01676	Syah.g_01292
OG0000030	Prbn.g_00985	Syah.g_00264, Syah.g_00265
OG0000031	Prbn.g_00171	Syah.g_00226, Syah.g_00322
OG0000032	Prbn.g_00251	Syah.g_01246
OG0000033	Prbn.g_00178	Syah.g_00211
OG0000033	Prbn.g_01244	Syah.g_00078
OG0000034	Prbn.g_01073	Syah.g_00048, Syah.g_02213
OG0000035	Prbn.g_00212	Syah.g_01293
OG0000037	Prbn.g_01310	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prbn.g_00946	Syah.g_00508, Syah.g_00506
OG0000039	Prbn.g_01577	Syah.g_02074
OG0000041	Prbn.g_01793	Syah.g_02271
OG0000042	Prbn.g_00988	Syah.g_00261
OG0000045	Prbn.g_01145	Syah.g_01872
OG0000046	Prbn.g_00093	Syah.g_00816, Syah.g_00823, Syah.g_00830
OG0000047	Prbn.g_00690	Syah.g_00847
OG0000048	Prbn.g_01097, Prbn.g_00038	Syah.g_00637
OG0000052	Prbn.g_00190	Syah.g_00171
OG0000053	Prbn.g_01690, Prbn.g_00233	Syah.g_01267
OG0000054	Prbn.g_00508	Syah.g_01982
OG0000055	Prbn.g_01140	Syah.g_02071
OG0000055	Prbn.g_01719	Syah.g_01878
OG0000057	Prbn.g_01562	Syah.g_02020
