Orthogroup	Prbn	Prbb
OG0000000	Prbn.g_01151	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbn.g_01662	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbn.g_01152	Prbb.g_01123
OG0000000	Prbn.g_01663	Prbb.g_01123
OG0000000	Prbn.g_01152	Prbb.g_01352
OG0000000	Prbn.g_01663	Prbb.g_01352
OG0000000	Prbn.g_01152	Prbb.g_01403
OG0000000	Prbn.g_01663	Prbb.g_01403
OG0000000	Prbn.g_01152	Prbb.g_01787
OG0000000	Prbn.g_01663	Prbb.g_01787
OG0000000	Prbn.g_01678	Prbb.g_01145
OG0000001	Prbn.g_01213	Prbb.g_01611
OG0000001	Prbn.g_01923	Prbb.g_00474, Prbb.g_01915
OG0000002	Prbn.g_01483	Prbb.g_00844
OG0000002	Prbn.g_01159	Prbb.g_01546
OG0000002	Prbn.g_01234, Prbn.g_01161	Prbb.g_01545
OG0000002	Prbn.g_01154	Prbb.g_01550, Prbb.g_01544
OG0000002	Prbn.g_00879	Prbb.g_01549
OG0000002	Prbn.g_01586	Prbb.g_00683
OG0000004	Prbn.g_01565	Prbb.g_01450
OG0000004	Prbn.g_00318	Prbb.g_00288
OG0000005	Prbn.g_00899	Prbb.g_01766
OG0000006	Prbn.g_00308	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prbn.g_00617	Prbb.g_00501
OG0000007	Prbn.g_01745	Prbb.g_01823
OG0000008	Prbn.g_01645	Prbb.g_01884
OG0000008	Prbn.g_01646	Prbb.g_01885
OG0000010	Prbn.g_01939, Prbn.g_01357	Prbb.g_01072
OG0000010	Prbn.g_00640	Prbb.g_00477
OG0000011	Prbn.g_00802	Prbb.g_01368
OG0000012	Prbn.g_00867	Prbb.g_01111
OG0000013	Prbn.g_00092	Prbb.g_00378
OG0000014	Prbn.g_00074	Prbb.g_00357
OG0000015	Prbn.g_01684, Prbn.g_01730	Prbb.g_01158
OG0000016	Prbn.g_01131	Prbb.g_01919
OG0000017	Prbn.g_00517	Prbb.g_00605
OG0000018	Prbn.g_01167	Prbb.g_01539
OG0000018	Prbn.g_01518	Prbb.g_00812
OG0000019	Prbn.g_01165	Prbb.g_00761
OG0000020	Prbn.g_00875	Prbb.g_01071
OG0000020	Prbn.g_00133	Prbb.g_01180
OG0000021	Prbn.g_00874	Prbb.g_01914
OG0000021	Prbn.g_01560	Prbb.g_00099
OG0000022	Prbn.g_00891	Prbb.g_01231
OG0000023	Prbn.g_01030	Prbb.g_01411, Prbb.g_01373
OG0000024	Prbn.g_01353	Prbb.g_01175
OG0000024	Prbn.g_01589	Prbb.g_00680
OG0000025	Prbn.g_01510	Prbb.g_00052, Prbb.g_00818
OG0000026	Prbn.g_00750	Prbb.g_00032
OG0000027	Prbn.g_00139	Prbb.g_01375
OG0000028	Prbn.g_01644	Prbb.g_01635
OG0000029	Prbn.g_00126, Prbn.g_01676	Prbb.g_01800
OG0000030	Prbn.g_00985	Prbb.g_02073
OG0000031	Prbn.g_00171	Prbb.g_00387
OG0000032	Prbn.g_00251	Prbb.g_01723
OG0000033	Prbn.g_01244	Prbb.g_00226
OG0000034	Prbn.g_01073	Prbb.g_01596
OG0000037	Prbn.g_01310	Prbb.g_00164
OG0000038	Prbn.g_00946	Prbb.g_02129
OG0000039	Prbn.g_01577	Prbb.g_00692
OG0000041	Prbn.g_01793	Prbb.g_01868
OG0000042	Prbn.g_00988	Prbb.g_02069
OG0000043	Prbn.g_01168	Prbb.g_00909
OG0000045	Prbn.g_01145	Prbb.g_01094
OG0000046	Prbn.g_00093	Prbb.g_00379
OG0000047	Prbn.g_00690	Prbb.g_00421
OG0000048	Prbn.g_01097, Prbn.g_00038	Prbb.g_00325
OG0000051	Prbn.g_00809	Prbb.g_01383
OG0000052	Prbn.g_00724	Prbb.g_00112
OG0000053	Prbn.g_01690, Prbn.g_00233	Prbb.g_01705
OG0000054	Prbn.g_00508	Prbb.g_00607
OG0000055	Prbn.g_01140	Prbb.g_00747
OG0000055	Prbn.g_01719	Prbb.g_01897
OG0000057	Prbn.g_01562	Prbb.g_00706, Prbb.g_01359
OG0000058	Prbn.g_00172	Prbb.g_00851
OG0000059	Prbn.g_01833	Prbb.g_01946
OG0000061	Prbn.g_01189	Prbb.g_01517
OG0000062	Prbn.g_00897	Prbb.g_01768
OG0000063	Prbn.g_00130	Prbb.g_01921
OG0000065	Prbn.g_01312	Prbb.g_00162
OG0000066	Prbn.g_00577, Prbn.g_01657	Prbb.g_00542
OG0000067	Prbn.g_01546	Prbb.g_00783
OG0000068	Prbn.g_01240	Prbb.g_01639
OG0000069	Prbn.g_00659	Prbb.g_01324, Prbb.g_01729
OG0000070	Prbn.g_00663	Prbb.g_00455
OG0000071	Prbn.g_01084	Prbb.g_01586
OG0000072	Prbn.g_00383	Prbb.g_00228
OG0000073	Prbn.g_00614	Prbb.g_00503
OG0000074	Prbn.g_01928	Prbb.g_00915
OG0000074	Prbn.g_01582	Prbb.g_00687
OG0000075	Prbn.g_01917	Prbb.g_02036
OG0000076	Prbn.g_00996	Prbb.g_02061
OG0000077	Prbn.g_01342	Prbb.g_00133
OG0000078	Prbn.g_00310	Prbb.g_00297
OG0000079	Prbn.g_00018	Prbb.g_00308
OG0000081	Prbn.g_00585	Prbb.g_00534
OG0000082	Prbn.g_01734	Prbb.g_01882
OG0000084	Prbn.g_00209	Prbb.g_01683
OG0000085	Prbn.g_01737, Prbn.g_00144	Prbb.g_01816
OG0000086	Prbn.g_01333	Prbb.g_00143
OG0000087	Prbn.g_01278	Prbb.g_00196
OG0000088	Prbn.g_01247	Prbb.g_00223
OG0000089	Prbn.g_00696	Prbb.g_00416
OG0000090	Prbn.g_00583	Prbb.g_00536
OG0000091	Prbn.g_00434	Prbb.g_00643
OG0000092	Prbn.g_01616	Prbb.g_00937
OG0000093	Prbn.g_00846	Prbb.g_00768
OG0000094	Prbn.g_01369	Prbb.g_00892
OG0000095	Prbn.g_01471	Prbb.g_01070
OG0000096	Prbn.g_01049	Prbb.g_01294
OG0000097	Prbn.g_00408	Prbb.g_01470
OG0000098	Prbn.g_01216	Prbb.g_01608
OG0000099	Prbn.g_00173	Prbb.g_00388
OG0000100	Prbn.g_00903	Prbb.g_01763
OG0000101	Prbn.g_01881	Prbb.g_02001
OG0000102	Prbn.g_00991	Prbb.g_02066
OG0000103	Prbn.g_00907	Prbb.g_02174
OG0000104	Prbn.g_00296	Prbb.g_02185
OG0000105	Prbn.g_00041	Prbb.g_00327
OG0000106	Prbn.g_00829	Prbb.g_01197, Prbb.g_01329
OG0000107	Prbn.g_01810	Prbb.g_01923
OG0000108	Prbn.g_00634	Prbb.g_00484, Prbb.g_00485
OG0000109	Prbn.g_00620	Prbb.g_00498
OG0000110	Prbn.g_00541	Prbb.g_00578
OG0000111	Prbn.g_01561	Prbb.g_00707
OG0000112	Prbn.g_00468	Prbb.g_00983
OG0000113	Prbn.g_01523	Prbb.g_01218
OG0000114	Prbn.g_01621	Prbb.g_00932
OG0000115	Prbn.g_01120	Prbb.g_01780
OG0000116	Prbn.g_01178	Prbb.g_01528
OG0000117	Prbn.g_00389	Prbb.g_01399
OG0000118	Prbn.g_01071	Prbb.g_01598
OG0000119	Prbn.g_01135, Prbn.g_00885	Prbb.g_01632
OG0000120	Prbn.g_00170	Prbb.g_00678
OG0000121	Prbn.g_00214	Prbb.g_01688
OG0000122	Prbn.g_00255	Prbb.g_01727
OG0000123	Prbn.g_01888	Prbb.g_02008
OG0000124	Prbn.g_00979	Prbb.g_02079
OG0000125	Prbn.g_00944	Prbb.g_02131
OG0000126	Prbn.g_00295	Prbb.g_02183
OG0000128	Prbn.g_00002, Prbn.g_00003	Prbb.g_00012
OG0000129	Prbn.g_00737	Prbb.g_00059
OG0000130	Prbn.g_00708	Prbb.g_00124
OG0000131	Prbn.g_01269	Prbb.g_00202
OG0000132	Prbn.g_01249	Prbb.g_00221
OG0000133	Prbn.g_00088	Prbb.g_00373
OG0000134	Prbn.g_00694	Prbb.g_00418
OG0000135	Prbn.g_01102	Prbb.g_01326
