Orthogroup	Prbn	Syak
OG0000001	Prbn.g_01213, Prbn.g_01923	Syak.g_00342
OG0000004	Prbn.g_01565	Syak.g_01219, Syak.g_00720
OG0000004	Prbn.g_00318	Syak.g_00003, Syak.g_02297
OG0000005	Prbn.g_00899	Syak.g_00885, Syak.g_02436
OG0000006	Prbn.g_00308	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbn.g_00617	Syak.g_02595
OG0000007	Prbn.g_01745	Syak.g_02416
OG0000008	Prbn.g_01645	Syak.g_00267
OG0000008	Prbn.g_01646	Syak.g_00692
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syak.g_01119
OG0000011	Prbn.g_00802	Syak.g_02294
OG0000012	Prbn.g_00492	Syak.g_00010
OG0000013	Prbn.g_00092	Syak.g_01275, Syak.g_01270
OG0000014	Prbn.g_00074	Syak.g_01505
OG0000015	Prbn.g_01684, Prbn.g_01730	Syak.g_00358
OG0000016	Prbn.g_01131	Syak.g_00818
OG0000017	Prbn.g_00510	Syak.g_02738
OG0000017	Prbn.g_00517	Syak.g_02730
OG0000018	Prbn.g_01167, Prbn.g_01518	Syak.g_01072
OG0000019	Prbn.g_00015, Prbn.g_01165	Syak.g_01413
OG0000021	Prbn.g_00874	Syak.g_00566
OG0000022	Prbn.g_00891	Syak.g_00088
OG0000023	Prbn.g_01030	Syak.g_00316, Syak.g_00223
OG0000025	Prbn.g_01510	Syak.g_00610
OG0000026	Prbn.g_00750	Syak.g_01757
OG0000027	Prbn.g_01664, Prbn.g_00139	Syak.g_00127
OG0000028	Prbn.g_01644	Syak.g_01522
OG0000029	Prbn.g_01836, Prbn.g_00126, Prbn.g_01676	Syak.g_00169, Syak.g_00178
OG0000030	Prbn.g_00985	Syak.g_01684, Syak.g_01685
OG0000031	Prbn.g_00171	Syak.g_01630
OG0000032	Prbn.g_00251	Syak.g_01092
OG0000033	Prbn.g_00178, Prbn.g_01244	Syak.g_02101
OG0000034	Prbn.g_01073	Syak.g_00950, Syak.g_02133
OG0000035	Prbn.g_00212	Syak.g_01041
OG0000037	Prbn.g_01310	Syak.g_02188
OG0000038	Prbn.g_00946	Syak.g_01938, Syak.g_01936
OG0000039	Prbn.g_01577	Syak.g_00772, Syak.g_01918
OG0000041	Prbn.g_01793	Syak.g_02354
OG0000042	Prbn.g_00988	Syak.g_00843, Syak.g_01681
OG0000043	Prbn.g_01168	Syak.g_00335
OG0000045	Prbn.g_01145	Syak.g_00228
OG0000046	Prbn.g_00093	Syak.g_01276, Syak.g_01269
OG0000047	Prbn.g_00690	Syak.g_01147
OG0000048	Prbn.g_01097, Prbn.g_00038	Syak.g_01446
OG0000050	Prbn.g_01937	Syak.g_00106
OG0000052	Prbn.g_00190	Syak.g_01549
OG0000053	Prbn.g_01690, Prbn.g_00233	Syak.g_01068
OG0000054	Prbn.g_00508	Syak.g_02744
OG0000055	Prbn.g_01140	Syak.g_00766
OG0000057	Prbn.g_01562	Syak.g_00724
OG0000058	Prbn.g_00172	Syak.g_01530
OG0000059	Prbn.g_01833	Syak.g_01355
OG0000061	Prbn.g_01189	Syak.g_00898
OG0000062	Prbn.g_00897	Syak.g_02434
OG0000063	Prbn.g_00130	Syak.g_01752
OG0000064	Prbn.g_00710	Syak.g_00254, Syak.g_00126, Syak.g_00164, Syak.g_00983
OG0000065	Prbn.g_01312	Syak.g_02192, Syak.g_00282
OG0000066	Prbn.g_00577, Prbn.g_01657	Syak.g_02653
OG0000067	Prbn.g_01546	Syak.g_00434
OG0000068	Prbn.g_01240	Syak.g_02565
OG0000070	Prbn.g_00663	Syak.g_01174
OG0000071	Prbn.g_01084	Syak.g_00936
OG0000072	Prbn.g_00383	Syak.g_02099
OG0000073	Prbn.g_00614	Syak.g_02597
OG0000075	Prbn.g_01917	Syak.g_01564
OG0000076	Prbn.g_00996	Syak.g_01650
