Orthogroup	Prbn	Pram
OG0000000	Prbn.g_01151	Pram.g_01513
OG0000000	Prbn.g_01662	Pram.g_01511
OG0000000	Prbn.g_01152	Pram.g_01512
OG0000000	Prbn.g_01663	Pram.g_01512
OG0000000	Prbn.g_01678	Pram.g_01556
OG0000001	Prbn.g_01213	Pram.g_01954, Pram.g_01953
OG0000001	Prbn.g_01923	Pram.g_00719
OG0000002	Prbn.g_01483	Pram.g_00873
OG0000002	Prbn.g_01478	Pram.g_00879
OG0000002	Prbn.g_01159	Pram.g_01170
OG0000002	Prbn.g_01234	Pram.g_01471
OG0000002	Prbn.g_01161	Pram.g_01168
OG0000002	Prbn.g_01154	Pram.g_01174
OG0000002	Prbn.g_00879	Pram.g_01278
OG0000002	Prbn.g_01586	Pram.g_00768
OG0000004	Prbn.g_01565	Pram.g_00789
OG0000004	Prbn.g_00318	Pram.g_00219
OG0000005	Prbn.g_00899	Pram.g_01295
OG0000006	Prbn.g_00308	Pram.g_00229
OG0000007	Prbn.g_00617	Pram.g_00433
OG0000007	Prbn.g_01745	Pram.g_01632
OG0000008	Prbn.g_01645	Pram.g_01263
OG0000008	Prbn.g_01646	Pram.g_01262
OG0000009	Prbn.g_00887	Pram.g_00390
OG0000010	Prbn.g_01939	Pram.g_00704
OG0000010	Prbn.g_01357	Pram.g_01000
OG0000010	Prbn.g_00640	Pram.g_00410
OG0000012	Prbn.g_00492	Pram.g_00561
OG0000013	Prbn.g_00092	Pram.g_00315
OG0000014	Prbn.g_00074	Pram.g_00295
OG0000015	Prbn.g_01684, Prbn.g_01730	Pram.g_01545
OG0000016	Prbn.g_01131	Pram.g_01193
OG0000017	Prbn.g_00510	Pram.g_00542
OG0000017	Prbn.g_00517	Pram.g_00535
OG0000018	Prbn.g_01167	Pram.g_01162
OG0000018	Prbn.g_01518	Pram.g_00837
OG0000019	Prbn.g_00015	Pram.g_00237
OG0000019	Prbn.g_01165	Pram.g_01164
OG0000020	Prbn.g_00875	Pram.g_01275
OG0000020	Prbn.g_00133	Pram.g_01516
OG0000021	Prbn.g_00874	Pram.g_01274
OG0000021	Prbn.g_01560	Pram.g_00794
OG0000022	Prbn.g_00891	Pram.g_01287
OG0000023	Prbn.g_01030	Pram.g_00689
OG0000024	Prbn.g_01353	Pram.g_01004
OG0000024	Prbn.g_01589	Pram.g_00765
OG0000025	Prbn.g_01510	Pram.g_00844
OG0000026	Prbn.g_00750	Pram.g_00018
OG0000028	Prbn.g_01644	Pram.g_00363
OG0000029	Prbn.g_01836	Pram.g_01723
OG0000029	Prbn.g_00126, Prbn.g_01676	Pram.g_01529
OG0000030	Prbn.g_00985	Pram.g_01844
OG0000031	Prbn.g_00171	Pram.g_01413
OG0000032	Prbn.g_00251	Pram.g_01339
OG0000033	Prbn.g_01244	Pram.g_00154
OG0000034	Prbn.g_01073	Pram.g_01240
OG0000035	Prbn.g_00212	Pram.g_01378
OG0000037	Prbn.g_01310	Pram.g_00093
OG0000038	Prbn.g_00946	Pram.g_01884
OG0000039	Prbn.g_01577	Pram.g_00777
OG0000041	Prbn.g_01793	Pram.g_01680
OG0000042	Prbn.g_00988	Pram.g_01841
OG0000043	Prbn.g_01168	Pram.g_01161
OG0000045	Prbn.g_01145	Pram.g_01184
OG0000046	Prbn.g_00093	Pram.g_00316
OG0000047	Prbn.g_00690	Pram.g_00359
OG0000048	Prbn.g_00038	Pram.g_00259
OG0000050	Prbn.g_01937	Pram.g_00706
OG0000052	Prbn.g_00724	Pram.g_00040
OG0000052	Prbn.g_00190	Pram.g_01436
OG0000053	Prbn.g_01690	Pram.g_01580
OG0000053	Prbn.g_00233	Pram.g_01357
OG0000054	Prbn.g_00508	Pram.g_00544
OG0000055	Prbn.g_01140	Pram.g_01189
OG0000055	Prbn.g_01719	Pram.g_01617
OG0000057	Prbn.g_01562	Pram.g_00792
OG0000058	Prbn.g_00172	Pram.g_01447
OG0000059	Prbn.g_01833	Pram.g_01719
OG0000061	Prbn.g_01189	Pram.g_01140
OG0000062	Prbn.g_00897	Pram.g_01293
OG0000063	Prbn.g_00130	Pram.g_01258
OG0000064	Prbn.g_00710	Pram.g_00052
OG0000065	Prbn.g_01312	Pram.g_00091
OG0000066	Prbn.g_00577, Prbn.g_01657	Pram.g_01558
OG0000067	Prbn.g_01546	Pram.g_00809
OG0000068	Prbn.g_01240	Pram.g_01468
OG0000069	Prbn.g_00659	Pram.g_00391
OG0000070	Prbn.g_00663	Pram.g_00385
OG0000071	Prbn.g_01084	Pram.g_01230
OG0000072	Prbn.g_00383	Pram.g_00156
OG0000073	Prbn.g_00614	Pram.g_00437
OG0000074	Prbn.g_01038	Pram.g_00684
OG0000074	Prbn.g_01928	Pram.g_00715
OG0000074	Prbn.g_01582	Pram.g_00772
OG0000075	Prbn.g_01917	Pram.g_01807
OG0000076	Prbn.g_00996	Pram.g_01833
OG0000077	Prbn.g_01342	Pram.g_00063
OG0000078	Prbn.g_00310	Pram.g_00227
OG0000079	Prbn.g_00018	Pram.g_00240
OG0000081	Prbn.g_00585	Pram.g_00469
OG0000082	Prbn.g_01734	Pram.g_01559
OG0000084	Prbn.g_00209	Pram.g_01384
OG0000085	Prbn.g_01737, Prbn.g_00144	Pram.g_01265
OG0000086	Prbn.g_01333	Pram.g_00072
OG0000087	Prbn.g_01278	Pram.g_00125
OG0000088	Prbn.g_01247	Pram.g_00151
OG0000089	Prbn.g_00696	Pram.g_00352
OG0000090	Prbn.g_00583	Pram.g_00471
OG0000091	Prbn.g_00434	Pram.g_01068
OG0000092	Prbn.g_01616	Pram.g_00739
OG0000093	Prbn.g_00846	Pram.g_01038
OG0000094	Prbn.g_01369	Pram.g_00987
OG0000095	Prbn.g_01471	Pram.g_00888
OG0000096	Prbn.g_01049	Pram.g_01505, Pram.g_00621
OG0000097	Prbn.g_00408	Pram.g_01093
OG0000098	Prbn.g_01216	Pram.g_01478
OG0000099	Prbn.g_00173	Pram.g_01445
OG0000100	Prbn.g_00903	Pram.g_01298
