Orthogroup	Prbn	Syaa
OG0000004	Prbn.g_01565	Syaa.g_00892
OG0000004	Prbn.g_00318	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbn.g_00899	Syaa.g_00573
OG0000006	Prbn.g_00308	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbn.g_00617	Syaa.g_02032
OG0000007	Prbn.g_01745	Syaa.g_00551
OG0000008	Prbn.g_01645	Syaa.g_00918
OG0000008	Prbn.g_01646	Syaa.g_00919
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Syaa.g_01843
OG0000012	Prbn.g_00492	Syaa.g_01660
OG0000013	Prbn.g_00092	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prbn.g_00074	Syaa.g_00222
OG0000015	Prbn.g_01684, Prbn.g_01730	Syaa.g_01079, Syaa.g_01989
OG0000016	Prbn.g_01131	Syaa.g_00981, Syaa.g_01481
OG0000017	Prbn.g_00510	Syaa.g_01883
OG0000017	Prbn.g_00517	Syaa.g_01890
OG0000018	Prbn.g_01167, Prbn.g_01518	Syaa.g_01801
OG0000019	Prbn.g_00015, Prbn.g_01165	Syaa.g_00307
OG0000021	Prbn.g_01560	Syaa.g_02627
OG0000022	Prbn.g_00891	Syaa.g_01571
OG0000023	Prbn.g_01030	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbn.g_01353, Prbn.g_01589	Syaa.g_00922
OG0000025	Prbn.g_01510	Syaa.g_00839
OG0000026	Prbn.g_00750	Syaa.g_00038
OG0000027	Prbn.g_01664, Prbn.g_00139	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbn.g_01644	Syaa.g_00205
OG0000029	Prbn.g_01836, Prbn.g_00126, Prbn.g_01676	Syaa.g_01578
OG0000030	Prbn.g_00985	Syaa.g_00099, Syaa.g_00098
OG0000031	Prbn.g_00171	Syaa.g_00480
OG0000032	Prbn.g_00251	Syaa.g_01818
OG0000033	Prbn.g_00178	Syaa.g_00485
OG0000033	Prbn.g_01244	Syaa.g_02478
OG0000034	Prbn.g_01073	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbn.g_00212	Syaa.g_01773
OG0000037	Prbn.g_01310	Syaa.g_02384
OG0000038	Prbn.g_00946	Syaa.g_02596
