Orthogroup	Prax	Pral
OG0000000	Prax.g_01917	Pral.g_01331
OG0000000	Prax.g_01608, Prax.g_00496	Pral.g_00037
OG0000001	Prax.g_00522	Pral.g_01296
OG0000002	Prax.g_01870	Pral.g_01549, Pral.g_01554
OG0000002	Prax.g_00964	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Prax.g_00947	Pral.g_01743
OG0000004	Prax.g_00986	Pral.g_00809
OG0000005	Prax.g_01652	Pral.g_01075
OG0000006	Prax.g_01972	Pral.g_00797
OG0000007	Prax.g_00704	Pral.g_00593
OG0000007	Prax.g_01559	Pral.g_00107
OG0000009	Prax.g_01950	Pral.g_01065, Pral.g_01163
OG0000010	Prax.g_00728	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000011	Prax.g_00454	Pral.g_00064
OG0000012	Prax.g_00082	Pral.g_00015
OG0000013	Prax.g_00846	Pral.g_00712
OG0000014	Prax.g_00869	Pral.g_00732
OG0000014	Prax.g_01763	Pral.g_01261
OG0000015	Prax.g_00523, Prax.g_00410	Pral.g_01813
OG0000017	Prax.g_00057	Pral.g_00491
OG0000018	Prax.g_00181	Pral.g_01346
OG0000018	Prax.g_00346	Pral.g_01516
OG0000019	Prax.g_00926	Pral.g_00790
OG0000019	Prax.g_00393	Pral.g_01344
OG0000020	Prax.g_00138	Pral.g_01038
OG0000021	Prax.g_01587, Prax.g_00808	Pral.g_01667
OG0000022	Prax.g_00415	Pral.g_00044
OG0000023	Prax.g_00813	Pral.g_01687
OG0000024	Prax.g_00432	Pral.g_01895
OG0000025	Prax.g_00338, Prax.g_00842	Pral.g_01523
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Pral.g_01012
OG0000027	Prax.g_01916	Pral.g_01036
OG0000028	Prax.g_00855	Pral.g_00719
OG0000029	Prax.g_00425	Pral.g_01890
OG0000030	Prax.g_01404	Pral.g_00316
OG0000031	Prax.g_01831	Pral.g_01193
OG0000033	Prax.g_01049	Pral.g_00874
OG0000034	Prax.g_01889	Pral.g_01271
OG0000035	Prax.g_01728, Prax.g_01733	Pral.g_01161
OG0000037	Prax.g_01110	Pral.g_00938
OG0000038	Prax.g_01445	Pral.g_00356
OG0000039	Prax.g_00956	Pral.g_01755
OG0000041	Prax.g_01512	Pral.g_00155
OG0000042	Prax.g_01401	Pral.g_00313
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Pral.g_01347
OG0000045	Prax.g_00802	Pral.g_01322
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Pral.g_00768
OG0000050	Prax.g_00448, Prax.g_00508	Pral.g_01829
OG0000053	Prax.g_01708	Pral.g_00066, Pral.g_01139
OG0000054	Prax.g_00065	Pral.g_00482
OG0000055	Prax.g_00392	Pral.g_01670
OG0000057	Prax.g_00944	Pral.g_01740
OG0000058	Prax.g_01823	Pral.g_01202
OG0000059	Prax.g_01286	Pral.g_00195
OG0000061	Prax.g_00200	Pral.g_01367
OG0000062	Prax.g_01650	Pral.g_01073
OG0000065	Prax.g_01112	Pral.g_00940
OG0000066	Prax.g_00662	Pral.g_00551
OG0000067	Prax.g_00373	Pral.g_01488
OG0000068	Prax.g_01863	Pral.g_01222
OG0000069	Prax.g_01616	Pral.g_01114, Pral.g_01164
OG0000070	Prax.g_00750	Pral.g_00643
OG0000071	Prax.g_01899	Pral.g_01281
OG0000072	Prax.g_01047	Pral.g_00872
OG0000073	Prax.g_00702	Pral.g_00591
OG0000074	Prax.g_00960	Pral.g_01760
OG0000075	Prax.g_01370	Pral.g_00279
OG0000076	Prax.g_01394	Pral.g_00305
OG0000077	Prax.g_00649	Pral.g_00969
OG0000078	Prax.g_00979	Pral.g_00800
OG0000079	Prax.g_00923	Pral.g_00787
OG0000081	Prax.g_00670	Pral.g_00559
OG0000082	Prax.g_00045	Pral.g_00057
OG0000083	Prax.g_00437, Prax.g_01924, Prax.g_00444	Pral.g_01898
OG0000084	Prax.g_01737	Pral.g_01169
OG0000085	Prax.g_01566	Pral.g_00099
OG0000086	Prax.g_00659	Pral.g_00959
OG0000087	Prax.g_01079	Pral.g_00906
OG0000088	Prax.g_01052	Pral.g_00878
OG0000089	Prax.g_00817	Pral.g_00676
OG0000090	Prax.g_00668	Pral.g_00557
OG0000091	Prax.g_00101	Pral.g_01443
OG0000092	Prax.g_00566	Pral.g_01794
OG0000093	Prax.g_01769, Prax.g_00588	Pral.g_01472
OG0000094	Prax.g_01185	Pral.g_01604
OG0000095	Prax.g_01204	Pral.g_01561
OG0000096	Prax.g_00500, Prax.g_00141, Prax.g_01936	Pral.g_00444
OG0000097	Prax.g_00241	Pral.g_01416
OG0000098	Prax.g_01881	Pral.g_01239
OG0000099	Prax.g_01825	Pral.g_01201
OG0000100	Prax.g_01654	Pral.g_01078
OG0000101	Prax.g_01338	Pral.g_00243
OG0000102	Prax.g_01399	Pral.g_00310
OG0000103	Prax.g_01478	Pral.g_00397
OG0000104	Prax.g_01486	Pral.g_00406
OG0000105	Prax.g_00901	Pral.g_00765
OG0000106	Prax.g_00803	Pral.g_01859
OG0000107	Prax.g_00790	Pral.g_00171
OG0000108	Prax.g_00722	Pral.g_00611
OG0000109	Prax.g_00707	Pral.g_00596
OG0000110	Prax.g_00035	Pral.g_00513
OG0000111	Prax.g_00943	Pral.g_01739
OG0000112	Prax.g_00409	Pral.g_01635
OG0000113	Prax.g_00351	Pral.g_01511
OG0000114	Prax.g_00561	Pral.g_01799
OG0000115	Prax.g_00132	Pral.g_01141
OG0000116	Prax.g_00190	Pral.g_01356
OG0000117	Prax.g_01959	Pral.g_01398, Pral.g_01397
OG0000118	Prax.g_01887	Pral.g_01269
OG0000119	Prax.g_01867	Pral.g_01861, Pral.g_01063
OG0000120	Prax.g_01832	Pral.g_00702
OG0000121	Prax.g_01726	Pral.g_01159
OG0000122	Prax.g_01688	Pral.g_01116
OG0000123	Prax.g_01345	Pral.g_00250
OG0000124	Prax.g_01410	Pral.g_00322
OG0000125	Prax.g_01447	Pral.g_00358
OG0000126	Prax.g_01485	Pral.g_00405
OG0000128	Prax.g_01974	Pral.g_00421
OG0000129	Prax.g_00269	Pral.g_01000
OG0000130	Prax.g_00640	Pral.g_00978
OG0000131	Prax.g_01073	Pral.g_00900
OG0000132	Prax.g_01054	Pral.g_00880
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Pral.g_00717
OG0000134	Prax.g_01573, Prax.g_00816	Pral.g_00674
OG0000135	Prax.g_00792	Pral.g_01034
OG0000136	Prax.g_00759	Pral.g_00653
OG0000137	Prax.g_00727	Pral.g_00617
OG0000138	Prax.g_00706	Pral.g_00595
OG0000139	Prax.g_00664	Pral.g_00553
OG0000140	Prax.g_00663	Pral.g_00552
OG0000141	Prax.g_00066	Pral.g_00481
OG0000142	Prax.g_00094	Pral.g_01436
OG0000143	Prax.g_00098	Pral.g_01440
OG0000144	Prax.g_00111	Pral.g_01453
OG0000145	Prax.g_00413	Pral.g_01037
OG0000146	Prax.g_00408	Pral.g_01636
OG0000147	Prax.g_00407	Pral.g_01637
OG0000148	Prax.g_00357	Pral.g_01505
OG0000149	Prax.g_00326	Pral.g_01535
OG0000150	Prax.g_00318	Pral.g_01545
OG0000151	Prax.g_00571	Pral.g_01789
OG0000152	Prax.g_01129	Pral.g_01627
OG0000153	Prax.g_01148	Pral.g_01578
OG0000154	Prax.g_01178	Pral.g_01595
OG0000155	Prax.g_00220	Pral.g_01390
OG0000156	Prax.g_01910	Pral.g_01292
OG0000157	Prax.g_01909	Pral.g_01291
OG0000158	Prax.g_01780	Pral.g_00287
OG0000159	Prax.g_01824	Pral.g_01263
OG0000160	Prax.g_01727	Pral.g_01160
OG0000161	Prax.g_01721	Pral.g_01154
OG0000162	Prax.g_01715	Pral.g_01148
OG0000163	Prax.g_01681	Pral.g_01106
OG0000164	Prax.g_01535	Pral.g_00131
OG0000165	Prax.g_01528	Pral.g_00138
OG0000166	Prax.g_01302	Pral.g_00206
OG0000167	Prax.g_01368	Pral.g_00277
OG0000168	Prax.g_01378	Pral.g_00288
OG0000169	Prax.g_01388	Pral.g_00298
OG0000170	Prax.g_01390	Pral.g_00301
OG0000171	Prax.g_01409	Pral.g_00321
OG0000172	Prax.g_01418	Pral.g_00328
OG0000173	Prax.g_01433	Pral.g_00343
OG0000174	Prax.g_01460	Pral.g_00375
OG0000175	Prax.g_01470	Pral.g_00387
OG0000176	Prax.g_01494	Pral.g_00414
OG0000177	Prax.g_01495	Pral.g_00415
OG0000178	Prax.g_01496	Pral.g_00416
OG0000179	Prax.g_00297	Pral.g_01028
OG0000180	Prax.g_00296	Pral.g_01027
OG0000181	Prax.g_00295	Pral.g_01026
OG0000182	Prax.g_00294	Pral.g_01025
OG0000183	Prax.g_00290	Pral.g_01021
OG0000184	Prax.g_00621	Pral.g_00996
OG0000185	Prax.g_00624	Pral.g_00993
OG0000186	Prax.g_00635	Pral.g_00984
OG0000187	Prax.g_00636	Pral.g_00983
OG0000188	Prax.g_00653	Pral.g_00965
OG0000189	Prax.g_01122	Pral.g_00951
OG0000190	Prax.g_01121	Pral.g_00950
OG0000191	Prax.g_01101	Pral.g_00928
OG0000192	Prax.g_01097	Pral.g_00923
OG0000193	Prax.g_01072	Pral.g_00899
OG0000194	Prax.g_01069	Pral.g_00896
OG0000195	Prax.g_01067	Pral.g_00894
OG0000196	Prax.g_01057	Pral.g_00883
OG0000197	Prax.g_01056	Pral.g_00882
OG0000198	Prax.g_01055	Pral.g_00881
OG0000199	Prax.g_01048	Pral.g_00873
OG0000200	Prax.g_01034	Pral.g_00860
OG0000201	Prax.g_01026	Pral.g_00851
OG0000202	Prax.g_01025	Pral.g_00850
OG0000203	Prax.g_01024	Pral.g_00849
OG0000204	Prax.g_01023	Pral.g_00848
OG0000205	Prax.g_01016	Pral.g_00842
OG0000206	Prax.g_01011	Pral.g_00837
OG0000207	Prax.g_01009	Pral.g_00835
OG0000208	Prax.g_01008	Pral.g_00834
OG0000209	Prax.g_00999	Pral.g_00825
OG0000210	Prax.g_00998	Pral.g_00824
OG0000211	Prax.g_00985	Pral.g_00807
OG0000212	Prax.g_00978	Pral.g_00799
OG0000213	Prax.g_00918	Pral.g_00781
OG0000214	Prax.g_00908	Pral.g_00772
OG0000215	Prax.g_00883	Pral.g_00746
OG0000216	Prax.g_00881	Pral.g_00744
OG0000217	Prax.g_00878	Pral.g_00741
OG0000218	Prax.g_00876	Pral.g_00739
OG0000219	Prax.g_00875	Pral.g_00738
OG0000220	Prax.g_00874	Pral.g_00737
OG0000221	Prax.g_00873	Pral.g_00736
OG0000222	Prax.g_00865	Pral.g_00729
OG0000223	Prax.g_00850	Pral.g_00716
OG0000224	Prax.g_00848	Pral.g_00714
OG0000225	Prax.g_00827	Pral.g_00686
OG0000226	Prax.g_00823	Pral.g_00682
OG0000227	Prax.g_00821	Pral.g_00680
OG0000228	Prax.g_00818	Pral.g_00677
OG0000229	Prax.g_00764	Pral.g_00658
OG0000230	Prax.g_00762	Pral.g_00656
OG0000231	Prax.g_00751	Pral.g_00644
OG0000232	Prax.g_00743	Pral.g_00631
OG0000233	Prax.g_00738	Pral.g_00625
OG0000234	Prax.g_00726	Pral.g_00616
OG0000235	Prax.g_00723	Pral.g_00612
OG0000236	Prax.g_00708	Pral.g_00597
OG0000237	Prax.g_00695	Pral.g_00584
OG0000238	Prax.g_00689	Pral.g_00578
OG0000239	Prax.g_00676	Pral.g_00565
OG0000240	Prax.g_00675	Pral.g_00564
OG0000241	Prax.g_00671	Pral.g_00560
OG0000242	Prax.g_00669	Pral.g_00558
OG0000243	Prax.g_00004	Pral.g_00547
OG0000244	Prax.g_00007	Pral.g_00544
OG0000245	Prax.g_00009	Pral.g_00542
OG0000246	Prax.g_00013	Pral.g_00538
OG0000247	Prax.g_00023	Pral.g_00527
OG0000248	Prax.g_00025	Pral.g_00524
OG0000249	Prax.g_00027	Pral.g_00522
OG0000250	Prax.g_00032	Pral.g_00516
OG0000251	Prax.g_00050	Pral.g_00498
OG0000252	Prax.g_00053	Pral.g_00495
OG0000253	Prax.g_00054	Pral.g_00494
OG0000254	Prax.g_00070	Pral.g_00477
OG0000255	Prax.g_00076	Pral.g_00470
OG0000256	Prax.g_00086	Pral.g_00460
OG0000257	Prax.g_00089	Pral.g_01430
OG0000258	Prax.g_00102	Pral.g_01444
OG0000259	Prax.g_00119	Pral.g_01461
OG0000260	Prax.g_00122	Pral.g_01464
OG0000261	Prax.g_00977	Pral.g_01467
OG0000262	Prax.g_00973	Pral.g_01471
OG0000263	Prax.g_00961	Pral.g_01761
OG0000264	Prax.g_00951	Pral.g_01750
OG0000265	Prax.g_00485	Pral.g_01729
OG0000266	Prax.g_00475	Pral.g_01719
OG0000267	Prax.g_00464	Pral.g_01706
OG0000268	Prax.g_00463	Pral.g_01705
OG0000269	Prax.g_00378	Pral.g_01483
OG0000270	Prax.g_00375	Pral.g_01486
OG0000271	Prax.g_00367	Pral.g_01494
OG0000272	Prax.g_00366	Pral.g_01495
OG0000273	Prax.g_00343	Pral.g_01518
OG0000274	Prax.g_00342	Pral.g_01519
OG0000275	Prax.g_00339	Pral.g_01522
OG0000276	Prax.g_00334	Pral.g_01527
OG0000277	Prax.g_00333	Pral.g_01528
OG0000278	Prax.g_00330	Pral.g_01531
OG0000279	Prax.g_00323	Pral.g_01538
OG0000280	Prax.g_00322	Pral.g_01539
OG0000281	Prax.g_00317	Pral.g_01546
OG0000282	Prax.g_00563	Pral.g_01797
OG0000283	Prax.g_00597	Pral.g_01655
OG0000284	Prax.g_00602	Pral.g_01650
OG0000285	Prax.g_00607	Pral.g_01644
OG0000286	Prax.g_00619	Pral.g_01628
OG0000287	Prax.g_01145	Pral.g_00050
OG0000288	Prax.g_01177	Pral.g_01594
OG0000289	Prax.g_01188	Pral.g_01609
OG0000290	Prax.g_01201	Pral.g_01564
OG0000291	Prax.g_01203	Pral.g_01562
OG0000292	Prax.g_01759, Prax.g_01254	Pral.g_01316
OG0000293	Prax.g_00191	Pral.g_01357
OG0000294	Prax.g_00192	Pral.g_01358
OG0000295	Prax.g_00212	Pral.g_01382
OG0000296	Prax.g_00214	Pral.g_01384
OG0000297	Prax.g_00222	Pral.g_01394
OG0000298	Prax.g_00223	Pral.g_01395
OG0000299	Prax.g_00240	Pral.g_01415
OG0000300	Prax.g_00243	Pral.g_01419
OG0000301	Prax.g_00244	Pral.g_01420
OG0000302	Prax.g_00246	Pral.g_01422
OG0000303	Prax.g_00253	Pral.g_01428
OG0000304	Prax.g_00257	Pral.g_00455
OG0000305	Prax.g_01871	Pral.g_01323
OG0000306	Prax.g_01868	Pral.g_01550
OG0000307	Prax.g_01854	Pral.g_01213
OG0000308	Prax.g_01853	Pral.g_01212
OG0000309	Prax.g_01849	Pral.g_01208
OG0000310	Prax.g_01748	Pral.g_01181
OG0000311	Prax.g_01746	Pral.g_01179
OG0000312	Prax.g_01743	Pral.g_01176
OG0000313	Prax.g_01724	Pral.g_01157
OG0000314	Prax.g_01701	Pral.g_01133
OG0000315	Prax.g_01691	Pral.g_01123
OG0000316	Prax.g_01671	Pral.g_01095
OG0000317	Prax.g_01561	Pral.g_00104
OG0000318	Prax.g_01558	Pral.g_00108
OG0000319	Prax.g_01545	Pral.g_00121
OG0000320	Prax.g_01543	Pral.g_00123
OG0000321	Prax.g_01542	Pral.g_00124
OG0000322	Prax.g_01541	Pral.g_00125
OG0000323	Prax.g_01532	Pral.g_00134
OG0000324	Prax.g_01505	Pral.g_00162
OG0000325	Prax.g_01263	Pral.g_00172
OG0000326	Prax.g_01269	Pral.g_00179
