Orthogroup	Prax	Syao
OG0000001	Prax.g_01878, Prax.g_00522	Syao.g_00314
OG0000004	Prax.g_00947	Syao.g_02374
OG0000004	Prax.g_00986	Syao.g_01271, Syao.g_01007
OG0000005	Prax.g_01546	Syao.g_01680
OG0000005	Prax.g_01652	Syao.g_01578
OG0000006	Prax.g_01972	Syao.g_01518
OG0000007	Prax.g_00704	Syao.g_00105
OG0000007	Prax.g_01559	Syao.g_01554
OG0000010	Prax.g_01212, Prax.g_00728	Syao.g_02683
OG0000011	Prax.g_01930, Prax.g_00460, Prax.g_00776, Prax.g_00454	Syao.g_01282
OG0000012	Prax.g_00082	Syao.g_01193
OG0000013	Prax.g_00846	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prax.g_00869	Syao.g_02027
OG0000015	Prax.g_00523, Prax.g_00410	Syao.g_00302
OG0000017	Prax.g_00057	Syao.g_00997
OG0000018	Prax.g_00181, Prax.g_00346	Syao.g_00071
OG0000019	Prax.g_00926, Prax.g_00393	Syao.g_02108
OG0000021	Prax.g_01587, Prax.g_00808	Syao.g_01002
OG0000022	Prax.g_00415, Prax.g_00157	Syao.g_01218
OG0000023	Prax.g_00813	Syao.g_01266
OG0000025	Prax.g_00338, Prax.g_00842	Syao.g_00436, Syao.g_00437
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syao.g_02234
OG0000027	Prax.g_01916	Syao.g_00202
OG0000028	Prax.g_00855	Syao.g_02012
OG0000030	Prax.g_01404	Syao.g_02189, Syao.g_02188
OG0000031	Prax.g_01831	Syao.g_01083
OG0000032	Prax.g_01838	Syao.g_01984, Syao.g_01983
OG0000033	Prax.g_01049	Syao.g_02507
OG0000035	Prax.g_01728, Prax.g_01733	Syao.g_01486
OG0000037	Prax.g_01110	Syao.g_00374
OG0000038	Prax.g_01445	Syao.g_02440, Syao.g_02442
OG0000039	Prax.g_00956	Syao.g_00704
OG0000042	Prax.g_01401	Syao.g_00019, Syao.g_01941
OG0000045	Prax.g_00802	Syao.g_01214, Syao.g_00148
OG0000047	Prax.g_00843	Syao.g_01899
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syao.g_02077
OG0000051	Prax.g_01927	Syao.g_01261
OG0000053	Prax.g_01708	Syao.g_00067
OG0000059	Prax.g_01286	Syao.g_01959
OG0000060	Prax.g_00517	Syao.g_00312
OG0000061	Prax.g_00200	Syao.g_00123
OG0000063	Prax.g_00280	Syao.g_02230
OG0000065	Prax.g_01112	Syao.g_02600
OG0000066	Prax.g_00662	Syao.g_01422
OG0000067	Prax.g_00373	Syao.g_00756
OG0000068	Prax.g_01863	Syao.g_00868, Syao.g_00036
OG0000069	Prax.g_01616	Syao.g_00313
OG0000070	Prax.g_00750	Syao.g_00330
OG0000071	Prax.g_01899	Syao.g_01433
OG0000072	Prax.g_01047	Syao.g_02509, Syao.g_01749
OG0000073	Prax.g_00702	Syao.g_00103
