Orthogroup	Prax	Prbk
OG0000000	Prax.g_01608, Prax.g_00496	Prbk.g_00165
OG0000000	Prax.g_01919, Prax.g_01606	Prbk.g_00167, Prbk.g_00166
OG0000001	Prax.g_01878, Prax.g_00522	Prbk.g_01196, Prbk.g_00170
OG0000002	Prax.g_01870	Prbk.g_02574
OG0000002	Prax.g_00964	Prbk.g_01649
OG0000004	Prax.g_00947	Prbk.g_01760
OG0000004	Prax.g_00986	Prbk.g_01134
OG0000005	Prax.g_01652	Prbk.g_00933
OG0000006	Prax.g_01972	Prbk.g_02695
OG0000007	Prax.g_01559	Prbk.g_00907
OG0000010	Prax.g_00728	Prbk.g_02112
OG0000011	Prax.g_01930, Prax.g_00460	Prbk.g_01851
OG0000012	Prax.g_00082	Prbk.g_02610
OG0000013	Prax.g_00846	Prbk.g_00853
OG0000014	Prax.g_00869	Prbk.g_00454
OG0000015	Prax.g_00523, Prax.g_00410	Prbk.g_02558
OG0000017	Prax.g_00057	Prbk.g_01142
OG0000018	Prax.g_00181, Prax.g_00346	Prbk.g_01227
OG0000019	Prax.g_00926, Prax.g_00393	Prbk.g_01644
OG0000020	Prax.g_00138	Prbk.g_01664
OG0000021	Prax.g_01587, Prax.g_00808	Prbk.g_01960
OG0000022	Prax.g_00415	Prbk.g_00212
OG0000022	Prax.g_00157	Prbk.g_01667
OG0000023	Prax.g_00813	Prbk.g_02448
OG0000024	Prax.g_00432, Prax.g_00967	Prbk.g_01780
OG0000025	Prax.g_00338, Prax.g_00842	Prbk.g_02531
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Prbk.g_01617
OG0000028	Prax.g_00855	Prbk.g_00469
OG0000029	Prax.g_00425	Prbk.g_00833
OG0000030	Prax.g_01404	Prbk.g_01532, Prbk.g_01533
OG0000032	Prax.g_01838	Prbk.g_00480
OG0000033	Prax.g_01049	Prbk.g_00776
OG0000034	Prax.g_01889	Prbk.g_01171
OG0000035	Prax.g_01728, Prax.g_01733	Prbk.g_00259
OG0000037	Prax.g_01110	Prbk.g_00007
OG0000038	Prax.g_01445	Prbk.g_02164, Prbk.g_02166
OG0000039	Prax.g_00956	Prbk.g_01385, Prbk.g_00642
OG0000041	Prax.g_01512	Prbk.g_01406
OG0000042	Prax.g_01401	Prbk.g_01495, Prbk.g_00140
OG0000045	Prax.g_00802	Prbk.g_01321
OG0000047	Prax.g_00843	Prbk.g_01202
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Prbk.g_00405
OG0000051	Prax.g_01927	Prbk.g_01709
OG0000053	Prax.g_01708	Prbk.g_01230
OG0000054	Prax.g_00065	Prbk.g_01153
OG0000057	Prax.g_00944	Prbk.g_01765
OG0000059	Prax.g_01286	Prbk.g_00533
OG0000062	Prax.g_01650	Prbk.g_00931
OG0000063	Prax.g_00280	Prbk.g_01613
OG0000065	Prax.g_01112	Prbk.g_00011
OG0000066	Prax.g_00662	Prbk.g_01094
