Orthogroup	Prax	Prap
OG0000000	Prax.g_01608, Prax.g_00496	Prap.g_01862
OG0000002	Prax.g_01870	Prap.g_00720, Prap.g_00715
OG0000002	Prax.g_00964	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Prax.g_00947	Prap.g_00802
OG0000004	Prax.g_00986	Prap.g_01480
OG0000005	Prax.g_01652	Prap.g_00204
OG0000006	Prax.g_01972	Prap.g_01470
OG0000007	Prax.g_00704	Prap.g_01270
OG0000007	Prax.g_01559	Prap.g_01779
OG0000009	Prax.g_01950	Prap.g_00216
OG0000010	Prax.g_00728	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000011	Prax.g_00776	Prap.g_00619
OG0000012	Prax.g_00082	Prap.g_00236, Prap.g_01145
OG0000013	Prax.g_00846	Prap.g_01385
OG0000014	Prax.g_00869	Prap.g_01403
OG0000015	Prax.g_00523, Prax.g_00410	Prap.g_01840, Prap.g_01794
OG0000017	Prax.g_00057	Prap.g_01170
OG0000018	Prax.g_00181	Prap.g_00478
OG0000018	Prax.g_00346	Prap.g_00755
OG0000019	Prax.g_00926	Prap.g_01462
OG0000019	Prax.g_00393	Prap.g_00480
OG0000020	Prax.g_00138	Prap.g_00228
OG0000021	Prax.g_01587, Prax.g_00808	Prap.g_00229
OG0000022	Prax.g_00415	Prap.g_00212
OG0000023	Prax.g_00813	Prap.g_00029
OG0000024	Prax.g_00432	Prap.g_00322
OG0000024	Prax.g_00967	Prap.g_00826
OG0000025	Prax.g_00338, Prax.g_00842	Prap.g_00747
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Prap.g_00923
OG0000027	Prax.g_01916	Prap.g_01912
OG0000029	Prax.g_00798	Prap.g_01688
OG0000029	Prax.g_00425	Prap.g_01899, Prap.g_01848
OG0000030	Prax.g_01404	Prap.g_01569
OG0000031	Prax.g_01831	Prap.g_00080
OG0000033	Prax.g_01049	Prap.g_01001
OG0000034	Prax.g_01889	Prap.g_00572
OG0000037	Prax.g_01110	Prap.g_01067
OG0000038	Prax.g_01445	Prap.g_01530
OG0000039	Prax.g_00956	Prap.g_00814
OG0000041	Prax.g_01512	Prap.g_01731
OG0000042	Prax.g_01401	Prap.g_01572
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Prap.g_00477
OG0000045	Prax.g_00802	Prap.g_00500
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Prap.g_01439
OG0000050	Prax.g_00448, Prax.g_00508	Prap.g_00667
OG0000053	Prax.g_01708	Prap.g_01834, Prap.g_00142
OG0000054	Prax.g_00065	Prap.g_01161
OG0000055	Prax.g_00392	Prap.g_00505
OG0000057	Prax.g_00944	Prap.g_00799
OG0000058	Prax.g_01823	Prap.g_00081
OG0000059	Prax.g_01286	Prap.g_01691
OG0000061	Prax.g_00200	Prap.g_00456
OG0000062	Prax.g_01650	Prap.g_00206
