Orthogroup	Prax	Syab
OG0000000	Prax.g_01917, Prax.g_00494, Prax.g_01608, Prax.g_00496, Prax.g_00259, Prax.g_01609, Prax.g_01920, Prax.g_01919, Prax.g_01606	Syab.g_01226
OG0000001	Prax.g_01878, Prax.g_00522	Syab.g_01549
OG0000002	Prax.g_01870, Prax.g_00964	Syab.g_02285
OG0000004	Prax.g_00947	Syab.g_00549, Syab.g_01193
OG0000004	Prax.g_00986	Syab.g_01911, Syab.g_02377
OG0000005	Prax.g_01546	Syab.g_02289
OG0000005	Prax.g_01652	Syab.g_02806, Syab.g_02232
OG0000006	Prax.g_01972	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prax.g_00704	Syab.g_02117
OG0000007	Prax.g_01559	Syab.g_02256
OG0000009	Prax.g_01950, Prax.g_01617	Syab.g_00995
OG0000010	Prax.g_01212, Prax.g_00728	Syab.g_00696
OG0000011	Prax.g_00454	Syab.g_01491
OG0000012	Prax.g_00082	Syab.g_01774, Syab.g_00953
OG0000013	Prax.g_00846	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prax.g_00869	Syab.g_00249
OG0000014	Prax.g_01763	Syab.g_00178
OG0000017	Prax.g_00057	Syab.g_01953
OG0000018	Prax.g_00181, Prax.g_00346	Syab.g_00742
OG0000019	Prax.g_00926, Prax.g_00393	Syab.g_00344
OG0000020	Prax.g_00138	Syab.g_02230
OG0000022	Prax.g_00415, Prax.g_00157	Syab.g_01825
OG0000023	Prax.g_00813	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prax.g_00432, Prax.g_00967	Syab.g_01834
OG0000025	Prax.g_00338, Prax.g_00842	Syab.g_01705
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syab.g_00036
OG0000027	Prax.g_01916	Syab.g_01782
OG0000028	Prax.g_00855	Syab.g_00234
OG0000030	Prax.g_01404	Syab.g_00096, Syab.g_00095
OG0000032	Prax.g_01838	Syab.g_00149
OG0000033	Prax.g_01049	Syab.g_02590
OG0000034	Prax.g_01889	Syab.g_00900, Syab.g_02560
OG0000035	Prax.g_01728, Prax.g_01733	Syab.g_00776
OG0000037	Prax.g_01110	Syab.g_02504
OG0000038	Prax.g_01445	Syab.g_02759, Syab.g_02761
OG0000039	Prax.g_00956	Syab.g_02791
OG0000041	Prax.g_01512	Syab.g_02333
OG0000042	Prax.g_01401	Syab.g_01019, Syab.g_00099
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Syab.g_01539
OG0000043	Prax.g_01955	Syab.g_01785
OG0000045	Prax.g_00802	Syab.g_01787
OG0000047	Prax.g_00843	Syab.g_00876
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syab.g_00308
OG0000051	Prax.g_01927	Syab.g_01073
OG0000053	Prax.g_01708	Syab.g_00746
OG0000054	Prax.g_00065	Syab.g_01932
OG0000055	Prax.g_00392	Syab.g_01255
OG0000057	Prax.g_00944	Syab.g_01200
OG0000058	Prax.g_01823	Syab.g_00227
OG0000059	Prax.g_01286	Syab.g_00397
OG0000061	Prax.g_00200	Syab.g_00969
OG0000063	Prax.g_00280	Syab.g_00040
OG0000065	Prax.g_01112	Syab.g_02500, Syab.g_01768
OG0000066	Prax.g_00662	Syab.g_02031
OG0000067	Prax.g_00373	Syab.g_01659
OG0000068	Prax.g_01863	Syab.g_02087
OG0000070	Prax.g_00750	Syab.g_00614
OG0000071	Prax.g_01899	Syab.g_00915
OG0000072	Prax.g_01047	Syab.g_02593
OG0000073	Prax.g_00702	Syab.g_02119
OG0000075	Prax.g_01370	Syab.g_00202
OG0000076	Prax.g_01394	Syab.g_00113
OG0000077	Prax.g_00649	Syab.g_02446
OG0000078	Prax.g_00979	Syab.g_02366
OG0000079	Prax.g_00923	Syab.g_00340
OG0000081	Prax.g_00670	Syab.g_01793
OG0000082	Prax.g_00045	Syab.g_01971
OG0000084	Prax.g_01737	Syab.g_00781
OG0000085	Prax.g_01566	Syab.g_02243
OG0000086	Prax.g_00659	Syab.g_02468
OG0000087	Prax.g_01079	Syab.g_02551
OG0000088	Prax.g_01052	Syab.g_02586
OG0000089	Prax.g_00817	Syab.g_00551
OG0000090	Prax.g_00668	Syab.g_02041
OG0000091	Prax.g_00101	Syab.g_01866
OG0000092	Prax.g_00566	Syab.g_01242, Syab.g_00690
OG0000093	Prax.g_01769	Syab.g_01090
OG0000094	Prax.g_01185	Syab.g_01306
OG0000097	Prax.g_00241	Syab.g_01051
OG0000098	Prax.g_01881	Syab.g_01553
OG0000099	Prax.g_01825	Syab.g_00230
OG0000100	Prax.g_01654	Syab.g_01694
OG0000101	Prax.g_01338	Syab.g_00446
OG0000102	Prax.g_01399	Syab.g_00104
OG0000103	Prax.g_01478	Syab.g_01296, Syab.g_02895
OG0000104	Prax.g_01486	Syab.g_02910
OG0000105	Prax.g_00901	Syab.g_00303
OG0000106	Prax.g_00803	Syab.g_01817
OG0000108	Prax.g_00722	Syab.g_02096
OG0000109	Prax.g_00707	Syab.g_02112
OG0000110	Prax.g_00035	Syab.g_01984
OG0000111	Prax.g_00943	Syab.g_01201
OG0000112	Prax.g_00409	Syab.g_01392
OG0000113	Prax.g_00351	Syab.g_01689
OG0000114	Prax.g_00561	Syab.g_01633
OG0000115	Prax.g_00132	Syab.g_00748
OG0000116	Prax.g_00190	Syab.g_00945
OG0000117	Prax.g_01959	Syab.g_01018
OG0000118	Prax.g_01887	Syab.g_00897
OG0000120	Prax.g_01832	Syab.g_00229
OG0000121	Prax.g_01726	Syab.g_00772
OG0000122	Prax.g_01688	Syab.g_01839
OG0000123	Prax.g_01345	Syab.g_00454
OG0000124	Prax.g_01410	Syab.g_00088
OG0000125	Prax.g_01447	Syab.g_02763
OG0000126	Prax.g_01485	Syab.g_02908
OG0000128	Prax.g_01974	Syab.g_00012
OG0000129	Prax.g_00269	Syab.g_02749
OG0000130	Prax.g_00640	Syab.g_02434
OG0000131	Prax.g_01073	Syab.g_02564
OG0000132	Prax.g_01054	Syab.g_02584
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Syab.g_01387
OG0000134	Prax.g_01573, Prax.g_00816	Syab.g_00554
OG0000135	Prax.g_00792	Syab.g_02815
OG0000136	Prax.g_00759	Syab.g_00588
OG0000137	Prax.g_00727	Syab.g_00697
OG0000138	Prax.g_00706	Syab.g_02113
OG0000139	Prax.g_00664	Syab.g_02035
OG0000140	Prax.g_00663	Syab.g_02033
OG0000141	Prax.g_00066	Syab.g_01931
OG0000142	Prax.g_00094	Syab.g_01873
OG0000143	Prax.g_00098	Syab.g_01870
OG0000144	Prax.g_00111	Syab.g_01757
OG0000145	Prax.g_00413	Syab.g_02120
OG0000146	Prax.g_00408	Syab.g_01393
OG0000147	Prax.g_00407	Syab.g_01394
OG0000148	Prax.g_00357	Syab.g_01682
OG0000149	Prax.g_00326	Syab.g_01720
OG0000150	Prax.g_00318	Syab.g_01930
OG0000151	Prax.g_00571	Syab.g_01612
OG0000152	Prax.g_01129	Syab.g_01383
OG0000153	Prax.g_01148	Syab.g_01343
OG0000154	Prax.g_01178	Syab.g_01317
OG0000155	Prax.g_00220	Syab.g_01009
OG0000156	Prax.g_01910	Syab.g_00933
OG0000157	Prax.g_01909	Syab.g_00932
OG0000158	Prax.g_01780	Syab.g_00161
OG0000160	Prax.g_01727	Syab.g_00774
OG0000161	Prax.g_01721	Syab.g_00766
OG0000162	Prax.g_01715	Syab.g_00755
OG0000163	Prax.g_01681	Syab.g_02173
OG0000164	Prax.g_01535	Syab.g_02307
OG0000165	Prax.g_01528	Syab.g_02316
OG0000166	Prax.g_01302	Syab.g_00407
