Orthogroup	Prax	Prai
OG0000000	Prax.g_01917	Prai.g_00905, Prai.g_01772
OG0000000	Prax.g_01608	Prai.g_01592
OG0000000	Prax.g_00259	Prai.g_00908
OG0000000	Prax.g_01609	Prai.g_00908
OG0000000	Prax.g_00259	Prai.g_01234
OG0000000	Prax.g_01609	Prai.g_01234
OG0000000	Prax.g_00259	Prai.g_01591
OG0000000	Prax.g_01609	Prai.g_01591
OG0000000	Prax.g_00259	Prai.g_01775
OG0000000	Prax.g_01609	Prai.g_01775
OG0000000	Prax.g_01919	Prai.g_01314
OG0000000	Prax.g_01606	Prai.g_01596
OG0000001	Prax.g_01878	Prai.g_01235, Prai.g_01356
OG0000001	Prax.g_00522	Prai.g_01236
OG0000002	Prax.g_01870	Prai.g_01363
OG0000002	Prax.g_00964	Prai.g_00707
OG0000004	Prax.g_00947	Prai.g_00724
OG0000004	Prax.g_00986	Prai.g_00243
OG0000005	Prax.g_01546	Prai.g_01651
OG0000005	Prax.g_01652	Prai.g_01538
OG0000006	Prax.g_01972	Prai.g_00252, Prai.g_00254
OG0000007	Prax.g_00704	Prai.g_00527
OG0000007	Prax.g_01559	Prai.g_01638
OG0000008	Prax.g_00970	Prai.g_00701
OG0000009	Prax.g_01950, Prax.g_01617	Prai.g_01578
OG0000010	Prax.g_01212	Prai.g_01067
OG0000010	Prax.g_00728	Prai.g_00504
OG0000011	Prax.g_00776	Prai.g_01599
OG0000012	Prax.g_00082	Prai.g_00652
OG0000013	Prax.g_00846	Prai.g_00340
OG0000014	Prax.g_00869	Prai.g_00319
OG0000015	Prax.g_00523, Prax.g_00410	Prai.g_01243
OG0000017	Prax.g_00057	Prai.g_00626
OG0000018	Prax.g_00181	Prai.g_01153
OG0000018	Prax.g_00346	Prai.g_00820
OG0000019	Prax.g_00926	Prai.g_00262
OG0000019	Prax.g_00393	Prai.g_00867
OG0000020	Prax.g_00138	Prai.g_01125
OG0000021	Prax.g_01587, Prax.g_00808	Prai.g_00378
OG0000022	Prax.g_00415	Prai.g_00885
OG0000022	Prax.g_00157	Prai.g_01139
OG0000023	Prax.g_00813	Prai.g_00373
OG0000024	Prax.g_00432	Prai.g_00899
OG0000024	Prax.g_00967	Prai.g_00704
OG0000025	Prax.g_00338	Prai.g_00812
OG0000025	Prax.g_00842	Prai.g_00344
OG0000026	Prax.g_00282	Prai.g_00031
OG0000026	Prax.g_01220	Prai.g_01074
OG0000027	Prax.g_01916	Prai.g_00904
OG0000028	Prax.g_00855	Prai.g_00333
OG0000029	Prax.g_00425	Prai.g_00890
OG0000030	Prax.g_01404	Prai.g_01848
OG0000031	Prax.g_01831	Prai.g_01444
OG0000033	Prax.g_01049	Prai.g_00180
OG0000034	Prax.g_01889	Prai.g_01345
OG0000035	Prax.g_01728, Prax.g_01733	Prai.g_01463
OG0000037	Prax.g_01110	Prai.g_00109
OG0000038	Prax.g_01445	Prai.g_01890
OG0000039	Prax.g_00956	Prai.g_00715
OG0000041	Prax.g_01512	Prai.g_01684
OG0000042	Prax.g_01401	Prai.g_01845
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Prai.g_01064
OG0000043	Prax.g_01955	Prai.g_00910
OG0000045	Prax.g_00802	Prai.g_00384
OG0000047	Prax.g_00843	Prai.g_00343
OG0000048	Prax.g_00512, Prax.g_00799	Prai.g_00387
OG0000049	Prax.g_00791	Prai.g_00394
OG0000049	Prax.g_01958	Prai.g_00437
OG0000049	Prax.g_01960	Prai.g_00433, Prai.g_01256
OG0000050	Prax.g_00448, Prax.g_00508	Prai.g_01233
OG0000050	Prax.g_01240	Prai.g_01093
OG0000051	Prax.g_01927	Prai.g_00434
OG0000053	Prax.g_01708	Prai.g_01483
OG0000054	Prax.g_00065	Prai.g_00634
OG0000055	Prax.g_00392	Prai.g_00866
OG0000057	Prax.g_00944	Prai.g_00727
OG0000059	Prax.g_01286	Prai.g_01725
OG0000061	Prax.g_00200	Prai.g_01171
OG0000062	Prax.g_01650	Prai.g_01540
OG0000063	Prax.g_00280	Prai.g_00033
OG0000065	Prax.g_01112	Prai.g_00107
OG0000066	Prax.g_00662	Prai.g_00567
OG0000067	Prax.g_00373	Prai.g_00848
OG0000068	Prax.g_01863	Prai.g_01370
OG0000069	Prax.g_01616	Prai.g_01579
OG0000070	Prax.g_00750	Prai.g_00481
OG0000071	Prax.g_01899	Prai.g_01335
OG0000072	Prax.g_01047	Prai.g_00182
OG0000073	Prax.g_00702	Prai.g_00529
OG0000074	Prax.g_00960	Prai.g_00711
OG0000075	Prax.g_01370	Prai.g_01814
OG0000076	Prax.g_01394	Prai.g_01838
OG0000077	Prax.g_00649	Prai.g_00078
OG0000078	Prax.g_00979	Prai.g_00250
OG0000079	Prax.g_00923	Prai.g_00265
OG0000081	Prax.g_00670	Prai.g_00559
OG0000082	Prax.g_00045	Prai.g_00613
OG0000083	Prax.g_01924	Prai.g_01313
OG0000083	Prax.g_00444	Prai.g_00441
OG0000084	Prax.g_01737	Prai.g_01459
OG0000085	Prax.g_01566	Prai.g_01631
OG0000086	Prax.g_00659	Prai.g_00088
OG0000087	Prax.g_01079	Prai.g_00139
OG0000088	Prax.g_01052	Prai.g_00177
OG0000089	Prax.g_00817	Prai.g_00368
OG0000090	Prax.g_00668	Prai.g_00561
OG0000091	Prax.g_00101	Prai.g_00671
OG0000092	Prax.g_00566	Prai.g_01041
OG0000093	Prax.g_01769, Prax.g_00588	Prai.g_01021
OG0000094	Prax.g_01185	Prai.g_00937
OG0000095	Prax.g_01204	Prai.g_00918
OG0000096	Prax.g_00500	Prai.g_01588
OG0000097	Prax.g_00241	Prai.g_01214
OG0000098	Prax.g_01881	Prai.g_01353
OG0000099	Prax.g_01825	Prai.g_01393
OG0000100	Prax.g_01654	Prai.g_01536
OG0000101	Prax.g_01338	Prai.g_01782
OG0000102	Prax.g_01399	Prai.g_01843
OG0000103	Prax.g_01478	Prai.g_01923
OG0000104	Prax.g_01486	Prai.g_01932
OG0000105	Prax.g_00901	Prai.g_00286, Prai.g_00287
OG0000106	Prax.g_00803	Prai.g_00383
OG0000107	Prax.g_00790	Prai.g_00397
OG0000108	Prax.g_00722	Prai.g_00510
OG0000109	Prax.g_00707	Prai.g_00524
OG0000110	Prax.g_00035	Prai.g_00603
OG0000111	Prax.g_00943	Prai.g_00728
OG0000112	Prax.g_00409	Prai.g_00882
OG0000113	Prax.g_00351	Prai.g_00825
OG0000114	Prax.g_00561	Prai.g_01046
OG0000115	Prax.g_00132	Prai.g_01119
OG0000116	Prax.g_00190	Prai.g_01162
OG0000117	Prax.g_01959	Prai.g_01273
OG0000118	Prax.g_01887	Prai.g_01347
OG0000119	Prax.g_01867	Prai.g_01366
OG0000120	Prax.g_01832	Prai.g_01443
OG0000121	Prax.g_01726	Prai.g_01465
OG0000123	Prax.g_01345	Prai.g_01789
OG0000124	Prax.g_01410	Prai.g_01854
OG0000125	Prax.g_01447	Prai.g_01892
OG0000126	Prax.g_01485	Prai.g_01931
OG0000128	Prax.g_01974	Prai.g_00011
OG0000129	Prax.g_00269	Prai.g_00051
OG0000130	Prax.g_00640	Prai.g_00069
OG0000131	Prax.g_01073	Prai.g_00156
OG0000132	Prax.g_01054	Prai.g_00175
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Prai.g_00335
OG0000134	Prax.g_01573, Prax.g_00816	Prai.g_00369
OG0000135	Prax.g_00792	Prai.g_00393
OG0000136	Prax.g_00759	Prai.g_00472
OG0000137	Prax.g_00727	Prai.g_00505
OG0000138	Prax.g_00706	Prai.g_00525
OG0000139	Prax.g_00664	Prai.g_00565
OG0000140	Prax.g_00663	Prai.g_00566
OG0000141	Prax.g_00066	Prai.g_00635
OG0000142	Prax.g_00094	Prai.g_00664
OG0000143	Prax.g_00098	Prai.g_00668
OG0000144	Prax.g_00111	Prai.g_00681
OG0000145	Prax.g_00413	Prai.g_00883
OG0000146	Prax.g_00408	Prai.g_00881
OG0000147	Prax.g_00407	Prai.g_00880
OG0000148	Prax.g_00357	Prai.g_00831
OG0000149	Prax.g_00326	Prai.g_00800
OG0000150	Prax.g_00318	Prai.g_00792
OG0000151	Prax.g_00571	Prai.g_01036
OG0000152	Prax.g_01129	Prai.g_00989
OG0000153	Prax.g_01148	Prai.g_00970
OG0000154	Prax.g_01178	Prai.g_00943
OG0000155	Prax.g_00220	Prai.g_01191
OG0000156	Prax.g_01910	Prai.g_01323
OG0000157	Prax.g_01909	Prai.g_01324
OG0000158	Prax.g_01780	Prai.g_01392
OG0000159	Prax.g_01824	Prai.g_01390
OG0000160	Prax.g_01727	Prai.g_01464
OG0000161	Prax.g_01721	Prai.g_01470
OG0000162	Prax.g_01715	Prai.g_01476
OG0000163	Prax.g_01681	Prai.g_01509
OG0000164	Prax.g_01535	Prai.g_01662
OG0000165	Prax.g_01528	Prai.g_01669
OG0000166	Prax.g_01302	Prai.g_01740
OG0000167	Prax.g_01368	Prai.g_01812
OG0000168	Prax.g_01378	Prai.g_01822
OG0000169	Prax.g_01388	Prai.g_01832
OG0000170	Prax.g_01390	Prai.g_01834
OG0000171	Prax.g_01409	Prai.g_01853
OG0000172	Prax.g_01418	Prai.g_01863
OG0000173	Prax.g_01433	Prai.g_01878
OG0000174	Prax.g_01460	Prai.g_01905
OG0000175	Prax.g_01470	Prai.g_01915
OG0000176	Prax.g_01494	Prai.g_00004
OG0000177	Prax.g_01495	Prai.g_00005
OG0000178	Prax.g_01496	Prai.g_00006
OG0000179	Prax.g_00297	Prai.g_00016
OG0000180	Prax.g_00296	Prai.g_00017
OG0000181	Prax.g_00295	Prai.g_00018
OG0000182	Prax.g_00294	Prai.g_00019
OG0000183	Prax.g_00290	Prai.g_00023
OG0000184	Prax.g_00621	Prai.g_00053
OG0000185	Prax.g_00624	Prai.g_00056
OG0000186	Prax.g_00635	Prai.g_00064
OG0000187	Prax.g_00636	Prai.g_00065
OG0000188	Prax.g_00653	Prai.g_00082
OG0000189	Prax.g_01122	Prai.g_00096
OG0000190	Prax.g_01121	Prai.g_00097
OG0000191	Prax.g_01101	Prai.g_00117
OG0000192	Prax.g_01097	Prai.g_00121
OG0000193	Prax.g_01072	Prai.g_00157
OG0000194	Prax.g_01069	Prai.g_00160
OG0000195	Prax.g_01067	Prai.g_00162
OG0000196	Prax.g_01057	Prai.g_00172
OG0000197	Prax.g_01056	Prai.g_00173
OG0000198	Prax.g_01055	Prai.g_00174
OG0000199	Prax.g_01048	Prai.g_00181
OG0000200	Prax.g_01034	Prai.g_00195
OG0000201	Prax.g_01026	Prai.g_00203
OG0000202	Prax.g_01025	Prai.g_00204
OG0000203	Prax.g_01024	Prai.g_00205
OG0000204	Prax.g_01023	Prai.g_00206
OG0000205	Prax.g_01016	Prai.g_00213
OG0000206	Prax.g_01011	Prai.g_00218
OG0000207	Prax.g_01009	Prai.g_00220
OG0000208	Prax.g_01008	Prai.g_00221
OG0000209	Prax.g_00999	Prai.g_00230
OG0000210	Prax.g_00998	Prai.g_00231
OG0000211	Prax.g_00985	Prai.g_00244
OG0000212	Prax.g_00978	Prai.g_00251
OG0000213	Prax.g_00918	Prai.g_00270
OG0000214	Prax.g_00908	Prai.g_00280
OG0000215	Prax.g_00883	Prai.g_00305
OG0000216	Prax.g_00881	Prai.g_00307
OG0000217	Prax.g_00878	Prai.g_00310
OG0000218	Prax.g_00876	Prai.g_00312
OG0000219	Prax.g_00875	Prai.g_00313
OG0000220	Prax.g_00874	Prai.g_00314
OG0000221	Prax.g_00873	Prai.g_00315
OG0000222	Prax.g_00865	Prai.g_00323
OG0000223	Prax.g_00850	Prai.g_00336
OG0000224	Prax.g_00848	Prai.g_00338
OG0000225	Prax.g_00827	Prai.g_00358
OG0000226	Prax.g_00823	Prai.g_00362
OG0000227	Prax.g_00821	Prai.g_00364
OG0000228	Prax.g_00818	Prai.g_00367
OG0000229	Prax.g_00764	Prai.g_00467
OG0000230	Prax.g_00762	Prai.g_00469
OG0000231	Prax.g_00751	Prai.g_00480
OG0000232	Prax.g_00743	Prai.g_00489
