Orthogroup	Prax	Syas
OG0000004	Prax.g_00947	Syas.g_00176
OG0000004	Prax.g_00986	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prax.g_01546	Syas.g_02665
OG0000005	Prax.g_01652	Syas.g_02704
OG0000006	Prax.g_01972	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prax.g_00704	Syas.g_01232
OG0000007	Prax.g_01559	Syas.g_02681
OG0000010	Prax.g_01212, Prax.g_00728	Syas.g_01334
OG0000013	Prax.g_00846	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prax.g_00869	Syas.g_01816
OG0000017	Prax.g_00057	Syas.g_00849
OG0000018	Prax.g_00181, Prax.g_00346	Syas.g_01290
OG0000019	Prax.g_00926, Prax.g_00393	Syas.g_01696
OG0000022	Prax.g_00415, Prax.g_00157	Syas.g_02758
OG0000025	Prax.g_00338, Prax.g_00842	Syas.g_00231
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syas.g_02070
OG0000027	Prax.g_01916	Syas.g_01480
OG0000028	Prax.g_00855	Syas.g_01793
OG0000030	Prax.g_01404	Syas.g_01644, Syas.g_01645
OG0000033	Prax.g_01049	Syas.g_02328
OG0000034	Prax.g_01889	Syas.g_02371, Syas.g_02838
OG0000035	Prax.g_01728, Prax.g_01733	Syas.g_02814, Syas.g_02818
OG0000037	Prax.g_01110	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prax.g_01445	Syas.g_01885, Syas.g_01887
OG0000039	Prax.g_00956	Syas.g_02795
OG0000040	Prax.g_01591	Syas.g_02028
OG0000042	Prax.g_01401	Syas.g_01121, Syas.g_02147
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syas.g_01734
OG0000051	Prax.g_01927	Syas.g_01445
OG0000053	Prax.g_01708	Syas.g_01287
OG0000054	Prax.g_00065	Syas.g_00961
OG0000060	Prax.g_00517	Syas.g_00975
OG0000061	Prax.g_00200	Syas.g_01184
OG0000062	Prax.g_01650	Syas.g_00070
OG0000063	Prax.g_00280	Syas.g_02074
OG0000065	Prax.g_01112	Syas.g_02420
OG0000066	Prax.g_00662	Syas.g_00094
OG0000067	Prax.g_00373	Syas.g_00596
OG0000068	Prax.g_01863	Syas.g_00969, Syas.g_01261
OG0000070	Prax.g_00750	Syas.g_00173
OG0000072	Prax.g_01047	Syas.g_02326, Syas.g_01524
OG0000073	Prax.g_00702	Syas.g_01230, Syas.g_00358, Syas.g_00264
OG0000075	Prax.g_01370	Syas.g_01921, Syas.g_02194
OG0000076	Prax.g_01394	Syas.g_02156
OG0000078	Prax.g_00979	Syas.g_02308
OG0000079	Prax.g_00923	Syas.g_01699
OG0000081	Prax.g_00670	Syas.g_00391
OG0000082	Prax.g_00045	Syas.g_00837
OG0000085	Prax.g_01566	Syas.g_02695
OG0000086	Prax.g_00659	Syas.g_02470
OG0000087	Prax.g_01079	Syas.g_02374
OG0000089	Prax.g_00817	Syas.g_01512
OG0000090	Prax.g_00668	Syas.g_00062
OG0000091	Prax.g_00101	Syas.g_00907, Syas.g_00146
OG0000092	Prax.g_00566	Syas.g_00900, Syas.g_00877
OG0000094	Prax.g_01185	Syas.g_00208, Syas.g_01716
OG0000095	Prax.g_01204	Syas.g_01021
OG0000097	Prax.g_00241	Syas.g_00114, Syas.g_01443
OG0000098	Prax.g_01881	Syas.g_00091
OG0000099	Prax.g_01825	Syas.g_01826
OG0000100	Prax.g_01654	Syas.g_00567
OG0000101	Prax.g_01338	Syas.g_01589
OG0000102	Prax.g_01399	Syas.g_02152, Syas.g_01395
OG0000103	Prax.g_01478	Syas.g_02009
OG0000104	Prax.g_01486	Syas.g_02027, Syas.g_02026
OG0000105	Prax.g_00901	Syas.g_01739
OG0000106	Prax.g_00803	Syas.g_01451
OG0000107	Prax.g_00790	Syas.g_01669
OG0000108	Prax.g_00722	Syas.g_01253
OG0000109	Prax.g_00707	Syas.g_01236
OG0000110	Prax.g_00035	Syas.g_00818
OG0000111	Prax.g_00943	Syas.g_01037
OG0000112	Prax.g_00409	Syas.g_00452
OG0000113	Prax.g_00351	Syas.g_00571
OG0000114	Prax.g_00561	Syas.g_00674
OG0000115	Prax.g_00132	Syas.g_02548, Syas.g_01285
OG0000116	Prax.g_00190	Syas.g_01198, Syas.g_00317
OG0000117	Prax.g_01959	Syas.g_01122
OG0000118	Prax.g_01887	Syas.g_02835
OG0000120	Prax.g_01832	Syas.g_01828
OG0000121	Prax.g_01726	Syas.g_02821
OG0000122	Prax.g_01688	Syas.g_00393
OG0000123	Prax.g_01345	Syas.g_01582
OG0000124	Prax.g_01410	Syas.g_02137
OG0000125	Prax.g_01447	Syas.g_01889
OG0000126	Prax.g_01485	Syas.g_01992
OG0000128	Prax.g_01974	Syas.g_02046
OG0000129	Prax.g_00269	Syas.g_01880
OG0000130	Prax.g_00640	Syas.g_02522
OG0000131	Prax.g_01073	Syas.g_02367
OG0000132	Prax.g_01054	Syas.g_02334
OG0000133	Prax.g_00853, Prax.g_00852, Prax.g_01783	Syas.g_00457
OG0000134	Prax.g_01573, Prax.g_00816	Syas.g_01509
OG0000135	Prax.g_00792	Syas.g_01938
OG0000136	Prax.g_00759	Syas.g_02740
OG0000137	Prax.g_00727	Syas.g_01333
OG0000138	Prax.g_00706	Syas.g_01235
OG0000140	Prax.g_00663	Syas.g_00090
OG0000141	Prax.g_00066	Syas.g_00875
OG0000142	Prax.g_00094	Syas.g_00746
OG0000143	Prax.g_00098	Syas.g_00742
OG0000144	Prax.g_00111	Syas.g_00718
OG0000145	Prax.g_00413	Syas.g_00948
OG0000146	Prax.g_00408	Syas.g_00451
OG0000147	Prax.g_00407	Syas.g_00450
OG0000148	Prax.g_00357	Syas.g_00577
OG0000149	Prax.g_00326	Syas.g_00282
OG0000150	Prax.g_00318	Syas.g_00874
OG0000151	Prax.g_00571	Syas.g_00148, Syas.g_00659
OG0000152	Prax.g_01129	Syas.g_00461
OG0000153	Prax.g_01148	Syas.g_00543
OG0000154	Prax.g_01178	Syas.g_00219
OG0000155	Prax.g_00220	Syas.g_01131
OG0000156	Prax.g_01910	Syas.g_01206
OG0000157	Prax.g_01909	Syas.g_01207
OG0000158	Prax.g_01780	Syas.g_02185
OG0000159	Prax.g_01824	Syas.g_01155
OG0000160	Prax.g_01727	Syas.g_02820
OG0000161	Prax.g_01721	Syas.g_02826
OG0000162	Prax.g_01715	Syas.g_02751
OG0000163	Prax.g_01681	Syas.g_01488
OG0000164	Prax.g_01535	Syas.g_02648
OG0000165	Prax.g_01528	Syas.g_02609
OG0000166	Prax.g_01302	Syas.g_01629
OG0000167	Prax.g_01368	Syas.g_01449
