Orthogroup	Prbb	Prad
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prad.g_00352
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785	Prad.g_01982
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prad.g_00392
OG0000000	Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787, Prbb.g_01145	Prad.g_01297
OG0000000	Prbb.g_00103	Prad.g_00393, Prad.g_01435
OG0000000	Prbb.g_01313	Prad.g_00372, Prad.g_00349
OG0000001	Prbb.g_01157	Prad.g_01434, Prad.g_01994
OG0000002	Prbb.g_00844	Prad.g_00601
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prad.g_01252
OG0000004	Prbb.g_01450	Prad.g_01269
OG0000004	Prbb.g_00288	Prad.g_01759
OG0000005	Prbb.g_01393	Prad.g_00928
OG0000005	Prbb.g_01766	Prad.g_00438
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prad.g_01750
OG0000007	Prbb.g_00501	Prad.g_00132
OG0000007	Prbb.g_01823	Prad.g_00941
OG0000010	Prbb.g_01072, Prbb.g_00477	Prad.g_00033
OG0000011	Prbb.g_01229	Prad.g_00339
OG0000011	Prbb.g_01199	Prad.g_01212
OG0000012	Prbb.g_01111	Prad.g_01412
OG0000013	Prbb.g_00378	Prad.g_01664
OG0000014	Prbb.g_00357	Prad.g_01685
OG0000015	Prbb.g_01158	Prad.g_01108
OG0000016	Prbb.g_00014	Prad.g_01973
OG0000017	Prbb.g_00605	Prad.g_01387
OG0000018	Prbb.g_01539	Prad.g_01515
OG0000018	Prbb.g_00812	Prad.g_01173
OG0000019	Prbb.g_00761	Prad.g_01125
OG0000020	Prbb.g_01071	Prad.g_00647
OG0000020	Prbb.g_01180	Prad.g_01299
OG0000021	Prbb.g_01914	Prad.g_01981, Prad.g_00745
OG0000022	Prbb.g_01231	Prad.g_01105
OG0000022	Prbb.g_01258	Prad.g_01993
OG0000023	Prbb.g_01411, Prbb.g_01373	Prad.g_00751
OG0000024	Prbb.g_01175	Prad.g_01088
OG0000024	Prbb.g_00680	Prad.g_01249
OG0000025	Prbb.g_00052, Prbb.g_00818	Prad.g_01181, Prad.g_01660
OG0000026	Prbb.g_00032	Prad.g_01955, Prad.g_01004
OG0000027	Prbb.g_01375	Prad.g_01298, Prad.g_00353
OG0000028	Prbb.g_01635	Prad.g_01204
OG0000029	Prbb.g_01800	Prad.g_01096
OG0000032	Prbb.g_01723	Prad.g_00572
OG0000033	Prbb.g_00226	Prad.g_01822
OG0000034	Prbb.g_01596	Prad.g_00618
OG0000035	Prbb.g_01686	Prad.g_00515
OG0000037	Prbb.g_00164	Prad.g_01884
OG0000038	Prbb.g_02129	Prad.g_01582
OG0000039	Prbb.g_00692	Prad.g_01260
OG0000040	Prbb.g_01790	Prad.g_00369
OG0000041	Prbb.g_01868	Prad.g_00894
OG0000042	Prbb.g_02069	Prad.g_01624
OG0000043	Prbb.g_00909	Prad.g_00276
OG0000043	Prbb.g_01198	Prad.g_00313
OG0000045	Prbb.g_01094	Prad.g_00738
OG0000047	Prbb.g_00421	Prad.g_00683
OG0000047	Prbb.g_00386	Prad.g_01661
OG0000048	Prbb.g_00325	Prad.g_00735
OG0000050	Prbb.g_01452	Prad.g_01291
OG0000050	Prbb.g_00116	Prad.g_00985
OG0000052	Prbb.g_00112	Prad.g_00571
OG0000053	Prbb.g_01705	Prad.g_00494
OG0000054	Prbb.g_00607	Prad.g_01395
OG0000055	Prbb.g_00747	Prad.g_01126
OG0000057	Prbb.g_00706, Prbb.g_01359	Prad.g_01272
OG0000058	Prbb.g_00851	Prad.g_00565
OG0000059	Prbb.g_01946	Prad.g_00855
OG0000061	Prbb.g_01517, Prbb.g_00874	Prad.g_01496
OG0000062	Prbb.g_01768	Prad.g_00436
OG0000063	Prbb.g_01921	Prad.g_01953, Prad.g_00081
OG0000065	Prbb.g_00162	Prad.g_01886
OG0000066	Prbb.g_00542	Prad.g_00090
OG0000067	Prbb.g_00783	Prad.g_01146
OG0000068	Prbb.g_01639	Prad.g_00594
OG0000069	Prbb.g_01324, Prbb.g_01729	Prad.g_00952, Prad.g_00400
OG0000070	Prbb.g_00455	Prad.g_00057
