Orthogroup	Prbb	Prbc
OG0000000	Prbb.g_01119	Prbc.g_02163
OG0000000	Prbb.g_01243	Prbc.g_00103
OG0000000	Prbb.g_01400	Prbc.g_00103
OG0000000	Prbb.g_01144	Prbc.g_00609
OG0000000	Prbb.g_01792	Prbc.g_00812
OG0000000	Prbb.g_00432, Prbb.g_01120, Prbb.g_01401	Prbc.g_02164
OG0000000	Prbb.g_01785	Prbc.g_00806
OG0000000	Prbb.g_00431	Prbc.g_02165
OG0000000	Prbb.g_01121	Prbc.g_02165
OG0000000	Prbb.g_01319	Prbc.g_02165
OG0000000	Prbb.g_01123	Prbc.g_00618
OG0000000	Prbb.g_01123	Prbc.g_02167
OG0000000	Prbb.g_01352	Prbc.g_00618
OG0000000	Prbb.g_01352	Prbc.g_02167
OG0000000	Prbb.g_01403	Prbc.g_00618
OG0000000	Prbb.g_01403	Prbc.g_02167
OG0000000	Prbb.g_01787	Prbc.g_00618
OG0000000	Prbb.g_01787	Prbc.g_02167
OG0000000	Prbb.g_01145	Prbc.g_00608
OG0000000	Prbb.g_00103	Prbc.g_00525
OG0000001	Prbb.g_01611	Prbc.g_00588
OG0000001	Prbb.g_01883	Prbc.g_00892
OG0000001	Prbb.g_00474, Prbb.g_01915	Prbc.g_01530, Prbc.g_00925
OG0000002	Prbb.g_00844	Prbc.g_01920
OG0000002	Prbb.g_01546	Prbc.g_01475
OG0000002	Prbb.g_01545	Prbc.g_01474
OG0000002	Prbb.g_01550	Prbc.g_01479
OG0000002	Prbb.g_01544	Prbc.g_01473
OG0000002	Prbb.g_01549	Prbc.g_01478
OG0000002	Prbb.g_00683	Prbc.g_01759
OG0000004	Prbb.g_01450	Prbc.g_01381
OG0000004	Prbb.g_00288	Prbc.g_00339
OG0000005	Prbb.g_01393	Prbc.g_00098
OG0000005	Prbb.g_01766	Prbc.g_00788
OG0000006	Prbb.g_00299	Prbc.g_02202
OG0000007	Prbb.g_00501	Prbc.g_01556
OG0000007	Prbb.g_01823	Prbc.g_00832
OG0000008	Prbb.g_01884	Prbc.g_00893
OG0000008	Prbb.g_01885	Prbc.g_00894
OG0000010	Prbb.g_01072	Prbc.g_02115
OG0000010	Prbb.g_00477	Prbc.g_01533
OG0000011	Prbb.g_01229	Prbc.g_00164
OG0000011	Prbb.g_01368	Prbc.g_00066
OG0000011	Prbb.g_01199	Prbc.g_00136
OG0000011	Prbb.g_01137, Prbb.g_01138	Prbc.g_00616
OG0000012	Prbb.g_01111	Prbc.g_02155
OG0000013	Prbb.g_00378	Prbc.g_01219
OG0000014	Prbb.g_00357	Prbc.g_01198
OG0000015	Prbb.g_01158	Prbc.g_00599
OG0000016	Prbb.g_00014	Prbc.g_01083
OG0000016	Prbb.g_01919	Prbc.g_00929
OG0000017	Prbb.g_00605	Prbc.g_01681
OG0000018	Prbb.g_01539	Prbc.g_01468
OG0000018	Prbb.g_00812	Prbc.g_01887
OG0000019	Prbb.g_00761	Prbc.g_01836
OG0000020	Prbb.g_01071	Prbc.g_02114
OG0000020	Prbb.g_01180	Prbc.g_00116
OG0000021	Prbb.g_01914	Prbc.g_00924
OG0000021	Prbb.g_00099	Prbc.g_02189
OG0000022	Prbb.g_01231	Prbc.g_00166
OG0000022	Prbb.g_01258	Prbc.g_01288
OG0000023	Prbb.g_01373	Prbc.g_00047, Prbc.g_00071
