Orthogroup	Prbb	Syaf
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Syaf.g_01640
OG0000004	Prbb.g_01450	Syaf.g_01455
OG0000004	Prbb.g_00288	Syaf.g_02351, Syaf.g_02794
OG0000005	Prbb.g_01393	Syaf.g_01017
OG0000005	Prbb.g_01766	Syaf.g_01057
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syaf.g_00179, Syaf.g_02778
OG0000007	Prbb.g_00501	Syaf.g_02702
OG0000007	Prbb.g_01823	Syaf.g_01033
OG0000008	Prbb.g_01884	Syaf.g_01479
OG0000008	Prbb.g_01885	Syaf.g_01480
OG0000010	Prbb.g_01072, Prbb.g_00477	Syaf.g_02499
OG0000011	Prbb.g_01229	Syaf.g_01532
OG0000013	Prbb.g_00378	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056
OG0000014	Prbb.g_00357	Syaf.g_00280
OG0000015	Prbb.g_01158	Syaf.g_02120, Syaf.g_02121
OG0000016	Prbb.g_00014	Syaf.g_00484
OG0000016	Prbb.g_01919	Syaf.g_01576, Syaf.g_01713
OG0000017	Prbb.g_00605	Syaf.g_02561
OG0000018	Prbb.g_01539, Prbb.g_00812	Syaf.g_02451
OG0000019	Prbb.g_00761	Syaf.g_00193
OG0000020	Prbb.g_01071, Prbb.g_01180	Syaf.g_02187
OG0000021	Prbb.g_01914	Syaf.g_01726
OG0000021	Prbb.g_00099	Syaf.g_02773
OG0000022	Prbb.g_01231, Prbb.g_01258	Syaf.g_02256
OG0000023	Prbb.g_01411, Prbb.g_01373	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995
OG0000024	Prbb.g_01175, Prbb.g_00680	Syaf.g_01484
OG0000025	Prbb.g_00052, Prbb.g_00818	Syaf.g_01385
OG0000026	Prbb.g_00032	Syaf.g_00461
OG0000027	Prbb.g_01375	Syaf.g_02284, Syaf.g_01688
OG0000028	Prbb.g_01635	Syaf.g_00297
OG0000029	Prbb.g_01800	Syaf.g_01761
OG0000030	Prbb.g_02073	Syaf.g_00406, Syaf.g_00407
OG0000031	Prbb.g_00387	Syaf.g_01143
OG0000032	Prbb.g_01723	Syaf.g_02471
OG0000033	Prbb.g_00226	Syaf.g_00807
OG0000034	Prbb.g_01596	Syaf.g_01241, Syaf.g_00837
OG0000035	Prbb.g_01686	Syaf.g_02412
OG0000037	Prbb.g_00164	Syaf.g_00899
OG0000038	Prbb.g_02129	Syaf.g_00642
OG0000039	Prbb.g_00692	Syaf.g_01395
OG0000041	Prbb.g_01868	Syaf.g_01171
OG0000042	Prbb.g_02069	Syaf.g_00403
OG0000043	Prbb.g_01198	Syaf.g_01747
OG0000044	Prbb.g_00079	Syaf.g_01358, Syaf.g_01992
OG0000045	Prbb.g_01094	Syaf.g_00979
OG0000046	Prbb.g_00379	Syaf.g_00062, Syaf.g_00055, Syaf.g_00045
OG0000047	Prbb.g_00421, Prbb.g_00386	Syaf.g_00030
OG0000048	Prbb.g_00325	Syaf.g_00230
OG0000050	Prbb.g_01452	Syaf.g_01770
OG0000051	Prbb.g_01383, Prbb.g_01391	Syaf.g_00972
OG0000053	Prbb.g_01705	Syaf.g_02447
OG0000054	Prbb.g_00607	Syaf.g_02376
OG0000055	Prbb.g_00747	Syaf.g_01402
OG0000057	Prbb.g_00706, Prbb.g_01359	Syaf.g_01452
OG0000058	Prbb.g_00851	Syaf.g_00316
OG0000059	Prbb.g_01946	Syaf.g_00143
OG0000060	Prbb.g_01153	Syaf.g_01603
OG0000061	Prbb.g_01517, Prbb.g_00874	Syaf.g_01288
OG0000062	Prbb.g_01768	Syaf.g_02167
OG0000063	Prbb.g_01921	Syaf.g_00457
