Orthogroup	Prbb	Syab
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356, Prbb.g_01791, Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244, Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787, Prbb.g_01145, Prbb.g_00103, Prbb.g_01313	Syab.g_01226
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Syab.g_01549
OG0000002	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Syab.g_02285
OG0000004	Prbb.g_01450	Syab.g_00549, Syab.g_01193
OG0000004	Prbb.g_00288	Syab.g_01911, Syab.g_02377
OG0000005	Prbb.g_01393	Syab.g_02289
OG0000005	Prbb.g_01766	Syab.g_02232
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbb.g_00501	Syab.g_02117
OG0000007	Prbb.g_01823	Syab.g_02256
OG0000008	Prbb.g_01884	Syab.g_01755
OG0000008	Prbb.g_01885	Syab.g_01168
OG0000010	Prbb.g_01072, Prbb.g_00477	Syab.g_00696
OG0000011	Prbb.g_01199	Syab.g_01491
OG0000011	Prbb.g_01137, Prbb.g_01138	Syab.g_01083
OG0000013	Prbb.g_00378	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbb.g_00357	Syab.g_00249
OG0000016	Prbb.g_00014	Syab.g_00014
OG0000016	Prbb.g_01919	Syab.g_01049
OG0000017	Prbb.g_00605	Syab.g_01953
OG0000018	Prbb.g_01539, Prbb.g_00812	Syab.g_00742
OG0000019	Prbb.g_00761	Syab.g_00344
OG0000020	Prbb.g_01071, Prbb.g_01180	Syab.g_02230
OG0000022	Prbb.g_01231, Prbb.g_01258	Syab.g_01825
OG0000023	Prbb.g_01411, Prbb.g_01373	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbb.g_01175, Prbb.g_00680	Syab.g_01834
OG0000025	Prbb.g_00052, Prbb.g_00818	Syab.g_01705
OG0000026	Prbb.g_00032	Syab.g_00036
OG0000027	Prbb.g_01375	Syab.g_01782
OG0000028	Prbb.g_01635	Syab.g_00234
OG0000030	Prbb.g_02073	Syab.g_00096, Syab.g_00095
OG0000032	Prbb.g_01723	Syab.g_00724
OG0000033	Prbb.g_00226	Syab.g_02590
OG0000034	Prbb.g_01596	Syab.g_00900, Syab.g_02560
OG0000035	Prbb.g_01686	Syab.g_00776
OG0000037	Prbb.g_00164	Syab.g_02504
OG0000038	Prbb.g_02129	Syab.g_02759, Syab.g_02761
OG0000039	Prbb.g_00692	Syab.g_02791
OG0000041	Prbb.g_01868	Syab.g_02333
OG0000042	Prbb.g_02069	Syab.g_01019, Syab.g_00099
OG0000043	Prbb.g_00909	Syab.g_01539
OG0000043	Prbb.g_01198	Syab.g_01785
OG0000044	Prbb.g_00079	Syab.g_01262
OG0000045	Prbb.g_01347	Syab.g_00871
OG0000045	Prbb.g_01094	Syab.g_01787
OG0000046	Prbb.g_00379	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbb.g_00421, Prbb.g_00386	Syab.g_00876
OG0000048	Prbb.g_00325	Syab.g_00308
OG0000051	Prbb.g_01383, Prbb.g_01391	Syab.g_01073
OG0000053	Prbb.g_01705	Syab.g_00746
OG0000054	Prbb.g_00607	Syab.g_01932
OG0000055	Prbb.g_00747	Syab.g_01255
OG0000056	Prbb.g_00078	Syab.g_01452
OG0000057	Prbb.g_00706, Prbb.g_01359	Syab.g_01200
OG0000058	Prbb.g_00851	Syab.g_00227
OG0000059	Prbb.g_01946	Syab.g_00397
OG0000061	Prbb.g_01517, Prbb.g_00874	Syab.g_00969
OG0000063	Prbb.g_01921	Syab.g_00040
OG0000065	Prbb.g_00162	Syab.g_02500, Syab.g_01768
OG0000066	Prbb.g_00542	Syab.g_02031
OG0000067	Prbb.g_00783	Syab.g_01659
OG0000068	Prbb.g_01639	Syab.g_02087
OG0000070	Prbb.g_00455	Syab.g_00614
OG0000071	Prbb.g_01586	Syab.g_00915
OG0000072	Prbb.g_00228	Syab.g_02593
OG0000073	Prbb.g_00503	Syab.g_02119
OG0000075	Prbb.g_02036	Syab.g_00202
OG0000076	Prbb.g_02061	Syab.g_00113
OG0000077	Prbb.g_00133	Syab.g_02446
OG0000078	Prbb.g_00297	Syab.g_02366
OG0000079	Prbb.g_00308	Syab.g_00340
OG0000081	Prbb.g_00534	Syab.g_01793
OG0000082	Prbb.g_01882	Syab.g_01971
OG0000084	Prbb.g_01683	Syab.g_00781
OG0000085	Prbb.g_01816	Syab.g_02243
OG0000086	Prbb.g_00143	Syab.g_02468
OG0000087	Prbb.g_00196	Syab.g_02551
OG0000088	Prbb.g_00223	Syab.g_02586
OG0000089	Prbb.g_00416	Syab.g_00551
OG0000090	Prbb.g_00536	Syab.g_02041
OG0000091	Prbb.g_00643	Syab.g_01866
OG0000092	Prbb.g_00937	Syab.g_01242, Syab.g_00690
OG0000093	Prbb.g_00768	Syab.g_01090
OG0000097	Prbb.g_01470	Syab.g_01051
OG0000098	Prbb.g_01608	Syab.g_01553
OG0000099	Prbb.g_00388	Syab.g_00230
OG0000100	Prbb.g_01763	Syab.g_01694
OG0000101	Prbb.g_02001	Syab.g_00446
OG0000102	Prbb.g_02066	Syab.g_00104
OG0000103	Prbb.g_02174	Syab.g_01296, Syab.g_02895
OG0000104	Prbb.g_02185	Syab.g_02910
OG0000105	Prbb.g_00327	Syab.g_00303
OG0000106	Prbb.g_01197, Prbb.g_01329	Syab.g_01817
OG0000108	Prbb.g_00484, Prbb.g_00485	Syab.g_02096
OG0000109	Prbb.g_00498	Syab.g_02112
OG0000110	Prbb.g_00578	Syab.g_01984
OG0000111	Prbb.g_00707	Syab.g_01201
OG0000112	Prbb.g_00983	Syab.g_01392
OG0000113	Prbb.g_00807, Prbb.g_01218	Syab.g_01689
OG0000114	Prbb.g_00932	Syab.g_01633
OG0000115	Prbb.g_01780	Syab.g_00748
OG0000116	Prbb.g_01528	Syab.g_00945
OG0000117	Prbb.g_01399	Syab.g_01018
OG0000118	Prbb.g_01598	Syab.g_00897
OG0000120	Prbb.g_00678	Syab.g_00229
OG0000121	Prbb.g_01688	Syab.g_00772
OG0000122	Prbb.g_01727	Syab.g_01839
OG0000123	Prbb.g_02008	Syab.g_00454
OG0000124	Prbb.g_02079	Syab.g_00088
OG0000125	Prbb.g_02131	Syab.g_02763
OG0000126	Prbb.g_02183	Syab.g_02908
OG0000128	Prbb.g_00012	Syab.g_00012
OG0000129	Prbb.g_00059	Syab.g_02749
OG0000130	Prbb.g_00124	Syab.g_02434
OG0000131	Prbb.g_00202	Syab.g_02564
OG0000132	Prbb.g_00221	Syab.g_02584
OG0000133	Prbb.g_00373	Syab.g_01387
OG0000134	Prbb.g_00418	Syab.g_00554
OG0000135	Prbb.g_01326	Syab.g_02815
OG0000136	Prbb.g_00446	Syab.g_00588
