Orthogroup	Prbb	Prbl
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prbl.g_00116
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000002	Prbb.g_00844	Prbl.g_01582
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prbl.g_01092
OG0000004	Prbb.g_01450	Prbl.g_00021
OG0000004	Prbb.g_00288	Prbl.g_01771
OG0000005	Prbb.g_01766	Prbl.g_00419
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prbl.g_02601
OG0000007	Prbb.g_00501	Prbl.g_00531
OG0000007	Prbb.g_01823	Prbl.g_00394
OG0000008	Prbb.g_01884	Prbl.g_01855
OG0000008	Prbb.g_01885	Prbl.g_01854
OG0000010	Prbb.g_01072, Prbb.g_00477	Prbl.g_01341
OG0000011	Prbb.g_01229	Prbl.g_01822
OG0000013	Prbb.g_00378	Prbl.g_01183
OG0000014	Prbb.g_00357	Prbl.g_01416
OG0000015	Prbb.g_01158	Prbl.g_01566
OG0000017	Prbb.g_00605	Prbl.g_01763
OG0000018	Prbb.g_01539, Prbb.g_00812	Prbl.g_00694
OG0000019	Prbb.g_00761	Prbl.g_01097
OG0000020	Prbb.g_01071	Prbl.g_01076
OG0000020	Prbb.g_01180	Prbl.g_01026, Prbl.g_01386
OG0000021	Prbb.g_01914	Prbl.g_01531
OG0000021	Prbb.g_00099	Prbl.g_01768
OG0000022	Prbb.g_01231	Prbl.g_01310
OG0000022	Prbb.g_01258	Prbl.g_01072
OG0000023	Prbb.g_01411, Prbb.g_01373	Prbl.g_02355
OG0000024	Prbb.g_01175, Prbb.g_00680	Prbl.g_00040
OG0000025	Prbb.g_00052, Prbb.g_00818	Prbl.g_01539
OG0000026	Prbb.g_00032	Prbl.g_01977
OG0000029	Prbb.g_01800	Prbl.g_01163
OG0000030	Prbb.g_02073	Prbl.g_02061, Prbl.g_02060
OG0000031	Prbb.g_00387	Prbl.g_00830, Prbl.g_00835
OG0000032	Prbb.g_01723	Prbl.g_00712
OG0000033	Prbb.g_00226	Prbl.g_00278
OG0000034	Prbb.g_01596	Prbl.g_01734
OG0000035	Prbb.g_01686	Prbl.g_00242
OG0000037	Prbb.g_00164	Prbl.g_00548
OG0000038	Prbb.g_02129	Prbl.g_02235, Prbl.g_02233
OG0000039	Prbb.g_00692	Prbl.g_00318, Prbl.g_01272
OG0000041	Prbb.g_01868	Prbl.g_00339
OG0000042	Prbb.g_02069	Prbl.g_01236, Prbl.g_01121
OG0000045	Prbb.g_01347, Prbb.g_01094	Prbl.g_00609
OG0000046	Prbb.g_00379	Prbl.g_01184
OG0000047	Prbb.g_00421	Prbl.g_01574
OG0000047	Prbb.g_00386	Prbl.g_00719
OG0000048	Prbb.g_00325	Prbl.g_01465
OG0000051	Prbb.g_01383, Prbb.g_01391	Prbl.g_01677
OG0000053	Prbb.g_01705	Prbl.g_00691
OG0000054	Prbb.g_00607	Prbl.g_01752
OG0000056	Prbb.g_00078	Prbl.g_01599
OG0000057	Prbb.g_00706, Prbb.g_01359	Prbl.g_00025
OG0000059	Prbb.g_01946	Prbl.g_00836
OG0000062	Prbb.g_01768	Prbl.g_00417
OG0000063	Prbb.g_01921	Prbl.g_01981
OG0000065	Prbb.g_00162	Prbl.g_00552
OG0000066	Prbb.g_00542	Prbl.g_00752
OG0000067	Prbb.g_00783	Prbl.g_02335
OG0000068	Prbb.g_01639	Prbl.g_00502
OG0000070	Prbb.g_00455	Prbl.g_00634
OG0000071	Prbb.g_01586	Prbl.g_01722
OG0000072	Prbb.g_00228	Prbl.g_00276
OG0000073	Prbb.g_00503	Prbl.g_00533
OG0000075	Prbb.g_02036	Prbl.g_00855
OG0000076	Prbb.g_02061	Prbl.g_01285
OG0000077	Prbb.g_00133	Prbl.g_00596, Prbl.g_00631
OG0000078	Prbb.g_00297	Prbl.g_00193
OG0000079	Prbb.g_00308	Prbl.g_01505
OG0000081	Prbb.g_00534	Prbl.g_00032
OG0000082	Prbb.g_01882	Prbl.g_01783
OG0000084	Prbb.g_01683	Prbl.g_00246
OG0000085	Prbb.g_01816	Prbl.g_00405
OG0000086	Prbb.g_00143	Prbl.g_00583
OG0000087	Prbb.g_00196	Prbl.g_00810
OG0000088	Prbb.g_00223	Prbl.g_00281
OG0000089	Prbb.g_00416	Prbl.g_02674
OG0000090	Prbb.g_00536	Prbl.g_00766
OG0000091	Prbb.g_00643	Prbl.g_01647
OG0000093	Prbb.g_01606, Prbb.g_00768	Prbl.g_02359
OG0000094	Prbb.g_00892	Prbl.g_02209
OG0000097	Prbb.g_01470	Prbl.g_02579
OG0000098	Prbb.g_01608	Prbl.g_00722
OG0000099	Prbb.g_00388	Prbl.g_00893
OG0000100	Prbb.g_01763	Prbl.g_01914, Prbl.g_02305
OG0000101	Prbb.g_02001	Prbl.g_01126, Prbl.g_01000
OG0000102	Prbb.g_02066	Prbl.g_02636
OG0000103	Prbb.g_02174	Prbl.g_02139
OG0000104	Prbb.g_02185	Prbl.g_02125
OG0000105	Prbb.g_00327	Prbl.g_01461
OG0000106	Prbb.g_01197, Prbb.g_01329	Prbl.g_00411
OG0000108	Prbb.g_00484, Prbb.g_00485	Prbl.g_00511
OG0000109	Prbb.g_00498	Prbl.g_00527
OG0000110	Prbb.g_00578	Prbl.g_01795
OG0000111	Prbb.g_00707	Prbl.g_00026
OG0000112	Prbb.g_00983	Prbl.g_02470
OG0000113	Prbb.g_00807, Prbb.g_01218	Prbl.g_02310
OG0000114	Prbb.g_00932	Prbl.g_02407
OG0000115	Prbb.g_01780	Prbl.g_00687
OG0000116	Prbb.g_01528	Prbl.g_02069
OG0000117	Prbb.g_01399	Prbl.g_01384
OG0000118	Prbb.g_01598	Prbl.g_01736
OG0000119	Prbb.g_01632	Prbl.g_00007, Prbl.g_00046
OG0000120	Prbb.g_00678	Prbl.g_00892
OG0000121	Prbb.g_01688	Prbl.g_00234, Prbl.g_00240
OG0000122	Prbb.g_01727	Prbl.g_01808
OG0000123	Prbb.g_02008	Prbl.g_01135
OG0000124	Prbb.g_02079	Prbl.g_02054
OG0000125	Prbb.g_02131	Prbl.g_02231
OG0000126	Prbb.g_02183	Prbl.g_02127
OG0000127	Prbb.g_01346	Prbl.g_00745, Prbl.g_01821
OG0000128	Prbb.g_00012	Prbl.g_02109
OG0000129	Prbb.g_00059	Prbl.g_02243
OG0000130	Prbb.g_00124	Prbl.g_00608
OG0000131	Prbb.g_00202	Prbl.g_00303
OG0000132	Prbb.g_00221	Prbl.g_00283
OG0000133	Prbb.g_00373	Prbl.g_00897
OG0000134	Prbb.g_00418	Prbl.g_02677
OG0000135	Prbb.g_01326	Prbl.g_02190
OG0000136	Prbb.g_00446	Prbl.g_00647
OG0000137	Prbb.g_00478	Prbl.g_01340
OG0000138	Prbb.g_00499	Prbl.g_00528
OG0000139	Prbb.g_00540	Prbl.g_00760
OG0000140	Prbb.g_00541	Prbl.g_00754
OG0000141	Prbb.g_00608	Prbl.g_01751
OG0000142	Prbb.g_00636	Prbl.g_01639
OG0000143	Prbb.g_00640	Prbl.g_01643
OG0000144	Prbb.g_00653	Prbl.g_01042
OG0000145	Prbb.g_01099	Prbl.g_00534
