Orthogroup	Prbb	Prbh
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prbh.g_01853
OG0000000	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356	Prbh.g_01901, Prbh.g_01319
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prbh.g_01903
OG0000000	Prbb.g_01123	Prbh.g_01902
OG0000000	Prbb.g_01352	Prbh.g_01902
OG0000000	Prbb.g_01403	Prbh.g_01902
OG0000000	Prbb.g_01787	Prbh.g_01902
OG0000000	Prbb.g_01145	Prbh.g_01858
OG0000001	Prbb.g_01611	Prbh.g_00001
OG0000001	Prbb.g_00474, Prbb.g_01915	Prbh.g_00863
OG0000002	Prbb.g_00844	Prbh.g_01016
OG0000002	Prbb.g_01546	Prbh.g_01313
OG0000002	Prbb.g_01545	Prbh.g_00006, Prbh.g_01311
OG0000002	Prbb.g_01550, Prbb.g_01544	Prbh.g_01317
OG0000002	Prbb.g_01549	Prbh.g_00199
OG0000002	Prbb.g_00683	Prbh.g_00912
OG0000004	Prbb.g_01450	Prbh.g_00933
OG0000004	Prbb.g_00288	Prbh.g_00548
OG0000005	Prbb.g_01766	Prbh.g_00182
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prbh.g_00538
OG0000007	Prbb.g_00501	Prbh.g_00334
OG0000007	Prbb.g_01823	Prbh.g_01782
OG0000008	Prbb.g_01884	Prbh.g_01406
OG0000008	Prbb.g_01885	Prbh.g_01405
OG0000010	Prbb.g_01072	Prbh.g_00848, Prbh.g_01143
OG0000010	Prbb.g_00477	Prbh.g_00357
OG0000011	Prbb.g_01199	Prbh.g_01835
OG0000013	Prbb.g_00378	Prbh.g_00452
OG0000014	Prbb.g_00357	Prbh.g_00472
OG0000015	Prbb.g_01158	Prbh.g_00840, Prbh.g_01869
OG0000016	Prbb.g_01919	Prbh.g_01336
OG0000017	Prbb.g_00605	Prbh.g_00232
OG0000018	Prbb.g_01539	Prbh.g_01305
OG0000018	Prbb.g_00812	Prbh.g_00981
OG0000019	Prbb.g_00761	Prbh.g_01307
OG0000020	Prbb.g_01071	Prbh.g_00202
OG0000020	Prbb.g_01180	Prbh.g_01898
OG0000021	Prbb.g_01914	Prbh.g_00203
OG0000021	Prbb.g_00099	Prbh.g_00938
OG0000022	Prbb.g_01231	Prbh.g_00190
OG0000023	Prbb.g_01411, Prbb.g_01373	Prbh.g_00833
OG0000024	Prbb.g_01175	Prbh.g_01147
OG0000024	Prbb.g_00680	Prbh.g_00909
OG0000025	Prbb.g_00052, Prbb.g_00818	Prbh.g_00988
OG0000026	Prbb.g_00032	Prbh.g_00749
OG0000028	Prbb.g_01635	Prbh.g_00404
OG0000029	Prbb.g_01800	Prbh.g_01885
OG0000030	Prbb.g_02073	Prbh.g_01570
OG0000031	Prbb.g_00387	Prbh.g_00064
OG0000032	Prbb.g_01723	Prbh.g_00138
OG0000033	Prbb.g_00226	Prbh.g_00613
OG0000034	Prbb.g_01596	Prbh.g_01383
OG0000035	Prbb.g_01686	Prbh.g_00096
OG0000037	Prbb.g_00164	Prbh.g_00674
OG0000038	Prbb.g_02129	Prbh.g_01530
OG0000039	Prbb.g_00692	Prbh.g_00921
OG0000040	Prbb.g_01899, Prbb.g_01790	Prbh.g_01815
OG0000041	Prbb.g_01868	Prbh.g_01734
OG0000042	Prbb.g_02069	Prbh.g_01573
OG0000043	Prbb.g_00909	Prbh.g_01304
OG0000044	Prbb.g_00079	Prbh.g_01794
OG0000045	Prbb.g_01094	Prbh.g_01327
OG0000046	Prbb.g_00379	Prbh.g_00451
OG0000047	Prbb.g_00421	Prbh.g_00408
OG0000048	Prbb.g_00325	Prbh.g_00508
OG0000050	Prbb.g_01452	Prbh.g_01445
OG0000052	Prbb.g_00112	Prbh.g_00727
OG0000053	Prbb.g_01705	Prbh.g_01834, Prbh.g_00120
OG0000054	Prbb.g_00607	Prbh.g_00223
OG0000055	Prbb.g_00747	Prbh.g_01332
OG0000055	Prbb.g_01897	Prbh.g_01797
OG0000056	Prbb.g_00078	Prbh.g_01803
OG0000057	Prbb.g_00706, Prbb.g_01359	Prbh.g_00936
OG0000058	Prbb.g_00851	Prbh.g_00030
OG0000059	Prbb.g_01946	Prbh.g_01695
OG0000061	Prbb.g_01517	Prbh.g_01283
OG0000062	Prbb.g_01768	Prbh.g_00184
OG0000063	Prbb.g_01921	Prbh.g_01401
OG0000065	Prbb.g_00162	Prbh.g_00676
OG0000066	Prbb.g_00542	Prbh.g_01856
OG0000067	Prbb.g_00783	Prbh.g_00953
OG0000068	Prbb.g_01639	Prbh.g_00009
OG0000069	Prbb.g_01324, Prbb.g_01729	Prbh.g_00376
OG0000070	Prbb.g_00455	Prbh.g_00382
OG0000071	Prbb.g_01586	Prbh.g_01373
OG0000072	Prbb.g_00228	Prbh.g_00611
OG0000073	Prbb.g_00503	Prbh.g_00330
OG0000074	Prbb.g_00915	Prbh.g_00859
OG0000074	Prbb.g_00687	Prbh.g_00916
OG0000075	Prbb.g_02036	Prbh.g_01607
OG0000076	Prbb.g_02061	Prbh.g_01581
OG0000077	Prbb.g_00133	Prbh.g_00704
OG0000078	Prbb.g_00297	Prbh.g_00540
OG0000079	Prbb.g_00308	Prbh.g_00527
OG0000081	Prbb.g_00534	Prbh.g_00298
OG0000082	Prbb.g_01882	Prbh.g_01855
OG0000084	Prbb.g_01683	Prbh.g_00093
OG0000085	Prbb.g_01816	Prbh.g_01408
OG0000086	Prbb.g_00143	Prbh.g_00695
OG0000087	Prbb.g_00196	Prbh.g_00642
OG0000088	Prbb.g_00223	Prbh.g_00616
OG0000089	Prbb.g_00416	Prbh.g_00415
OG0000090	Prbb.g_00536	Prbh.g_00296
OG0000091	Prbb.g_00643	Prbh.g_01211
OG0000092	Prbb.g_00937	Prbh.g_00883
OG0000093	Prbb.g_00768	Prbh.g_01181
OG0000094	Prbb.g_00892	Prbh.g_01130
OG0000095	Prbb.g_01070	Prbh.g_01031
OG0000096	Prbb.g_01294	Prbh.g_01909, Prbh.g_01948
OG0000097	Prbb.g_01470	Prbh.g_01236
OG0000098	Prbb.g_01608	Prbh.g_01935
OG0000099	Prbb.g_00388	Prbh.g_00032
OG0000100	Prbb.g_01763	Prbh.g_00179
OG0000101	Prbb.g_02001	Prbh.g_01644
OG0000102	Prbb.g_02066	Prbh.g_01576
OG0000103	Prbb.g_02174	Prbh.g_01489
OG0000104	Prbb.g_02185	Prbh.g_01480
OG0000105	Prbb.g_00327	Prbh.g_00505
OG0000106	Prbb.g_01197, Prbb.g_01329	Prbh.g_00821
OG0000107	Prbb.g_01923	Prbh.g_01718
OG0000108	Prbb.g_00484, Prbb.g_00485	Prbh.g_00351
OG0000109	Prbb.g_00498	Prbh.g_00337
OG0000110	Prbb.g_00578	Prbh.g_00254
OG0000111	Prbb.g_00707	Prbh.g_00937
OG0000112	Prbb.g_00983	Prbh.g_01078
OG0000113	Prbb.g_01218	Prbh.g_00976
OG0000114	Prbb.g_00932	Prbh.g_00878
OG0000115	Prbb.g_01780	Prbh.g_01344
OG0000116	Prbb.g_01528	Prbh.g_01294
OG0000117	Prbb.g_01399	Prbh.g_01255
OG0000118	Prbb.g_01598	Prbh.g_01385
OG0000119	Prbb.g_01632	Prbh.g_01333, Prbh.g_00194
OG0000120	Prbb.g_00678	Prbh.g_00031
OG0000121	Prbb.g_01688	Prbh.g_00101
OG0000122	Prbb.g_01727	Prbh.g_00143
OG0000123	Prbb.g_02008	Prbh.g_01637
OG0000124	Prbb.g_02079	Prbh.g_01564
OG0000125	Prbb.g_02131	Prbh.g_01528
OG0000126	Prbb.g_02183	Prbh.g_01481
OG0000128	Prbb.g_00012	Prbh.g_01953
OG0000129	Prbb.g_00059	Prbh.g_00738
OG0000130	Prbb.g_00124	Prbh.g_00713
OG0000131	Prbb.g_00202	Prbh.g_00637
OG0000132	Prbb.g_00221	Prbh.g_00618
OG0000133	Prbb.g_00373	Prbh.g_00457
