Orthogroup	Prbb	Syao
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Syao.g_00314
OG0000004	Prbb.g_01450	Syao.g_02374
OG0000004	Prbb.g_00288	Syao.g_01271, Syao.g_01007
OG0000005	Prbb.g_01393	Syao.g_01680
OG0000005	Prbb.g_01766	Syao.g_01578
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syao.g_01518
OG0000007	Prbb.g_00501	Syao.g_00105
OG0000007	Prbb.g_01823	Syao.g_01554
OG0000008	Prbb.g_01885	Syao.g_01321
OG0000010	Prbb.g_01072, Prbb.g_00477	Syao.g_02683
OG0000011	Prbb.g_01229, Prbb.g_01368, Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syao.g_01282
OG0000012	Prbb.g_01111	Syao.g_01193
OG0000013	Prbb.g_00378	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Prbb.g_00357	Syao.g_02027
OG0000015	Prbb.g_01158	Syao.g_00302
OG0000016	Prbb.g_00014	Syao.g_01955
OG0000017	Prbb.g_00605	Syao.g_00997
OG0000018	Prbb.g_01539, Prbb.g_00812	Syao.g_00071
OG0000019	Prbb.g_00761	Syao.g_02108
OG0000021	Prbb.g_01914, Prbb.g_00099	Syao.g_01002
OG0000022	Prbb.g_01231, Prbb.g_01258	Syao.g_01218
OG0000023	Prbb.g_01411, Prbb.g_01373	Syao.g_01266
OG0000025	Prbb.g_00052, Prbb.g_00818	Syao.g_00436, Syao.g_00437
OG0000026	Prbb.g_00032	Syao.g_02234
OG0000027	Prbb.g_01375	Syao.g_00202
OG0000028	Prbb.g_01635	Syao.g_02012
OG0000030	Prbb.g_02073	Syao.g_02189, Syao.g_02188
OG0000031	Prbb.g_00387	Syao.g_01083
OG0000032	Prbb.g_01723	Syao.g_00090
OG0000033	Prbb.g_00226	Syao.g_02507
OG0000035	Prbb.g_01686	Syao.g_01486
OG0000037	Prbb.g_00164	Syao.g_00374
OG0000038	Prbb.g_02129	Syao.g_02440, Syao.g_02442
OG0000039	Prbb.g_00692	Syao.g_00704
OG0000042	Prbb.g_02069	Syao.g_00019, Syao.g_01941
OG0000045	Prbb.g_01094	Syao.g_01214, Syao.g_00148
OG0000046	Prbb.g_00379	Syao.g_01845, Syao.g_01909
OG0000047	Prbb.g_00421, Prbb.g_00386	Syao.g_01899
OG0000048	Prbb.g_00325	Syao.g_02077
OG0000051	Prbb.g_01383, Prbb.g_01391	Syao.g_01261
OG0000052	Prbb.g_00112	Syao.g_01972
OG0000053	Prbb.g_01705	Syao.g_00067
OG0000055	Prbb.g_01897	Syao.g_00498
OG0000058	Prbb.g_00851	Syao.g_01080
OG0000059	Prbb.g_01946	Syao.g_01959
OG0000060	Prbb.g_01153	Syao.g_00312
OG0000061	Prbb.g_01517, Prbb.g_00874	Syao.g_00123
OG0000063	Prbb.g_01921	Syao.g_02230
OG0000065	Prbb.g_00162	Syao.g_02600
OG0000066	Prbb.g_00542	Syao.g_01422
OG0000067	Prbb.g_00783	Syao.g_00756
OG0000068	Prbb.g_01639	Syao.g_00868, Syao.g_00036
OG0000069	Prbb.g_01324, Prbb.g_01729	Syao.g_00313
OG0000070	Prbb.g_00455	Syao.g_00330
OG0000071	Prbb.g_01586	Syao.g_01433
OG0000072	Prbb.g_00228	Syao.g_02509, Syao.g_01749
OG0000073	Prbb.g_00503	Syao.g_00103
OG0000075	Prbb.g_02036	Syao.g_02257
OG0000076	Prbb.g_02061	Syao.g_01949
OG0000077	Prbb.g_00133	Syao.g_02629
OG0000079	Prbb.g_00308	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prbb.g_01882	Syao.g_01035
OG0000084	Prbb.g_01683	Syao.g_02606
OG0000085	Prbb.g_01816	Syao.g_01569
OG0000086	Prbb.g_00143	Syao.g_02653, Syao.g_01240
OG0000087	Prbb.g_00196	Syao.g_02555
OG0000088	Prbb.g_00223	Syao.g_02503
OG0000089	Prbb.g_00416	Syao.g_01716
OG0000090	Prbb.g_00536	Syao.g_01412
OG0000091	Prbb.g_00643	Syao.g_00902
OG0000092	Prbb.g_00937	Syao.g_00656
OG0000097	Prbb.g_01470	Syao.g_00973
OG0000098	Prbb.g_01608	Syao.g_01374
OG0000099	Prbb.g_00388	Syao.g_02019
OG0000100	Prbb.g_01763	Syao.g_00787
OG0000101	Prbb.g_02001	Syao.g_01840
OG0000102	Prbb.g_02066	Syao.g_01945
OG0000103	Prbb.g_02174	Syao.g_02340
OG0000104	Prbb.g_02185	Syao.g_02157
OG0000105	Prbb.g_00327	Syao.g_02071, Syao.g_02072
OG0000106	Prbb.g_01197, Prbb.g_01329	Syao.g_01385
OG0000107	Prbb.g_01923	Syao.g_01935
OG0000108	Prbb.g_00484, Prbb.g_00485	Syao.g_00028
OG0000109	Prbb.g_00498	Syao.g_00110
OG0000110	Prbb.g_00578	Syao.g_01051
OG0000111	Prbb.g_00707	Syao.g_00378
OG0000112	Prbb.g_00983	Syao.g_00683, Syao.g_00303
OG0000113	Prbb.g_00807, Prbb.g_01218	Syao.g_00782
OG0000114	Prbb.g_00932	Syao.g_00965
OG0000115	Prbb.g_01780	Syao.g_00065, Syao.g_01464
OG0000116	Prbb.g_01528	Syao.g_00137
OG0000117	Prbb.g_01399	Syao.g_00169
OG0000118	Prbb.g_01598	Syao.g_01475
OG0000120	Prbb.g_00678	Syao.g_02009
OG0000121	Prbb.g_01688	Syao.g_01489
OG0000122	Prbb.g_01727	Syao.g_01247
OG0000123	Prbb.g_02008	Syao.g_01832
OG0000124	Prbb.g_02079	Syao.g_02179
OG0000125	Prbb.g_02131	Syao.g_02444
OG0000126	Prbb.g_02183	Syao.g_02198
OG0000128	Prbb.g_00012	Syao.g_02149
OG0000129	Prbb.g_00059	Syao.g_02434
OG0000130	Prbb.g_00124	Syao.g_02617
OG0000131	Prbb.g_00202	Syao.g_02480
OG0000132	Prbb.g_00221	Syao.g_02501
OG0000133	Prbb.g_00373	Syao.g_00678
OG0000134	Prbb.g_00418	Syao.g_01719
OG0000135	Prbb.g_01326	Syao.g_00147
OG0000136	Prbb.g_00446	Syao.g_01614, Syao.g_01613
OG0000137	Prbb.g_00478	Syao.g_02682
OG0000138	Prbb.g_00499	Syao.g_00108
OG0000139	Prbb.g_00540	Syao.g_02005
OG0000140	Prbb.g_00541	Syao.g_01373, Syao.g_01372
