Orthogroup	Prbb	Syas
OG0000004	Prbb.g_01450	Syas.g_00176
OG0000004	Prbb.g_00288	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prbb.g_01393	Syas.g_02665
OG0000005	Prbb.g_01766	Syas.g_02704
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prbb.g_00501	Syas.g_01232
OG0000007	Prbb.g_01823	Syas.g_02681
OG0000008	Prbb.g_01884	Syas.g_00886
OG0000008	Prbb.g_01885	Syas.g_00887
OG0000010	Prbb.g_01072, Prbb.g_00477	Syas.g_01334
OG0000013	Prbb.g_00378	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prbb.g_00357	Syas.g_01816
OG0000016	Prbb.g_00014	Syas.g_02048
OG0000016	Prbb.g_01919	Syas.g_01086, Syas.g_01050
OG0000017	Prbb.g_00605	Syas.g_00849
OG0000018	Prbb.g_01539, Prbb.g_00812	Syas.g_01290
OG0000019	Prbb.g_00761	Syas.g_01696
OG0000022	Prbb.g_01231, Prbb.g_01258	Syas.g_02758
OG0000025	Prbb.g_00052, Prbb.g_00818	Syas.g_00231
OG0000026	Prbb.g_00032	Syas.g_02070
OG0000027	Prbb.g_01375	Syas.g_01480
OG0000028	Prbb.g_01635	Syas.g_01793
OG0000030	Prbb.g_02073	Syas.g_01644, Syas.g_01645
OG0000033	Prbb.g_00226	Syas.g_02328
OG0000034	Prbb.g_01596	Syas.g_02371, Syas.g_02838
OG0000035	Prbb.g_01686	Syas.g_02814, Syas.g_02818
OG0000037	Prbb.g_00164	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prbb.g_02129	Syas.g_01885, Syas.g_01887
OG0000039	Prbb.g_00692	Syas.g_02795
OG0000040	Prbb.g_01899, Prbb.g_01790	Syas.g_02028
OG0000042	Prbb.g_02069	Syas.g_01121, Syas.g_02147
OG0000044	Prbb.g_00079	Syas.g_00894, Syas.g_02453
OG0000046	Prbb.g_00379	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prbb.g_00325	Syas.g_01734
OG0000051	Prbb.g_01383, Prbb.g_01391	Syas.g_01445
OG0000053	Prbb.g_01705	Syas.g_01287
OG0000054	Prbb.g_00607	Syas.g_00961
OG0000055	Prbb.g_01897	Syas.g_00203
OG0000058	Prbb.g_00851	Syas.g_01151
OG0000060	Prbb.g_01153	Syas.g_00975
OG0000061	Prbb.g_01517, Prbb.g_00874	Syas.g_01184
OG0000062	Prbb.g_01768	Syas.g_00070
OG0000063	Prbb.g_01921	Syas.g_02074
OG0000065	Prbb.g_00162	Syas.g_02420
OG0000066	Prbb.g_00542	Syas.g_00094
OG0000067	Prbb.g_00783	Syas.g_00596
OG0000068	Prbb.g_01639	Syas.g_00969, Syas.g_01261
OG0000070	Prbb.g_00455	Syas.g_00173
OG0000072	Prbb.g_00228	Syas.g_02326, Syas.g_01524
OG0000073	Prbb.g_00503	Syas.g_01230
OG0000075	Prbb.g_02036	Syas.g_01921, Syas.g_02194
OG0000076	Prbb.g_02061	Syas.g_02156
OG0000077	Prbb.g_00133	Syas.g_02510
OG0000078	Prbb.g_00297	Syas.g_02308
OG0000079	Prbb.g_00308	Syas.g_01699
OG0000081	Prbb.g_00534	Syas.g_00391
OG0000082	Prbb.g_01882	Syas.g_00837
OG0000085	Prbb.g_01816	Syas.g_02695
OG0000086	Prbb.g_00143	Syas.g_02470
OG0000087	Prbb.g_00196	Syas.g_02374
OG0000089	Prbb.g_00416	Syas.g_01512
OG0000090	Prbb.g_00536	Syas.g_00062
OG0000091	Prbb.g_00643	Syas.g_00907, Syas.g_00146
OG0000092	Prbb.g_00937	Syas.g_00900, Syas.g_00877
OG0000094	Prbb.g_00892	Syas.g_01716
OG0000095	Prbb.g_01070	Syas.g_01021
OG0000097	Prbb.g_01470	Syas.g_00114, Syas.g_01443
OG0000098	Prbb.g_01608	Syas.g_00091
OG0000099	Prbb.g_00388	Syas.g_01826
OG0000100	Prbb.g_01763	Syas.g_00567
OG0000101	Prbb.g_02001	Syas.g_01589
OG0000102	Prbb.g_02066	Syas.g_02152, Syas.g_01395
OG0000103	Prbb.g_02174	Syas.g_02009
OG0000104	Prbb.g_02185	Syas.g_02027, Syas.g_02026
OG0000105	Prbb.g_00327	Syas.g_01739
OG0000106	Prbb.g_01197, Prbb.g_01329	Syas.g_01451
OG0000107	Prbb.g_01923	Syas.g_01669
OG0000108	Prbb.g_00484, Prbb.g_00485	Syas.g_01253
OG0000109	Prbb.g_00498	Syas.g_01236
OG0000110	Prbb.g_00578	Syas.g_00818
OG0000111	Prbb.g_00707	Syas.g_01037
OG0000112	Prbb.g_00983	Syas.g_00452
OG0000113	Prbb.g_00807, Prbb.g_01218	Syas.g_00571
OG0000114	Prbb.g_00932	Syas.g_00674
OG0000115	Prbb.g_01780	Syas.g_02548, Syas.g_01285
OG0000116	Prbb.g_01528	Syas.g_01198, Syas.g_00317
OG0000117	Prbb.g_01399	Syas.g_01122
OG0000118	Prbb.g_01598	Syas.g_02835
OG0000120	Prbb.g_00678	Syas.g_01828
OG0000121	Prbb.g_01688	Syas.g_02821
OG0000122	Prbb.g_01727	Syas.g_00393
OG0000123	Prbb.g_02008	Syas.g_01582
OG0000124	Prbb.g_02079	Syas.g_02137
OG0000125	Prbb.g_02131	Syas.g_01889
OG0000126	Prbb.g_02183	Syas.g_01992
OG0000128	Prbb.g_00012	Syas.g_02046
OG0000129	Prbb.g_00059	Syas.g_01880
OG0000130	Prbb.g_00124	Syas.g_02522
OG0000131	Prbb.g_00202	Syas.g_02367
OG0000132	Prbb.g_00221	Syas.g_02334
OG0000133	Prbb.g_00373	Syas.g_00457
OG0000134	Prbb.g_00418	Syas.g_01509
OG0000135	Prbb.g_01326	Syas.g_01938
OG0000136	Prbb.g_00446	Syas.g_02740
OG0000137	Prbb.g_00478	Syas.g_01333
OG0000138	Prbb.g_00499	Syas.g_01235
OG0000140	Prbb.g_00541	Syas.g_00090
OG0000141	Prbb.g_00608	Syas.g_00875
OG0000142	Prbb.g_00636	Syas.g_00746
OG0000143	Prbb.g_00640	Syas.g_00742
OG0000144	Prbb.g_00653	Syas.g_00718
OG0000145	Prbb.g_01099	Syas.g_00948
OG0000146	Prbb.g_00982	Syas.g_00451
OG0000147	Prbb.g_00981	Syas.g_00450
OG0000148	Prbb.g_00801	Syas.g_00577
OG0000149	Prbb.g_00832	Syas.g_00282
OG0000150	Prbb.g_00840	Syas.g_00874
OG0000151	Prbb.g_00943	Syas.g_00148, Syas.g_00659
OG0000152	Prbb.g_00991	Syas.g_00461
OG0000153	Prbb.g_01009	Syas.g_00543
OG0000154	Prbb.g_01040	Syas.g_00219
OG0000155	Prbb.g_01495	Syas.g_01131
OG0000156	Prbb.g_01575	Syas.g_01206
OG0000157	Prbb.g_01576	Syas.g_01207
OG0000158	Prbb.g_02044	Syas.g_02185
OG0000159	Prbb.g_02093, Prbb.g_02083	Syas.g_01155
OG0000160	Prbb.g_01687	Syas.g_02820
OG0000161	Prbb.g_01693	Syas.g_02826
OG0000162	Prbb.g_01699	Syas.g_02751
OG0000163	Prbb.g_01735	Syas.g_01488
OG0000164	Prbb.g_01845	Syas.g_02648
OG0000165	Prbb.g_01853	Syas.g_02609
OG0000166	Prbb.g_01964	Syas.g_01629
OG0000167	Prbb.g_02034	Syas.g_01449
OG0000168	Prbb.g_02045	Syas.g_02184
OG0000169	Prbb.g_02055	Syas.g_02170
OG0000170	Prbb.g_02057	Syas.g_02161
OG0000171	Prbb.g_02078	Syas.g_02139
OG0000172	Prbb.g_02101	Syas.g_02110
OG0000173	Prbb.g_02116	Syas.g_02092
OG0000174	Prbb.g_02147	Syas.g_01940
OG0000175	Prbb.g_02165	Syas.g_01994
OG0000176	Prbb.g_00004	Syas.g_02038
OG0000177	Prbb.g_00005	Syas.g_02039
