Orthogroup	Prbb	Syaq
OG0000004	Prbb.g_01450	Syaq.g_02603
OG0000004	Prbb.g_00288	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbb.g_01393	Syaq.g_01658
OG0000005	Prbb.g_01766	Syaq.g_01692
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbb.g_00501	Syaq.g_01793
OG0000007	Prbb.g_01823	Syaq.g_01673
OG0000008	Prbb.g_01884	Syaq.g_02162
OG0000008	Prbb.g_01885	Syaq.g_02575
OG0000010	Prbb.g_01072, Prbb.g_00477	Syaq.g_00443
OG0000011	Prbb.g_01229, Prbb.g_01368, Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syaq.g_01038
OG0000013	Prbb.g_00378	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbb.g_00357	Syaq.g_00862
OG0000015	Prbb.g_01158	Syaq.g_02255
OG0000016	Prbb.g_00014	Syaq.g_01136
OG0000016	Prbb.g_01919	Syaq.g_00169
OG0000017	Prbb.g_00605	Syaq.g_01992
OG0000018	Prbb.g_01539, Prbb.g_00812	Syaq.g_00401
OG0000019	Prbb.g_00761	Syaq.g_00717
OG0000022	Prbb.g_01231, Prbb.g_01258	Syaq.g_02126
OG0000023	Prbb.g_01411, Prbb.g_01373	Syaq.g_02540
OG0000025	Prbb.g_00052, Prbb.g_00818	Syaq.g_02381
OG0000026	Prbb.g_00032	Syaq.g_01114
OG0000028	Prbb.g_01635	Syaq.g_00878
OG0000030	Prbb.g_02073	Syaq.g_01047, Syaq.g_01048
OG0000031	Prbb.g_00387	Syaq.g_01009
OG0000032	Prbb.g_01723	Syaq.g_00421
OG0000033	Prbb.g_00226	Syaq.g_01399
OG0000034	Prbb.g_01596	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbb.g_01686	Syaq.g_00372
OG0000037	Prbb.g_00164	Syaq.g_01483
OG0000038	Prbb.g_02129	Syaq.g_01260, Syaq.g_01258
OG0000039	Prbb.g_00692	Syaq.g_01601, Syaq.g_01241
OG0000042	Prbb.g_02069	Syaq.g_00200, Syaq.g_01044
OG0000043	Prbb.g_01198	Syaq.g_01920
OG0000045	Prbb.g_01094	Syaq.g_02047
OG0000046	Prbb.g_00379	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbb.g_00325	Syaq.g_00749
OG0000053	Prbb.g_01705	Syaq.g_00397
OG0000054	Prbb.g_00607	Syaq.g_02005
OG0000055	Prbb.g_00747	Syaq.g_02700
OG0000057	Prbb.g_00706, Prbb.g_01359	Syaq.g_02605
OG0000058	Prbb.g_00851	Syaq.g_00944
OG0000059	Prbb.g_01946	Syaq.g_00657
OG0000060	Prbb.g_01153	Syaq.g_00201
OG0000061	Prbb.g_01517, Prbb.g_00874	Syaq.g_00249
OG0000063	Prbb.g_01921	Syaq.g_01110
OG0000065	Prbb.g_00162	Syaq.g_01908, Syaq.g_01487
OG0000066	Prbb.g_00542	Syaq.g_01851
OG0000067	Prbb.g_00783	Syaq.g_02340
OG0000068	Prbb.g_01639	Syaq.g_01763
OG0000070	Prbb.g_00455	Syaq.g_00484
OG0000071	Prbb.g_01586	Syaq.g_00297
OG0000072	Prbb.g_00228	Syaq.g_01397
OG0000073	Prbb.g_00503	Syaq.g_01795
OG0000075	Prbb.g_02036	Syaq.g_00986
OG0000076	Prbb.g_02061	Syaq.g_01028
OG0000077	Prbb.g_00133	Syaq.g_01547
OG0000078	Prbb.g_00297	Syaq.g_01585
OG0000079	Prbb.g_00308	Syaq.g_00721
OG0000081	Prbb.g_00534	Syaq.g_01893
OG0000082	Prbb.g_01882	Syaq.g_01975
