Orthogroup	Prbb	Pral
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Pral.g_01331
OG0000000	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356	Pral.g_00040, Pral.g_01332
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Pral.g_00037
OG0000000	Prbb.g_01123	Pral.g_00038
OG0000000	Prbb.g_01352	Pral.g_00038
OG0000000	Prbb.g_01403	Pral.g_00038
OG0000000	Prbb.g_01787	Pral.g_00038
OG0000000	Prbb.g_01123	Pral.g_01333
OG0000000	Prbb.g_01352	Pral.g_01333
OG0000000	Prbb.g_01403	Pral.g_01333
OG0000000	Prbb.g_01787	Pral.g_01333
OG0000001	Prbb.g_01611	Pral.g_01236
OG0000001	Prbb.g_00474, Prbb.g_01915	Pral.g_01671
OG0000001	Prbb.g_01157	Pral.g_01296
OG0000002	Prbb.g_00844	Pral.g_01549
OG0000002	Prbb.g_01546	Pral.g_01340
OG0000002	Prbb.g_01545	Pral.g_00430, Pral.g_01342
OG0000002	Prbb.g_01550, Prbb.g_01544	Pral.g_01337
OG0000002	Prbb.g_01549	Pral.g_01052
OG0000002	Prbb.g_00683	Pral.g_01764
OG0000004	Prbb.g_01450	Pral.g_01743
OG0000004	Prbb.g_00288	Pral.g_00809
OG0000005	Prbb.g_01766	Pral.g_01075
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Pral.g_00797
OG0000007	Prbb.g_00501	Pral.g_00593
OG0000007	Prbb.g_01823	Pral.g_00107
OG0000008	Prbb.g_01884	Pral.g_00020
OG0000008	Prbb.g_01885	Pral.g_00021
OG0000010	Prbb.g_01072	Pral.g_01832, Pral.g_01848
OG0000010	Prbb.g_00477	Pral.g_00618
OG0000011	Prbb.g_01199	Pral.g_00064
OG0000012	Prbb.g_01111	Pral.g_00015
OG0000013	Prbb.g_00378	Pral.g_00712
OG0000014	Prbb.g_00357	Pral.g_00732
OG0000015	Prbb.g_01158	Pral.g_01813
OG0000017	Prbb.g_00605	Pral.g_00491
OG0000018	Prbb.g_01539	Pral.g_01346
OG0000018	Prbb.g_00812	Pral.g_01516
OG0000019	Prbb.g_00761	Pral.g_01344
OG0000020	Prbb.g_01071	Pral.g_01038
OG0000020	Prbb.g_01180	Pral.g_01891
OG0000021	Prbb.g_01914	Pral.g_01667
OG0000021	Prbb.g_00099	Pral.g_01738
OG0000022	Prbb.g_01231	Pral.g_00044
OG0000023	Prbb.g_01411, Prbb.g_01373	Pral.g_01687
OG0000024	Prbb.g_01175	Pral.g_01895
OG0000025	Prbb.g_00052, Prbb.g_00818	Pral.g_01523
OG0000026	Prbb.g_00032	Pral.g_01012
OG0000027	Prbb.g_01375	Pral.g_01036
OG0000028	Prbb.g_01635	Pral.g_00053
OG0000029	Prbb.g_01800	Pral.g_01890
OG0000030	Prbb.g_02073	Pral.g_00316
OG0000031	Prbb.g_00387	Pral.g_01193
OG0000032	Prbb.g_01723	Pral.g_01121
OG0000033	Prbb.g_00226	Pral.g_00874
OG0000034	Prbb.g_01596	Pral.g_01271
OG0000035	Prbb.g_01686	Pral.g_01161
OG0000037	Prbb.g_00164	Pral.g_00938
OG0000038	Prbb.g_02129	Pral.g_00356
OG0000039	Prbb.g_00692	Pral.g_01755
OG0000041	Prbb.g_01868	Pral.g_00155
OG0000042	Prbb.g_02069	Pral.g_00313
OG0000043	Prbb.g_00909	Pral.g_01347
OG0000044	Prbb.g_00079	Pral.g_01888
OG0000045	Prbb.g_01094	Pral.g_01322
OG0000046	Prbb.g_00379	Pral.g_00711
OG0000047	Prbb.g_00421	Pral.g_00672
OG0000048	Prbb.g_00325	Pral.g_00768
OG0000051	Prbb.g_01391	Pral.g_00095
OG0000052	Prbb.g_00112	Pral.g_00987
OG0000053	Prbb.g_01705	Pral.g_00066, Pral.g_01139
OG0000054	Prbb.g_00607	Pral.g_00482
OG0000055	Prbb.g_00747	Pral.g_01670
OG0000055	Prbb.g_01897	Pral.g_00082
OG0000056	Prbb.g_00078	Pral.g_01041
OG0000057	Prbb.g_00706, Prbb.g_01359	Pral.g_01740
OG0000058	Prbb.g_00851	Pral.g_01202
OG0000059	Prbb.g_01946	Pral.g_00195
OG0000061	Prbb.g_01517	Pral.g_01367
OG0000062	Prbb.g_01768	Pral.g_01073
OG0000063	Prbb.g_01921	Pral.g_00435
OG0000065	Prbb.g_00162	Pral.g_00940
OG0000066	Prbb.g_00542	Pral.g_00551
OG0000067	Prbb.g_00783	Pral.g_01488
OG0000068	Prbb.g_01639	Pral.g_01222
OG0000069	Prbb.g_01324	Pral.g_01164
OG0000070	Prbb.g_00455	Pral.g_00643
OG0000071	Prbb.g_01586	Pral.g_01281
OG0000072	Prbb.g_00228	Pral.g_00872
OG0000073	Prbb.g_00503	Pral.g_00591
OG0000074	Prbb.g_00915	Pral.g_01818
OG0000074	Prbb.g_00687	Pral.g_01760
OG0000075	Prbb.g_02036	Pral.g_00279
OG0000076	Prbb.g_02061	Pral.g_00305
OG0000077	Prbb.g_00133	Pral.g_00969
OG0000078	Prbb.g_00297	Pral.g_00800
OG0000079	Prbb.g_00308	Pral.g_00787
OG0000081	Prbb.g_00534	Pral.g_00559
OG0000082	Prbb.g_01882	Pral.g_00057
OG0000083	Prbb.g_00425	Pral.g_01898
OG0000084	Prbb.g_01683	Pral.g_01169
OG0000085	Prbb.g_01816	Pral.g_00099
