Orthogroup	Prbb	Prbk
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prbk.g_00165
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Prbk.g_01196, Prbk.g_00170
OG0000002	Prbb.g_00844	Prbk.g_02574
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prbk.g_01649
OG0000004	Prbb.g_01450	Prbk.g_01760
OG0000004	Prbb.g_00288	Prbk.g_01134
OG0000005	Prbb.g_01766	Prbk.g_00933
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prbk.g_02695
OG0000007	Prbb.g_01823	Prbk.g_00907
OG0000008	Prbb.g_01884	Prbk.g_01819
OG0000008	Prbb.g_01885	Prbk.g_01820
OG0000010	Prbb.g_01072, Prbb.g_00477	Prbk.g_02112
OG0000011	Prbb.g_01229	Prbk.g_01851
OG0000013	Prbb.g_00378	Prbk.g_00853
OG0000014	Prbb.g_00357	Prbk.g_00454
OG0000015	Prbb.g_01158	Prbk.g_02558
OG0000017	Prbb.g_00605	Prbk.g_01142
OG0000018	Prbb.g_01539, Prbb.g_00812	Prbk.g_01227
OG0000019	Prbb.g_00761	Prbk.g_01644
OG0000020	Prbb.g_01071	Prbk.g_01664
OG0000020	Prbb.g_01180	Prbk.g_01331, Prbk.g_02697
OG0000021	Prbb.g_01914	Prbk.g_01960
OG0000021	Prbb.g_00099	Prbk.g_01137
OG0000022	Prbb.g_01231	Prbk.g_00212
OG0000022	Prbb.g_01258	Prbk.g_01667
OG0000023	Prbb.g_01411, Prbb.g_01373	Prbk.g_02448
OG0000024	Prbb.g_01175, Prbb.g_00680	Prbk.g_01780
OG0000025	Prbb.g_00052, Prbb.g_00818	Prbk.g_02531
OG0000026	Prbb.g_00032	Prbk.g_01617
OG0000029	Prbb.g_01800	Prbk.g_00833
OG0000030	Prbb.g_02073	Prbk.g_01532, Prbk.g_01533
OG0000031	Prbb.g_00387	Prbk.g_00539, Prbk.g_00534
OG0000032	Prbb.g_01723	Prbk.g_01209
OG0000033	Prbb.g_00226	Prbk.g_00776
OG0000034	Prbb.g_01596	Prbk.g_01171
OG0000035	Prbb.g_01686	Prbk.g_00259
OG0000037	Prbb.g_00164	Prbk.g_00007
OG0000038	Prbb.g_02129	Prbk.g_02164, Prbk.g_02166
OG0000039	Prbb.g_00692	Prbk.g_01385, Prbk.g_00642
OG0000041	Prbb.g_01868	Prbk.g_01406
OG0000042	Prbb.g_02069	Prbk.g_01495, Prbk.g_00140
OG0000045	Prbb.g_01347, Prbb.g_01094	Prbk.g_01321
OG0000046	Prbb.g_00379	Prbk.g_00854
OG0000047	Prbb.g_00421	Prbk.g_02565
OG0000047	Prbb.g_00386	Prbk.g_01202
OG0000048	Prbb.g_00325	Prbk.g_00405
OG0000051	Prbb.g_01383, Prbb.g_01391	Prbk.g_01709
OG0000053	Prbb.g_01705	Prbk.g_01230
OG0000054	Prbb.g_00607	Prbk.g_01153
OG0000056	Prbb.g_00078	Prbk.g_02591
OG0000057	Prbb.g_00706, Prbb.g_01359	Prbk.g_01765
OG0000059	Prbb.g_01946	Prbk.g_00533
OG0000062	Prbb.g_01768	Prbk.g_00931
OG0000063	Prbb.g_01921	Prbk.g_01613
OG0000065	Prbb.g_00162	Prbk.g_00011
OG0000066	Prbb.g_00542	Prbk.g_01094
OG0000067	Prbb.g_00783	Prbk.g_02468
OG0000068	Prbb.g_01639	Prbk.g_02052
OG0000070	Prbb.g_00455	Prbk.g_00310
OG0000071	Prbb.g_01586	Prbk.g_01183
OG0000072	Prbb.g_00228	Prbk.g_00778
OG0000073	Prbb.g_00503	Prbk.g_01862
OG0000075	Prbb.g_02036	Prbk.g_00514
OG0000076	Prbb.g_02061	Prbk.g_00237
OG0000077	Prbb.g_00133	Prbk.g_01308, Prbk.g_00307
OG0000078	Prbb.g_00297	Prbk.g_01515
OG0000079	Prbb.g_00308	Prbk.g_01000
OG0000081	Prbb.g_00534	Prbk.g_01772
OG0000082	Prbb.g_01882	Prbk.g_01122
OG0000084	Prbb.g_01683	Prbk.g_00255
OG0000085	Prbb.g_01816	Prbk.g_00919
OG0000086	Prbb.g_00143	Prbk.g_01295
OG0000087	Prbb.g_00196	Prbk.g_00559
OG0000088	Prbb.g_00223	Prbk.g_00773
OG0000089	Prbb.g_00416	Prbk.g_00364
OG0000090	Prbb.g_00536	Prbk.g_01080
OG0000091	Prbb.g_00643	Prbk.g_02639
OG0000093	Prbb.g_01606, Prbb.g_00768	Prbk.g_02444
OG0000094	Prbb.g_00892	Prbk.g_02190
OG0000097	Prbb.g_01470	Prbk.g_00189
OG0000098	Prbb.g_01608	Prbk.g_01199
OG0000099	Prbb.g_00388	Prbk.g_00476
OG0000100	Prbb.g_01763	Prbk.g_01360, Prbk.g_02498
OG0000101	Prbb.g_02001	Prbk.g_00796, Prbk.g_00944
OG0000102	Prbb.g_02066	Prbk.g_01484
OG0000103	Prbb.g_02174	Prbk.g_02260
OG0000104	Prbb.g_02185	Prbk.g_02274
OG0000105	Prbb.g_00327	Prbk.g_00409
OG0000106	Prbb.g_01197, Prbb.g_01329	Prbk.g_00925
OG0000108	Prbb.g_00484, Prbb.g_00485	Prbk.g_02061
OG0000109	Prbb.g_00498	Prbk.g_02077
OG0000110	Prbb.g_00578	Prbk.g_01110
OG0000111	Prbb.g_00707	Prbk.g_01766
OG0000112	Prbb.g_00983	Prbk.g_02332
OG0000113	Prbb.g_00807, Prbb.g_01218	Prbk.g_02493
OG0000114	Prbb.g_00932	Prbk.g_02396
OG0000115	Prbb.g_01780	Prbk.g_01234
OG0000116	Prbb.g_01528	Prbk.g_01034
OG0000117	Prbb.g_01399	Prbk.g_01496
OG0000118	Prbb.g_01598	Prbk.g_01169
OG0000119	Prbb.g_01632	Prbk.g_01746, Prbk.g_01786
OG0000120	Prbb.g_00678	Prbk.g_00477
OG0000121	Prbb.g_01688	Prbk.g_00267, Prbk.g_00261
OG0000122	Prbb.g_01727	Prbk.g_02664
OG0000123	Prbb.g_02008	Prbk.g_00805
OG0000124	Prbb.g_02079	Prbk.g_01539
OG0000125	Prbb.g_02131	Prbk.g_02168
OG0000126	Prbb.g_02183	Prbk.g_02272
OG0000127	Prbb.g_01346	Prbk.g_01101, Prbk.g_01852
OG0000128	Prbb.g_00012	Prbk.g_02290
OG0000129	Prbb.g_00059	Prbk.g_02156
OG0000130	Prbb.g_00124	Prbk.g_01320
OG0000131	Prbb.g_00202	Prbk.g_00751
OG0000132	Prbb.g_00221	Prbk.g_00771
OG0000133	Prbb.g_00373	Prbk.g_00472
OG0000134	Prbb.g_00418	Prbk.g_00361
OG0000135	Prbb.g_01326	Prbk.g_02209
OG0000136	Prbb.g_00446	Prbk.g_00323
OG0000137	Prbb.g_00478	Prbk.g_02113
OG0000138	Prbb.g_00499	Prbk.g_02078
OG0000139	Prbb.g_00540	Prbk.g_01086
OG0000140	Prbb.g_00541	Prbk.g_01092
OG0000141	Prbb.g_00608	Prbk.g_01154
OG0000142	Prbb.g_00636	Prbk.g_02631
OG0000143	Prbb.g_00640	Prbk.g_02635
OG0000144	Prbb.g_00653	Prbk.g_00739
OG0000145	Prbb.g_01099	Prbk.g_01863
OG0000146	Prbb.g_00982	Prbk.g_02333
OG0000147	Prbb.g_00981	Prbk.g_02334
OG0000148	Prbb.g_00801	Prbk.g_02487
OG0000149	Prbb.g_00832	Prbk.g_02544
