Orthogroup	Prbb	Syar
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Syar.g_00069
OG0000004	Prbb.g_01450	Syar.g_02051
OG0000004	Prbb.g_00288	Syar.g_02225, Syar.g_00842
OG0000005	Prbb.g_01393	Syar.g_02952
OG0000005	Prbb.g_01766	Syar.g_02909
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbb.g_00501	Syar.g_01491
OG0000007	Prbb.g_01823	Syar.g_02929
OG0000008	Prbb.g_01884	Syar.g_02097
OG0000008	Prbb.g_01885	Syar.g_02098
OG0000010	Prbb.g_01072, Prbb.g_00477	Syar.g_01272
OG0000013	Prbb.g_00378	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbb.g_00357	Syar.g_00825
OG0000016	Prbb.g_00014, Prbb.g_01919	Syar.g_02859
OG0000017	Prbb.g_00605	Syar.g_02188
OG0000018	Prbb.g_01539, Prbb.g_00812	Syar.g_01409
OG0000019	Prbb.g_00761	Syar.g_00163
OG0000022	Prbb.g_01231, Prbb.g_01258	Syar.g_00835
OG0000025	Prbb.g_00052, Prbb.g_00818	Syar.g_01811
OG0000026	Prbb.g_00032	Syar.g_00505
OG0000027	Prbb.g_01375	Syar.g_02055
OG0000028	Prbb.g_01635	Syar.g_00718
OG0000032	Prbb.g_01723	Syar.g_01390
OG0000033	Prbb.g_00226	Syar.g_00105
OG0000034	Prbb.g_01596	Syar.g_00074, Syar.g_02790
OG0000035	Prbb.g_01686	Syar.g_02809
OG0000037	Prbb.g_00164	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbb.g_02129	Syar.g_00334, Syar.g_00336
OG0000039	Prbb.g_00692	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000042	Prbb.g_02069	Syar.g_00595, Syar.g_01970
OG0000044	Prbb.g_00079	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbb.g_01347, Prbb.g_01094	Syar.g_02592
OG0000046	Prbb.g_00379	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbb.g_00325	Syar.g_00213
OG0000051	Prbb.g_01383, Prbb.g_01391	Syar.g_01597
OG0000052	Prbb.g_00112	Syar.g_00281
OG0000053	Prbb.g_01705	Syar.g_01413
OG0000055	Prbb.g_00747, Prbb.g_01897	Syar.g_01386
OG0000056	Prbb.g_00078	Syar.g_01662
OG0000057	Prbb.g_00706, Prbb.g_01359	Syar.g_00006
OG0000061	Prbb.g_01517, Prbb.g_00874	Syar.g_01539
OG0000062	Prbb.g_01768	Syar.g_01439
OG0000063	Prbb.g_01921	Syar.g_00509
OG0000065	Prbb.g_00162	Syar.g_03119
OG0000066	Prbb.g_00542	Syar.g_02228
OG0000067	Prbb.g_00783	Syar.g_02639
OG0000068	Prbb.g_01639	Syar.g_02329, Syar.g_01461
OG0000069	Prbb.g_01324, Prbb.g_01729	Syar.g_01716
OG0000070	Prbb.g_00455	Syar.g_02223
OG0000071	Prbb.g_01586	Syar.g_02777
OG0000072	Prbb.g_00228	Syar.g_00107, Syar.g_01140
OG0000073	Prbb.g_00503	Syar.g_01493
OG0000075	Prbb.g_02036	Syar.g_03065, Syar.g_00659
OG0000076	Prbb.g_02061	Syar.g_00608
OG0000077	Prbb.g_00133	Syar.g_03051
OG0000078	Prbb.g_00297	Syar.g_01366
OG0000079	Prbb.g_00308	Syar.g_00166
OG0000081	Prbb.g_00534	Syar.g_01898
OG0000082	Prbb.g_01882	Syar.g_02202
OG0000085	Prbb.g_01816	Syar.g_02919
OG0000086	Prbb.g_00143	Syar.g_03085
OG0000087	Prbb.g_00196	Syar.g_03192, Syar.g_00068
OG0000088	Prbb.g_00223	Syar.g_00101
OG0000089	Prbb.g_00416	Syar.g_01162
OG0000090	Prbb.g_00536	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbb.g_00643	Syar.g_01891, Syar.g_02426
