Orthogroup	Prbb	Prac
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prac.g_00159
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785	Prac.g_00277
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prac.g_00292
OG0000000	Prbb.g_00103	Prac.g_00293, Prac.g_00926
OG0000001	Prbb.g_01157	Prac.g_00924
OG0000002	Prbb.g_00844	Prac.g_00210
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prac.g_00693
OG0000004	Prbb.g_01450	Prac.g_00676
OG0000004	Prbb.g_00288	Prac.g_01698
OG0000005	Prbb.g_01393	Prac.g_00612
OG0000005	Prbb.g_01766	Prac.g_00335
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prac.g_01689
OG0000007	Prbb.g_00501	Prac.g_00874
OG0000007	Prbb.g_01823	Prac.g_00625
OG0000008	Prbb.g_01884	Prac.g_00904
OG0000010	Prbb.g_01072, Prbb.g_00477	Prac.g_01070
OG0000011	Prbb.g_01229	Prac.g_00152
OG0000011	Prbb.g_01199	Prac.g_00142
OG0000012	Prbb.g_01111	Prac.g_00748
OG0000013	Prbb.g_00378	Prac.g_01604
OG0000014	Prbb.g_00357	Prac.g_01625
OG0000015	Prbb.g_01158	Prac.g_00898
OG0000016	Prbb.g_00014	Prac.g_01934
OG0000017	Prbb.g_00605	Prac.g_00773
OG0000018	Prbb.g_01539	Prac.g_01004
OG0000018	Prbb.g_00812	Prac.g_01448
OG0000019	Prbb.g_00761	Prac.g_01496
OG0000020	Prbb.g_01071	Prac.g_01037
OG0000020	Prbb.g_01180	Prac.g_00875, Prac.g_01598
OG0000021	Prbb.g_01914	Prac.g_01169
OG0000022	Prbb.g_01231	Prac.g_01510
OG0000022	Prbb.g_01258	Prac.g_01022
OG0000023	Prbb.g_01411, Prbb.g_01373	Prac.g_01174
OG0000024	Prbb.g_01175	Prac.g_01525
OG0000024	Prbb.g_00680	Prac.g_00696
OG0000025	Prbb.g_00052, Prbb.g_00818	Prac.g_01441, Prac.g_01600
OG0000026	Prbb.g_00032	Prac.g_01916, Prac.g_01241
OG0000027	Prbb.g_01375	Prac.g_01074
OG0000028	Prbb.g_01635	Prac.g_00145
OG0000030	Prbb.g_02073	Prac.g_00050
OG0000031	Prbb.g_00387	Prac.g_00249
OG0000033	Prbb.g_00226	Prac.g_01761
OG0000034	Prbb.g_01596	Prac.g_00185
OG0000035	Prbb.g_01686	Prac.g_00411
OG0000037	Prbb.g_00164	Prac.g_01822
OG0000038	Prbb.g_02129	Prac.g_00090
OG0000039	Prbb.g_00692	Prac.g_00685
OG0000040	Prbb.g_01790	Prac.g_00279
OG0000041	Prbb.g_01868	Prac.g_00579
OG0000042	Prbb.g_02069	Prac.g_00048
OG0000043	Prbb.g_00909	Prac.g_01405
OG0000044	Prbb.g_00079	Prac.g_00892
OG0000045	Prbb.g_01347	Prac.g_01576
OG0000045	Prbb.g_01094	Prac.g_01162
OG0000047	Prbb.g_00421	Prac.g_01127
OG0000047	Prbb.g_00386	Prac.g_01601
OG0000048	Prbb.g_00325	Prac.g_01159
OG0000050	Prbb.g_00116	Prac.g_01220
OG0000053	Prbb.g_01705	Prac.g_01901, Prac.g_00391
OG0000054	Prbb.g_00607	Prac.g_00765
OG0000055	Prbb.g_00747	Prac.g_01495
OG0000057	Prbb.g_00706, Prbb.g_01359	Prac.g_00673
OG0000058	Prbb.g_00851	Prac.g_00258, Prac.g_00434
OG0000059	Prbb.g_01946	Prac.g_00500
OG0000061	Prbb.g_01517	Prac.g_00985
OG0000062	Prbb.g_01768	Prac.g_00333
OG0000063	Prbb.g_01921	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Prbb.g_00162	Prac.g_01824
OG0000066	Prbb.g_00542	Prac.g_00833
OG0000067	Prbb.g_00783	Prac.g_01475
OG0000068	Prbb.g_01639	Prac.g_00217
OG0000069	Prbb.g_01324, Prbb.g_01729	Prac.g_00890, Prac.g_00300
OG0000070	Prbb.g_00455	Prac.g_01097
OG0000071	Prbb.g_01586	Prac.g_00175
OG0000072	Prbb.g_00228	Prac.g_01759
OG0000073	Prbb.g_00503	Prac.g_00872
OG0000074	Prbb.g_00687	Prac.g_00689
OG0000075	Prbb.g_02036	Prac.g_00017
OG0000076	Prbb.g_02061	Prac.g_01904, Prac.g_00041
OG0000077	Prbb.g_00133	Prac.g_01853
OG0000078	Prbb.g_00297	Prac.g_01691
OG0000081	Prbb.g_00534	Prac.g_00841
OG0000082	Prbb.g_01882	Prac.g_00788
OG0000083	Prbb.g_00425	Prac.g_01529, Prac.g_01536
OG0000084	Prbb.g_01683	Prac.g_00415
OG0000085	Prbb.g_01816	Prac.g_00632
OG0000086	Prbb.g_00143	Prac.g_01843
OG0000087	Prbb.g_00196	Prac.g_01792
OG0000088	Prbb.g_00223	Prac.g_01764
OG0000089	Prbb.g_00416	Prac.g_01178
OG0000090	Prbb.g_00536	Prac.g_00839
OG0000091	Prbb.g_00643	Prac.g_00729
OG0000092	Prbb.g_00937	Prac.g_01379
OG0000093	Prbb.g_00768	Prac.g_01359
OG0000094	Prbb.g_00892	Prac.g_01275
OG0000095	Prbb.g_01070	Prac.g_01256
OG0000096	Prbb.g_01294	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000097	Prbb.g_01470	Prac.g_00944
OG0000098	Prbb.g_01608	Prac.g_00199
OG0000099	Prbb.g_00388	Prac.g_00256
OG0000100	Prbb.g_01763	Prac.g_00337
OG0000101	Prbb.g_02001	Prac.g_00548
OG0000102	Prbb.g_02066	Prac.g_00046
OG0000103	Prbb.g_02174	Prac.g_00123
OG0000104	Prbb.g_02185	Prac.g_00131
OG0000105	Prbb.g_00327	Prac.g_01657
OG0000106	Prbb.g_01197, Prbb.g_01329	Prac.g_01163
OG0000107	Prbb.g_01923	Prac.g_01148
OG0000108	Prbb.g_00484, Prbb.g_00485	Prac.g_01064
OG0000109	Prbb.g_00498	Prac.g_01050
