Orthogroup	Prab	Syab
OG0000000	Prab.g_00915, Prab.g_01617	Syab.g_01226
OG0000002	Prab.g_00683	Syab.g_02285
OG0000004	Prab.g_00700	Syab.g_00549, Syab.g_01193
OG0000004	Prab.g_00223	Syab.g_01911, Syab.g_02377
OG0000005	Prab.g_01682	Syab.g_02289
OG0000005	Prab.g_01542	Syab.g_02806, Syab.g_02232
OG0000006	Prab.g_00231	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prab.g_00501	Syab.g_02117
OG0000007	Prab.g_01669	Syab.g_02256
OG0000009	Prab.g_01584	Syab.g_00995
OG0000009	Prab.g_00096	Syab.g_02498
OG0000010	Prab.g_01104	Syab.g_00696
OG0000011	Prab.g_00799	Syab.g_01491
OG0000012	Prab.g_00627	Syab.g_01774, Syab.g_00953
OG0000013	Prab.g_00315	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prab.g_00294	Syab.g_00249
OG0000014	Prab.g_01444, Prab.g_01445	Syab.g_00178
OG0000015	Prab.g_00789	Syab.g_02889
OG0000016	Prab.g_00013	Syab.g_00014
OG0000017	Prab.g_00602	Syab.g_01953, Syab.g_01945
OG0000018	Prab.g_01201	Syab.g_00742
OG0000019	Prab.g_00239, Prab.g_00820	Syab.g_00344
OG0000020	Prab.g_01162, Prab.g_00379	Syab.g_02230
OG0000022	Prab.g_01182	Syab.g_01825
OG0000023	Prab.g_00348	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prab.g_00763, Prab.g_00680	Syab.g_01834
OG0000025	Prab.g_00319, Prab.g_00874	Syab.g_01705
OG0000026	Prab.g_01111	Syab.g_00036
OG0000027	Prab.g_00914, Prab.g_01616	Syab.g_01782
OG0000028	Prab.g_00308	Syab.g_00234
OG0000030	Prab.g_01867	Syab.g_00096, Syab.g_00095
OG0000031	Prab.g_01446	Syab.g_00160
OG0000033	Prab.g_01400	Syab.g_02590
OG0000034	Prab.g_01336	Syab.g_00900, Syab.g_02560
OG0000035	Prab.g_01466	Syab.g_00776, Syab.g_00778
OG0000037	Prab.g_00100	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prab.g_01908	Syab.g_02759, Syab.g_02761
OG0000039	Prab.g_00691	Syab.g_02791
OG0000040	Prab.g_01200	Syab.g_02853
OG0000041	Prab.g_01715	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prab.g_01864	Syab.g_01019, Syab.g_00099
OG0000044	Prab.g_01648	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Prab.g_00360	Syab.g_01787
OG0000047	Prab.g_00318	Syab.g_00876
