Orthogroup	Prab	Syad
OG0000002	Prab.g_00683	Syad.g_00619
OG0000004	Prab.g_00700	Syad.g_01304
OG0000004	Prab.g_00223	Syad.g_02184, Syad.g_00810
OG0000005	Prab.g_01682	Syad.g_02639
OG0000005	Prab.g_01542	Syad.g_02596
OG0000006	Prab.g_00231	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prab.g_00501	Syad.g_00923
OG0000007	Prab.g_01669	Syad.g_02623
OG0000009	Prab.g_01584	Syad.g_01952, Syad.g_00868
OG0000009	Prab.g_00096	Syad.g_02799
OG0000010	Prab.g_01104	Syad.g_02354
OG0000011	Prab.g_01624	Syad.g_02006
OG0000012	Prab.g_00627	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prab.g_00315	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prab.g_00294	Syad.g_00480
OG0000014	Prab.g_01444, Prab.g_01445	Syad.g_00297, Syad.g_00260
OG0000015	Prab.g_00789	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prab.g_00013	Syad.g_00176
OG0000016	Prab.g_01579	Syad.g_02065
OG0000017	Prab.g_00602	Syad.g_01084, Syad.g_01091
OG0000018	Prab.g_01201	Syad.g_02306
OG0000019	Prab.g_00239, Prab.g_00820	Syad.g_00569
OG0000020	Prab.g_01162, Prab.g_00379	Syad.g_00845
OG0000021	Prab.g_00354	Syad.g_01835, Syad.g_00874
OG0000022	Prab.g_01182	Syad.g_02090
OG0000023	Prab.g_00348	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prab.g_00763, Prab.g_00680	Syad.g_01374
OG0000025	Prab.g_00319, Prab.g_00874	Syad.g_01241
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syad.g_00198
OG0000027	Prab.g_00914, Prab.g_01616	Syad.g_01257
OG0000028	Prab.g_00308	Syad.g_00463
OG0000029	Prab.g_00773	Syad.g_02099
OG0000030	Prab.g_01867	Syad.g_00328, Syad.g_00327
OG0000031	Prab.g_01446	Syad.g_00458, Syad.g_00294
OG0000033	Prab.g_01400	Syad.g_02903
OG0000034	Prab.g_01336	Syad.g_02420, Syad.g_02872
OG0000035	Prab.g_01466	Syad.g_02275
OG0000037	Prab.g_00100	Syad.g_02805
OG0000038	Prab.g_01908	Syad.g_03038
OG0000039	Prab.g_00691	Syad.g_01249, Syad.g_01111
OG0000040	Prab.g_01200	Syad.g_00104
OG0000041	Prab.g_01715	Syad.g_02498, Syad.g_01281
OG0000042	Prab.g_01864	Syad.g_00333
OG0000044	Prab.g_01648	Syad.g_02214
OG0000047	Prab.g_00318	Syad.g_00754
OG0000048	Prab.g_00411, Prab.g_00363	Syad.g_00534
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Syad.g_02114
OG0000050	Prab.g_01130	Syad.g_02478
OG0000051	Prab.g_01304	Syad.g_00842
OG0000053	Prab.g_01486	Syad.g_02302
OG0000054	Prab.g_00610	Syad.g_02209
OG0000055	Prab.g_00821	Syad.g_01255
OG0000057	Prab.g_00703	Syad.g_01301
OG0000059	Prab.g_01754	Syad.g_00642
OG0000060	Prab.g_00784	Syad.g_02370, Syad.g_00899, Syad.g_01508
OG0000061	Prab.g_01219	Syad.g_01152
OG0000062	Prab.g_01544	Syad.g_02598
OG0000063	Prab.g_00033	Syad.g_00202
OG0000065	Prab.g_00098	Syad.g_02801, Syad.g_02574
OG0000066	Prab.g_00543	Syad.g_00992
OG0000067	Prab.g_00840	Syad.g_01889
OG0000068	Prab.g_01360	Syad.g_00891
OG0000070	Prab.g_00456	Syad.g_02424
OG0000071	Prab.g_01637, Prab.g_01326	Syad.g_02405
OG0000072	Prab.g_00162	Syad.g_02905
OG0000073	Prab.g_00503	Syad.g_00926
OG0000075	Prab.g_01834	Syad.g_00416
OG0000076	Prab.g_01857	Syad.g_00348
