Orthogroup	Prab	Syam
OG0000002	Prab.g_00683	Syam.g_00931
OG0000004	Prab.g_00700	Syam.g_00787
OG0000004	Prab.g_00223	Syam.g_01499, Syam.g_00501
OG0000005	Prab.g_01682	Syam.g_02004
OG0000005	Prab.g_01542	Syam.g_01970
OG0000006	Prab.g_00231	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prab.g_00501	Syam.g_00602
OG0000007	Prab.g_01669	Syam.g_01990
OG0000009	Prab.g_00096	Syam.g_02119
OG0000010	Prab.g_01104	Syam.g_01669
OG0000011	Prab.g_00799	Syam.g_00814
OG0000012	Prab.g_00627	Syam.g_01492, Syam.g_00794, Syam.g_00994
OG0000013	Prab.g_00315	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prab.g_00294	Syam.g_00191
OG0000015	Prab.g_00789	Syam.g_01218, Syam.g_01362
OG0000016	Prab.g_00013	Syam.g_00014
OG0000016	Prab.g_01579	Syam.g_01011
OG0000017	Prab.g_00602	Syam.g_01715, Syam.g_01708
OG0000018	Prab.g_01201	Syam.g_01640
OG0000019	Prab.g_00239, Prab.g_00820	Syam.g_00274
OG0000021	Prab.g_00354	Syam.g_00523
OG0000022	Prab.g_01182	Syam.g_01418
OG0000023	Prab.g_00348	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prab.g_00763, Prab.g_00680	Syam.g_00815
OG0000025	Prab.g_00319, Prab.g_00874	Syam.g_00740
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syam.g_00035
OG0000027	Prab.g_00914, Prab.g_01616	Syam.g_01442, Syam.g_00989
OG0000028	Prab.g_00308	Syam.g_00176
OG0000029	Prab.g_00773	Syam.g_01390, Syam.g_01055
OG0000030	Prab.g_01867	Syam.g_00104, Syam.g_00103
OG0000031	Prab.g_01446	Syam.g_00171, Syam.g_00086
OG0000033	Prab.g_01400	Syam.g_02217
OG0000034	Prab.g_01336	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prab.g_01466	Syam.g_01612
OG0000037	Prab.g_00100	Syam.g_02125
OG0000038	Prab.g_01908	Syam.g_02317
OG0000039	Prab.g_00691	Syam.g_00749
OG0000040	Prab.g_01200	Syam.g_02390
OG0000041	Prab.g_01715	Syam.g_01899, Syam.g_00765
OG0000042	Prab.g_01864	Syam.g_00107
OG0000044	Prab.g_01648	Syam.g_02052, Syam.g_01562
OG0000045	Prab.g_00360	Syam.g_02028
OG0000047	Prab.g_00318	Syam.g_00434
OG0000048	Prab.g_00411, Prab.g_00363	Syam.g_00243
OG0000052	Prab.g_01423	Syam.g_00161
OG0000053	Prab.g_01486	Syam.g_01636
OG0000054	Prab.g_00610	Syam.g_01515
OG0000055	Prab.g_00821	Syam.g_00754
OG0000057	Prab.g_00703	Syam.g_00784
OG0000059	Prab.g_01754	Syam.g_00320
OG0000060	Prab.g_00784	Syam.g_00902
OG0000061	Prab.g_01219	Syam.g_01795
