Orthogroup	Prab	Pray
OG0000000	Prab.g_00915, Prab.g_01617	Pray.g_01888
OG0000000	Prab.g_01598	Pray.g_01603
OG0000000	Prab.g_01278	Pray.g_00003
OG0000000	Prab.g_01278	Pray.g_01604
OG0000000	Prab.g_01597	Pray.g_00003
OG0000000	Prab.g_01597	Pray.g_01604
OG0000000	Prab.g_01308	Pray.g_01890
OG0000002	Prab.g_00683	Pray.g_01085
OG0000004	Prab.g_00700	Pray.g_01068
OG0000004	Prab.g_00223	Pray.g_00713
OG0000005	Prab.g_01682	Pray.g_01546
OG0000005	Prab.g_01542	Pray.g_01646
OG0000006	Prab.g_00231	Pray.g_00722
OG0000007	Prab.g_00501	Pray.g_00988, Pray.g_00987
OG0000007	Prab.g_01669	Pray.g_01559
OG0000008	Prab.g_00677	Pray.g_01091
OG0000009	Prab.g_01584	Pray.g_01920, Pray.g_01610
OG0000009	Prab.g_00096	Pray.g_00184
OG0000010	Prab.g_00478	Pray.g_00964
OG0000010	Prab.g_01104	Pray.g_00592
OG0000011	Prab.g_00799	Pray.g_01930
OG0000012	Prab.g_00627	Pray.g_01140
OG0000013	Prab.g_00315	Pray.g_00805
OG0000014	Prab.g_00294	Pray.g_00784
OG0000014	Prab.g_01444, Prab.g_01445	Pray.g_01792
OG0000015	Prab.g_00789	Pray.g_00309
OG0000016	Prab.g_00013	Pray.g_01475
OG0000017	Prab.g_00602	Pray.g_01165
OG0000018	Prab.g_00867	Pray.g_00375
OG0000018	Prab.g_01201	Pray.g_00083
OG0000019	Prab.g_00239	Pray.g_00730
OG0000019	Prab.g_00820	Pray.g_00328
OG0000020	Prab.g_01162	Pray.g_00120
OG0000021	Prab.g_00354	Pray.g_01578, Pray.g_00842
OG0000022	Prab.g_01182	Pray.g_00101
OG0000022	Prab.g_00782	Pray.g_00304
OG0000023	Prab.g_00348	Pray.g_00838
OG0000024	Prab.g_00763	Pray.g_00289
OG0000024	Prab.g_00680	Pray.g_01088
OG0000025	Prab.g_00319	Pray.g_00809
OG0000025	Prab.g_00874	Pray.g_00383
OG0000026	Prab.g_00031	Pray.g_01493
OG0000026	Prab.g_01111	Pray.g_00599
OG0000027	Prab.g_00914, Prab.g_01616	Pray.g_00960, Pray.g_01887
OG0000028	Prab.g_00308	Pray.g_00798
OG0000029	Prab.g_00773	Pray.g_00296
OG0000030	Prab.g_01867	Pray.g_01374
OG0000031	Prab.g_01446	Pray.g_01806
OG0000033	Prab.g_00160	Pray.g_00650
OG0000034	Prab.g_01336	Pray.g_01860
OG0000035	Prab.g_01466	Pray.g_01722
OG0000037	Prab.g_00100	Pray.g_00180
OG0000038	Prab.g_01908	Pray.g_01415
OG0000039	Prab.g_00691	Pray.g_01077
OG0000040	Prab.g_01623	Pray.g_01585
OG0000040	Prab.g_01200	Pray.g_00084
OG0000042	Prab.g_01864	Pray.g_01371
OG0000043	Prab.g_01100	Pray.g_00420
OG0000044	Prab.g_01648	Pray.g_00002
OG0000045	Prab.g_00360	Pray.g_00849
OG0000047	Prab.g_00318	Pray.g_00808
OG0000048	Prab.g_00363	Pray.g_00852
OG0000049	Prab.g_00372	Pray.g_00862
OG0000049	Prab.g_01613	Pray.g_00265
OG0000049	Prab.g_00971	Pray.g_00885
OG0000050	Prab.g_00394	Pray.g_00883
OG0000050	Prab.g_01130	Pray.g_00619
OG0000051	Prab.g_01304	Pray.g_01894
OG0000052	Prab.g_01423	Pray.g_01793
OG0000053	Prab.g_01486	Pray.g_01702
OG0000054	Prab.g_00610	Pray.g_01157
OG0000055	Prab.g_00821	Pray.g_00329
OG0000057	Prab.g_00703	Pray.g_01065
OG0000058	Prab.g_01393	Pray.g_01786
OG0000059	Prab.g_01754	Pray.g_01258
OG0000061	Prab.g_01219	Pray.g_00064
OG0000062	Prab.g_01544	Pray.g_01644
OG0000063	Prab.g_00033	Pray.g_01495
OG0000065	Prab.g_00098	Pray.g_00182
OG0000066	Prab.g_00543	Pray.g_01222
OG0000067	Prab.g_00840	Pray.g_00348
