Orthogroup	Prab	Prau
OG0000000	Prab.g_00915, Prab.g_01617	Prau.g_01352
OG0000000	Prab.g_01598	Prau.g_01648
OG0000000	Prab.g_01278	Prau.g_01266
OG0000000	Prab.g_01278	Prau.g_01647
OG0000000	Prab.g_01597	Prau.g_01266
OG0000000	Prab.g_01597	Prau.g_01647
OG0000000	Prab.g_01308	Prau.g_01350
OG0000001	Prab.g_00788	Prau.g_01267, Prau.g_01269
OG0000002	Prab.g_00683	Prau.g_00718
OG0000004	Prab.g_00700	Prau.g_00735
OG0000004	Prab.g_00223	Prau.g_00233
OG0000005	Prab.g_01682	Prau.g_01745
OG0000005	Prab.g_01542	Prau.g_01607
OG0000006	Prab.g_00231	Prau.g_01316
OG0000007	Prab.g_00501	Prau.g_00538
OG0000007	Prab.g_01669	Prau.g_01732
OG0000008	Prab.g_00677	Prau.g_00712
OG0000009	Prab.g_01584	Prau.g_01324, Prau.g_01641
OG0000009	Prab.g_00096	Prau.g_00106
OG0000010	Prab.g_00478	Prau.g_00515
OG0000010	Prab.g_01104	Prau.g_01698, Prau.g_01096
OG0000011	Prab.g_01624	Prau.g_00441
OG0000011	Prab.g_00799	Prau.g_01307
OG0000012	Prab.g_00627	Prau.g_00663
OG0000013	Prab.g_00315	Prau.g_00329
OG0000014	Prab.g_00294	Prau.g_00308
OG0000014	Prab.g_01444, Prab.g_01445	Prau.g_01470
OG0000015	Prab.g_00789	Prau.g_00817
OG0000016	Prab.g_00013	Prau.g_00013
OG0000017	Prab.g_00602	Prau.g_00636
OG0000018	Prab.g_00867	Prau.g_00881
OG0000018	Prab.g_01201	Prau.g_01188
OG0000019	Prab.g_00239	Prau.g_00251
OG0000019	Prab.g_00820	Prau.g_00834
OG0000020	Prab.g_01162	Prau.g_01153
OG0000020	Prab.g_00379	Prau.g_01704
OG0000021	Prab.g_00354	Prau.g_01680, Prau.g_00367
OG0000022	Prab.g_01182	Prau.g_01170
OG0000022	Prab.g_00782	Prau.g_00814
OG0000023	Prab.g_00348	Prau.g_00362
OG0000024	Prab.g_00763	Prau.g_00796
OG0000024	Prab.g_00680	Prau.g_00715
OG0000025	Prab.g_00319	Prau.g_00333
OG0000025	Prab.g_00874	Prau.g_00888
OG0000026	Prab.g_01629, Prab.g_00031	Prau.g_00030
OG0000026	Prab.g_01111	Prau.g_01103
OG0000027	Prab.g_00914, Prab.g_01616	Prau.g_01353
OG0000028	Prab.g_00308	Prau.g_00322
OG0000029	Prab.g_00773	Prau.g_00804
OG0000030	Prab.g_01867	Prau.g_01935
OG0000031	Prab.g_01446	Prau.g_01431, Prau.g_01469
OG0000033	Prab.g_01400	Prau.g_01465
OG0000033	Prab.g_00160	Prau.g_00170
OG0000034	Prab.g_01336	Prau.g_01381
OG0000035	Prab.g_01466	Prau.g_01531, Prau.g_01528
OG0000037	Prab.g_00100	Prau.g_00110
OG0000038	Prab.g_01908	Prau.g_01976
OG0000039	Prab.g_00691	Prau.g_00726
OG0000040	Prab.g_01623	Prau.g_01662
OG0000040	Prab.g_01200	Prau.g_01187
OG0000041	Prab.g_01715	Prau.g_01778
OG0000042	Prab.g_01864	Prau.g_01932
OG0000043	Prab.g_01100	Prau.g_00926
OG0000045	Prab.g_00360	Prau.g_00374
OG0000047	Prab.g_00318	Prau.g_00332
OG0000048	Prab.g_00363	Prau.g_00377
OG0000049	Prab.g_00372	Prau.g_00387
OG0000049	Prab.g_00971	Prau.g_01319
OG0000050	Prab.g_01130	Prau.g_01123
OG0000051	Prab.g_01643	Prau.g_01275
OG0000051	Prab.g_01304	Prau.g_01347
OG0000052	Prab.g_01423	Prau.g_01489
OG0000053	Prab.g_01486	Prau.g_01551
OG0000054	Prab.g_00610	Prau.g_00644
OG0000055	Prab.g_00821	Prau.g_00835
OG0000057	Prab.g_00703	Prau.g_00738
OG0000059	Prab.g_01754	Prau.g_01818
OG0000061	Prab.g_01219	Prau.g_01206
OG0000062	Prab.g_01544	Prau.g_01609
OG0000063	Prab.g_00033	Prau.g_00032
OG0000065	Prab.g_00098	Prau.g_00108
OG0000066	Prab.g_00543	Prau.g_00579
OG0000067	Prab.g_00840	Prau.g_00854
OG0000068	Prab.g_01360	Prau.g_01409
OG0000069	Prab.g_01585	Prau.g_01642
OG0000070	Prab.g_00456	Prau.g_00491
OG0000071	Prab.g_01637, Prab.g_01326	Prau.g_01371
OG0000072	Prab.g_00162	Prau.g_00172
OG0000073	Prab.g_00503	Prau.g_00540
OG0000074	Prab.g_00687	Prau.g_00722
OG0000075	Prab.g_01834	Prau.g_01901
OG0000076	Prab.g_01857	Prau.g_00037, Prau.g_01925
OG0000077	Prab.g_00070	Prau.g_00079
OG0000078	Prab.g_00229	Prau.g_00240
OG0000079	Prab.g_00242	Prau.g_00254
OG0000081	Prab.g_00535	Prau.g_00571
OG0000082	Prab.g_00589	Prau.g_00624
OG0000083	Prab.g_00921	Prau.g_00785
OG0000084	Prab.g_01462	Prau.g_01524
OG0000085	Prab.g_01662	Prau.g_01725
OG0000086	Prab.g_00080	Prau.g_00089
OG0000087	Prab.g_00129	Prau.g_00140
OG0000088	Prab.g_00157	Prau.g_00167
OG0000089	Prab.g_00343	Prau.g_00358
OG0000090	Prab.g_00537	Prau.g_00573
OG0000091	Prab.g_00647	Prau.g_00682
OG0000092	Prab.g_01063	Prau.g_00961
OG0000093	Prab.g_01042	Prau.g_00983
OG0000094	Prab.g_00948	Prau.g_01070
OG0000095	Prab.g_01299, Prab.g_00929	Prau.g_01089
OG0000096	Prab.g_01165	Prau.g_01156
OG0000097	Prab.g_01260	Prau.g_01247
OG0000098	Prab.g_01346	Prau.g_01391
OG0000099	Prab.g_01394	Prau.g_01435
OG0000100	Prab.g_01540	Prau.g_01605
OG0000101	Prab.g_01802	Prau.g_01869
OG0000102	Prab.g_01862	Prau.g_01930
OG0000103	Prab.g_01942	Prau.g_02009
OG0000104	Prab.g_01951	Prau.g_02018
OG0000105	Prab.g_00262	Prau.g_00276
OG0000106	Prab.g_00359	Prau.g_00373
OG0000107	Prab.g_00375	Prau.g_00389
OG0000108	Prab.g_00484	Prau.g_00521
OG0000109	Prab.g_00498	Prau.g_00535
OG0000110	Prab.g_00579	Prau.g_00614
OG0000111	Prab.g_00704	Prau.g_00739
OG0000112	Prab.g_00804	Prau.g_00818
OG0000113	Prab.g_00862	Prau.g_00876
OG0000114	Prab.g_01068	Prau.g_00956
OG0000115	Prab.g_01156	Prau.g_01148
OG0000116	Prab.g_01209	Prau.g_01197
OG0000117	Prab.g_00717	Prau.g_01318
OG0000118	Prab.g_01338	Prau.g_01383
OG0000119	Prab.g_01356	Prau.g_01405
OG0000120	Prab.g_01447	Prau.g_01430
OG0000121	Prab.g_01468	Prau.g_01533
OG0000122	Prab.g_01506	Prau.g_01571
OG0000123	Prab.g_01809	Prau.g_01876
OG0000124	Prab.g_01873	Prau.g_01941
OG0000125	Prab.g_01910	Prau.g_01978
OG0000126	Prab.g_01950	Prau.g_02017
OG0000128	Prab.g_00011	Prau.g_00011
OG0000129	Prab.g_00043	Prau.g_00051
OG0000130	Prab.g_00061	Prau.g_00071
OG0000131	Prab.g_00136	Prau.g_00146
OG0000132	Prab.g_00155	Prau.g_00165
OG0000133	Prab.g_00310	Prau.g_00324
OG0000134	Prab.g_00344	Prau.g_00359
OG0000135	Prab.g_00371	Prau.g_00386
OG0000136	Prab.g_00444	Prau.g_00482
OG0000137	Prab.g_00479	Prau.g_00516
OG0000138	Prab.g_00499	Prau.g_00536
OG0000139	Prab.g_00541	Prau.g_00577
OG0000140	Prab.g_00542	Prau.g_00578
OG0000141	Prab.g_00611	Prau.g_00645
OG0000142	Prab.g_00640	Prau.g_00675
OG0000143	Prab.g_00644	Prau.g_00679
OG0000144	Prab.g_00657	Prau.g_00692
OG0000145	Prab.g_00783	Prau.g_00816
OG0000146	Prab.g_00805	Prau.g_00819
OG0000147	Prab.g_00806	Prau.g_00820
OG0000148	Prab.g_00856	Prau.g_00870
OG0000149	Prab.g_00886	Prau.g_00900
OG0000150	Prab.g_00894	Prau.g_00909
OG0000151	Prab.g_01058	Prau.g_00966
OG0000152	Prab.g_01010	Prau.g_01015
OG0000153	Prab.g_00991	Prau.g_01034
OG0000154	Prab.g_00955	Prau.g_01063
OG0000155	Prab.g_01239	Prau.g_01226
OG0000156	Prab.g_01315	Prau.g_01359
OG0000157	Prab.g_01316	Prau.g_01360
OG0000158	Prab.g_01379	Prau.g_01436
OG0000159	Prab.g_01392	Prau.g_01433, Prau.g_01457
OG0000160	Prab.g_01467	Prau.g_01532
OG0000161	Prab.g_01473	Prau.g_01538
OG0000162	Prab.g_01479	Prau.g_01544
OG0000163	Prab.g_01513	Prau.g_01578
OG0000164	Prab.g_01693	Prau.g_01756
OG0000165	Prab.g_01700	Prau.g_01763
OG0000166	Prab.g_01766	Prau.g_01833
OG0000167	Prab.g_01832	Prau.g_01899
OG0000168	Prab.g_01841	Prau.g_01909
OG0000169	Prab.g_01851	Prau.g_01919
OG0000170	Prab.g_01853	Prau.g_01921
OG0000171	Prab.g_01872	Prau.g_01940
OG0000172	Prab.g_01881	Prau.g_01949
OG0000173	Prab.g_01896	Prau.g_01964
OG0000174	Prab.g_01924	Prau.g_01991
OG0000175	Prab.g_01934	Prau.g_02001
OG0000176	Prab.g_00004	Prau.g_00004
OG0000177	Prab.g_00005	Prau.g_00005
OG0000178	Prab.g_00006	Prau.g_00006
OG0000179	Prab.g_00016	Prau.g_00016
OG0000180	Prab.g_00017	Prau.g_00017
OG0000181	Prab.g_00018	Prau.g_00018
OG0000182	Prab.g_00019	Prau.g_00019
OG0000183	Prab.g_00023	Prau.g_00023
OG0000184	Prab.g_00045	Prau.g_00054
OG0000185	Prab.g_00048	Prau.g_00057
OG0000186	Prab.g_00056	Prau.g_00066
OG0000187	Prab.g_00057	Prau.g_00067
OG0000188	Prab.g_00074	Prau.g_00083
OG0000189	Prab.g_00087	Prau.g_00097
OG0000190	Prab.g_00088	Prau.g_00098
OG0000191	Prab.g_00108	Prau.g_00118
OG0000192	Prab.g_00112	Prau.g_00122
OG0000193	Prab.g_00137	Prau.g_00147
OG0000194	Prab.g_00140	Prau.g_00150
OG0000195	Prab.g_00142	Prau.g_00152
OG0000196	Prab.g_00152	Prau.g_00162
OG0000197	Prab.g_00153	Prau.g_00163
OG0000198	Prab.g_00154	Prau.g_00164
OG0000199	Prab.g_00161	Prau.g_00171
OG0000200	Prab.g_00175	Prau.g_00185
OG0000201	Prab.g_00183	Prau.g_00193
OG0000202	Prab.g_00184	Prau.g_00194
OG0000203	Prab.g_00185	Prau.g_00195
OG0000204	Prab.g_00186	Prau.g_00196
OG0000205	Prab.g_00193	Prau.g_00203
OG0000206	Prab.g_00198	Prau.g_00208
OG0000207	Prab.g_00200	Prau.g_00210
OG0000208	Prab.g_00201	Prau.g_00211
OG0000209	Prab.g_00210	Prau.g_00220
OG0000210	Prab.g_00211	Prau.g_00221
OG0000211	Prab.g_00224	Prau.g_00234
OG0000212	Prab.g_00230	Prau.g_00241
OG0000213	Prab.g_00247	Prau.g_00259
OG0000214	Prab.g_00256	Prau.g_00269
OG0000215	Prab.g_00280	Prau.g_00294
OG0000216	Prab.g_00282	Prau.g_00296
OG0000217	Prab.g_00285	Prau.g_00299
OG0000218	Prab.g_00287	Prau.g_00301
OG0000219	Prab.g_00288	Prau.g_00302
OG0000220	Prab.g_00289	Prau.g_00303
OG0000221	Prab.g_00290	Prau.g_00304
OG0000222	Prab.g_00298	Prau.g_00312
OG0000223	Prab.g_00311	Prau.g_00325
OG0000224	Prab.g_00313	Prau.g_00327
OG0000225	Prab.g_00333	Prau.g_00348
OG0000226	Prab.g_00337	Prau.g_00352
OG0000227	Prab.g_00339	Prau.g_00354
OG0000228	Prab.g_00342	Prau.g_00357
OG0000229	Prab.g_00439	Prau.g_00477
OG0000230	Prab.g_00441	Prau.g_00479
OG0000231	Prab.g_00455	Prau.g_00490
OG0000232	Prab.g_00463	Prau.g_00499
OG0000233	Prab.g_00468	Prau.g_00505
OG0000234	Prab.g_00480	Prau.g_00517
OG0000235	Prab.g_00483	Prau.g_00520
OG0000236	Prab.g_00497	Prau.g_00534
OG0000237	Prab.g_00510	Prau.g_00547
OG0000238	Prab.g_00516	Prau.g_00553
OG0000239	Prab.g_00529	Prau.g_00565
OG0000240	Prab.g_00530	Prau.g_00566
OG0000241	Prab.g_00534	Prau.g_00570
OG0000242	Prab.g_00536	Prau.g_00572
OG0000243	Prab.g_00547	Prau.g_00583
OG0000244	Prab.g_00550	Prau.g_00586
OG0000245	Prab.g_00552	Prau.g_00588
OG0000246	Prab.g_00556	Prau.g_00592
OG0000247	Prab.g_00566	Prau.g_00602
OG0000248	Prab.g_00569	Prau.g_00604
OG0000249	Prab.g_00571	Prau.g_00606
OG0000250	Prab.g_00576	Prau.g_00611
OG0000251	Prab.g_00595	Prau.g_00629
OG0000252	Prab.g_00598	Prau.g_00632
OG0000253	Prab.g_00599	Prau.g_00633
OG0000254	Prab.g_00615	Prau.g_00649
OG0000255	Prab.g_00621	Prau.g_00655
OG0000256	Prab.g_00632	Prau.g_00667
OG0000257	Prab.g_00635	Prau.g_00670
OG0000258	Prab.g_00648	Prau.g_00683
OG0000259	Prab.g_00665	Prau.g_00700
OG0000260	Prab.g_00668	Prau.g_00703
OG0000261	Prab.g_00670	Prau.g_00705
OG0000262	Prab.g_00674	Prau.g_00709
OG0000263	Prab.g_00686	Prau.g_00721
OG0000264	Prab.g_00696	Prau.g_00731
OG0000265	Prab.g_00723	Prau.g_00755
OG0000266	Prab.g_00733	Prau.g_00765
OG0000267	Prab.g_00744	Prau.g_00776
OG0000268	Prab.g_00745	Prau.g_00777
OG0000269	Prab.g_00835	Prau.g_00849
OG0000270	Prab.g_00838	Prau.g_00852
OG0000271	Prab.g_00846	Prau.g_00860
OG0000272	Prab.g_00847	Prau.g_00861
OG0000273	Prab.g_00870	Prau.g_00884
OG0000274	Prab.g_00871	Prau.g_00885
OG0000275	Prab.g_00873	Prau.g_00887
OG0000276	Prab.g_00878	Prau.g_00892
OG0000277	Prab.g_00879	Prau.g_00893
OG0000278	Prab.g_00882	Prau.g_00896
OG0000279	Prab.g_00889	Prau.g_00904
OG0000280	Prab.g_00890	Prau.g_00905
OG0000281	Prab.g_00896	Prau.g_00910
OG0000282	Prab.g_01066	Prau.g_00958
OG0000283	Prab.g_01033	Prau.g_00992
OG0000284	Prab.g_01028	Prau.g_00997
OG0000285	Prab.g_01023	Prau.g_01002
OG0000286	Prab.g_01011	Prau.g_01014
OG0000287	Prab.g_00994	Prau.g_01031
OG0000288	Prab.g_00956	Prau.g_01062
OG0000289	Prab.g_00945	Prau.g_01073
OG0000290	Prab.g_00932	Prau.g_01086
OG0000291	Prab.g_00930	Prau.g_01088
OG0000292	Prab.g_01144	Prau.g_01136
OG0000293	Prab.g_01210	Prau.g_01198
OG0000294	Prab.g_01211	Prau.g_01199
OG0000295	Prab.g_01231	Prau.g_01218
OG0000296	Prab.g_01233	Prau.g_01220
OG0000297	Prab.g_01241	Prau.g_01228
OG0000298	Prab.g_01242	Prau.g_01229
