Orthogroup	Prab	Syas
OG0000004	Prab.g_00700	Syas.g_00176
OG0000004	Prab.g_00223	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prab.g_01682	Syas.g_02665
OG0000005	Prab.g_01542	Syas.g_02704
OG0000006	Prab.g_00231	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prab.g_00501	Syas.g_01232
OG0000007	Prab.g_01669	Syas.g_02681
OG0000009	Prab.g_00096	Syas.g_01450
OG0000010	Prab.g_01104	Syas.g_01334
OG0000012	Prab.g_00627	Syas.g_00111, Syas.g_00827
OG0000013	Prab.g_00315	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prab.g_00294	Syas.g_01816
OG0000015	Prab.g_00789	Syas.g_02007, Syas.g_00968
OG0000016	Prab.g_00013	Syas.g_02048
OG0000017	Prab.g_00602	Syas.g_00849, Syas.g_00856
OG0000018	Prab.g_01201	Syas.g_01290
OG0000019	Prab.g_00239, Prab.g_00820	Syas.g_01696
OG0000022	Prab.g_01182	Syas.g_02758
OG0000025	Prab.g_00319, Prab.g_00874	Syas.g_00231
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Syas.g_02070
OG0000027	Prab.g_00914, Prab.g_01616	Syas.g_01480
OG0000028	Prab.g_00308	Syas.g_01793
OG0000030	Prab.g_01867	Syas.g_01644, Syas.g_01645
OG0000031	Prab.g_01446	Syas.g_01827
OG0000033	Prab.g_01400	Syas.g_02328
OG0000034	Prab.g_01336	Syas.g_02371, Syas.g_02838
OG0000035	Prab.g_01466	Syas.g_02814, Syas.g_02818
OG0000037	Prab.g_00100	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prab.g_01908	Syas.g_01885, Syas.g_01887
OG0000039	Prab.g_00691	Syas.g_02795
OG0000040	Prab.g_01623	Syas.g_02028
OG0000040	Prab.g_01200	Syas.g_01972
OG0000041	Prab.g_01715	Syas.g_00996, Syas.g_02585
OG0000042	Prab.g_01864	Syas.g_01121, Syas.g_02147
OG0000044	Prab.g_01648	Syas.g_00894, Syas.g_02453
OG0000048	Prab.g_00411, Prab.g_00363	Syas.g_01734
OG0000051	Prab.g_01643, Prab.g_01304	Syas.g_01445
OG0000053	Prab.g_01486	Syas.g_01287
OG0000054	Prab.g_00610	Syas.g_00961, Syas.g_00957
OG0000055	Prab.g_00821	Syas.g_00203
OG0000057	Prab.g_00703	Syas.g_01055, Syas.g_01038
OG0000059	Prab.g_01754	Syas.g_01639
OG0000060	Prab.g_00784	Syas.g_01343, Syas.g_01002, Syas.g_01680, Syas.g_00975
OG0000061	Prab.g_01219	Syas.g_01184
OG0000062	Prab.g_01544	Syas.g_02702
OG0000063	Prab.g_00033	Syas.g_02074
OG0000065	Prab.g_00098	Syas.g_02420
OG0000066	Prab.g_00543	Syas.g_00094
