Orthogroup	Prab	Prak
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prak.g_01562
OG0000002	Prab.g_00683	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Prab.g_00700	Prak.g_00826
OG0000004	Prab.g_00223	Prak.g_00248
OG0000005	Prab.g_01542	Prak.g_01474
OG0000006	Prab.g_00231	Prak.g_00258
OG0000007	Prab.g_00501	Prak.g_00458
OG0000007	Prab.g_01669	Prak.g_01645
OG0000009	Prab.g_01584	Prak.g_01486
OG0000010	Prab.g_00478	Prak.g_00435
OG0000010	Prab.g_01104	Prak.g_00739, Prak.g_01034
OG0000012	Prab.g_00627	Prak.g_00584, Prak.g_01506
OG0000013	Prab.g_00315	Prak.g_00343
OG0000014	Prab.g_00294	Prak.g_00325
OG0000015	Prab.g_00789	Prak.g_01584, Prak.g_01630
OG0000016	Prab.g_00013	Prak.g_00013
OG0000016	Prab.g_01579	Prak.g_01230
OG0000017	Prab.g_00602	Prak.g_00559, Prak.g_00566
OG0000018	Prab.g_00867	Prak.g_00873
OG0000018	Prab.g_01201	Prak.g_01194
OG0000019	Prab.g_00239	Prak.g_00266
OG0000019	Prab.g_00820	Prak.g_01196
OG0000020	Prab.g_00379	Prak.g_01527
OG0000021	Prab.g_00354	Prak.g_01499, Prak.g_00831
OG0000022	Prab.g_00782	Prak.g_01482
OG0000023	Prab.g_00348	Prak.g_00721
OG0000024	Prab.g_00763	Prak.g_01038
OG0000024	Prab.g_00680	Prak.g_00802
OG0000025	Prab.g_00319, Prab.g_00874	Prak.g_00881
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Prak.g_00032
OG0000027	Prab.g_00914, Prab.g_01616	Prak.g_01521, Prak.g_01564
OG0000029	Prab.g_00773	Prak.g_01534, Prak.g_01576
OG0000030	Prab.g_01867	Prak.g_01853
OG0000031	Prab.g_01446	Prak.g_01350
OG0000033	Prab.g_01400	Prak.g_01357
OG0000034	Prab.g_01336	Prak.g_01288
OG0000035	Prab.g_01466	Prak.g_01391
OG0000037	Prab.g_00100	Prak.g_00115
OG0000038	Prab.g_01908	Prak.g_01893
OG0000039	Prab.g_00691	Prak.g_00814
OG0000041	Prab.g_01715	Prak.g_01692
OG0000042	Prab.g_01864	Prak.g_01850
OG0000043	Prab.g_01100	Prak.g_01193
OG0000048	Prab.g_00411, Prab.g_00363	Prak.g_01264, Prak.g_00289
OG0000050	Prab.g_00394, Prab.g_01635, Prab.g_01645	Prak.g_00741
OG0000052	Prab.g_01423	Prak.g_01369
OG0000053	Prab.g_01486	Prak.g_01412, Prak.g_01590
OG0000054	Prab.g_00610	Prak.g_00568
OG0000055	Prab.g_00821	Prak.g_01221, Prak.g_01619
OG0000057	Prab.g_00703	Prak.g_00829
OG0000058	Prab.g_01393	Prak.g_01351
OG0000059	Prab.g_01754	Prak.g_01732
OG0000061	Prab.g_01219	Prak.g_01172
OG0000062	Prab.g_01544	Prak.g_01476
OG0000065	Prab.g_00098	Prak.g_00113
OG0000066	Prab.g_00543	Prak.g_00498, Prak.g_01557
OG0000067	Prab.g_00840	Prak.g_00845
OG0000068	Prab.g_01360	Prak.g_01329
OG0000069	Prab.g_01585	Prak.g_00416
OG0000070	Prab.g_00456	Prak.g_00412
OG0000071	Prab.g_01637, Prab.g_01326	Prak.g_01277
OG0000072	Prab.g_00162	Prak.g_00183
OG0000073	Prab.g_00503	Prak.g_00461
OG0000074	Prab.g_00687	Prak.g_00809, Prak.g_00750, Prak.g_00713
OG0000075	Prab.g_01834	Prak.g_01816
OG0000076	Prab.g_01857	Prak.g_01842
OG0000077	Prab.g_00070	Prak.g_00083
OG0000078	Prab.g_00229	Prak.g_00256
OG0000079	Prab.g_00242	Prak.g_00269
OG0000080	Prab.g_01404	Prak.g_01363
OG0000080	Prab.g_01406	Prak.g_01365
OG0000081	Prab.g_00535	Prak.g_00490
OG0000082	Prab.g_00589	Prak.g_00546, Prak.g_01634
OG0000084	Prab.g_01462	Prak.g_01388
