Orthogroup	Praf	Prat
OG0000000	Praf.g_00813	Prat.g_01549
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000002	Praf.g_01631	Prat.g_00977
OG0000002	Praf.g_00948	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Praf.g_01121	Prat.g_00772
OG0000004	Praf.g_00743	Prat.g_00236
OG0000005	Praf.g_00503	Prat.g_01440
OG0000006	Praf.g_00396, Praf.g_01719	Prat.g_00248
OG0000007	Praf.g_00614	Prat.g_00458
OG0000007	Praf.g_00480	Prat.g_01592
OG0000008	Praf.g_01223	Prat.g_00376
OG0000008	Praf.g_01224	Prat.g_00377
OG0000010	Praf.g_01908	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Praf.g_01668	Prat.g_00586
OG0000013	Praf.g_02073	Prat.g_00334
OG0000014	Praf.g_02319	Prat.g_00314
OG0000014	Praf.g_00112	Prat.g_01267
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prat.g_00701
OG0000016	Praf.g_00014	Prat.g_00014
OG0000016	Praf.g_00906	Prat.g_01219
OG0000017	Praf.g_00760	Prat.g_00567
OG0000017	Praf.g_00752	Prat.g_00560
OG0000018	Praf.g_01832	Prat.g_01177, Prat.g_01009
OG0000019	Praf.g_00943	Prat.g_00255, Prat.g_01180
OG0000020	Praf.g_01095	Prat.g_00648
OG0000021	Praf.g_00946, Praf.g_01089	Prat.g_00854
OG0000021	Praf.g_00746	Prat.g_00461
OG0000022	Praf.g_00201	Prat.g_01192
OG0000022	Praf.g_00965	Prat.g_01448
OG0000024	Praf.g_01139	Prat.g_00622, Prat.g_00749
OG0000025	Praf.g_01591	Prat.g_01003
OG0000026	Praf.g_00037	Prat.g_00033
OG0000028	Praf.g_02333	Prat.g_00327
OG0000030	Praf.g_00160, Praf.g_00159	Prat.g_01799
OG0000031	Praf.g_00113	Prat.g_01266
OG0000032	Praf.g_01851	Prat.g_01394
OG0000033	Praf.g_00117	Prat.g_01265
OG0000033	Praf.g_02457	Prat.g_00170
OG0000034	Praf.g_00783	Prat.g_01259
OG0000035	Praf.g_01794	Prat.g_01352, Prat.g_01353
OG0000037	Praf.g_00240	Prat.g_00106
OG0000038	Praf.g_02660, Praf.g_02662	Prat.g_01839
OG0000039	Praf.g_00406, Praf.g_02541	Prat.g_00760
OG0000041	Praf.g_00426	Prat.g_01640
OG0000042	Praf.g_00164, Praf.g_00920	Prat.g_01796
OG0000045	Praf.g_00322	Prat.g_01203
OG0000046	Praf.g_02072	Prat.g_00335
OG0000047	Praf.g_01898	Prat.g_00374
OG0000048	Praf.g_02267	Prat.g_00278
OG0000053	Praf.g_01828	Prat.g_01375
OG0000054	Praf.g_00763	Prat.g_00569
OG0000055	Praf.g_01257	Prat.g_00852
OG0000056	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620	Prat.g_01571
OG0000057	Praf.g_01125	Prat.g_00775
OG0000061	Praf.g_01859	Prat.g_01156
OG0000062	Praf.g_01047, Praf.g_00501	Prat.g_01442
