Orthogroup	Praf	Prbb
OG0000000	Praf.g_00813	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Praf.g_01039, Praf.g_01042	Prbb.g_01313
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000002	Praf.g_01631	Prbb.g_00844
OG0000002	Praf.g_00948	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Praf.g_01121	Prbb.g_01450
OG0000004	Praf.g_00743	Prbb.g_00288
OG0000005	Praf.g_00503	Prbb.g_01766
OG0000006	Praf.g_00396, Praf.g_01719	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Praf.g_00614	Prbb.g_00501
OG0000007	Praf.g_00480	Prbb.g_01823
OG0000008	Praf.g_01223	Prbb.g_01884
OG0000008	Praf.g_01224	Prbb.g_01885
OG0000010	Praf.g_01908	Prbb.g_01072, Prbb.g_00477
OG0000011	Praf.g_01188, Praf.g_01190	Prbb.g_01229
OG0000013	Praf.g_02073	Prbb.g_00378
OG0000014	Praf.g_02319	Prbb.g_00357
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbb.g_01158
OG0000016	Praf.g_00014	Prbb.g_00014
OG0000016	Praf.g_00906	Prbb.g_01919
OG0000017	Praf.g_00752	Prbb.g_00605
OG0000018	Praf.g_01832	Prbb.g_01539, Prbb.g_00812
OG0000019	Praf.g_00943	Prbb.g_00761
OG0000020	Praf.g_01095	Prbb.g_01180
OG0000021	Praf.g_00946, Praf.g_01089	Prbb.g_01914
OG0000021	Praf.g_00746	Prbb.g_00099
OG0000022	Praf.g_00201	Prbb.g_01231
OG0000022	Praf.g_00965	Prbb.g_01258
OG0000024	Praf.g_01139	Prbb.g_01175, Prbb.g_00680
OG0000025	Praf.g_01591	Prbb.g_00052, Prbb.g_00818
OG0000026	Praf.g_00037	Prbb.g_00032
OG0000029	Praf.g_02091	Prbb.g_01800
OG0000030	Praf.g_00160, Praf.g_00159	Prbb.g_02073
OG0000031	Praf.g_02400, Praf.g_00101, Praf.g_00113	Prbb.g_00387
OG0000032	Praf.g_01851	Prbb.g_01723
OG0000033	Praf.g_02457	Prbb.g_00226
OG0000034	Praf.g_00783	Prbb.g_01596
OG0000035	Praf.g_01794	Prbb.g_01686
OG0000037	Praf.g_00240	Prbb.g_00164
OG0000038	Praf.g_02660, Praf.g_02662	Prbb.g_02129
OG0000039	Praf.g_00406, Praf.g_02541	Prbb.g_00692
OG0000041	Praf.g_00426	Prbb.g_01868
OG0000042	Praf.g_00164, Praf.g_00920	Prbb.g_02069
OG0000045	Praf.g_00322	Prbb.g_01347, Prbb.g_01094
OG0000046	Praf.g_02072	Prbb.g_00379
OG0000047	Praf.g_01898	Prbb.g_00421
OG0000047	Praf.g_01864	Prbb.g_00386
OG0000048	Praf.g_02267	Prbb.g_00325
OG0000051	Praf.g_01022	Prbb.g_01383, Prbb.g_01391
OG0000053	Praf.g_01828	Prbb.g_01705
OG0000054	Praf.g_00763	Prbb.g_00607
OG0000055	Praf.g_01257	Prbb.g_00747
OG0000056	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620	Prbb.g_00078
OG0000057	Praf.g_01125	Prbb.g_00706, Prbb.g_01359
OG0000061	Praf.g_01859	Prbb.g_01517
OG0000062	Praf.g_00501	Prbb.g_01768
OG0000063	Praf.g_00041	Prbb.g_01921
OG0000065	Praf.g_00244	Prbb.g_00162
OG0000066	Praf.g_00672	Prbb.g_00542
OG0000067	Praf.g_01530	Prbb.g_00783
OG0000068	Praf.g_00585, Praf.g_00583	Prbb.g_01639
OG0000070	Praf.g_01962	Prbb.g_00455
OG0000071	Praf.g_00796	Prbb.g_01586
OG0000072	Praf.g_02469	Prbb.g_00228
OG0000073	Praf.g_00616	Prbb.g_00503
OG0000075	Praf.g_02384	Prbb.g_02036
OG0000076	Praf.g_00178	Prbb.g_02061
OG0000077	Praf.g_00309	Prbb.g_00133
OG0000078	Praf.g_00391	Prbb.g_00297
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Prbb.g_00308
OG0000081	Praf.g_01131	Prbb.g_00534
OG0000082	Praf.g_00731	Prbb.g_01882
OG0000084	Praf.g_01790	Prbb.g_01683
OG0000085	Praf.g_00491	Prbb.g_01816
OG0000086	Praf.g_00297	Prbb.g_00143
OG0000087	Praf.g_02420	Prbb.g_00196
OG0000088	Praf.g_02454	Prbb.g_00223
OG0000089	Praf.g_02015	Prbb.g_00416
OG0000090	Praf.g_00660	Prbb.g_00536
OG0000091	Praf.g_01700	Prbb.g_00643
OG0000093	Praf.g_01503	Prbb.g_01606, Prbb.g_00768
OG0000094	Praf.g_02685	Prbb.g_00892
OG0000097	Praf.g_00905	Prbb.g_01470
OG0000098	Praf.g_01886	Prbb.g_01608
OG0000099	Praf.g_02342	Prbb.g_00388
OG0000100	Praf.g_00370, Praf.g_01561	Prbb.g_01763
OG0000101	Praf.g_02119	Prbb.g_02001
OG0000102	Praf.g_00173	Prbb.g_02066
OG0000103	Praf.g_02765	Prbb.g_02174
OG0000104	Praf.g_02779	Prbb.g_02185
OG0000105	Praf.g_02271	Prbb.g_00327
OG0000106	Praf.g_00496	Prbb.g_01197, Prbb.g_01329
OG0000108	Praf.g_00595	Prbb.g_00484, Prbb.g_00485
OG0000109	Praf.g_00611	Prbb.g_00498
OG0000110	Praf.g_00718	Prbb.g_00578
OG0000111	Praf.g_01126	Prbb.g_00707
OG0000112	Praf.g_01400	Prbb.g_00983
OG0000113	Praf.g_01556	Prbb.g_00807, Prbb.g_01218
OG0000114	Praf.g_01461	Prbb.g_00932
OG0000115	Praf.g_01825	Prbb.g_01780
OG0000116	Praf.g_00825	Prbb.g_01528
OG0000117	Praf.g_00919	Prbb.g_01399
OG0000118	Praf.g_00779	Prbb.g_01598
OG0000119	Praf.g_01108, Praf.g_01143	Prbb.g_01632
OG0000120	Praf.g_02343	Prbb.g_00678
OG0000121	Praf.g_01796	Prbb.g_01688
OG0000122	Praf.g_00976	Prbb.g_01727
OG0000123	Praf.g_02108	Prbb.g_02008
OG0000124	Praf.g_00153	Prbb.g_02079
OG0000125	Praf.g_02664	Prbb.g_02131
OG0000126	Praf.g_02777	Prbb.g_02183
OG0000127	Praf.g_01187, Praf.g_00342, Praf.g_02627, Praf.g_01168	Prbb.g_01346
OG0000128	Praf.g_00012	Prbb.g_00012
OG0000129	Praf.g_02652	Prbb.g_00059
OG0000130	Praf.g_00321	Prbb.g_00124
OG0000131	Praf.g_02432	Prbb.g_00202
OG0000132	Praf.g_02452	Prbb.g_00221
OG0000133	Praf.g_02336	Prbb.g_00373
OG0000134	Praf.g_02012	Prbb.g_00418
OG0000135	Praf.g_02705	Prbb.g_01326
OG0000136	Praf.g_01984	Prbb.g_00446
OG0000137	Praf.g_01907	Prbb.g_00478
OG0000138	Praf.g_00612	Prbb.g_00499
OG0000139	Praf.g_00666	Prbb.g_00540
OG0000140	Praf.g_00670	Prbb.g_00541
OG0000141	Praf.g_00764	Prbb.g_00608
OG0000142	Praf.g_01692	Prbb.g_00636
OG0000143	Praf.g_01696	Prbb.g_00640
OG0000144	Praf.g_01721	Prbb.g_00653
OG0000145	Praf.g_00617	Prbb.g_01099
OG0000146	Praf.g_01401	Prbb.g_00982
OG0000147	Praf.g_01402	Prbb.g_00981
OG0000148	Praf.g_01548	Prbb.g_00801
OG0000149	Praf.g_01604	Prbb.g_00832
OG0000150	Praf.g_01625	Prbb.g_00840
OG0000151	Praf.g_01478	Prbb.g_00943
OG0000152	Praf.g_01392	Prbb.g_00991
OG0000153	Praf.g_01362	Prbb.g_01009
OG0000154	Praf.g_01337	Prbb.g_01040
OG0000155	Praf.g_00886	Prbb.g_01495
OG0000156	Praf.g_00810	Prbb.g_01575
OG0000157	Praf.g_00809	Prbb.g_01576
OG0000158	Praf.g_02394	Prbb.g_02044
OG0000160	Praf.g_01795	Prbb.g_01687
OG0000161	Praf.g_01805	Prbb.g_01693
OG0000162	Praf.g_01817	Prbb.g_01699
OG0000163	Praf.g_00538	Prbb.g_01735
OG0000164	Praf.g_00453	Prbb.g_01845
OG0000165	Praf.g_00444	Prbb.g_01853
OG0000166	Praf.g_02157	Prbb.g_01964
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Prbb.g_02034
OG0000168	Praf.g_02395	Prbb.g_02045
OG0000169	Praf.g_00191	Prbb.g_02055
OG0000170	Praf.g_00183	Prbb.g_02057
OG0000171	Praf.g_00154	Prbb.g_02078
OG0000172	Praf.g_00087	Prbb.g_02101
